hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
,,,,,,0,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2252182351558230016,整租·上海朗悦酒店公寓 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,宝山,大场镇,上海朗悦酒店公寓,47,1室1厅1卫,南,2000,随时看房;,中楼层/5层,2020-02-23,,整租,需咨询,2000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,True,商水,False,,
SH2463521368340439040,整租·乾溪新村 2室1厅 南,https://image1.ljcdn.com/110000-inspection/46e8b4846e1586e33f3e8f15e37d5d78.jpg.250x182.jpg,宝山,大场镇,乾溪新村,47,2室1厅1卫,南,3500,新上;近地铁;,高楼层/6层,2020-02-24,,整租,需咨询,3500,0,需咨询,7号线-上大路-889m;7号线-上大路-889m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/46e8b4846e1586e33f3e8f15e37d5d78.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e58034149873de2a3920b59d864b81fe.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f5ced917ea5384ef4ff6fdb0a8bcc2e0.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f6ad1c73489f9946b113914f5e5cb80f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/826c1ab965f8d63024c3e9617674baba.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/4f26f842-894c-4a73-bc63-9d5b190e04a7.png.780x439.jpg;,
SH2394738774996156416,整租·和泰苑 2室1厅 南/北,https://image1.ljcdn.com/310000-inspection/e57f4ea1-47f3-49c1-b70e-f0434a245fef.jpg.250x182.jpg,宝山,大场镇,和泰苑,58,2室1厅1卫,南/北,3200,随时看房;,高楼层/6层,2020-02-22,,整租,需咨询,3200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/33e3aee7-f74e-4617-b49d-051e29fe1246.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a0538927-5d71-4564-88ea-5f6fd6197f92.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/539e2d4b-5919-4319-b89e-6474ca96f5b9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e57f4ea1-47f3-49c1-b70e-f0434a245fef.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6dcf18d6-428d-45a7-ba1f-56f1434f8c71.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d38d9f8e-6773-48b1-a6f7-ab87c6dca571.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/a28c2b6d-30c6-4da7-b0af-ce808986f654.png.780x439.jpg;,
SH2427555380587397120,整租·南大路12弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/2fe6ae05-8054-49ed-a5cb-7df38fbbc2a8.jpg.250x182.jpg,宝山,大场镇,南大路12弄,43,1室1厅1卫,南,3300,近地铁;,高楼层/4层,2020-02-24,,整租,需咨询,3300,0,需咨询,7号线-大场镇-1090m;7号线-大场镇-1090m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/2fe6ae05-8054-49ed-a5cb-7df38fbbc2a8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0dd7f614-8cde-4ec2-a61a-8b2606135a06.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cf984c2d-2155-4392-be2c-7ce834f136d8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/08d7b1ea-a4ac-440c-9995-caca85e44d3e.jpg.780x439.jpg;,
SH2378060168207810560,整租·上海朗悦酒店公寓 1室0厅 南,https://image1.ljcdn.com/310000-inspection/225d1133-c3aa-457d-9d21-6b2d9800b3ab.jpg.250x182.jpg,宝山,大场镇,上海朗悦酒店公寓,47,1室0厅1卫,南,2500,,中楼层/5层,2020-01-16,,整租,需咨询,2500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,True,商水,False,https://image1.ljcdn.com/310000-inspection/225d1133-c3aa-457d-9d21-6b2d9800b3ab.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/70deadf5-a3ad-4783-a848-e09e7674f4ff.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2b4895f0-c3f6-4ff6-83ff-7a2c354b81dc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/10e51b92-f82d-461d-8dbb-f403024cbf74.jpg.780x439.jpg;,
SH2412177357927350272,整租·乾溪新村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/dade4e6c-d794-4bac-8ec3-c9507e03af6f.jpg.250x182.jpg,宝山,大场镇,乾溪新村,41,1室1厅1卫,南,3200,近地铁;,高楼层/6层,2020-02-07,,整租,需咨询,3200,0,需咨询,7号线-上大路-889m;7号线-上大路-889m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/dade4e6c-d794-4bac-8ec3-c9507e03af6f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/33183a95-f2d7-4d9e-8b6e-1a2ce2ba1194.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b304caee-9a60-430d-852a-f335a6732ce0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8d5621bb-4d4b-449a-9cf9-0924dbeec4ca.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5725d87d-bb48-40b9-b76a-0588f2557352.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/c8dcba00-19f3-4ab0-98ed-4215bc1e9144.png.780x439.jpg;,
SH2380297634448949248,整租·南大路96弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/5dea863f-9347-40ee-a3ec-5a0461ccb532.jpg.250x182.jpg,宝山,大场镇,南大路96弄,0,,,3300,随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2378063908016488448,整租·上海朗悦酒店公寓 1室0厅 南,https://image1.ljcdn.com/310000-inspection/4fd67733-e364-4a17-a957-6c49a76f8ba8.jpg.250x182.jpg,宝山,大场镇,上海朗悦酒店公寓,47,1室0厅1卫,南,2500,,中楼层/5层,2020-01-17,,整租,需咨询,2500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,True,商水,False,https://image1.ljcdn.com/310000-inspection/4fd67733-e364-4a17-a957-6c49a76f8ba8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4eaef4aa-ea60-4b66-9cf3-f89192323aa3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3be2c7b9-29bc-44d4-834f-792c5acd480a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f9518e36-8cbe-4232-ad4b-a225c5707b35.jpg.780x439.jpg;,
SH2459454102183354368,整租·乾溪新村 1室1厅 南,https://image1.ljcdn.com/110000-inspection/de6337e993472f58a8d0833c567d41ef.jpg.250x182.jpg,宝山,大场镇,乾溪新村,45,1室1厅0卫,南,3500,近地铁;,高楼层/6层,2020-02-25,,整租,需咨询,3500,0,需咨询,7号线-上大路-889m;7号线-上大路-889m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/de6337e993472f58a8d0833c567d41ef.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c6ec5821e74bd24c34047a413e47f32d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/7ed51d86bd87f0e98d5741cc454b1f26.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/9c3f010fd3dcc3e4402532d24f9ceb8e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/62e2b55245b5bdb6bef7e9dd7d01fbad.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c5bc59d7bc5c34ce7652c25fe4f23286.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/a5f010ef-a685-4655-a6d0-66e68c2b3982.png.780x439.jpg;,
