hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2461376099989594112,整租·中环一号(二期) 1室1厅 南,https://image1.ljcdn.com/110000-inspection/3046825a-376c-49bd-8507-1b0d64bed3fb.jpg.250x182.jpg,宝山,大华,中环一号(二期),55,1室1厅1卫,南,4700,新上;,中楼层/18层,2020-02-25,,整租,需咨询,4700,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/110000-inspection/25fd3bce-6832-479f-9d2e-2cec635c42af.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/cae7e7ddaef0459c40b838a2b3f4ae32.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/3046825a-376c-49bd-8507-1b0d64bed3fb.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/3e4dbe03-ba16-4021-837d-ae93c67ce9c4.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f8e2c7011a952adb8ee3c3abe731d927.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f6f57664ab589e0a7d64ca12ff7a216b.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/6c310eef9c0942e39315c2f70e55a2a0.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e1f1a81a6857df44d9f5dd071ea2fd53.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/886bb711-da30-4e0a-8547-45586d1d7ef0.png.780x439.jpg;,
SH2462210421277868032,整租·大华一村 1室1厅 南,https://image1.ljcdn.com/110000-inspection/fdc5ff79-ceb0-43cc-a273-22d14757c9e7.jpg.250x182.jpg,宝山,大华,大华一村,40,1室1厅1卫,南,4500,新上;近地铁;随时看房;,低楼层/6层,2020-02-24,,整租,需咨询,4500,0,需咨询,7号线-新村路-848m;7号线-新村路-848m;7号线-新村路-848m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/fdc5ff79-ceb0-43cc-a273-22d14757c9e7.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/088e4832-d13f-4c7d-96db-6dd968b6124c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/36a753b5-d460-4d05-b5fa-94013e9242e3.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/87bfe33c-e9b2-4c75-9974-dfc727a5b8f4.jpg.780x439.jpg;,
SH2463533948584591360,整租·大华一村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/prod-874dae74-723a-4930-9edf-b9df295378ed.jpg.250x182.jpg,宝山,大华,大华一村,47,1室1厅1卫,南,4500,新上;近地铁;随时看房;,高楼层/6层,2020-02-24,,整租,需咨询,4500,0,需咨询,7号线-新村路-848m;7号线-新村路-848m;7号线-新村路-848m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/prod-f9d75d13-d958-4c57-9d45-b44505d94de2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-874dae74-723a-4930-9edf-b9df295378ed.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-b3742520-fc68-4e9d-8d94-2d25f1e9870c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-a84dd2b2-ed17-4c22-95ca-f1bcbb42fd6b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-b63e70d1-128d-4b76-9de9-98f0e932928a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-6bceb627-9502-4ae6-964e-93362702d808.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-afcf2020-dc9a-4978-a940-b4fe435f785a.png.780x439.jpg;,
SH2462826565558878208,整租·悦尚华都 1室1厅 北,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,宝山,大华,悦尚华都,40,1室1厅1卫,北,4500,新上;近地铁;,高楼层/9层,2020-02-24,,整租,需咨询,4500,0,需咨询,7号线-行知路-912m;7号线-行知路-912m;,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,True,商水,False,,
SH2434632944988454912,整租·文华苑(宝山) 1室1厅 南,https://image1.ljcdn.com/310000-inspection/a8e10389-a58f-487b-bc73-b73661fefe97.jpg.250x182.jpg,宝山,大华,文华苑(宝山),60,1室1厅1卫,南,4500,近地铁;,低楼层/6层,2020-02-22,,整租,需咨询,4500,0,需咨询,7号线-大华三路-641m;7号线-大华三路-641m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/a8e10389-a58f-487b-bc73-b73661fefe97.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b7816962-df82-49aa-946e-b695615676f3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/90f285b6-7c22-4d91-afb3-fd19963f8414.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f30189f7-3ee6-4160-b5ef-0641ff077c86.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cab32580-5d8a-4703-bc3d-c9f640275800.jpg.780x439.jpg;,
SH2383879836134547456,整租·大华一村 2室1厅 南,https://image1.ljcdn.com/310000-inspection/563c6eec-11f1-4b04-93aa-b6b20d767b58.jpg.250x182.jpg,宝山,大华,大华一村,51,2室1厅1卫,南,4500,近地铁;,高楼层/6层,2020-02-20,,整租,需咨询,4500,0,需咨询,7号线-新村路-848m;7号线-新村路-848m;7号线-新村路-848m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/563c6eec-11f1-4b04-93aa-b6b20d767b58.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/68af7c78-4907-4221-a432-8cb1d57aa443.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7c2beba5-68d6-4fef-9986-82b0c8b50e6f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b2b6e448-3247-4a03-b546-0a51813fa069.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e4772dde-4f03-4151-96e8-617e137b31e2.jpg.780x439.jpg;,
SH2436910293021376512,整租·华鹏花苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/486e9ac8-6329-4e95-9dee-fdfe603b90b0.jpg.250x182.jpg,宝山,大华,华鹏花苑,47,1室1厅1卫,南,4000,近地铁;,高楼层/6层,2020-02-22,,整租,需咨询,4000,0,需咨询,7号线-行知路-1040m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/486e9ac8-6329-4e95-9dee-fdfe603b90b0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0bd0f0f5-effa-4173-962d-fbf5bc4e1e6b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f67e9078-faa9-4583-b50c-1f503684a1a7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bab74b94-c461-4277-95f5-5c3812d43053.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0b34aedd-be45-418e-ba40-d9e546bb3aef.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/2ffc04f1-b681-4d45-ab50-13e0347673ca.png.780x439.jpg;,
SH2462974828610076672,整租·文华苑(宝山) 1室1厅 南,https://image1.ljcdn.com/110000-inspection/a4b4ae83c394b8253ede3f9b165bd5f2.jpg.250x182.jpg,宝山,大华,文华苑(宝山),57,1室1厅1卫,南,5300,新上;近地铁;,中楼层/6层,2020-02-25,,整租,需咨询,5300,0,需咨询,7号线-大华三路-641m;7号线-大华三路-641m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,2020-03-10,False,民水,False,https://image1.ljcdn.com/110000-inspection/7dca5bc39519f548d611b514b823e524.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e2273986ac80c35ba5b2a8aba0f00b69.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/1cde954078beae8f6ea596de557b9ec2.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a4b4ae83c394b8253ede3f9b165bd5f2.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c6076dab9c924dd4f4bbdf0b6af64912.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/3184350cc1c551e03f9117e56c56d93f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/56fd525d31ea34795965d7dd5bf7a000.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5247af9983031c230f6eea2a3174aee0.jpg.780x439.jpg;,
SH2460804660714274816,整租·文华苑(宝山) 2室2厅 南,https://image1.ljcdn.com/310000-inspection/4de3ed6c-a2b5-42cc-81c9-e40a1111fdc9.jpg.250x182.jpg,宝山,大华,文华苑(宝山),94,2室2厅1卫,南,5600,新上;近地铁;,中楼层/6层,2020-02-25,,整租,需咨询,5600,0,需咨询,7号线-大华三路-641m;7号线-大华三路-641m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/ca2b85cc-80c2-4d1d-8156-52dfb3c619b7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6a0c14ce-e199-402e-9fcf-62104210361c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/48312e8e-6357-4622-bd1f-c9a214e1329d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d81f5c55-b8f1-4437-ac84-55612d5b28eb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4de3ed6c-a2b5-42cc-81c9-e40a1111fdc9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5e898b9f-da7a-4616-9d7e-2b0fc79e4f57.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bd3decfb-33a1-4ee1-afdd-d507056bbee7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d074adcd-5c7c-4c09-97e7-e9ad657b6f87.jpg.780x439.jpg;,
SH2463536145846779904,整租·大华公园世家康华苑 2室2厅 南,https://image1.ljcdn.com/110000-inspection/75220156-c67b-4936-8630-d4796f50f111.jpg.250x182.jpg,宝山,大华,大华公园世家康华苑,90,2室2厅1卫,南,6500,新上;,低楼层/6层,2020-02-24,,整租,需咨询,6500,0,需咨询,7号线-行知路-946m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/429ab909-587a-4acd-860e-c10bd1ac01fe.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/697f87e6-971f-4d5e-a70f-4fe7dea90c25.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/75220156-c67b-4936-8630-d4796f50f111.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/cc229fd0-7ccb-48ac-a534-f10d05b3abcb.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d144b0f5-09be-44f0-95af-df6776dc0efb.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/748626b0-06c3-4880-82ca-714fc99d70bb.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/bb26eb43-6438-4c9f-b858-ef83ed52c547.jpg.780x439.jpg;,【户型介绍】此房为两室两厅一厨一卫户型，布局紧凑，房屋精装修，采光好，两个卧室为明卧【交通出行】公交737 738 78 923路，近南北高架，距离7号线行知路站大约1公里，交通出行十分便利。【周边配套】此房500米内真北农贸市场，真华菜场 。一公里左右有购物商圈（大华虎城嘉年华、巴黎春天、家乐福、乐购、奥特莱、） ，近联华超市和苏宁小店等生活便利超市，以及工商银行等金融配套设施，公园有大华行知公园。
