hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2429578394087211008,整租·共富一村 2室1厅 南,https://image1.ljcdn.com/310000-inspection/d6c3ce7b-5e85-459f-ba92-71576b69deea.jpg.250x182.jpg,宝山,共富,共富一村,59,2室1厅1卫,南,3500,近地铁;,中楼层/6层,2020-02-25,,整租,需咨询,3500,0,需咨询,1号线-共富新村-202m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/e55a1a7b-b590-4823-9b8f-a900c791c2ab.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/212f61e4-3a2f-4fa7-bb49-a56ee253b8ec.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d6c3ce7b-5e85-459f-ba92-71576b69deea.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/31900185-3dbe-43ba-8a0d-a85ddb102cbe.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8bf00706-76ff-4814-909c-3ceedb523f54.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/6782e56a-113f-4d67-aabf-73a5e065d2bb.png.780x439.jpg;,【装修描述】简单装修，家具齐全，基本生活设施有【周边配套】1.小区基础配套设施齐全，菜场、超市、餐馆、市场一应俱全； 2.小区公交线路丰富，近地铁1号线，出行便捷； 3.小区环境优美，干净整洁，居住适宜；【小区介绍】小区有门禁，有停车位，绿化丰富。早晚可锻炼身体有菜市场，生活便利。 交通便利，门口有公交站，离地铁近，出行方便。一号线共富新村站，公交701、702、宝山13路、宝山1路、宝山3路等多条公交线路
SH2416466909135642624,整租·共富一村 2室1厅 南,https://image1.ljcdn.com/310000-inspection/89a41ab0-b7ab-46ba-912c-2848f5c4e064.jpg.250x182.jpg,宝山,共富,共富一村,83,2室1厅1卫,南,3400,近地铁;,高楼层/6层,2020-02-15,,整租,需咨询,3400,0,需咨询,1号线-共富新村-202m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/89a41ab0-b7ab-46ba-912c-2848f5c4e064.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e397bcf5-cd66-4a1b-b6f6-9dddca496b43.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a1c0f06f-0e64-490a-a3a0-aee48cdc0227.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5ccbb89c-fd43-4044-8a1c-b53e59790ceb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bc9a3538-769b-4f82-bf79-5a145bc282af.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/test-3d256bcc-43de-4724-a651-ba6a117e7aa4.png.780x439.jpg;,
SH2434639695561359360,整租·共富二村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/prod-3b68fcdb-2691-4c5f-8910-5786b4a7e59c.jpg.250x182.jpg,宝山,共富,共富二村,45,1室1厅1卫,南,2800,近地铁;,高楼层/6层,2020-02-18,,整租,需咨询,2800,0,需咨询,1号线-呼兰路-901m;1号线-呼兰路-901m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/prod-b8f1e74b-bea4-4cd0-ab4f-aeec4181a76a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-3b68fcdb-2691-4c5f-8910-5786b4a7e59c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-51b77816-2bb7-4f02-acfc-b88c4c604de2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-99458b8a-097d-4e3d-97cc-4f4e72f84645.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-5a838418-c7bf-49b6-ba3f-1bfab3a9bf72.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-3ffd2109-960d-49f9-b49f-6438084323f5.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-fb85eda2-61b8-4b94-a1ae-3dec03e7a39b.png.780x439.jpg;,
SH2461346388001701888,整租·共富四村 2室2厅 南,https://image1.ljcdn.com/310000-inspection/f64631c4-aa37-4997-a634-6c0312666f75.jpg.250x182.jpg,宝山,共富,共富四村,89,2室2厅1卫,南,4600,新上;,低楼层/6层,2020-02-24,,整租,季付,4600,0,需咨询,1号线-共富新村-915m;,False,True,True,False,True,False,True,False,True,True,暂无数据,民电,暂无数据,3年以内,需提前预约,2020-02-29,False,民水,False,https://image1.ljcdn.com/310000-inspection/40a58911-e7ff-4364-804d-f5797bb84573.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2746fee7-3347-4bf3-adad-5b9ba9023e76.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f64631c4-aa37-4997-a634-6c0312666f75.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d32c177b-5c11-4ac1-b771-5db6bd08bdb3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/da48022d-1fd8-41ed-a01f-bc291a4bc1de.jpg.780x439.jpg;,【房源亮点】1.价格很诚心2.小区东门距离共富新村地铁站仅877米左右，步行10~15分 钟左右3.低楼层，出入方便4.小区绿化较好，清新幽静【户型介绍】两室两厅，双开间朝南的南北户型，通风性采光度好。空间大，居住更舒适。【交通出行】1.公交：701路，828路，527路，宝山3路、宝山16路 2.地铁：1号线共富新村站 3.地铁站公交：宝山1路、宝山2路、宝山3路、宝山7路、宝山13路、宝山15路、宝山25路、宝山30路、宝山90路；828路，1602路，嘉泰线；【出租原因】房东住浦东，这套房子空置了很可惜 诚意出租寻找爱护房子的租客【周边配套】1. 菜市场：共富菜市场2. 超市：农工商超市、吉卖隆超市3. 银行：工商银行、农商银行、农业银行4. 教育：贝贝佳幼儿园；共富实验学 校5. 医疗：共富社区医院6. 公园：智慧湾科创园、智力公园
SH2433878993721114624,整租·胡庄佳苑 2室1厅 南,https://image1.ljcdn.com/310000-inspection/2ecf2ce4-3c61-4425-b365-727a7f06246e.jpg.250x182.jpg,宝山,共富,胡庄佳苑,0,,,3900,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2404148658355847168,整租·共富一村 2室1厅 南,https://image1.ljcdn.com/310000-inspection/e1f83b75-2671-4da8-b99a-6ca7af40e500.jpg.250x182.jpg,宝山,共富,共富一村,0,,,3900,近地铁;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2438220558467604480,整租·共富二村 2室1厅 南,https://image1.ljcdn.com/110000-inspection/59a699d7c7c1916814fa17a961b7874c.jpg.250x182.jpg,宝山,共富,共富二村,59,2室1厅1卫,南,3600,近地铁;随时看房;,高楼层/6层,2020-02-25,,整租,需咨询,3600,0,需咨询,1号线-呼兰路-901m;1号线-呼兰路-901m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/59a699d7c7c1916814fa17a961b7874c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a9d814a83bae4d3865cd6dc71608b3d5.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/fe71071f2cd6fab1c1bc639567af2a71.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/87a897eb8e22b00b30b6fc2ce16037f9.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a1532662a96e5d796eaa02f22f0f8a9b.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/6bf42c706c58b83c9af7269088674faa.jpg.780x439.jpg;,【房源亮点】1.房子价格适中，居家生活便利；2.南北户型，采光通风透亮舒适；3.家具家电齐全，随时可以入住；4.看房便利，随时可看；【装修描述】房源居家简约风格，居住体验感较好；家具家电齐全，随时可以入住；【交通出行】1.南北外环高架，驾车出行便捷；2.地铁1号线，可到人民广场、上海火车站、徐家汇等；3.公交线路发达，出行十分便捷；【周边配套】1.小区近地铁1号线，交通出行便利；2.小区附带成熟的生活基础配套，生活便捷；3.小区娱乐设施齐全，生活体验感较好；
SH2426687740436283392,整租·胡庄佳苑 2室2厅 南,https://image1.ljcdn.com/310000-inspection/d0018641-8d37-4071-9d70-d596039ff939.jpg.250x182.jpg,宝山,共富,胡庄佳苑,100,2室2厅1卫,南,4200,,高楼层/14层,2020-02-20,,整租,季付,4200,0,需咨询,,False,False,False,False,False,False,False,False,False,True,暂无数据,暂无数据,暂无数据,3年以内,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/32b5da85-f529-4872-adc6-9f266ea5fb9d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/42d2d4c9-8c6d-4321-8d40-c26e6e60cf0b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d0018641-8d37-4071-9d70-d596039ff939.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/29115e04-2879-4de1-8be0-514792ea9943.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/44b278d8-2498-4fe5-b07a-924e3d538674.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4b6ee220-41cb-4e45-bab7-86741a609c4d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5ce6bba2-3ec3-4625-9353-d6fc022e919b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/65ed0b36-d0f4-46f9-8e84-259065aef879.jpg.780x439.jpg;,【房源亮点】1.电梯房 高楼层，采光通风较好、视野开阔 2.小区东边就是共富实验学 校 ，北边西边都有绿地公园，环境好 3.毛坯房，再无担心破坏家具被扣押金 4.适合自己有家具的搬家入住 5.能长租，租金相对较低【交通出行】a公交：701路，527路，宝山3路、宝山13路、宝山16路 b地铁：1号线共富新村站 c地铁站边公交：宝山1路、宝山2路、宝山3路、宝山7路、宝山13路、宝山15路、宝山25路、宝山30路、宝山90路；828路【出租原因】业主现住顾北陆新顾村大家园，不住此小区。因为是今年刚刚拿到的毛坯动迁房，又不想空着，就拿来出租，能长租。【周边配套】1. 菜市场：富弘农贸市场 2. 超市：农工商超市、吉卖隆超市 3. 银行：工商银行、农商银行 、农业银行 4. 教育：贝贝佳幼儿园；共富实验学 校 5. 医疗：共富社区医院 6. 公园：富长绿地、智慧湾科创园【小区介绍】共富板块2020年新房小区，靠富长路。小区绿化较好，北边就是富长绿地公园。东边是共富实验学 校，西边是上海市公益林园区。
SH2422410521698910208,整租·胡庄佳苑 2室1厅 南,https://image1.ljcdn.com/310000-inspection/1e982b6c-d209-435d-9545-d87a70a22b9b.jpg.250x182.jpg,宝山,共富,胡庄佳苑,85,2室1厅1卫,南,3800,随时看房;,中楼层/14层,2020-02-20,,整租,季付,3800,0,需咨询,,False,False,False,False,False,False,False,False,False,True,暂无数据,暂无数据,暂无数据,3年以内,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/9e0139e2-de4a-4a88-bcb7-485d682229f2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/897e69a2-e90e-4795-bae6-bc4268e1e346.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1e982b6c-d209-435d-9545-d87a70a22b9b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/14f6489d-101a-4bf9-810b-08b4374c3d23.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/14005fa7-c996-4094-9390-42aaa066a857.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/346942cb-9cc7-459a-b586-aeb4076441c3.jpg.780x439.jpg;,【房源亮点】1.电梯房 高楼层，采光通风较好、视野开阔 2.小区东边就是共富实验学 校 ，北边西边都有绿地公园，环境好 3.毛坯房，再无担心破坏家具被扣押金 4.可以根据自己喜好布置房屋 5.能长租，租金相对较低【交通出行】a公交：701路，527路，宝山3路、宝山13路、宝山16路 b地铁：1号线共富新村站 c地铁站边公交：宝山1路、宝山2路、宝山3路、宝山7路、宝山13路、宝山15路、宝山25路、宝山30路、宝山90路；828路【出租原因】业主住附 近小区，不住此小区。因为是今年刚刚拿到的毛坯动迁房，又不想空着，就拿来出租，能长租。【周边配套】1. 菜市场：富弘农贸市场 2. 超市：农工商超市、吉卖隆超市 3. 银行：工商银行、农商银行 、农业银行 4. 教育：贝贝佳幼儿园；共富实验学 校 5. 医疗：共富社区医院 6. 公园：富长绿地、智慧湾科创园【小区介绍】共富板块2020年新房小区，靠富长路。小区绿化较好，北边就是富长绿地公园。东边是共富实验学 校，西边是上海市公益林园区。
SH2451937809851236352,整租·共富一村 2室2厅 南,https://image1.ljcdn.com/110000-inspection/a23eb3000eaec5d64094187ed0b64764.jpg.250x182.jpg,宝山,共富,共富一村,74,2室2厅1卫,南,4600,近地铁;随时看房;,低楼层/6层,2020-02-24,,整租,需咨询,4600,0,需咨询,1号线-共富新村-202m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/6cb45fd94c029aaea6997b0a7c92c4b0.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e6c6b91a2461a3a6a3552e12c80bf2c2.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a23eb3000eaec5d64094187ed0b64764.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/790a5a7d5260ad3233af913b5230544c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/576ec136aef35c00d1bbe0275871c91d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f4bf0373c284da16cce43a3c02e27809.jpg.780x439.jpg;,
