hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2431112587325210624,整租·共康六村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/prod-b62abe6c-ff99-43b0-9f12-f5b682217a69.jpg.250x182.jpg,宝山,共康,共康六村,52,1室1厅1卫,南,3300,近地铁;,中楼层/6层,2020-02-25,,整租,需咨询,3300,0,需咨询,1号线-共康路-917m;1号线-共康路-917m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/prod-90ebb777-b957-4701-99bb-331ad43809c2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-d01bae4c-64b2-4685-9762-a3efc307a1fb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-b62abe6c-ff99-43b0-9f12-f5b682217a69.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-d6034174-c72e-4247-a663-f7870a5afa4f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-9e532ac2-ff15-4a0d-827d-45d4d760d3a7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-22879025-8480-4268-a517-f5af7894ece8.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-8aa34df5-3bd3-493d-bb22-66d682756d3d.png.780x439.jpg;,
SH2462203125805613056,整租·共康六村 1室1厅 西南,https://image1.ljcdn.com/110000-inspection/01f614b5e513bcb81131b2c0bc1d5130.jpg.250x182.jpg,宝山,共康,共康六村,54,1室1厅1卫,西南,4200,新上;近地铁;,高楼层/6层,2020-02-25,,整租,需咨询,4200,0,需咨询,1号线-共康路-917m;1号线-共康路-917m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/01f614b5e513bcb81131b2c0bc1d5130.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f6878216cac492245dea21c5f1fdbddd.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/eb517006613208d3a1c0943ba6412fb7.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/be4c3fd49cf5dcd2888208eb8151c6d0.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/test-6aea47bb-00e2-4b1a-9d14-05dcc1b77c12.png.780x439.jpg;,
SH2427337763704807424,整租·共康七村 2室0厅 南,https://image1.ljcdn.com/310000-inspection/b3a63a75-19c8-4ff8-8186-119be28f416c.jpg.250x182.jpg,宝山,共康,共康七村,48,2室0厅1卫,南,3900,近地铁;,高楼层/6层,2020-01-06,,整租,需咨询,3900,0,需咨询,1号线-通河新村-483m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/b3a63a75-19c8-4ff8-8186-119be28f416c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/916eac70-d0d3-40da-8067-1eac0353f044.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0f671a79-0d03-494a-8ab2-6f40d8f5010c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b99c7650-f071-40bf-a305-89f7448bb918.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/0d496c12-1449-4676-88b9-283675afe81b.png.780x439.jpg;,
SH2460702750225473536,整租·九英里 1室1厅 南,https://image1.ljcdn.com/110000-inspection/f27ea56a5d6ae0b12c3518e3ba7c60e3.jpg.250x182.jpg,宝山,共康,九英里,53,1室1厅1卫,南,4300,新上;近地铁;随时看房;,中楼层/12层,2020-02-20,,整租,需咨询,4300,0,需咨询,1号线-通河新村-1168m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/110000-inspection/ba4298dacde279435b509fb9bdf035ea.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f27ea56a5d6ae0b12c3518e3ba7c60e3.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c3beb04f1c388477f0ed3ff397a9d198.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/4d0aa248758b662db19ef3a414d80b30.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/b515f6b0-0c80-44cd-ba88-48dab13a9faa.png.780x439.jpg;,
SH2427372831307743232,整租·共康七村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/05402b2c-9dbb-49cb-ab06-9a3413eb1ba7.jpg.250x182.jpg,宝山,共康,共康七村,54,1室1厅1卫,南,4000,近地铁;,高楼层/6层,2020-02-17,,整租,需咨询,4000,0,需咨询,1号线-通河新村-483m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/2233c1f6-70a0-4a19-892b-ccd6ff4efd64.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/05402b2c-9dbb-49cb-ab06-9a3413eb1ba7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/26387fc3-4d77-4482-8189-812c80159261.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4e2e3527-458f-4578-9984-b445902c0c47.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/96737089-d23b-462c-9376-321e76c668c3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0fed5a85-de7d-4361-8e47-213d3d52428f.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/192ce9fd-9d77-412b-889f-c7223453181e.png.780x439.jpg;,
SH2461592503284146176,整租·和欣国际花园 2室2厅 南,https://image1.ljcdn.com/110000-inspection/f1a50228-0472-4a1b-8811-ea7c5f7c9a76.jpg.250x182.jpg,宝山,共康,和欣国际花园,97,2室2厅1卫,南,6700,新上;近地铁;,中楼层/18层,2020-02-24,,整租,需咨询,6700,0,需咨询,1号线-通河新村-740m;1号线-通河新村-740m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/110000-inspection/6c0345cd-69f2-413f-9cb2-d474bd836680.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ba6c2952-f649-435b-9e99-d34ac3897fc8.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/0ec112b7-657b-4fdb-afc9-a97683dbc6ab.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/681bcf06-1da7-4655-9405-78d8ef0d50f3.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f1a50228-0472-4a1b-8811-ea7c5f7c9a76.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/0f2d4e7a-59be-4f08-b2a0-cee2147510a8.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e22b2e79-8819-4e8e-87e7-b0d3a6db8587.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c68e49e1-1d6f-4878-9142-5dbef25ffb2a.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/c132da78-97dd-41d7-a1be-da1345051894.png.780x439.jpg;,【户型介绍】进门左边是餐厅，餐厅和厨房相连，右边是客厅，餐厅和客厅一共31.3平米，厨房5.4平；客厅右边是个5.7平的阳台，左边是个朝北飘窗。再往前，右边是12.8平米朝南的主卧；左边是11.9平米朝北次卧；再往前便是3.4平卫生间。主次卧均带飘窗。【交通出行】小区出门地铁一号线呼兰路站，通河新村站。小区南门口165路，745路，705路，宝山20路。【周边配套】广场：2公里内万达广场，家乐福购物超市，宝山购物，场北广场。公园散步：智力公园，共和公园，庙行公园。
SH2458622566349414400,整租·和欣国际花园 2室2厅 南,https://image1.ljcdn.com/110000-inspection/177fe464-8e29-47f1-a845-b85bff7ec355.jpg.250x182.jpg,宝山,共康,和欣国际花园,83,2室2厅1卫,南,6800,近地铁;,高楼层/18层,2020-02-23,,整租,需咨询,6800,0,需咨询,1号线-通河新村-740m;1号线-通河新村-740m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/110000-inspection/c522e403-399b-4a44-945c-f13bf5ff0226.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a66a61c9-547f-4f13-841e-8de014566150.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/06fe043b-caf5-4e4c-a1ca-66a7c17bb4b8.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/177fe464-8e29-47f1-a845-b85bff7ec355.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/756ce2cf-fd95-41e6-95f8-1187e18e3123.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/6406872f-65a5-4443-8e9f-7e9bcb3c0dee.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e6ba1d86-eb27-4541-b73d-d1d8d57185c0.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/ddabe8f4-2752-42c9-8197-585d71d332e9.png.780x439.jpg;,
SH2462246832836198400,整租·和欣国际花园 2室1厅 南/北,https://image1.ljcdn.com/110000-inspection/49abac36-2d86-42ef-a744-dc47330bbe90.jpg.250x182.jpg,宝山,共康,和欣国际花园,99,2室1厅1卫,南/北,7000,新上;近地铁;,低楼层/18层,2020-02-25,,整租,需咨询,7000,0,需咨询,1号线-通河新村-740m;1号线-通河新村-740m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/110000-inspection/456e85ae-0104-404a-ae2d-8efaf37dd513.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/be5152f3-0281-4cea-9173-b8ef6419a9f5.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/49abac36-2d86-42ef-a744-dc47330bbe90.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/9a526d09-ab4c-4a9d-8d6a-32f4bcb14ec9.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/0cf260f0-34ce-45b1-b821-f52c531b8655.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/c271aad2-28a6-4ccb-9b7a-ad85562a7c78.png.780x439.jpg;,
SH2423150921455779840,整租·中环国际公寓(三期) 2室2厅 南/北,https://image1.ljcdn.com/310000-inspection/bed0836e-8962-4a83-a8b0-8ed4ccd7f6b7.jpg.250x182.jpg,宝山,共康,中环国际公寓(三期),89,2室2厅1卫,南/北,6500,随时看房;,低楼层/14层,2020-02-25,,整租,需咨询,6500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/aeb85dc3-5f31-48ab-b2b4-fc3f04f3f754.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f95f2f03-6c7a-4e21-8ba0-0137ceecad35.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cf2baea3-2b93-4944-a1e5-e313d196f35a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d62b1ecd-ef18-415f-85c7-6089bc9a7d73.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bed0836e-8962-4a83-a8b0-8ed4ccd7f6b7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0b5bb850-d41a-45f3-95aa-d5c214dabc88.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fc87e6f8-9dcb-475a-bd64-3ff7c4282ef9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5ca65e52-76bd-4f57-b109-a476e83acee7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/56c8beeb-6ff0-4d39-84b1-44129b1c4619.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bfb24565-1a38-4ad3-8039-61bb9dcb2f04.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5cd744b2-5d69-4ff3-a4ed-7a94f6950fe2.jpg.780x439.jpg;,
SH2373681207071211520,整租·宝宸怡景园 3室0厅 南,https://image1.ljcdn.com/310000-inspection/8fe93633-ecb7-4025-a4d5-955eb4b1de26.jpg.250x182.jpg,宝山,共康,宝宸怡景园,90,3室0厅1卫,南,5000,近地铁;,低楼层/14层,2020-02-21,,整租,季付,5000,0,需咨询,1号线-呼兰路-769m;1号线-呼兰路-769m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,3年以上,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/8fe93633-ecb7-4025-a4d5-955eb4b1de26.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4e8fdade-ead9-4936-9279-88afb86aedf6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/084ade9b-2a7e-43b8-b6a7-7d05e9bda561.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/315defe8-4357-4315-8fa1-ab654df167c6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/82c7fe5d-50c4-4f48-b662-4488bfd84575.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bed30979-42bf-42a3-860f-30d810e59c01.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d161dee1-c81d-4daa-8105-4c62a0ff769d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dfedbfb1-5074-416e-8462-2648a8d250f6.jpg.780x439.jpg;,
