hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2462865018862182400,整租·井晓公馆 2室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,宝山,顾村,井晓公馆,62,2室1厅1卫,南,3200,新上;,中楼层/18层,2020-02-23,,整租,需咨询,3200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,True,商水,False,,【房源亮点】楼层好，朝南，阳光充足，两室，家具家电齐全，干净整洁，价格便宜【装修描述】1.	房屋光线采光好，精装修明亮不压抑；2.	室内家具齐全，【交通出行】近七号线顾村公园站，门口有公交1604，宝山三路，527，均可一站直达地铁站【周边配套】门口有饭店，水果店，理发店 购物方便商场：沃尔玛购物广场，正大商城，龙湖天街医院:华山医院北院银行：中国银行，中国工商银行，上海银行中国农业银行【小区介绍】金色威尔斯大厦属于写字楼，可办公可住，小区较为清静舒适，物业管理完善小区地上地下都有停车位
SH2462838565328404480,整租·世纪非凡怡园 2室1厅 南,https://image1.ljcdn.com/110000-inspection/eddfc1ed-0279-4952-8b8e-57817f0e5a6d.jpg.250x182.jpg,宝山,顾村,世纪非凡怡园,0,,,3500,新上;精装;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2404845390190092288,整租·上坤乐城 2室1厅 南,https://image1.ljcdn.com/310000-inspection/2de2416b-4042-48db-a664-69e0ce6568f3.jpg.250x182.jpg,宝山,顾村,上坤乐城,77,2室1厅1卫,南,3000,随时看房;,中楼层/11层,2020-02-24,,整租,需咨询,3000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/f4c0335a-dc22-4eee-857d-98e9e884ee4b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2de2416b-4042-48db-a664-69e0ce6568f3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2ee27f86-b56e-49f0-abf1-e220799427fa.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2d04efee-c8db-4df7-a5a6-61b9b488ea1b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2d7d84ff-0325-4fa6-b141-a4f7416e7dc2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c4b656bb-4001-47f7-93a3-fc73540f1372.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d8d53d1a-19ce-495e-b657-ac69da0f599b.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/c60a2fd5-8f9b-406c-967e-e1893f3730f9.png.780x439.jpg;,
SH2385392987791704064,整租·天极盛宅花园 2室1厅 南/北,https://image1.ljcdn.com/310000-inspection/316ad939-076e-4344-8156-335486e9918a.jpg.250x182.jpg,宝山,顾村,天极盛宅花园,68,2室1厅1卫,南/北,3200,随时看房;,中楼层/5层,2020-02-10,,整租,季付,3200,0,需咨询,,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/316ad939-076e-4344-8156-335486e9918a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9657c352-55d3-4e35-b676-c35f171f3af3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0f0eb62c-5683-417e-821b-bc6012b0715c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/85dc504e-edf6-48da-be6c-4ec2207c59f7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/79081f22-2f71-4cb1-a1b9-302521467626.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/abf22b61-eeb0-496d-ab05-c8ba57fc036a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/50a9c8eb-0bfb-45bc-90df-0b35e371d0a9.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/240f9692-3905-43e1-b483-cb9b86616b61.png.780x439.jpg;,【户型介绍】小区大门旁边，进出方便。两居室的，全明户型，适合居住。欢迎看房。【装修描述】简单装修，图片是真实图片，最近刚拍的。家具都有的，可以拎包入住。【周边配套】小区出门五百米就是繁华的街道，生活便利。小区1千米范围内银行，社区医院，大型商超，菜市场齐全。
SH2362276369192460288,整租·东方帕堤欧 2室2厅 南,https://image1.ljcdn.com/310000-inspection/4766cd60-f878-4653-8851-02067254316d.jpg.250x182.jpg,宝山,顾村,东方帕堤欧,0,,,3300,随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2458694821733744640,整租·中国铁建青秀城西区 2室2厅 南/北,https://image1.ljcdn.com/310000-inspection/pc1_DGHi3gJ94_1.jpg.250x182.jpg,宝山,顾村,中国铁建青秀城西区,0,,,3500,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2438421120589250560,整租·馨佳园(菊盛路851弄) 2室2厅 南,https://image1.ljcdn.com/110000-inspection/8a70d14f52c937b03ae2459268f97d69.jpg.250x182.jpg,宝山,顾村,馨佳园(菊盛路851弄),74,2室2厅1卫,南,3000,近地铁;,高楼层/18层,2020-02-24,,整租,需咨询,3000,0,需咨询,7号线-刘行-556m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/110000-inspection/625934472c2fcbd9ed1573f764056323.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c3705ee9c84e48ad74cd456cd85097c3.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/8a70d14f52c937b03ae2459268f97d69.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/1b101f3517a0ce2c41d2fb4fe363e380.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/33ec4c1df64882ad903a96400f839ffc.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/1bbe376502e17e983737bd02307ff334.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/b6fea175-1bed-44ea-b98d-6ec7301d2437.png.780x439.jpg;,
SH2434524024576155648,整租·长白山路633弄 1室1厅 南/北,https://image1.ljcdn.com/310000-inspection/539dcea7-e103-4367-8182-e65824c0a77c.jpg.250x182.jpg,宝山,顾村,长白山路633弄,55,1室1厅1卫,南/北,2200,随时看房;,低楼层/14层,2020-02-24,,整租,需咨询,2200,0,需咨询,7号线-刘行-527m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/539dcea7-e103-4367-8182-e65824c0a77c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b27939b9-a997-4e67-9e8a-0a10eac241b3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5d902be2-a8b4-4f50-a3a3-412baa41cd98.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/99bd30b3-797a-4028-99fa-9f18bbf87504.jpg.780x439.jpg;,
SH2420975482351648768,整租·好日子大家园D区 2室1厅 南/北,https://image1.ljcdn.com/310000-inspection/b8935002-4c1b-46bd-b91f-3ab1280bc5e6.jpg.250x182.jpg,宝山,顾村,好日子大家园D区,76,2室1厅1卫,南/北,2500,,中楼层/6层,2020-02-24,,整租,需咨询,2500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/ef4fbe0e-5cfe-400d-9cb0-30e04bc5bd5e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c77d72a6-bad0-4217-9d5c-f6aedeb490c2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b8935002-4c1b-46bd-b91f-3ab1280bc5e6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/411a139a-9676-4459-bf76-6376dafd2fe8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/30d63a07-6a9e-41fd-8ee2-a7d2453bc48f.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/12c99f95-88f6-48ac-a42c-ee67d265d120.png.780x439.jpg;,
SH2341862981324767232,整租·馨佳园(菊盛路851弄) 2室1厅 南,https://image1.ljcdn.com/310000-inspection/d8f6eb68-7358-4e0a-9f23-e189a8b3504b.jpg.250x182.jpg,宝山,顾村,馨佳园(菊盛路851弄),71,2室1厅1卫,南,3300,近地铁;随时看房;,高楼层/6层,2020-01-11,,整租,需咨询,3300,0,需咨询,7号线-刘行-556m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/9b47a476-6ed8-453a-96d1-1939545d00e4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d8f6eb68-7358-4e0a-9f23-e189a8b3504b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9bde590f-c0b0-4334-b54e-cd3aa289aa72.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/194ee342-a78d-4e37-a237-e8dc4c05b79e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/99098bd6-fed5-4caa-8b2e-4cdac79ea203.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/764acd47-ad39-4ec7-8017-83c3e7393319.jpg.780x439.jpg;,
