hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2423793705606717440,整租·美罗家园金丰苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/309d2610-9890-4045-b5fa-3917cfa3eab4.jpg.250x182.jpg,宝山,罗店,美罗家园金丰苑,53,1室1厅1卫,南,1600,随时看房;,高楼层/18层,2020-02-25,,整租,需咨询,1600,0,需咨询,7号线-美兰湖-435m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/309d2610-9890-4045-b5fa-3917cfa3eab4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/be151878-2516-4a61-89cb-8aaecb71f843.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/20208b40-f877-435c-8d9c-048d191a9c5c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c2ff76bb-194d-44d1-9f77-a5d308b18efe.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9c78271c-4583-4f2e-bd64-7ef10802e161.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2f4115bb-5aad-4a87-8179-57c19fa4532d.jpg.780x439.jpg;,
SH2414250951301922816,整租·美罗家园金丰苑 2室1厅 南,https://image1.ljcdn.com/310000-inspection/5c469aa7-9883-4f44-b8ac-35d7212c608b.jpg.250x182.jpg,宝山,罗店,美罗家园金丰苑,78,2室1厅1卫,南,2000,随时看房;,中楼层/18层,2020-02-21,,整租,需咨询,2000,0,需咨询,7号线-美兰湖-435m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,一般下班后可看,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/bc92747b-cfda-4cef-a4c3-79aca3ff7dd2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/26f50c6c-187f-4b87-b83a-aa83cb019a0c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5c469aa7-9883-4f44-b8ac-35d7212c608b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ffb78ded-5deb-436d-9467-f2e352996843.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/abe01285-4f31-4012-8c0d-09ef3f7f69cb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0286be45-9f77-40ba-aa62-e963995f6cf4.jpg.780x439.jpg;,
SH2408556707283206144,整租·罗南二村 2室1厅 南,https://image1.ljcdn.com/310000-inspection/8b4dd7dd-4bd6-4d71-9a43-bd88d8d92807.jpg.250x182.jpg,宝山,罗店,罗南二村,70,2室1厅1卫,南,2100,随时看房;,中楼层/6层,2020-01-20,,整租,需咨询,2100,0,需咨询,7号线-罗南新村-838m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/8b4dd7dd-4bd6-4d71-9a43-bd88d8d92807.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9387d505-95f2-4837-a49c-3c098fc1ab8c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/05f7a90d-6403-4471-a4dd-e22921f396ce.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a247f099-617f-4dcd-bacd-d3b0fa163df1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/360be54f-f9f2-4a65-a448-284270fa22ba.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ad5a17b8-4482-40b8-b373-5e3cc72e7855.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4c4e91d5-fa32-439a-8bef-8ee724b65dcc.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/f551548b-272a-4873-acd8-0b1ae78e62bd.png.780x439.jpg;,
SH2392033350693945344,整租·美罗家园宝欣苑八村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/426e531c-13ac-4fe3-b03b-f899ae98a83e.jpg.250x182.jpg,宝山,罗店,美罗家园宝欣苑八村,49,1室1厅1卫,南,1800,,中楼层/18层,2020-02-16,,整租,需咨询,1800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/426e531c-13ac-4fe3-b03b-f899ae98a83e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a6e07e3f-fa69-4384-a53e-18dd00754e8d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a05eeb84-dbfe-42eb-85cf-6c9057a6e5db.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a5074540-fc86-4eb5-89e5-f222525a2444.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/518dbf37-ed51-41fc-811d-adc11933c540.jpg.780x439.jpg;,
SH2462936622149410816,整租·上置美兰优湖 1室1厅 西,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,宝山,罗店,上置美兰优湖,42,1室1厅1卫,西,2500,新上;近地铁;随时看房;,中楼层/16层,2020-02-23,,整租,需咨询,2500,0,需咨询,7号线-美兰湖-151m;,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,True,商水,False,,
SH2430439072717094912,整租·美罗家园宝欣苑八村 2室1厅 南,https://image1.ljcdn.com/310000-inspection/93d6f572-0d6a-43a2-955e-af0e5d4e31a5.jpg.250x182.jpg,宝山,罗店,美罗家园宝欣苑八村,69,2室1厅1卫,南,2600,随时看房;,中楼层/18层,2020-02-16,,整租,需咨询,2600,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/bc98e2f6-ebc9-4041-bc0f-da5fabf71c64.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ed3d5a58-0b9d-4c72-a9f8-bf15e7830a09.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/93d6f572-0d6a-43a2-955e-af0e5d4e31a5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c17a6bb9-92f8-41f4-9ec9-0a75234601da.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7dc9a69d-12da-4d9d-b1da-8f3930b408fb.jpg.780x439.jpg;,
SH2327295848507252736,整租·美罗家园雅苑 2室1厅 南,https://image1.ljcdn.com/310000-inspection/be94f3b2-3de1-4600-858d-68876a7e8820.jpg.250x182.jpg,宝山,罗店,美罗家园雅苑,70,2室1厅1卫,南,3000,近地铁;,高楼层/18层,2020-02-16,,整租,需咨询,3000,0,需咨询,7号线-美兰湖-812m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/be94f3b2-3de1-4600-858d-68876a7e8820.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/32186301-5839-4573-8241-983d52067dd4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6f123b6f-9810-44bf-bdee-04d92b9a737d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9ba7d318-15b1-48a6-baa4-4d57d5b9ffcc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bd9931f8-a08e-4afa-8fd2-506ab343e48b.jpg.780x439.jpg;,
SH2430926533343854592,整租·美罗家园雅苑 3室1厅 南,https://image1.ljcdn.com/310000-inspection/4a629613-31b6-472b-b9ad-11bd678f088d.jpg.250x182.jpg,宝山,罗店,美罗家园雅苑,82,3室1厅1卫,南,2200,近地铁;,中楼层/17层,2020-02-16,,整租,需咨询,2200,0,需咨询,7号线-美兰湖-812m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/da72e3d9-0f3e-41e1-8d56-81e809f3ffda.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fb87a1c5-8594-458b-92c9-7610d940a1d0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7d84144b-1f3f-409c-b3fa-b093d1a23cbf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4a629613-31b6-472b-b9ad-11bd678f088d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/80ecbd80-c262-4d0c-87b5-2515a811423d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0b7c66c1-d41f-4c07-a3af-c17e1fc54607.jpg.780x439.jpg;,
SH2376813968439115776,整租·富辰花苑 2室1厅 南,https://image1.ljcdn.com/310000-inspection/pc1_D51P8a3l1_1.jpg.250x182.jpg,宝山,罗店,富辰花苑,80,2室1厅1卫,南,3000,近地铁;,低楼层/6层,2020-02-21,,整租,需咨询,3000,0,需咨询,7号线-罗南新村-385m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/59dff902-5256-4fd4-865d-e2ecf8151e01.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b74b254a-6f83-4a4c-b4d5-988c2db71f0b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f86cc65b-2557-4e4e-a0c7-21de95c0728f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ef61e547-7981-449e-af15-c0c120be90ba.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/pc1_D51P8a3l1_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/58d7ef87-31b7-4462-8b6a-f889da74c245.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/656cfe82-5ac4-4032-aa63-37915e1d1233.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/51552d89-d56f-4e23-92d1-bab1c43b759a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0ef21039-89b1-4769-bea8-06ce12358cdd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4691e431-ef91-47b5-9ff3-0b533fcc7f07.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_3c38caf1-c261-4f76-86d3-a3ec68efb8bb.png.780x439.jpg;,
SH2401285750495641600,整租·佳境苑 3室1厅 南,https://image1.ljcdn.com/310000-inspection/73ef56b9-b465-4672-b75e-5c5538f0daa0.jpg.250x182.jpg,宝山,罗店,佳境苑,0,,,2600,随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
