hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2383828985835421696,整租·金地艺境(商业类) 1室1厅 北,https://image1.ljcdn.com/310000-inspection/85ffb02a-0596-40a0-9a56-28a55cfafc76.jpg.250x182.jpg,宝山,上大,金地艺境(商业类),48,1室1厅1卫,北,1900,随时看房;,中楼层/5层,2020-02-25,,整租,需咨询,1900,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,True,商水,False,https://image1.ljcdn.com/310000-inspection/85ffb02a-0596-40a0-9a56-28a55cfafc76.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2974809b-2c30-4df4-89ca-fdd482d95316.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/bbd88033-14c7-4cd0-abd5-aed99e5eeece.png.780x439.jpg;,
SH2412259087766536192,整租·葑润华庭 1室1厅 南/北,https://image1.ljcdn.com/310000-inspection/pc1_ZMDLtZSma_1.jpg.250x182.jpg,宝山,上大,葑润华庭,45,1室1厅1卫,南/北,3400,近地铁;随时看房;,高楼层/6层,2020-02-24,,整租,需咨询,3400,0,需咨询,7号线-上海大学-1106m;7号线-上海大学-1106m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/pc1_ZMDLtZSma_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6c3cf56c-3592-450c-a37f-ab78b7948688.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c78a1092-c664-4f54-805d-ced5033a03b5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/11810867-5ea3-47f7-b911-bbfb14162a20.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/307ce152-f542-4b4f-9fdc-9e5aa0a0f859.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_020e2deb-408f-48d8-8e78-e946ba4cc7da.png.780x439.jpg;,【户型介绍】户型介绍：小区为2008年动迁小区，双轨交通，小区有两种一室户。现在您浏览的这套房子为双南户型1室户，即卧室朝南，客厅阳台朝南。业主装修很用心，材料用的都是好的，保养好，可以拎包入住【交通出行】200米有7号线祁华路站，400米有15号线锦秋路站（在建）。还有公交车767终点站（祁华路葑润华庭），直达虹口区株洲路广中路站，位于虹口足球场商圈。【周边配套】：400米有大华朗香嘉年华，300米大场公园、800米沃尔玛、1000米聚丰园路商圈以及上海大学宝山校区。300米左右到锦秋路，农行、建行，菜场、饮食，五金、生活，一应俱全。
SH2424395387911028736,整租·葑润华庭 1室1厅 南,https://image1.ljcdn.com/310000-inspection/2be3a3c7-1264-4c96-a729-e9f2ba822469.jpg.250x182.jpg,宝山,上大,葑润华庭,46,1室1厅1卫,南,3500,近地铁;随时看房;,中楼层/6层,2020-02-19,,整租,需咨询,3500,0,需咨询,7号线-上海大学-1106m;7号线-上海大学-1106m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/74282cb3-f503-45ad-8a1d-e561039b8efb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2be3a3c7-1264-4c96-a729-e9f2ba822469.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4d77d40f-e90a-480b-99f4-bedd5fb658f7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/097bc9e7-3f2b-452a-a30a-356d30966b00.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d5bbf654-f6d6-4091-9f8d-39ed702160c1.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/c79b8b7f-949f-453a-99d5-006f3ad1b520.png.780x439.jpg;,
SH2418134618026295296,整租·祁连二村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/375cd583-24f0-41ab-9595-5ab77c782198.jpg.250x182.jpg,宝山,上大,祁连二村,0,,,2700,近地铁;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2437436614335799296,整租·绿地领海(商业类) 1室1厅 复式 南/北,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,宝山,上大,绿地领海(商业类),60,1室1厅1卫,南/北,2900,随时看房;,低楼层/18层,2020-02-20,,整租,需咨询,2900,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,True,商水,False,,
SH2430203349845409792,整租·金地艺境(商业类) 2室1厅 西,https://image1.ljcdn.com/310000-inspection/21c3ac5d-585e-44be-a951-b8f50631f784.jpg.250x182.jpg,宝山,上大,金地艺境(商业类),45,2室1厅1卫,西,3500,随时看房;,高楼层/3层,2020-02-23,,整租,需咨询,3500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,False,商水,False,https://image1.ljcdn.com/310000-inspection/7e4e6225-47e1-494d-bff6-c40c62d02331.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3c1934cf-ed71-4b88-beff-11ad835088ca.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/21c3ac5d-585e-44be-a951-b8f50631f784.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f8fa84ee-8e30-4e11-bcfa-61ccfe987336.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a6a401ef-0851-481d-8743-ae1114ce1127.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/58ae0c48-1a05-4ba1-b187-d9584f37cb4c.jpg.780x439.jpg;,
SH2416458366512529408,整租·金地艺境(宝山) 2室2厅 跃层 东南/南,https://image1.ljcdn.com/310000-inspection/8a0a44bd-c7b0-4b1a-b919-d69bbeec92a2.jpg.250x182.jpg,宝山,上大,金地艺境(宝山),45,2室2厅1卫,东南/南,3500,精装;,中楼层/5层,2020-02-24,精装修,整租,季付,3500,0,需咨询,,False,True,True,True,True,False,True,False,True,False,租用车位,商电,自采暖,2年以内,需提前预约,随时入住,False,商水,False,https://image1.ljcdn.com/310000-inspection/25f2df29-9e2b-4907-aad3-421ae566f084.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/29d2cbc1-7b63-4d55-8d37-946aa70c4e13.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8a0a44bd-c7b0-4b1a-b919-d69bbeec92a2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1c20e7b7-5460-4b9c-9a6d-7b4df0ce9a6a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/62279a6c-7652-41d2-87ce-757284f3e613.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/12a1666d-6723-4e13-8df1-128c72e9cf6b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/baa8afcb-07c2-4628-ae2e-14f260803fec.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/291915d8-ee5c-4805-bbfd-2d37a79ae2c6.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/00cdc0c0-9413-4bde-aaf3-3739b377df81.png.780x439.jpg;,【户型介绍】金地公寓三楼出租，两室两厅一厨一卫，一房朝南。一房朝北，两卧室间隔了个楼梯，无门。【周边配套】金地艺境小区配套设施齐全，有商场，医院，等机构。小区南门有罗森，全家，百果园等小型商家，东门有城市实验幼儿园，从南门往前走过个马路就是宝山19，宝山25，821，185路起点站。再往南边有领海超市，唯品仓等大型商家。【小区介绍】金地艺境位于外环外的宝山工业园区，项目北侧沿锦秋路，东侧沿真陈路，南临市台路，由上市房企金地集团重金打造，旨在北上海打造一个高品质，具有美式风情的精品项目。
SH2403542116950081536,整租·祁连三村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/13007419-d76c-4ed9-82ab-9f5f1590d114.jpg.250x182.jpg,宝山,上大,祁连三村,55,1室1厅1卫,南,3500,随时看房;,高楼层/6层,2020-02-23,,整租,需咨询,3500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/13007419-d76c-4ed9-82ab-9f5f1590d114.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/317068d2-92f9-490f-b128-fc4d73f296d0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5c0a6571-aed9-44eb-a347-75e9bed9d4cf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ab9e333a-b73a-423c-81b7-080c1e62dd89.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a59465cc-ae90-403f-ab51-c49ecc123480.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/cd37d6f7-7810-448d-aa57-b2136b40044c.png.780x439.jpg;,
SH2407142706003582976,整租·祁连二村 2室1厅 南,https://image1.ljcdn.com/310000-inspection/4fa76354-f717-4cc1-87bb-7a512d085241.jpg.250x182.jpg,宝山,上大,祁连二村,77,2室1厅1卫,南,3400,随时看房;,高楼层/6层,2020-02-12,,整租,季付,3400,0,需咨询,7号线-祁华路-853m;7号线-祁华路-853m;,False,False,False,False,False,False,True,False,True,False,租用车位,民电,暂无数据,2年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/6c9d1e75-9163-4a4a-ad92-7b212f50c366.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ff4861f0-333d-4a24-b404-4d5388d75079.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4fa76354-f717-4cc1-87bb-7a512d085241.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/101029e4-9f4e-4eeb-9236-c393a7859666.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a5235d45-9264-4487-9ccd-ceaa2214a356.jpg.780x439.jpg;,【户型介绍】双朝南户型，两个房间面积均大于10平，客厅朝北【装修描述】毛坯的基础上简单装修，基础家具家电配置的有，额外的需要自己配置【周边配套】祁连板块，出门聚丰园路生活娱乐，沃尔玛/KFC/连锁餐饮店/餐饮一条街
SH2436756575596593152,整租·锦龙苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/3c764a6c-596d-4d43-aa28-053164731adf.jpg.250x182.jpg,宝山,上大,锦龙苑,48,1室1厅1卫,南,3200,,高楼层/6层,2020-02-24,,整租,需咨询,3200,0,需咨询,7号线-祁华路-1176m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/3c764a6c-596d-4d43-aa28-053164731adf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dc3e8230-b061-4dd9-93f6-7f7b5a5abbb6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e0e2e1df-e8a7-4599-8a09-210d38722401.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bd609c96-9285-4391-9e06-bcfb2100c07b.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/031d8fdc-a4a2-4e74-b336-594e351b9291.png.780x439.jpg;,
