hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2461574155686903808,整租·宝钢二村 1室0厅 南,https://image1.ljcdn.com/lease-image/house/11cfecdd-4871-48d2-b049-6fdacd150857.jpg.250x182.jpg,宝山,淞宝,宝钢二村,35,1室0厅1卫,南,2900,新上;近地铁;随时看房;,中楼层/6层,2020-02-21,,整租,季付,2900,0,1450,3号线-友谊路-785m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/11cfecdd-4871-48d2-b049-6fdacd150857.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8edc586c-0c41-4a39-a912-08640c048b5d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2879f345-1885-4d11-829d-ea4b55905374.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f3ff68b0-b037-410f-bc72-06c945aed743.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3085cc4d-1f00-49b0-96ec-b66b72bbe783.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9edd43d4-7d45-450c-91e9-39de030f9b05.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/98a0b651-4444-4933-be47-640ed99d046c.png.780x439.jpg;,【装修描述】房子中等装修，家电家具齐全，可拎包入住。中等楼层，位于小区中间位置，安静舒适，可长租。【交通出行】北门左转800是3号线友谊路地铁站，右转150是952B等公交站，【周边配套】北门出口50米是宝山中西医结合医院，右转100米是农业银行，东门左转是宝钢菜市场，南门走400米有宝乐汇大型购物广场。
SH2454287982879055872,整租·宝山九村 2室1厅 南/北,https://image1.ljcdn.com/lease-image/house/9e101522-bb14-4f18-a90c-29e5253fc024.jpg.250x182.jpg,宝山,淞宝,宝山九村,87,2室1厅1卫,南/北,5000,精装;随时看房;,中楼层/6层,2020-02-23,精装修,整租,季付,5000,0,2500,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/f5cff5dd-14a8-46a4-8a94-6b88a49130e0.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e7a8903c-77cd-4012-8fd9-2fdfc5514faa.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/020d6988-2fd6-4293-8268-75f281cff7f1.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b308368d-5cf8-4401-8049-551a1960b936.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3cb49a7a-c17b-42a9-9fcb-93b9bcc4a73c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9e101522-bb14-4f18-a90c-29e5253fc024.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/968af247-b9ec-4f85-a808-684480153d29.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f68d4bdc-8a21-43af-a1b8-e893f5cac8fa.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/982deff0-9bae-457d-a212-31e35886ef0a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3e776aca-310f-4a62-a17b-a62f22bef7e9.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9e367720-6481-44dc-8343-4e16a8e22988.jpg.780x439.jpg;,【房源亮点】旁边上学陪读的首要选择，随时方便看房，随时入住。还可以短租哦~~~【户型介绍】精装修两房两厅，南北通透户型，四楼中间层，视野开阔无遮挡，采光好~~~【交通出行】门口公交有952路、宝山10路、宝山2路可以直达 交通便利，旁边还有佳客多生活超市供您美满生活~~~
SH2463035715223822336,整租·海滨四村 2室0厅 南/北,https://image1.ljcdn.com/110000-inspection/389167cf99effd1da889180dfeaa1290.jpg.250x182.jpg,宝山,淞宝,海滨四村,0,,,3300,新上;近地铁;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2412909978105937920,整租·西朱新村 2室1厅 南,https://image1.ljcdn.com/310000-inspection/5b21e871-3753-4291-b867-c93b1ef6964a.jpg.250x182.jpg,宝山,淞宝,西朱新村,58,2室1厅1卫,南,3200,近地铁;,低楼层/6层,2020-02-17,,整租,需咨询,3200,0,需咨询,3号线-水产路-763m;3号线-水产路-763m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/757d94de-682b-461d-b482-02233930f4ef.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5b21e871-3753-4291-b867-c93b1ef6964a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1bd88a86-e8c8-4088-a4ba-bf115fd22c1d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8c4e8e2a-0252-4889-ab6f-6ffff125deda.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/072d95f5-ba27-45c3-9556-4d892361c595.jpg.780x439.jpg;,
SH2450020313086566400,整租·永清二村 1室1厅 南,https://image1.ljcdn.com/110000-inspection/d7297468e3347bd405a0e29104c9e2f1.jpg.250x182.jpg,宝山,淞宝,永清二村,42,1室1厅1卫,南,2500,近地铁;随时看房;,高楼层/6层,2020-02-25,,整租,需咨询,2500,0,需咨询,3号线-水产路-859m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/9addfac6030404f187761b09a8186871.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d7297468e3347bd405a0e29104c9e2f1.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/4052cbf2a380bd8b45bbed516daf12f6.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/0c73ab3a7bf458b56827848d11c92636.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/84c89f94994c30c588481509d39ffac5.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/1e29d7cb-8676-4b20-8e16-1a658ccf3dd3.png.780x439.jpg;,
SH2249271499305525248,整租·宝林八村 2室1厅 南,https://image1.ljcdn.com/310000-inspection/d0808848-ea1e-4da6-8a53-35f876ac8db8.jpg.250x182.jpg,宝山,淞宝,宝林八村,65,2室1厅1卫,南,3500,,低楼层/6层,2020-02-07,,整租,需咨询,3500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/d0808848-ea1e-4da6-8a53-35f876ac8db8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/476608a9-2f21-4c11-8877-064c13a79fe8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f3c71ed3-617c-4d61-9915-e8aed433c9ae.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e86f0ee2-8981-4c84-a181-5976b1df7273.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ae393ebd-4f04-4036-b805-331c9a97f055.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/27122a8f-4e44-4173-88c1-ae50fc2d977e.jpg.780x439.jpg;,
SH2420098366009778176,整租·宝林一村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/0a719904-c638-43d7-923d-b7e999e72bb0.jpg.250x182.jpg,宝山,淞宝,宝林一村,60,1室1厅1卫,南,3500,近地铁;,中楼层/18层,2020-02-21,,整租,需咨询,3500,0,需咨询,3号线-友谊路-1113m;3号线-友谊路-1113m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/0a719904-c638-43d7-923d-b7e999e72bb0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/91511b2e-7125-4d11-853a-ab6b1a47dcfc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/835b7fee-0cbe-4bf9-b03e-22747c649b72.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/82ec4230-ca0b-44fc-ae7f-5c3efcf41ef7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3ad5f8cd-7f88-4b01-851f-8d5612776efa.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/aa652d9d-e765-43fc-abfb-2981174d2bc5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/230c5412-fc3f-4dad-af1f-159462899df0.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/test-3ab1320c-48b2-4c9f-92b9-3c96611956ac.png.780x439.jpg;,
SH2399021108067041280,整租·海江二村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/pc1_WhcbDi2YZ.jpg.250x182.jpg,宝山,淞宝,海江二村,42,1室1厅1卫,南,2800,随时看房;,高楼层/6层,2020-02-22,,整租,需咨询,2800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/pc1_WhcbDi2YZ.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cfdf9474-ae9c-40ad-8d9b-9cd0d314d775.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/00a66676-875c-4b0c-bccd-2e393f7a75e5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f7f1f003-3914-42fa-a13b-49f2b2b71e7a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bd63cf99-d7d6-4f20-bef6-8ce4b9745479.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2f47c670-fa46-4745-85cd-0f86cc584652.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0de29025-8c39-4e80-8cf7-9b2484663eb3.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_1c28fd7a-b143-4618-b81f-9d598006a4dc.png.780x439.jpg;,
SH2435349354115244032,整租·宝山二村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/a47d8de2-3681-434d-8a6e-c319eb2fcd86.jpg.250x182.jpg,宝山,淞宝,宝山二村,42,1室1厅1卫,南,3000,随时看房;,低楼层/6层,2020-02-20,,整租,需咨询,3000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/69db0309-b014-4ce3-b14a-67087b905b5a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/aaf3ccee-b12b-48f0-8b79-697b070cf0b6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a47d8de2-3681-434d-8a6e-c319eb2fcd86.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/197c0550-fd54-4a57-8a39-9f5b289c7b2d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f1178cfe-ec3c-4a84-86b3-4a5818b44f5b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8f409502-4b5e-4a7f-a131-398254fcd7e3.jpg.780x439.jpg;,
SH2431651178455769088,整租·宝林六村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/9e077e2f-1628-40a5-99ef-c5941e15799d.jpg.250x182.jpg,宝山,淞宝,宝林六村,40,1室1厅1卫,南,2900,随时看房;,中楼层/6层,2020-02-23,,整租,需咨询,2900,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/9e077e2f-1628-40a5-99ef-c5941e15799d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/be0145fb-05ee-4aba-b21e-424f21abc1d0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3e46a7a1-2d70-436e-ba46-75a7c6d43a8a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f7d74803-3f6f-4dd2-acdd-8d4cc2770a8b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/38eb5004-3287-4100-98e9-cf54e557e52e.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/7c3a0426-c4fb-49e0-aa68-93ea35d7c1b2.png.780x439.jpg;,
