hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2428794028536635392,整租·万业紫辰苑 2室2厅 南,https://image1.ljcdn.com/310000-inspection/457be115-fd95-4acf-8476-968a36d97c3b.jpg.250x182.jpg,宝山,杨行,万业紫辰苑,86,2室2厅1卫,南,3100,随时看房;,中楼层/31层,2020-02-21,,整租,需咨询,3100,0,需咨询,1号线-富锦路-934m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/5eeeb121-6323-40c3-93ce-51fb7826aeff.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a1c61b9b-d6bc-417a-8a2d-a50f230e0892.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/457be115-fd95-4acf-8476-968a36d97c3b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/99eef5fc-2041-429f-97de-e54d4d5f5bd1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8b4bae77-0b4f-4671-81ac-11726ac94ab2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e95070e5-ecd2-4292-a363-eb7af1f4660a.jpg.780x439.jpg;,
SH2446445842258214912,整租·宝虹水岸景苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/pc1_mc93tnbsd_1.jpg.250x182.jpg,宝山,杨行,宝虹水岸景苑,57,1室1厅1卫,南,3300,近地铁;随时看房;,中楼层/18层,2020-02-15,,整租,需咨询,3300,0,需咨询,1号线-宝安公路-601m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/d8979736-c8f4-4a02-a781-38f9da0b4592.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6f56f53b-202f-411d-b9c1-15685bb77784.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/pc1_mc93tnbsd_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7fae7761-4572-4f8e-9aad-ab6a73d7b63f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4a037b0c-01a7-468d-b67d-ef4bfbc8e67b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/14c2c754-32e9-48be-9889-c689a252e8d8.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_f7ccf3ea-acd9-4f39-b18e-c5f4af0614d7.png.780x439.jpg;,
SH2366587880568266752,整租·万业紫辰苑 2室2厅 南,https://image1.ljcdn.com/310000-inspection/1cb8ae11-d389-4c11-804c-e356dffe5080.jpg.250x182.jpg,宝山,杨行,万业紫辰苑,86,2室2厅1卫,南,3200,,高楼层/31层,2020-02-10,,整租,季付,3200,0,需咨询,1号线-富锦路-934m;,False,False,False,False,True,False,False,False,False,False,租用车位,民电,暂无数据,3年以内,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/c08edae8-d750-47f3-9b7e-f66784b064d6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7421d452-009f-4a2c-ad9b-72df21afb9b9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8a02ad75-8e2a-4d7f-9844-7bb2b2160571.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1cb8ae11-d389-4c11-804c-e356dffe5080.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fcdad5f4-c981-446a-aaca-6e6a00d5ff32.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4eff9ce1-71f8-47a8-bd80-8859c11799d1.jpg.780x439.jpg;,【户型介绍】此房两室两厅，两个卧室都是朝南的，客厅前方无遮挡，光线较好，厨房朝北带明窗。【装修描述】开发商毛坯交付，水电燃都是开通的，随时可以拎包入住，适合一家人或者同事居住。【交通出行】近地铁1号线富锦路地铁站和地铁三号线江杨北路地铁站，出行比较方便【出租原因】房东这个房子是闲置的，目前再租，可以长租的，随时可以入住的，房东没什么特殊要求。【周边配套】医院；杨行卫生院，中冶医院，第九人民医院华山北院，商场；亿博广场，北上海生活广场，正对白沙公园。【小区介绍】本小区双轨交通1号线富锦路地铁站和3号线江杨北路地铁站，从小区门口走到富锦路地铁站20左右
SH2460800665773932544,整租·和家欣苑B区 1室1厅 南,https://image1.ljcdn.com/110000-inspection/84f65ed69934fed41d8a94b826e0e591.jpg.250x182.jpg,宝山,杨行,和家欣苑B区,60,1室1厅1卫,南,3500,新上;,高楼层/18层,2020-02-24,,整租,季付,3500,0,需咨询,1号线-友谊西路-1144m;1号线-友谊西路-1144m;1号线-友谊西路-1144m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,2年以内,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/110000-inspection/84f65ed69934fed41d8a94b826e0e591.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/dcdd792e7e0554d37656d6dff4c641bf.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/48e509361102e18872a014b9ef9370c0.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ea5ec6a669910b828f0399cc1e7a9975.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/cab76972419642caf77b18e873362b2d.jpg.780x439.jpg;,【户型介绍】简装一室户 可拎包入住  南北通 采光通风不受影响 电梯房【交通出行】小区出门就是公交站很是方便 步行就能到地铁  平时门口也不过大车人流量很大【周边配套】小区出门左转200米是菜市场 门口有商场 底商 有绿化公园
SH2436717227698307072,整租·宏宝公寓 1室1厅 南,https://image1.ljcdn.com/310000-inspection/e06c7599-3f17-4950-a769-902e20c9642b.jpg.250x182.jpg,宝山,杨行,宏宝公寓,42,1室1厅1卫,南,3500,近地铁;,高楼层/6层,2020-02-23,,整租,需咨询,3500,0,需咨询,1号线-友谊西路-1108m;1号线-友谊西路-1108m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,2020-03-01,False,民水,False,https://image1.ljcdn.com/310000-inspection/e06c7599-3f17-4950-a769-902e20c9642b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2cd1c9e7-253d-4082-8cbd-d64bac7a6c8e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3abc1c9b-1ba4-43a7-987f-37d3f03cd477.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/371288c1-345e-43d9-95de-b0be5069faf5.jpg.780x439.jpg;,
SH2402886222654742528,整租·海尚明城 1室2厅 南,https://image1.ljcdn.com/310000-inspection/d98f1585-dd33-44c5-87eb-8e1ba62114cd.jpg.250x182.jpg,宝山,杨行,海尚明城,60,1室2厅1卫,南,3500,精装;随时看房;,中楼层/11层,2020-02-25,精装修,整租,季付,3500,0,需咨询,,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,暂无数据,2年以内,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/3cbd3f49-15b2-402b-b726-c51208b8e14f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bf6f0620-41bb-4625-a24e-04e10cca6227.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d98f1585-dd33-44c5-87eb-8e1ba62114cd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0ac1f1b1-c42d-4389-8e46-81a52fe6943a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f28f757d-6946-4afa-aabc-b62812db4deb.jpg.780x439.jpg;,【交通出行】小区北门有宝山绿色出行公共自行车，骑车可达1号线友谊西路站，3号线友谊路站。小区出门200米就是公交站台，公交21路可达1号线杨北和宝山寺及吴淞客运站，宝山7路可达1号线泰和路蕰川路站及宝乐汇生活购物广场，1609路可达3号线江杨北路绥化【周边配套】小区近白沙公园，门口就有一个健身房，菜市场，万家惠超市，永辉超市，银行一应俱全，小区配套有幼儿园。【小区介绍】该小区分为二期：东区2008年竣工，西区2009年竣工，开发商为上海三林集团，目前该小区物业为中远物业管理发展有限公司，物业费1.5元/平，占地面积16.5万平，建筑面积25万平，小区地上停车位456个，地下车位600个，小区总计楼栋49
SH2436781237054996480,整租·杨泰二村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/092975fe-3d6b-481a-b39c-af3c1348236f.jpg.250x182.jpg,宝山,杨行,杨泰二村,45,1室1厅1卫,南,3500,随时看房;,高楼层/6层,2020-02-25,,整租,需咨询,3500,0,需咨询,1号线-宝安公路-1161m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/092975fe-3d6b-481a-b39c-af3c1348236f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cf04c823-aac9-4a09-a43b-f4015aeb5263.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5f1d7473-2c21-4358-9e91-e6ac7bffad87.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/80953948-6edb-4134-89c9-e06e9bcdc85e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e6f38b94-1b6a-458d-a6cc-cb2e1f80ef20.jpg.780x439.jpg;,
SH2458622144251707392,整租·荣域飘鹰锦和花园(公寓) 1室1厅 南,https://image1.ljcdn.com/110000-inspection/c7eaabb7-2c89-4b55-aaf5-f3641d8475d5.jpg.250x182.jpg,宝山,杨行,荣域飘鹰锦和花园(公寓),64,1室1厅1卫,南,4400,近地铁;精装;,中楼层/14层,2020-02-23,精装修,整租,季付,4400,0,需咨询,1号线-宝安公路-240m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,2年以内,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/110000-inspection/c54f9a5f-ee45-41cf-8f42-478b4c56d885.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/6e944e11-54bd-4938-9579-96f0e4b2770e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/744630f4-180b-4ffa-8e0c-d103f1d3512d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/95015e10-d2ec-4a8b-a255-69194c8ec041.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/6e9591f6-9b46-4537-8d6e-701881a4d69f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c7eaabb7-2c89-4b55-aaf5-f3641d8475d5.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/4cac5258-eff2-4054-870e-85972e8dcf61.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/dec650aa-4ad8-4304-952a-082ccf34051c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2bf07a56-e186-4868-841d-480f253734aa.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/dc20a8be-0806-44d9-8c3f-aa96d00d6a34.png.780x439.jpg;,【装修描述】精装一房  家具家电齐全 随时拎包入住 婚房装修 请居住者要干净要爱惜【周边配套】小区出门是公交站 小区出门右转500米是菜市场  小区出来15内可到地铁口【小区介绍】飘鹰锦和花园小区是11年的房子楼龄新  电梯房 小区小相对安静 绿化也挺高  小区人车分流有直达的地下车库
SH2461508149748965376,整租·大黄馨园 1室1厅 南/北,https://image1.ljcdn.com/110000-inspection/8e3940e2ac7ad82afd76f6f7eab292d1.jpg.250x182.jpg,宝山,杨行,大黄馨园,58,1室1厅1卫,南/北,3900,新上;,高楼层/11层,2020-02-22,,整租,需咨询,3900,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,2020-02-29,True,民水,False,https://image1.ljcdn.com/110000-inspection/8e3940e2ac7ad82afd76f6f7eab292d1.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/99ba527b185fb016ac267e94690f9fbf.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/1ae3e5b5732721dea0e8169a3e325e3c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f2b099c50f7f109dda6638c37a9da57a.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-18499898-8629-46d3-a0dc-08d0645a3a83.png.780x439.jpg;,
SH2417197375866011648,整租·远洋香奈 2室2厅 南,https://image1.ljcdn.com/310000-inspection/4768e6e5-88ff-4e2b-89db-951af84857c3.jpg.250x182.jpg,宝山,杨行,远洋香奈,81,2室2厅1卫,南,3700,近地铁;,低楼层/18层,2020-02-25,,整租,需咨询,3700,0,需咨询,1号线-富锦路-614m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/cc6dd3fa-a795-4e53-b58c-0175d711e72e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bfb796b8-aef2-4ae9-b9a3-f08d14931f8f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4768e6e5-88ff-4e2b-89db-951af84857c3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3d9e1b97-1511-4d96-a96c-fbceade8bd15.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7615186b-91c8-4f45-9035-5b5510806537.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6cfb4070-25ae-4e24-a7c0-2b5bd1b9eefc.jpg.780x439.jpg;,
