hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2418041188771962880,整租·万顺路2475弄 2室1厅 南/北,https://image1.ljcdn.com/310000-inspection/dccb2290-c923-4313-8b47-b3d5f2064c85.jpg.250x182.jpg,奉贤,奉贤金汇,万顺路2475弄,92,2室1厅1卫,南/北,1500,,中楼层/18层,2020-01-16,,整租,需咨询,1500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/7cdd44b6-d7ae-4a90-aad0-973f7056b6c3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2d89aef1-4adb-4bf2-b22a-170624a9d979.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dccb2290-c923-4313-8b47-b3d5f2064c85.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/82ade654-0378-4291-9034-f42acf020bd6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/395caf39-a5a2-424b-b413-ecc172dce226.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9dc0cced-321f-4384-a27c-b4d569075be7.jpg.780x439.jpg;,
SH2405806731192958976,整租·天和尚上海 2室2厅 南,https://image1.ljcdn.com/310000-inspection/aaf16558-ddba-4a94-b16c-02096f0d36fb.jpg.250x182.jpg,奉贤,奉贤金汇,天和尚上海,0,,,1400,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2408748540026699776,整租·天和前滩时代 3室2厅 南/北,https://image1.ljcdn.com/310000-inspection/e95c2784-ed9e-47ef-bc84-758d0c6c2e50.jpg.250x182.jpg,奉贤,奉贤金汇,天和前滩时代,85,3室2厅1卫,南/北,1500,,低楼层/18层,2020-01-13,,整租,需咨询,1500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/fbae363c-9391-4144-9ce5-f7886dd661cb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e95c2784-ed9e-47ef-bc84-758d0c6c2e50.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/90ef5ae2-1547-4c65-93e4-5c610b138992.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/30db2bf2-d7c4-42c5-ad05-88e29e10518d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c1e1fcc6-6ff0-4be1-874d-bfb7e635271e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/82f7c3ea-e62b-412f-9bf9-3f30adac7ad7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c3366d0d-0266-4fef-8f4b-be15bc76675b.jpg.780x439.jpg;,
SH2198515246502002688,整租·东原郦湾 3室2厅 南/北,https://image1.ljcdn.com/310000-inspection/87d52f39-c91c-42fe-9d19-7799c30b3d44.jpg.250x182.jpg,奉贤,奉贤金汇,东原郦湾,108,3室2厅2卫,南/北,1400,双卫生间;,高楼层/18层,2020-02-17,,整租,需咨询,1400,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/87d52f39-c91c-42fe-9d19-7799c30b3d44.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f4404288-60b7-4a30-ab44-ba4e9de5631b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ddaba4e5-e366-4aff-b46c-00c95ba9334b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f7bd502a-0ef8-436f-9e95-c55bf86bf5cf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b87f5e35-504a-464c-932c-f14594146e84.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ae6be4d7-de87-4672-8f03-b79cf8282444.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2d7ed7c6-dd71-4225-9962-985e31f65996.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/22eb43c5-6bc4-405d-ba66-46cba85a5447.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/df37ec6c-f7ff-4517-a117-cef00636942b.png.780x439.jpg;,【房源亮点】毛坯房，3房空间大，没有装修，前方视野开阔，无遮挡，阳光充足，【周边配套】小区出门就是餐饮、购物广场，医院和菜市场都在两公里以内。小区自带超市，广场，银行，公园【小区介绍】东原郦湾位于上海市奉贤奉贤金汇，由上海长川房地产开发有限公司建成，总建筑面积75425，总占地面积47140，共计房屋741户，小区物业公司为重庆东原物业管理公司
SH2405814553377521664,整租·清雅苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/d12f1c07-fa5b-4116-941d-818daf19a048.jpg.250x182.jpg,奉贤,奉贤金汇,清雅苑,0,,,1800,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2350504722676858880,整租·禹洲雍贤府 3室2厅 南/北,https://image1.ljcdn.com/310000-inspection/4bebf3bc-620b-4811-85f4-8783ed4ade4f.jpg.250x182.jpg,奉贤,奉贤金汇,禹洲雍贤府,88,3室2厅2卫,南/北,1900,双卫生间;,中楼层/5层,2020-01-18,,整租,需咨询,1900,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/67192872-57c3-472f-b729-1b231a6e165e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a190da9c-ec1e-408c-b75d-dfac1bff9cb2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ad45c7f6-12c3-46cd-a211-09733b787abb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4bebf3bc-620b-4811-85f4-8783ed4ade4f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6fa5596b-1310-445f-bac5-0eb8a0142b8d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/46448c7d-b64d-4f26-87f6-623ca41ce113.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a3054441-aec8-41e9-a7d8-2de8d6a2a681.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e7f1e759-25fc-46d1-8200-9d9ae1cc7a8b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9bd3fc3f-10d1-4617-9626-adb74930a2e6.jpg.780x439.jpg;,【户型介绍】毛坯新房出租，根据需要可以配置家具，新小区，不收停车费。。。【交通出行】小区门口500米有快速公交ERT站台，距离8号线汇臻路7公里，距离5号线金海湖站6公里【周边配套】距离大型农贸市场400米，如海超市300米五公里内有百联超市，宝龙城市广场，易买得，大润发
SH2396387824535879680,整租·金碧汇虹苑 3室1厅 南/北,https://image1.ljcdn.com/310000-inspection/0f40dcde-86e1-4cfb-9857-fb74890e3ba7.jpg.250x182.jpg,奉贤,奉贤金汇,金碧汇虹苑,97,3室1厅1卫,南/北,1600,,高楼层/6层,2020-01-21,,整租,需咨询,1600,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/0f40dcde-86e1-4cfb-9857-fb74890e3ba7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a629a2bc-e233-4318-a7fb-3759ae9f39e4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/52bceba2-ed64-4721-a275-b81404fdc69c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bd24985d-8c14-4f32-b2f2-772ef5e3f83c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/397f6b7e-c9ef-4ebe-a339-5f25f0ef0954.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6aec8128-ba73-4e6c-a282-30ca1e903c53.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-c1d21a76-440b-4133-a5eb-8dfc926cdf90.png.780x439.jpg;,
SH2388921101578682368,整租·禹洲雍贤府 3室2厅 南,https://image1.ljcdn.com/310000-inspection/08d802c0-6c5d-44d9-9f79-5056685e1fe6.jpg.250x182.jpg,奉贤,奉贤金汇,禹洲雍贤府,89,3室2厅2卫,南,2000,双卫生间;,低楼层/5层,2019-12-20,,整租,需咨询,2000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/5d4c1416-1197-4a25-8fe7-5d12ea5b055b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1e6d4405-0dfb-410b-a2d4-b49883945241.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6c4e89a3-9f24-4747-994f-6f628423cf1f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/08d802c0-6c5d-44d9-9f79-5056685e1fe6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e1d90a8a-e61b-499c-83bd-2ca0374472e7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/238d9bbb-04be-4135-ae53-f300db0ca144.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3c67970a-612a-4b66-ad28-3eea60a5b6d9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/034b4688-9af0-436a-9296-8f781c3ad142.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f92c6a8d-7112-49d0-8b34-0db021ed6eb0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9d1ec221-4af2-4c74-92cb-90859c5f8945.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e64b54fa-3fcb-4bd3-8315-5e087b940175.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dae1700d-3200-4bb9-bf1b-25a82e879096.jpg.780x439.jpg;,
SH2414219078023004160,整租·朗诗未来街区 2室2厅 南,https://image1.ljcdn.com/310000-inspection/92c7df81-9148-4d49-b70f-2ba1ab25d5ea.jpg.250x182.jpg,奉贤,奉贤金汇,朗诗未来街区,68,2室2厅1卫,南,1600,,中楼层/5层,2020-01-12,,整租,需咨询,1600,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/06e8f46a-c297-43b6-b9b7-be501e185abd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/909fe310-e970-456d-b24d-c5ef15d22e28.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/92c7df81-9148-4d49-b70f-2ba1ab25d5ea.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/46199019-4577-4115-8ff0-094c39244db2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bdb59221-a4c3-477f-9e12-71b8e7eb4be3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3df2493e-b4d5-4eee-bb08-20c7bdb2965c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/07eba470-ec67-43a6-b699-34cc27e46e00.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bf502153-fe7d-42f6-b3e8-ef1a5b2e468d.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-3126db49-e126-43d1-8ef5-335a168cdddf.png.780x439.jpg;,
SH2388941612958097408,整租·禹洲雍贤府 3室1厅 南,https://image1.ljcdn.com/310000-inspection/5959e3af-1d2e-4644-8888-fee2fb6a9234.jpg.250x182.jpg,奉贤,奉贤金汇,禹洲雍贤府,90,3室1厅2卫,南,1800,双卫生间;,中楼层/9层,2020-02-18,,整租,需咨询,1800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/cba8ebc7-3a32-4cef-8bc7-afb6b4091c29.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2cc0dba6-774a-469c-bfa6-3890db3fd945.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/df9c925b-c3d9-45bc-b789-ca2eba58e08c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5959e3af-1d2e-4644-8888-fee2fb6a9234.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4d5a20c8-8e50-42e4-baa8-69ae3d9c1a13.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/11c05c04-06fb-4901-ad63-f6e5f9dffb23.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d31bb176-cf36-47bc-914c-3fe3498c4b2f.jpg.780x439.jpg;,
