hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2375811085245612032,整租·东汉阳路440号 1室1厅 南,https://image1.ljcdn.com/310000-inspection/6cc43afb-0eaa-4c70-92b6-9db31164ee84.jpg.250x182.jpg,虹口,北外滩,东汉阳路440号,38,1室1厅1卫,南,4300,近地铁;,高楼层/6层,2020-02-17,,整租,需咨询,4300,0,需咨询,4号线-临平路-1125m;4号线-临平路-1125m;4号线-临平路-1125m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/6cc43afb-0eaa-4c70-92b6-9db31164ee84.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1ee38047-8dc1-4893-b0ed-2e7111f74aa1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9f4f5eca-297f-4d1a-8d54-4958a90e282d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/627de007-496d-44fd-88c7-d3bbc96d009a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1945b28e-e0f1-48d6-a2ec-629ba1ffe4d8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dfb7f4d7-8e1f-4654-95ae-11a2d0c7697a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4d45c1cf-1c2d-4035-854b-ab3cfd85e07b.jpg.780x439.jpg;,
SH2335442864689397760,整租·前进小区 1室0厅 南,https://image1.ljcdn.com/310000-inspection/21f85134-d835-452c-8164-a69b50186615.jpg.250x182.jpg,虹口,北外滩,前进小区,35,1室0厅1卫,南,4300,近地铁;随时看房;,高楼层/6层,2020-02-24,,整租,需咨询,4300,0,需咨询,4号线-临平路-1077m;4号线-临平路-1077m;4号线-临平路-1077m;4号线-临平路-1077m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/21f85134-d835-452c-8164-a69b50186615.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4fdeeeed-467f-4975-9370-af2c241fbc63.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/75012ff9-5614-48b8-bf38-e4eff8e57173.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/289ca236-e37b-4ab4-a987-207372250d29.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9745b525-2db8-4af3-a9fd-46ed551b42a0.jpg.780x439.jpg;,【户型介绍】典型的一室户房子，有小阳台，高楼层，朝向为南，屋内采光充足，【装修描述】房子属于简单装修，家具偏木色系，家用电器都齐全，房间采光充足。【小区介绍】小区为北外滩老公房，地处周家嘴路，距离地铁12号线国际客运站步行约800米。
SH2459351371984674816,整租·久耕小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/test-af325862-0db2-4524-b324-c31533560196.png.250x182.jpg,虹口,北外滩,久耕小区,40,1室1厅1卫,南,5500,近地铁;,低楼层/6层,2020-02-21,,整租,需咨询,5500,0,需咨询,12号线-国际客运中心-895m;12号线-国际客运中心-895m;12号线-国际客运中心-895m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/test-af325862-0db2-4524-b324-c31533560196.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-73e368d3-b93d-4f71-b225-1b62d4befe1f.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-6875902c-39ad-4491-a14e-5458757f6ea3.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-ca35a294-c8a2-471f-bcb9-b60c88c311d2.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-a035864b-ee70-4c07-a927-8e3c5286e1c4.png.780x439.jpg;https://image1.ljcdn.com/hdic-frame/test-bf1fdab4-53da-4db0-ba8b-20ff68482767.png.780x439.jpg;,
SH2459212521404637184,整租·久耕小区 1室1厅 南,https://image1.ljcdn.com/110000-inspection/96d4a4c6aff0430513c8927f14aa843f.jpg.250x182.jpg,虹口,北外滩,久耕小区,38,1室1厅1卫,南,5500,近地铁;,高楼层/6层,2020-02-25,,整租,需咨询,5500,0,需咨询,12号线-国际客运中心-895m;12号线-国际客运中心-895m;12号线-国际客运中心-895m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/ae7f1d1994042c64326feed9def7f1e7.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/96d4a4c6aff0430513c8927f14aa843f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/30163c9fcad8abe5add6e4efe570d144.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ef7b15fe3752f489e8d1c93c036b59c8.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2adf97cc788eba3a57c631091a22e1e1.jpg.780x439.jpg;,【房源亮点】近地铁12号线，出行方便。近白玉兰广场，生活方便。近滨江绿地跑道。【装修描述】精装修，拎包入住，家具家电齐全。居家生活，安逸舒适，看房方便。【出租原因】房东已购新房入住，所以寻诚意居家客户来租，希望租客爱惜房子。。
SH2357249547463835648,整租·保民新村 2室0厅 南,https://image1.ljcdn.com/310000-inspection/da7f66c7-1f2b-403e-b5ef-918624c6dd5a.png.250x182.jpg,虹口,北外滩,保民新村,45,2室0厅1卫,南,5000,近地铁;,低楼层/6层,2020-02-09,,整租,需咨询,5000,0,需咨询,12号线-提篮桥-897m;12号线-提篮桥-897m;12号线-提篮桥-897m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/da7f66c7-1f2b-403e-b5ef-918624c6dd5a.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d24794ac-5344-49e0-8e4b-1a669b986097.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f1e98d4d-dd2f-4eda-b842-2f48d3236a64.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d7393b7d-53a0-4c01-a9e0-1562a489ae5b.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9b69a03d-e1b2-4560-9c10-8c5ef7a1976e.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b02bf727-4fde-4b75-a803-80e6ebac51b8.png.780x439.jpg;,
SH2391143667353534464,整租·恒升半岛 1室0厅 南,https://image1.ljcdn.com/310000-inspection/d57da740-ed62-46f4-9eee-70bbb8ebec63.jpg.250x182.jpg,虹口,北外滩,恒升半岛,36,1室0厅1卫,南,4700,近地铁;随时看房;,中楼层/26层,2020-02-21,,整租,需咨询,4700,0,需咨询,12号线-国际客运中心-902m;12号线-国际客运中心-902m;12号线-国际客运中心-902m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/d57da740-ed62-46f4-9eee-70bbb8ebec63.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/df7e0ce2-874d-4e8e-aa38-073c2fbaa39c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/264d05de-ba37-4e47-b59e-af46b4b47d6f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2d7c1f48-5194-4c05-9ed7-ef5235ebefe3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/49cf12bb-dac7-4e3f-a851-fb941f13b0f5.jpg.780x439.jpg;,
SH2324368501265416192,整租·东余杭路214号 1室1厅 南,https://image1.ljcdn.com/310000-inspection/7e8ca14d-c8a9-4618-9cbb-33bf96848684.jpg.250x182.jpg,虹口,北外滩,东余杭路214号,38,1室1厅1卫,南,4600,近地铁;,中楼层/7层,2020-02-21,,整租,需咨询,4600,0,需咨询,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1123m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1123m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1123m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/da114dcf-b06d-4b8e-b4e9-4b43e331d6d1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/35b70733-40a0-4d61-a56f-262629fc58ea.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7e8ca14d-c8a9-4618-9cbb-33bf96848684.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/467040ac-09ce-4aed-b05c-d6e404389d78.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/25c83aeb-80b5-4c10-a0e3-8c388db94b58.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7a29315f-e87a-4ff9-8d64-7c7dd43b3904.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1aa19ca9-1665-4412-baa7-95a08db01077.jpg.780x439.jpg;,【户型介绍】主卧朝南，采光明亮，户型比较方正，一室一厅属于挂盘较少的户型，在北外滩板块此类房子不多。【装修描述】1995年建成，老装修，这套房子整体还可以，在小户型房子中属于质量较高的【交通出行】交通出行很方便，距离国际客运地铁站650米左右，步行3-5min，东汉阳路梧州路公交站300米。
SH2413803793012490240,整租·惠民路250弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/f06ec93a-24f1-411e-825f-5b7bfc3c6964.jpg.250x182.jpg,虹口,北外滩,惠民路250弄,41,1室1厅1卫,南,4800,,中楼层/5层,2020-01-15,,整租,需咨询,4800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/f06ec93a-24f1-411e-825f-5b7bfc3c6964.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5fee892f-58bb-44f3-b26e-22a9a1fc3ad0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/94698311-53a6-42c1-991b-dd7399f590c7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/19be6ac7-750a-43a8-a5f3-dca0806caff3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c4672458-362c-4e2c-9459-898f0ea62bd3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1d570ab2-b284-4415-bfae-c9f2b51bb94b.jpg.780x439.jpg;,
SH2412231980532891648,整租·鸿旭豪苑(酒店式公寓) 1室0厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,虹口,北外滩,鸿旭豪苑(酒店式公寓),38,1室0厅1卫,南,5200,近地铁;,高楼层/18层,2019-12-27,,整租,需咨询,5200,0,需咨询,4号线-杨树浦路-808m;4号线-杨树浦路-808m;4号线-杨树浦路-808m;,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,True,商水,False,,
SH2386263470439415808,整租·丹徒路340弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/8e84a072-c777-43f3-a4bf-eea65e268109.jpg.250x182.jpg,虹口,北外滩,丹徒路340弄,37,1室1厅1卫,南,4900,近地铁;,高楼层/6层,2020-02-24,,整租,需咨询,4900,0,需咨询,12号线-国际客运中心-995m;12号线-国际客运中心-995m;12号线-国际客运中心-995m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/8e84a072-c777-43f3-a4bf-eea65e268109.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5857530d-df95-42a6-a35f-3f5ab3527cd7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f424ca03-08e2-4a6f-ba61-edef0a52827a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/034e6dd2-a6cf-4e5a-8f04-3101c25351af.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/31c846a3-dfac-4797-9749-cc4a538dd896.jpg.780x439.jpg;,【房源亮点】近地铁12号线，出行方便。近白玉兰广场，生活方便。近滨江绿地跑道。【交通出行】近地铁12号线国际客运，白玉兰广场。出行生活方便。。。。。。。【出租原因】房东已购新房入住，所以寻诚意居家客户来租，希望租客爱惜房子。。
