hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
,,,,,,0,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2431825807891496960,整租·金枫里 1室1厅 南,https://image1.ljcdn.com/310000-inspection/9272cc9b-bc7e-40cc-993b-ffe7f812016f.jpg.250x182.jpg,虹口,江湾镇,金枫里,52,1室1厅1卫,南,2800,随时看房;,高楼层/27层,2020-02-20,,整租,需咨询,2800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/9272cc9b-bc7e-40cc-993b-ffe7f812016f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/144f8124-0e96-4231-b23a-7715aaa4416a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a2692520-de55-463d-a20c-c1a4de1d58b3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/91ca15e0-51ac-44e3-9ed7-2bd28b101add.jpg.780x439.jpg;,
SH2461586492662235136,整租·文治路30弄 3室1厅 复式 南,https://image1.ljcdn.com/310000-inspection/pc1_4xajAZrRr_1.jpg.250x182.jpg,虹口,江湾镇,文治路30弄,60,3室1厅1卫,南,4500,新上;近地铁;,高楼层/6层,2020-02-23,,整租,需咨询,4500,0,需咨询,3号线-江湾镇-1001m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/pc1_4xajAZrRr_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b84877d2-a71e-42dd-8995-fb1dd3c3272d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/23d2c6bc-4473-4756-8c71-960d983c3269.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/651e3397-ff2b-4265-9ed3-84f23a80ec4b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/da1fed3a-bcaa-4956-9b29-43023b790317.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5317b47c-552a-4b52-a8d5-578aca2a6b90.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f4aa96f8-2179-4044-ae6a-1569a9784e76.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ead14277-496d-47e1-b176-df30729f39c3.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_4014f44b-5c67-40ed-be95-f2bedd7c09a7.png.780x439.jpg;,
SH2462161623989886976,整租·车南小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/84a5608b-6682-450e-b9ad-5e1027b86750.jpg.250x182.jpg,虹口,江湾镇,车南小区,42,1室1厅1卫,南,3300,新上;近地铁;,高楼层/6层,2020-02-25,,整租,需咨询,3300,0,需咨询,3号线-大柏树-869m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/be1ce235-8b4a-4604-ac73-8d0d352ed9e4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/40292899-5d0f-464a-a7e7-82632e0c035e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c09c85bc-a0f6-4f9c-9e2a-b53545904465.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/84a5608b-6682-450e-b9ad-5e1027b86750.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1baa1f81-897f-4363-829f-b53478aa0194.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c6324357-f139-4507-a23d-fd6e3413cdda.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8d02437c-4a79-4066-9248-d93675b7bd17.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9cba9067-57bf-408f-aac0-35dadaf69266.jpg.780x439.jpg;,
SH2431720716694200320,整租·红馥里 1室1厅 南,https://image1.ljcdn.com/310000-inspection/f61917b2-6caa-4ba9-b0b0-38aeeaea330d.jpg.250x182.jpg,虹口,江湾镇,红馥里,60,1室1厅1卫,南,3500,随时看房;,高楼层/33层,2020-02-23,,整租,需咨询,3500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,True,暂无数据,False,https://image1.ljcdn.com/310000-inspection/f61917b2-6caa-4ba9-b0b0-38aeeaea330d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9d945c41-82c7-4de5-8526-894b7b34e069.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ada2e53c-15f4-4b3a-a43c-1081f0a9c9ec.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/32aa3b56-da70-40cc-8d37-1aaf61a1d8d6.jpg.780x439.jpg;,
SH2425110634292322304,整租·江杨家园 2室1厅 南,https://image1.ljcdn.com/310000-inspection/dc53c129-ac87-4972-9932-81133e56e16e.jpg.250x182.jpg,虹口,江湾镇,江杨家园,71,2室1厅1卫,南,4500,,中楼层/17层,2020-02-11,,整租,需咨询,4500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/5c108f89-b55d-434d-86e4-c11c574cb0e5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2cf0cc55-7161-4c14-96bb-1e5b08c30edb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/35d71488-a90d-4051-acd0-d7e35ca78981.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/df03e566-ced0-45bb-8c71-f2d7e2f0140f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e8dc4c27-41e3-4ddf-9523-fe498639d158.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dc53c129-ac87-4972-9932-81133e56e16e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9a476406-3c00-4ae5-8e41-770951ffca70.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/53427020-3dd7-417f-a30c-723bb4149a2d.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/8af619df-c76e-4849-b166-7749aa99aae8.png.780x439.jpg;,
SH2458676921341853696,整租·三门二小区 2室1厅 南,https://image1.ljcdn.com/110000-inspection/ee96b7bfbaabb8a87c7d67cc43c594f8.jpg.250x182.jpg,虹口,江湾镇,三门二小区,58,2室1厅1卫,南,3800,随时看房;,低楼层/6层,2020-02-23,,整租,需咨询,3800,0,需咨询,3号线-江湾镇-1154m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/ee96b7bfbaabb8a87c7d67cc43c594f8.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/16dc0c611e0f2f1146bb7ede0d308f12.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/fecb49df7ede17d97b1553fdeb058e6b.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/118e5b66795b0dc381fe4d56dd3b486e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/de41f002d11113b89d8b9f06673d4cd0.jpg.780x439.jpg;,
SH2428000251102371840,整租·逸仙路380号 1室1厅 南,https://image1.ljcdn.com/310000-inspection/92b11846-f5f3-40ba-b2a9-efe6afbc3b23.jpg.250x182.jpg,虹口,江湾镇,逸仙路380号,51,1室1厅1卫,南,3800,近地铁;精装;,高楼层/7层,2020-02-25,精装修,整租,季付,3800,0,需咨询,3号线-江湾镇-651m;,True,True,True,True,True,True,True,True,True,True,免费使用,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/92b11846-f5f3-40ba-b2a9-efe6afbc3b23.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/44bf81a0-ef61-45d8-8575-6ba81612c7b1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/abd4a026-0732-42f6-b58c-733cbd827cb8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d82e23b7-cc56-4d10-abe0-5dd7c7203e8b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a37d423e-941b-4386-8f71-616bb96580c5.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/056d4757-021a-44b4-adfe-4b7885a12b6a.png.780x439.jpg;,【房源亮点】一室一厅一厨一卫 客厅比较大，可以再放一张床 近地铁 交通便利【户型介绍】一室一厅一厨一卫 客厅比较大 可以再放一张床 朝南 采光好【装修描述】房子属于普通装修 家具家电齐全 卫生间和厨房干净整洁 在七楼 采光好【交通出行】距离地铁三号江湾镇站比较近，公交有：713、749、60、108、502等【周边配套】配套设施成熟 五角场万达 虹口龙之梦 近财大复旦 购物有吉买盛 联华超市 华润万家等【小区介绍】小区属于单独的一栋楼 物业认真负责 离三号线江湾镇站比较近
SH2428753199394725888,整租·民华小区 2室1厅 南,https://image1.ljcdn.com/110000-inspection/0985e959d4c13d318b681cc02e8db529.jpg.250x182.jpg,虹口,江湾镇,民华小区,58,2室1厅1卫,南,3500,近地铁;随时看房;,高楼层/6层,2020-02-19,,整租,需咨询,3500,0,需咨询,3号线-江湾镇-968m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/8439e676c8d87195d1bb4a6386ba5a68.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a1e9dba6b6dbc45f488ad9f7c2417e9d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/0985e959d4c13d318b681cc02e8db529.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d73e4b75827643641313908e0fe48dc7.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ef55b4ec10057dca34ebc73bc06c7c78.jpg.780x439.jpg;,
SH2405679352218910720,整租·纪念小区 1室0厅 南,https://image1.ljcdn.com/310000-inspection/pc1_K6VJDjFTo_1.jpg.250x182.jpg,虹口,江湾镇,纪念小区,35,1室0厅1卫,南,3300,近地铁;随时看房;,中楼层/5层,2020-02-24,,整租,季付,3300,0,需咨询,3号线-江湾镇-1168m;3号线-江湾镇-1168m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,3年以内,一般下班后可看,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/pc1_K6VJDjFTo_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e4e8569e-06dc-46e7-bc5a-b1714026d04f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ae3b996a-2dc2-4b59-ba66-bb81b7cdfdf3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ff7a11da-133a-480c-a1b6-9da68dde2a25.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/47e8345c-cc35-4ade-a6c0-b158187a4677.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ea8af376-8525-46e5-a0be-3b081c111320.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_7795e1c2-e404-48c5-a1dd-fa31369bdd78.png.780x439.jpg;,【房源亮点】大柏树地铁、高架、公交等交通便利，一居室3300，配套齐全。【户型介绍】户型：1室1厨1卫。卧室朝南，南北通透。面积：35.41平米。中楼层。【装修描述】装修：简单装修，房子空置，签好合同房东送保洁。。。。。。。。【交通出行】公交车：59路;133路;134路;140路;528路;874路;966路。 地铁：大柏树。 高架：中环路高架。【周边配套】家得利超市、农工商超市、华联超市、良友金伴、好美家、易买得、家乐福、凉城广场 、曲阳友谊商场 岳阳医院、建工医院、和平眼科医院、赤峰医院、海军上海保障基地医院 、上海国济男子医院 、朝晖医院【小区介绍】建筑年代：1995年（部分缺失）；开发商：上海金叠房地产开发有限公司；物业：上海广同物业有限公司；建筑结构：钢筋混凝土结构、砖混结构。
