hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2462858761732636672,整租·佳伟小区 1室1厅 南,https://image1.ljcdn.com/110000-inspection/ec5fe275c4742188afc1fe60a23cfabc.jpg.250x182.jpg,虹口,凉城,佳伟小区,37,1室1厅1卫,南,3000,新上;随时看房;,高楼层/7层,2020-02-24,,整租,需咨询,3000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/ec5fe275c4742188afc1fe60a23cfabc.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/9dabc0d35ee33a3e5faaf284228fb1f9.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/10abb3c402a570afabaed40527cb36a4.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/0d156511236b7e61aba1ee89940c317a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/19629e300637ceaddd0afd1eccd1012c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5d340c93c0ed71848b3f929b8713d94a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a7638d9b464cbe181b40d5491e4e5355.jpg.780x439.jpg;,
SH2462206698245324800,整租·西宝兴路949弄 1室0厅 北,https://image1.ljcdn.com/110000-inspection/9cb89f40-6458-4837-bd3b-d6ac85296b0f.jpg.250x182.jpg,虹口,凉城,西宝兴路949弄,24,1室0厅1卫,北,2600,新上;近地铁;,中楼层/5层,2020-02-24,,整租,需咨询,2600,0,需咨询,3号线，8号线-虹口足球场-1041m;3号线，8号线-虹口足球场-1041m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/9cb89f40-6458-4837-bd3b-d6ac85296b0f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f7d32db3-70d2-415c-ac60-5946ca371973.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/017a6fce-f22e-4087-8e20-7f367096c460.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/9dfbe6e9-51be-42fe-aa6c-0e924b58843f.jpg.780x439.jpg;,
SH2436067177888497664,整租·商洛小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/afbcba3e-e5b6-4e65-b3ea-1b374949a305.jpg.250x182.jpg,虹口,凉城,商洛小区,35,1室1厅1卫,南,3200,近地铁;,中楼层/5层,2020-02-21,,整租,季付,3200,0,需咨询,3号线-大柏树-572m;3号线-大柏树-572m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/afbcba3e-e5b6-4e65-b3ea-1b374949a305.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c139ce49-9e80-4ef0-9606-873da1a11df9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/53153d37-8e2e-451c-b1b9-09df6dce55b9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e37c8d0b-0bf4-49a3-ae3b-61de495b195c.jpg.780x439.jpg;,【房源亮点】1.朝南，采光比较好，2.房龄老，保养还可以，具体可看图。【户型介绍】朝南一居室，卧室朝南，采光较好，通风效果良好，中楼层居住舒适度较高。【交通出行】地铁3号线：赤峰站，公交车站：赤峰路中山北一路、上农新村、广灵四路水电路。【出租原因】房子空置，现在房东希望出租，房子朝南，看房方便【周边配套】有：五十二中；购物超市有华联超市，好德便利店；良友、全家便利店【小区介绍】小区环境良好，植物种植的较多，里边有幼儿园，地铁三号线赤峰站，交通便利。
SH2435318462882004992,整租·西宝兴路949弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/bdc4f573-2258-40e0-9d48-b15c6a507f2a.jpg.250x182.jpg,虹口,凉城,西宝兴路949弄,32,1室1厅1卫,南,3000,近地铁;随时看房;,中楼层/5层,2020-02-17,,整租,需咨询,3000,0,需咨询,3号线，8号线-虹口足球场-1041m;3号线，8号线-虹口足球场-1041m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/bdc4f573-2258-40e0-9d48-b15c6a507f2a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b06151e5-a4c2-4936-8558-8b4e911ebf27.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1492d0dc-e087-4351-ad56-931b74479781.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3cdd9df8-df4a-4903-9cc1-e850fb4b87ba.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/601e9c18-ce3f-495d-a501-c457c5e97de8.jpg.780x439.jpg;,
SH2344649518760599552,整租·广灵一村 1室0厅 南,https://image1.ljcdn.com/310000-inspection/0ef416ea-8559-401a-826b-28191c280bcb.jpg.250x182.jpg,虹口,凉城,广灵一村,10,1室0厅1卫,南,2000,近地铁;,低楼层/6层,2020-02-24,,整租,季付,2000,0,需咨询,3号线-赤峰路-850m;3号线-赤峰路-850m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,3年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/e7d96ec9-2d03-4452-b62f-1353dd1e5734.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0ef416ea-8559-401a-826b-28191c280bcb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a64b1cf3-3229-434b-a71e-6b5461d6e26b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cfdaa9e0-191b-4ab1-a3fa-be89fca07117.jpg.780x439.jpg;,【房源亮点】价格实惠，现代精装一室户，拎包入住，免去挑房烦恼，房子干净明亮适合居家白领【装修描述】房子卧室干净明亮，厨房卫生间是分门的，属于公用的，适合一个人居住【交通出行】交通便利，近轻轨3号线赤峰路站和大柏树站，公交线路多，交通机制立体发达【出租原因】出租盈利，希望客户爱干净整洁，租期长，稳定的素质高客户。。。【周边配套】生活配套齐全，出门是广灵二路商圈，购物日常都很方便，可直达赤峰路地铁站，方便地铁上班族【小区介绍】小区成熟，生活设施完善，出么就有菜场、银行、超市、校园、医院、邮局、公交线路多
SH2434835640089575424,整租·广中一村 2室0厅 南,https://image1.ljcdn.com/310000-inspection/prod-1abd0429-2fdd-4d72-8a0b-a28778417493.jpg.250x182.jpg,虹口,凉城,广中一村,46,2室0厅1卫,南,2800,近地铁;随时看房;,高楼层/7层,2020-02-25,,整租,需咨询,2800,0,需咨询,3号线，8号线-虹口足球场-622m;3号线，8号线-虹口足球场-622m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/prod-1abd0429-2fdd-4d72-8a0b-a28778417493.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-e490044e-bee2-4b93-949e-660457a47895.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-caa36796-38e1-4b80-a09d-654594b0662e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-d8cb4ec6-a84c-48aa-acc4-d82f9fbbccf3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-65f8379d-0b49-49ad-84e4-c072aff84834.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-276e2066-c239-4539-a6e2-d3197e15e872.png.780x439.jpg;,
SH2459338521325355008,整租·秀苑小区 1室1厅 南,https://image1.ljcdn.com/110000-inspection/e6483d09-813b-447b-b773-134e5866b2d6.jpg.250x182.jpg,虹口,凉城,秀苑小区,58,1室1厅1卫,南,3900,,高楼层/6层,2020-02-20,,整租,需咨询,3900,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/e6483d09-813b-447b-b773-134e5866b2d6.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/17c6bb7e-0306-4716-99d7-cb6e749fc157.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/104055be-cb74-4db9-9625-e40f7511020f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/fba62a80-07c8-4072-b186-b7d747fcdc47.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/574cc35b-2e76-465f-a8ef-e288ba900715.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/88ceec65-48ea-419a-af08-1d57810f47a3.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/8cc6c043-6f70-4b7c-8fd3-0158ac6404c7.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/fe68951b-2f4c-4bb2-9929-5036e3fd287d.jpg.780x439.jpg;,
SH2412290234197737472,整租·秀苑小区 2室1厅 南,https://image1.ljcdn.com/310000-inspection/a5928912-e1dc-463d-b9f0-a45a1545c4ce.jpg.250x182.jpg,虹口,凉城,秀苑小区,58,2室1厅1卫,南,4500,随时看房;,中楼层/6层,2020-02-23,,整租,需咨询,4500,0,需咨询,,False,True,True,True,True,True,True,True,True,True,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/9ae6d652-99fe-49ec-a54a-2e838433e417.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a5928912-e1dc-463d-b9f0-a45a1545c4ce.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/72b433b0-030e-405b-a82a-98364bb12eeb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a0f22cee-b272-4162-be77-226194f5f92e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f0e8260f-66c4-4190-a709-c1092eb97a48.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5d53d56a-ff6c-445b-be99-157384e42bf6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2b19d224-3fbf-4bff-a6bc-0858fbc262a0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/af260539-7bf5-4c8e-8568-8256e529f785.jpg.780x439.jpg;,【房源亮点】两室一厅，南北通透，通风较好，主卧朝南带阳台，采光较好，家电齐全，拎包入住【户型介绍】房型是一梯两户的，原本是一个一房+大厅，房东自己隔成了一个两房，楼层和采光都很好。【交通出行】交通配套三号线大柏树地铁站，59路，134路，21路，518路公交车【出租原因】业主房子是买来出租用的，暂时不自住【周边配套】小区生活服务配套较为齐全，广粤路菜场距离小区约435米，该菜市场品种丰富，种类繁多，且由于距离较近，广粤路菜场成为居民的主要购买地;除此之外，距离小区约5公里处还有一-个三角地菜市场，居民可驱车前往。同时，小区旁边拥有中国工商银行、中国银行【小区介绍】秀苑小区属于龙之梦商圈，拥有10000平方米集中绿化景观。超大栋距设计，环境优美，空气清新，便利店，联华超市，广粤路菜市场等生活设施配套齐全
SH2368032775036485632,整租·锦苑小区(虹口) 2室1厅 南,https://image1.ljcdn.com/310000-inspection/4e221603-af1a-4679-a494-9fe2cb580e52.jpg.250x182.jpg,虹口,凉城,锦苑小区(虹口),66,2室1厅1卫,南,4500,随时看房;,高楼层/6层,2020-02-23,,整租,需咨询,4500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/a6d14298-0f79-4f83-98f0-0d5e6467845d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b130352c-9dcb-4bf0-aa0a-b050e340c4af.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4e221603-af1a-4679-a494-9fe2cb580e52.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/616e1b5d-9d00-45ad-8cb9-bba9883be2c7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/479ff857-4d0c-448b-a8e5-711944a17250.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/06e5bef4-33e8-4f56-a816-d8cc333fb380.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b218e434-0f46-4433-ba4d-496f9060a88f.jpg.780x439.jpg;,【房源亮点】房子地处位置安静，而且楼层高，采光足。一南一北的户型，使屋内空气流通。【户型介绍】南北户型，主卧朝南带阳台，次卧朝北。进门是一个小餐厅，然后是厨房。【装修描述】房子是多年前装修的，但整体保持的还是比较完整的。屋内设施齐全【交通出行】公交：118路，187路，597路，745路，749路，812路，850路，21路。近三号线江湾镇地铁站。【周边配套】锦苑小区绿化较好，配套比较成熟，10多路公交去人民广成静安寺五角场，进三号线地铁。【小区介绍】小区位置较好，停车比较方便，小区绿化较好，居民素质较高，邻里关系和谐。
SH2458598742677798912,整租·凉二小区 1室1厅 南,https://image1.ljcdn.com/110000-inspection/18014d665c861ea75c03cd073d42b182.jpg.250x182.jpg,虹口,凉城,凉二小区,42,1室1厅1卫,南,3800,,低楼层/19层,2020-02-20,,整租,需咨询,3800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/110000-inspection/18014d665c861ea75c03cd073d42b182.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/05b9034284da71b3d4c26095fb379b4a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b5f118f1113f42dacf4ee6d863d077b4.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d193ccc4f8f138ff727d8d9ca403b8d2.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a99b5e0b3c7d7d4a631e8272823e21e1.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/51d8e0545727a4529259cb994047cd8e.jpg.780x439.jpg;,【户型介绍】小区是凉er小区不多的小房型，南北通风好，走廊有一排朝北窗户，【装修描述】居家装修，简装修，房源装修简单，适合一家人一起度过舒适时光。【交通出行】小区门口有108，132，133，554路，通往复旦大学，江湾医院等。【出租原因】目前空置，之前租客退租了，房东有自己住房，距离近，拿出来出租的【周边配套】小区近凉城公园，天然的森林氧吧，一条美食街，小区邻菜市场，生活设施便利，小区有多路公交车经过，满足日常出行【小区介绍】小区环境蛮好。6栋19层小高层，房源是2梯9户，大楼都是扇形的，抗震效果好
