hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2463666257249959936,整租·天宝路849弄 1室0厅 北,https://image1.ljcdn.com/110000-inspection/94d84214faf705649930c23267b6d939.jpg.250x182.jpg,虹口,临平路,天宝路849弄,37,1室0厅1卫,北,3500,新上;近地铁;随时看房;,高楼层/6层,2020-02-24,,整租,需咨询,3500,0,需咨询,4号线-临平路-1196m;4号线-临平路-1196m;4号线-临平路-1196m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/94d84214faf705649930c23267b6d939.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/fe83a4e3ba5b979fd30af05c869c707e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/7f482bd9b4af92a6309c82f9f6d3f433.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c2d15fd7df624df9c6413a9449dad805.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/068c673e1570a1b5a7b5098a56d3f877.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/3324fc98865aa516d94570247742b05e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d73c34bf8d345068fd98125fa97f85ed.jpg.780x439.jpg;,
SH2463621767152017408,整租·临平路256弄 1室0厅 东/北,https://image1.ljcdn.com/110000-inspection/a45fcf0d4362a4629a08950afd0fa51f.jpg.250x182.jpg,虹口,临平路,临平路256弄,29,1室0厅1卫,东/北,3800,新上;近地铁;随时看房;,中楼层/7层,2020-02-24,,整租,需咨询,3800,0,需咨询,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-790m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-790m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-790m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/a45fcf0d4362a4629a08950afd0fa51f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/352e3d92b5e8690aceeec772af21375c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/afcb158badbdb7424b68c82ef1ca6357.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a8ccd444637d8c768e17fc3609456dca.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/095d440efb28e3eb3bcb952176a3c6e8.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ecd4c5931234457947426f97b63c7e01.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/0d295645-9514-4a15-857b-e85427f54dce.png.780x439.jpg;,
SH2436739931289698304,整租·胡家木桥路35弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/43f14d1b-b0fc-48ff-8d8e-b9e401a899b0.jpg.250x182.jpg,虹口,临平路,胡家木桥路35弄,0,,,4500,近地铁;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2429641314779283456,整租·通海小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/5fc3ec3e-86f3-42c9-812b-ecdb52e0aa4f.jpg.250x182.jpg,虹口,临平路,通海小区,33,1室1厅1卫,南,4900,近地铁;,中楼层/5层,2020-02-19,,整租,需咨询,4900,0,需咨询,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1123m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1123m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1123m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/239024aa-cab6-4037-8a70-f0f324e07e44.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5fc3ec3e-86f3-42c9-812b-ecdb52e0aa4f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3945b992-b9a8-4ab7-94db-4204f0cba4d0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9cf3e19c-3a60-4633-820b-4eebbd7bb036.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/aa4bde5f-5b5f-4b10-bb0a-3f8dd699f158.jpg.780x439.jpg;,
SH2437604509271465984,整租·临平路250弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/c3dc33b2-bb5a-4fca-8e40-93e0a6bcc073.jpg.250x182.jpg,虹口,临平路,临平路250弄,0,,,5000,近地铁;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2420327297933377536,整租·临平路46弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/2260279e-1210-4a4b-8af0-f32459845f50.jpg.250x182.jpg,虹口,临平路,临平路46弄,44,1室1厅1卫,南,4800,近地铁;,低楼层/6层,2020-02-16,,整租,需咨询,4800,0,需咨询,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1065m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1065m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1065m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/8ca62c2a-7f55-4c29-af13-11dbb0290289.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2260279e-1210-4a4b-8af0-f32459845f50.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7d4f7d0e-ae88-486f-a619-64c273c9a63e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f4185878-98c0-4c36-85ad-38b2d5e1d26b.jpg.780x439.jpg;,【房源亮点】这个房子的亮点就是房子低楼层，且有一个完整的客厅，房间还带有一个阳台【户型介绍】一室一厅，厨房跟卫生间相隔有一定的距离，朝南，有阳台，房子低楼层不用爬过多的楼梯【装修描述】装修实物与照片相符，精装修，拎包入住，业主很用心维护房子，希望找个爱护房子的租客【交通出行】交通的话，就是4号线临平路站地铁口，步行仅有200米，小区出门有公交站台，经停多条公交【出租原因】上个租客因工作变动原因，提前退租，希望有合适的租客继续租，入住时间在1月6号前的话可以协商【周边配套】周 边配套设施就是瑞安集团的商 业体系，瑞虹星星堂，月亮湾，还有在建的太阳宫，小区对 面就是瑞虹坊广场，生活就是便利两字
SH2431040787937492992,整租·飞虹路163号 2室1厅 南,https://image1.ljcdn.com/310000-inspection/7d8f43b7-05e7-44c0-aaac-1e54faec53a3.jpg.250x182.jpg,虹口,临平路,飞虹路163号,51,2室1厅1卫,南,5400,近地铁;,高楼层/6层,2020-02-16,,整租,需咨询,5400,0,需咨询,4号线-临平路-105m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/423f1087-74e1-496d-8e74-d44e8d5274ee.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7d8f43b7-05e7-44c0-aaac-1e54faec53a3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/35f53bca-4f4e-405b-96c3-58d58f1bd7a8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/48276b32-b868-489d-89ae-2dbfac6cc558.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a8243b1f-1a3c-4425-85f6-95b3eb4605a8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/acba47d8-b713-46d1-b58e-96013278ef84.jpg.780x439.jpg;,
SH2428345443546038272,整租·大连小区 2室2厅 南,https://image1.ljcdn.com/310000-inspection/e80bbe6c-ce22-472b-8f89-b372dcc7d20e.jpg.250x182.jpg,虹口,临平路,大连小区,75,2室2厅1卫,南,5600,近地铁;,高楼层/26层,2020-02-23,,整租,需咨询,5600,0,需咨询,4号线，12号线-大连路-1128m;4号线，12号线-大连路-1128m;4号线，12号线-大连路-1128m;4号线，12号线-大连路-1128m;4号线，12号线-大连路-1128m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/944544db-86c3-4791-b34a-e3305f605eef.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e80bbe6c-ce22-472b-8f89-b372dcc7d20e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e7c4f69c-5b29-42e0-b402-125c8a0918aa.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1e4ef72e-3887-42f0-a6a4-0d03b10f4b3f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/67e873ff-5b67-400f-b48f-dc22dd58d6d1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1db672d8-cc0d-4d7e-b421-23159aef6385.jpg.780x439.jpg;,【房源亮点】电梯房，高 层 景 观 好 房，价格 具有竞争力，交 通便利【户型介绍】两室户型，非 南 北 通 透，装 修 较 陈 旧，电 梯 房【装修描述】居家装修，干净整洁，家具家电齐全，生活设施完备，， 适合居家【交通出行】4，12号线大连路地铁站附 近，周 边公交地铁线路众多，大连路主干道附 近【周边配套】宝 地广场，旭辉mall，紫荆广场，君欣时代广场，海上海广场，海上海影城【小区介绍】小区对 大连路也有门，周 边配套完善，娱乐购物十分方便，小区对 面有个电影院，适合周末观影
SH2372532339440877568,整租·远虹大厦 2室0厅 南,https://image1.ljcdn.com/310000-inspection/2320baa0-7842-4178-845a-8b6e10e4f3ee.jpg.250x182.jpg,虹口,临平路,远虹大厦,68,2室0厅1卫,南,6000,近地铁;,低楼层/30层,2020-02-22,,整租,需咨询,6000,0,需咨询,4号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1147m;4号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1147m;4号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1147m;4号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1147m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/2320baa0-7842-4178-845a-8b6e10e4f3ee.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/910e5316-01fe-46c2-bf3e-67d2bab366a4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/babdbe0d-3017-4081-8f0e-bab6cc60f449.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1971180f-af2b-4b59-acf0-17f818b4e5a1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2e995ca9-cfcc-4f5f-b950-4b5845caf460.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4c974b57-b120-4026-9478-43ca60dfa91e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/54005213-ae0a-47df-9c5f-5854f0f0027e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4c08718e-adc2-4da7-ab5a-fdf5acc6a1c8.jpg.780x439.jpg;,【户型介绍】一房朝东南，一房朝西北，其中朝西北的房子现在是作为书房使用的。【交通出行】据4/10号线海伦地铁站约有1.2公里，楼下有多条公交路线，新建路隧道直达陆家嘴【周边配套】近瑞虹板块，享有瑞虹新城配套，2公里内有和平公园、绿地滨江跑道，白玉兰广场等配套设施。
SH2449118092400533504,整租·平和大楼 1室1厅 南/北,https://image1.ljcdn.com/110000-inspection/de8d2f74e29e4025a9a0d999fe66a2a6.jpg.250x182.jpg,虹口,临平路,平和大楼,42,1室1厅1卫,南/北,4800,近地铁;,高楼层/6层,2020-02-21,,整租,需咨询,4800,0,需咨询,8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1155m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1155m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1155m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1155m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/a24ef8e7fd50597a6aa28c45e6836a49.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/de8d2f74e29e4025a9a0d999fe66a2a6.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/3073b622c1e1ff38192375ef22e7a6bf.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/25f1a129ae6fb9a328a120e0c3f3a00b.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/3cbd0246b244f55f05f1a6140d00dbfa.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5ba350dc7498a077c13882133a157140.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b98d00a6648ff8ab6013e0dce98411ab.jpg.780x439.jpg;,【房源亮点】商圈优越，生活便利，出行快捷，单身情侣合适居住，您居住之所的不二之所。【户型介绍】实惠整租一居室，干净整洁，朝南面积大，适合一人、情侣、夫妻居住【交通出行】轨交4号线临平路站、轨交10号线邮电新村站，轨交8号线四平路站，轨交12号线大连路站【出租原因】原本业主自主，现在不住了，空着也是空着，就想先租出去，望租客爱惜。【周边配套】配套齐全，地属月亮湾购物商场、太阳宫购物商场在建，更有和平公园、各类银行、医院、school，生活便利舒适。【小区介绍】属于瑞虹商圈，衣食住行一应俱全，生活便利，出行快捷，实惠优越。
