hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2432432051862118400,整租·邮电新村 1室0厅 南/北,https://image1.ljcdn.com/310000-inspection/50538e39-0cda-41a1-9c84-ffeae0f510a9.jpg.250x182.jpg,虹口,曲阳,邮电新村,22,1室0厅1卫,南/北,3000,近地铁;随时看房;,高楼层/5层,2020-02-25,,整租,需咨询,3000,0,需咨询,8号线-曲阳路-844m;8号线-曲阳路-844m;8号线-曲阳路-844m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/118c55a2-4b0a-4662-8cad-0cffa2d07e9a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/50538e39-0cda-41a1-9c84-ffeae0f510a9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/86ebf9da-073f-4749-b6cf-2b836e5c7622.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/47fa52bd-ee3d-4190-93e8-379bb747916b.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/97877b64-51be-472b-b713-51351e402d28.png.780x439.jpg;,
SH2427365424308944896,整租·大二小区 2室0厅 南,https://image1.ljcdn.com/310000-inspection/f9aed401-ee9a-4354-b2f4-184985035104.jpg.250x182.jpg,虹口,曲阳,大二小区,47,2室0厅1卫,南,3200,近地铁;,高楼层/5层,2020-02-25,,整租,需咨询,3200,0,需咨询,8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-643m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-643m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-643m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/f9aed401-ee9a-4354-b2f4-184985035104.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8fb40b95-c43b-4083-8d49-1e681191af49.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ca0f1468-5786-4888-8698-1f6ee37d998f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/302b1443-7c5f-448d-a6f4-d077d1876c48.jpg.780x439.jpg;,
SH2419311297507639296,整租·玉田新村 1室0厅 北,https://image1.ljcdn.com/310000-inspection/19b27b4a-2faa-4e44-ae0d-7ab167ec5071.jpg.250x182.jpg,虹口,曲阳,玉田新村,25,1室0厅1卫,北,3100,近地铁;随时看房;,中楼层/5层,2020-02-19,,整租,需咨询,3100,0,需咨询,3号线-赤峰路-987m;3号线-赤峰路-987m;3号线-赤峰路-987m;3号线-赤峰路-987m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/19b27b4a-2faa-4e44-ae0d-7ab167ec5071.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ccf2fd75-d4fd-4ce9-bc7d-00836570565b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/658eebc1-7bf4-422a-a43d-50efc29434fc.jpg.780x439.jpg;,
SH2412804025767698432,整租·东体小区 1室0厅 北,https://image1.ljcdn.com/310000-inspection/557d55cb-25cb-4f7d-ac36-f05a74c0f3f8.jpg.250x182.jpg,虹口,曲阳,东体小区,0,,,3100,近地铁;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2461468014789804032,整租·建工天峰公寓 1室0厅 南,https://image1.ljcdn.com/110000-inspection/7d3c5142-b7f8-4dd8-a82b-e406478e747a.jpg.250x182.jpg,虹口,曲阳,建工天峰公寓,34,1室0厅1卫,南,3900,新上;近地铁;,低楼层/6层,2020-02-25,,整租,需咨询,3900,0,需咨询,8号线-曲阳路-1160m;8号线-曲阳路-1160m;8号线-曲阳路-1160m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,2020-03-01,False,民水,True,https://image1.ljcdn.com/110000-inspection/7d3c5142-b7f8-4dd8-a82b-e406478e747a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/4711911f-3de7-4f68-8dad-9c6128a1889f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/79c28901-128e-40f2-a98c-58f796b4d062.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/9fcd7ec9-c4cb-4fcf-ac07-1d123f2c67bf.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2af31fd7-187c-4a43-b14c-935a3e271181.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f2eb71eb-843b-4cf9-bc05-f1e5e6babe73.jpg.780x439.jpg;,
SH2417179760175357952,整租·玉田新村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/754c127f-05c6-4ea3-a231-3b993796a633.jpg.250x182.jpg,虹口,曲阳,玉田新村,36,1室1厅1卫,南,4000,近地铁;随时看房;,高楼层/6层,2020-02-20,,整租,需咨询,4000,0,需咨询,3号线-赤峰路-987m;3号线-赤峰路-987m;3号线-赤峰路-987m;3号线-赤峰路-987m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/9328646d-c527-4440-a6e2-0024e9b15842.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/754c127f-05c6-4ea3-a231-3b993796a633.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5bb7c65b-204e-450b-b147-0f3d1b4843ae.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2c7952b2-58fe-4ca5-af7d-b2b0cecce2ae.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/800d8783-310d-47a7-9607-001f9391eea3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/41ac124d-c91e-4ee1-96e1-69c9fe09bb92.jpg.780x439.jpg;,
SH2372428421055135744,整租·玉田新村 1室0厅 南,https://image1.ljcdn.com/310000-inspection/553cbfbf-eb43-4c3a-a232-4a073f9f1ea4.jpg.250x182.jpg,虹口,曲阳,玉田新村,34,1室0厅1卫,南,3800,近地铁;,中楼层/5层,2020-02-09,,整租,需咨询,3800,0,需咨询,3号线-赤峰路-987m;3号线-赤峰路-987m;3号线-赤峰路-987m;3号线-赤峰路-987m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,一般下班后可看,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/553cbfbf-eb43-4c3a-a232-4a073f9f1ea4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b81898a9-0941-4c29-811e-06a2471b1ecd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b4c69907-8405-4dbb-924f-efd636cbaf34.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f96932d8-22e5-4849-b26a-0af7a84c4c2c.jpg.780x439.jpg;,
SH2430288786207547392,整租·邮电新村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/a80aa1e3-bdd1-439c-9b78-3043750b4d04.jpg.250x182.jpg,虹口,曲阳,邮电新村,35,1室1厅1卫,南,4000,近地铁;,高楼层/4层,2020-02-16,,整租,需咨询,4000,0,需咨询,8号线-曲阳路-844m;8号线-曲阳路-844m;8号线-曲阳路-844m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/46ec3fb5-23f9-4de0-8400-ab9dafb546b3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a80aa1e3-bdd1-439c-9b78-3043750b4d04.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/635ffa55-f643-42e9-b054-83346aef14df.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e7cdb0e1-00fe-4a7d-8304-27de7fa0c8f1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/675b0bf4-2379-4660-9a7e-a49dc1567710.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/863949bf-8997-4d08-9702-404a03de6408.jpg.780x439.jpg;,
SH2401558569612230656,整租·邮电二村 2室1厅 南/北,https://image1.ljcdn.com/310000-inspection/401c0c95-c0fc-4d71-93cb-f9abcb979c47.jpg.250x182.jpg,虹口,曲阳,邮电二村,54,2室1厅1卫,南/北,4500,近地铁;随时看房;,高楼层/6层,2020-02-17,,整租,需咨询,4500,0,需咨询,8号线-曲阳路-995m;8号线-曲阳路-995m;8号线-曲阳路-995m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/401c0c95-c0fc-4d71-93cb-f9abcb979c47.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d45fbcb9-29a5-4d84-9a00-d5d4c043fa6b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4fd5f797-6154-43be-8c89-e479a1a68361.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1e42a081-554b-4d2b-9e74-754724780175.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/805cfb70-6ee0-4a98-ac5c-e274830c24aa.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ca9888bd-cf57-4f6e-9e27-daa8a9663f74.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8978ff4c-472c-4a44-b25e-daf682c52143.jpg.780x439.jpg;,
SH2403672436962246656,整租·祥德路450弄 1室1厅 北,https://image1.ljcdn.com/310000-inspection/3606ede7-d2a8-4266-b1db-83e5fdc8f8c4.jpg.250x182.jpg,虹口,曲阳,祥德路450弄,27,1室1厅1卫,北,3500,近地铁;随时看房;,中楼层/5层,2020-02-21,,整租,需咨询,3500,0,需咨询,8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1157m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1157m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1157m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/3606ede7-d2a8-4266-b1db-83e5fdc8f8c4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1e116bfd-27af-43c1-ab7f-77f0803cea5e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8731d00b-8337-4ea5-ad27-c2a3289aeb90.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5b662ed0-245b-495b-8694-d31e39d1e9f9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c34e36b5-ee1a-4027-b4cc-5c542765923b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/684880ba-da2f-497f-8271-fd4bd1641ebd.jpg.780x439.jpg;,
