hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2446894537298419712,整租·东宝兴路272弄 1室1厅 东南/南,https://image1.ljcdn.com/110000-inspection/54a3c36857346c4ca54200032e3feb5f.jpg.250x182.jpg,虹口,四川北路,东宝兴路272弄,32,1室1厅1卫,东南/南,4400,近地铁;随时看房;,低楼层/6层,2020-02-17,,整租,需咨询,4400,0,需咨询,3号线，4号线-宝山路-1021m;3号线，4号线-宝山路-1021m;3号线，4号线-宝山路-1021m;3号线，4号线-宝山路-1021m;,False,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,3年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/edbeec50dd3009b59b22e39992c2cb65.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/54a3c36857346c4ca54200032e3feb5f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/fc4cd410ca6431324eca24ef0ba55532.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/8382bce080a975ffc0d9db3bc3969592.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a403ae9ec0fa8877094367f06235aea7.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/96e67f485608d757f94aaa35abf62c03.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5514da63eff72de58c6dd0c12a03e24c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/65cc5b21bdee71be171747d48841b126.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c6288b9fa5c7801c210f43854ac69706.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170502/fbf74637-c566-4fa2-9dee-eba829bccfda.jpg.780x439.jpg;,【房源亮点】小区环境安静，楼栋分布简单，门禁设施完备。 此房为一室户户型，适合1-2人居住，尤其适合单身、年轻情侣、白领等人群居住，房屋内家具家电齐全，完全满足基本生活需求。【户型介绍】此房户型是简单一室户，一室一厨一卫，带阳台。进门左边是卫生间，右边是厨房，直入是卧室，卧室面积比较大，使用空间充足。卧室带阳台，晾衣晒被都可以。【出租原因】房屋空置，之前租客到期已经搬走了，现在房子空着而且有钥匙，看房十分方便。房东希望能够找到爱干净、居家、能常住、素质高的租客。并且，希望租客是1-2人，不希望3口之家。
SH2460868585154166784,整租·金象大厦 1室0厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,虹口,四川北路,金象大厦,45,1室0厅1卫,南,4300,新上;近地铁;精装;,中楼层/24层,2020-02-21,精装修,整租,季付,4300,0,需咨询,3号线，4号线-宝山路-1175m;3号线，4号线-宝山路-1175m;3号线，4号线-宝山路-1175m;,True,True,True,True,True,False,True,False,True,False,暂无数据,暂无数据,暂无数据,3年以内,需提前预约,随时入住,True,暂无数据,False,,【户型介绍】标准一室户，厨卫齐全，完全满足日常需要。一室户空间大，放得下沙发，可以有一个简单的厅。【装修描述】这套房子是精装修，装修保养好，装修风格简单大方，入住体验感超棒。家具家电齐全，完全满足日常的需要。电梯房，无需爬楼，小区物业负责，管理好，安全有保障。【周边配套】金象大厦，地铁三号线，鲁迅公园，虹口足球场，四川北路网红打卡地，上海长海医院，配套从酒店、购物、娱乐、休闲、人文、自然景观到医疗、教育，一应俱全。
SH2459932035784122368,整租·河滨大楼 1室0厅 东,https://image1.ljcdn.com/110000-inspection/1fe264f7e2e053a81620d478ecd12737.jpg.250x182.jpg,虹口,四川北路,河滨大楼,42,1室0厅1卫,东,6000,新上;近地铁;精装;,高楼层/11层,2020-02-25,精装修,整租,季付,6000,0,需咨询,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1102m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1102m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1102m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1102m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/110000-inspection/1fe264f7e2e053a81620d478ecd12737.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/56d76b7dfc721ac8d215aed9cc662494.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ecdedb329db3af6d1351d52c103c2be5.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/bb38ba24d6c44827e5e4a0ac26b118f9.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/573d642f3117b6a0998f65f0c56d0c2a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a9c877b4a1f3e837df4c9891bd292263.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/4a9d2be0e8ad3a67fe7427409fea3e29.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/cb4944f1e1c03c38a7494bfa5ce83341.jpg.780x439.jpg;,
SH2370942339813212160,整租·多伦多公馆 1室0厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,虹口,四川北路,多伦多公馆,50,1室0厅1卫,南,5500,近地铁;,中楼层/22层,2020-01-19,,整租,需咨询,5500,0,需咨询,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1142m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1142m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1142m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1142m;,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,True,商水,False,,
SH2422331573941837824,整租·求精大厦 1室1厅 南,https://image1.ljcdn.com/310000-inspection/efcb2485-c188-44c7-b7b9-c82359c9d910.jpg.250x182.jpg,虹口,四川北路,求精大厦,54,1室1厅1卫,南,5800,近地铁;,高楼层/15层,2020-02-10,,整租,需咨询,5800,0,需咨询,8号线-西藏北路-1136m;8号线-西藏北路-1136m;8号线-西藏北路-1136m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/efcb2485-c188-44c7-b7b9-c82359c9d910.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/87f94c42-33eb-4c0f-b3ad-e65a24d887c1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c4971cc1-0b0f-4ec2-b11e-05748f6d9726.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/10fd1fae-954d-46db-92e8-bbe4fc791b7c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c24b7905-b4b0-4bbd-9674-73276d56a7fb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/adcfbad7-8c98-4f02-9b0e-d66ca43614ad.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c349441a-66cc-4b77-b60f-9ebbb3c6861d.jpg.780x439.jpg;,
SH2396338603891359744,整租·海伦国际大厦 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,虹口,四川北路,海伦国际大厦,55,1室1厅1卫,南,5000,近地铁;精装;,中楼层/15层,2020-02-09,精装修,整租,年付,5000,0,需咨询,4号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1025m;4号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1025m;4号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1025m;,True,True,True,True,True,False,True,False,True,False,暂无数据,商电,暂无数据,1年以内,需提前预约,随时入住,True,商水,False,,【户型介绍】一室一厅一卫，舒适配套，房型一目了然，空间宽广，格局透明，朝南房型，采光通透，楼景优美。【装修描述】精装，装修保养较好，整体风格简约通透，家电家具配备齐全，设施完备【周边配套】海伦国际大厦，地铁三号线，鲁迅公园，虹口足球场，四川北路网红打卡地，上海长海医院，配套从酒店、购物、娱乐、休闲、人文、自然景观到医疗、教育，一应俱全。
SH2461368306369052672,整租·国际明佳城 1室1厅 南,https://image1.ljcdn.com/310000-inspection/pc1_3FTeaXc0n_1.jpg.250x182.jpg,虹口,四川北路,国际明佳城,55,1室1厅1卫,南,7500,新上;近地铁;,高楼层/30层,2020-02-23,,整租,需咨询,7500,0,需咨询,3号线，4号线-宝山路-1109m;3号线，4号线-宝山路-1109m;3号线，4号线-宝山路-1109m;3号线，4号线-宝山路-1109m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/c4d7abd9-dfc1-4165-828e-951b1d8edfbd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/pc1_3FTeaXc0n_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/abe6bbe0-b2f8-46c6-818d-fceced7c505b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2e347435-b070-4312-9e49-3ec685d57491.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9741ee45-cf2e-4381-a913-923f837dea3a.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_7dd09710-b3aa-4d7d-a413-dfedcaec7781.png.780x439.jpg;,
SH2461602737192968192,整租·国际明佳城 1室1厅 南,https://image1.ljcdn.com/110000-inspection/d9d9c7c5eb7eb49a41c5938cc73a81b3.jpg.250x182.jpg,虹口,四川北路,国际明佳城,59,1室1厅1卫,南,8700,新上;近地铁;,中楼层/30层,2020-02-22,,整租,需咨询,8700,0,需咨询,3号线，4号线-宝山路-1109m;3号线，4号线-宝山路-1109m;3号线，4号线-宝山路-1109m;3号线，4号线-宝山路-1109m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/110000-inspection/c066b4edcd7200503aba227ee6324661.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d9d9c7c5eb7eb49a41c5938cc73a81b3.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b8bf8396ee8ff4cdd6108eeab8723aa0.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e0da0ae7c5a9b9e0fbff961489d920a7.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/9c7a45faae1f80aea97e148e111ad277.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ee88276630cd48897b5781011ac59a59.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/501415db-94ba-4976-8548-0ae7dd294283.png.780x439.jpg;,
SH2446345117188235264,整租·河滨大楼 1室1厅 南,https://image1.ljcdn.com/310000-inspection/880dd5ad-bc47-4c0b-a14c-07596f898469.jpg.250x182.jpg,虹口,四川北路,河滨大楼,52,1室1厅1卫,南,8800,近地铁;,高楼层/11层,2020-02-25,,整租,季付,8800,0,需咨询,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1102m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1102m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1102m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1102m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/880dd5ad-bc47-4c0b-a14c-07596f898469.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/733456f9-db37-4cd4-bb2c-3ab387edd941.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0b803592-f713-43ad-8d5f-be8cbf34b1fa.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/390ebfd8-d8d8-46f8-b6ee-99259a523f6e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/70d09681-52de-46fd-9f00-55b376881a24.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/57138384-c52c-4f32-962c-a34e712f803e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/82186b62-33a6-44b1-adbc-57dbf6338cb6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5e9f4d85-a8b7-4f9d-899e-5c46e170aff4.jpg.780x439.jpg;,
SH2380267940580179968,整租·双宝小区 2室1厅 南,https://image1.ljcdn.com/310000-inspection/5be5cad6-0758-41ee-92bf-c1871e34e361.jpg.250x182.jpg,虹口,四川北路,双宝小区,60,2室1厅1卫,南,6800,近地铁;随时看房;,高楼层/18层,2020-02-17,,整租,需咨询,6800,0,需咨询,3号线，8号线-虹口足球场-1184m;3号线，8号线-虹口足球场-1184m;3号线，8号线-虹口足球场-1184m;3号线，8号线-虹口足球场-1184m;3号线，8号线-虹口足球场-1184m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,一般下班后可看,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/92379755-6d50-432c-8f7d-1328e0659f36.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5be5cad6-0758-41ee-92bf-c1871e34e361.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/69ba5efe-fddd-466c-8c6d-179979080ed2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9831b3ec-d25b-4100-8702-795b4bf58474.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2bce753e-8167-4c4f-8367-1bc8c5185617.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/99138417-3c7b-494a-af74-fa25eef1767b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7483bef2-f699-4655-a9ff-9a5be87dca22.jpg.780x439.jpg;,【房源亮点】双宝小区位于东宝兴路465号是电梯房，地段繁华。户型为双南户型采光好，通风性强，景观也不错。【户型介绍】双宝小区位于东宝兴路465号是电梯房，地段繁华。通风性强，景观也不错。【装修描述】双宝小区位于东宝兴路465号是电梯房，地段繁华。通风性强，景观也不错。【交通出行】四川北路板块，是虹口发展较为成熟的区域，为上海历史悠久的老区之一，距离地铁3号线100m。【周边配套】配套成熟，离上海第四人民医院400米距离，生活无忧，旁边有嘉杰国际商城，多伦多步行街都在500米之内。【小区介绍】位于虹口区四川北路，总建筑面积18256，总占地面积3356，共计房屋300户。
SH2361572095898689536,整租·外滩99 1室1厅 南,https://image1.ljcdn.com/310000-inspection/b111ed55-b143-491a-a841-b84f06d4893a.jpg.250x182.jpg,虹口,四川北路,外滩99,62,1室1厅1卫,南,7000,近地铁;,低楼层/32层,2020-02-21,,整租,季付,7000,0,需咨询,4号线，8号线-西藏南路-1090m;4号线，8号线-西藏南路-1090m;4号线，8号线-西藏南路-1090m;4号线，8号线-西藏南路-1090m;4号线，8号线-西藏南路-1090m;4号线，8号线-西藏南路-1090m;4号线，8号线-西藏南路-1090m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/9c587583-64b9-4a6a-9d83-9ead99b432be.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/290449e9-e7b8-4b61-a884-4a4bf12cf439.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b111ed55-b143-491a-a841-b84f06d4893a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b8a91c44-ff1a-43bc-99f5-09568aabf349.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/daef92fb-976f-4659-bcd1-28d70feccc0f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f6149f57-4a28-49f0-ad3e-773f3da5786a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a374fbf9-1552-4467-b237-afa2599dd83c.jpg.780x439.jpg;,
SH2433362633542877184,整租·国际明佳城 1室1厅 南,https://image1.ljcdn.com/310000-inspection/ab173131-3f2a-4c0d-bb72-c96b464c1a05.jpg.250x182.jpg,虹口,四川北路,国际明佳城,55,1室1厅1卫,南,8500,近地铁;,中楼层/30层,2020-02-17,,整租,需咨询,8500,0,需咨询,3号线，4号线-宝山路-1109m;3号线，4号线-宝山路-1109m;3号线，4号线-宝山路-1109m;3号线，4号线-宝山路-1109m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/5a963693-f6f7-46a7-ae6b-1bc6f9745efb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ab173131-3f2a-4c0d-bb72-c96b464c1a05.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f07cb911-0979-47cc-8c19-085ea005ead4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3b3b56de-9353-4829-8ccd-6d015aa7c497.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/628de184-ac61-46f6-91c9-95ce94918298.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/3151cfee-9ddd-453a-bd49-b5655db0fcfb.png.780x439.jpg;,【交通出行】交通：公交：上海巴士高速客运有限公司北区客运站 、100 、18 、301 、47 、597 、6 、854 、863 、922。公交：上海巴士高速客运有限公司北区客运站 、100 、18 、301 、47 、597 、6 、854 、86【周边配套】公园：四川北路公园 - 爱思儿童公园 医院：一人民医院 - 411海军医院 - 上海第四人民医院 - 商场：宜丰广场 - 利通广场 - 等等【小区介绍】国际明佳城位于衡水路近四川北路。位于四川北路核*规划地段，依偎爱思公园，独享四川北路公园绿地。12万平方米城中绿色居所，2070平方米水岸会所，1万平方米亲水主题社区绿化。小区位于四川北路公园和爱思儿童公园中间，近四川北路商*街。海伦路地铁
