hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2298571978690265088,整租·复兴东路404弄 1室1厅 南,https://image1.ljcdn.com/lease-image/house/0d99e56a-85d5-4851-95b8-f005289e2f33.jpg.250x182.jpg,黄浦,董家渡,复兴东路404弄,21,1室1厅1卫,南,4800,近地铁;精装;随时看房;,低楼层/3层,2020-01-03,精装修,整租,季付,4800,0,2400,9号线-小南门-504m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/0d99e56a-85d5-4851-95b8-f005289e2f33.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6fc323f4-fa33-423a-ba03-477b813cc626.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ce51cf15-8bd8-4158-bc62-a75d5f9e786d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3602e487-a7d4-4b57-a6bc-09ddf110743f.jpg.780x439.jpg;,
SH2437007126170968064,整租·陆家浜路413弄 1室1厅 南/北,https://image1.ljcdn.com/lease-image/house/32c62cf4d49faf5c2eb04219db733f18.jpeg.250x182.jpg,黄浦,董家渡,陆家浜路413弄,0,,,4800,近地铁;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2436293791939043328,整租·明日星城（一期） 2室2厅 南,https://image1.ljcdn.com/lease-image/house/7a654cf359648eea98911e05f1de5fd8.jpeg.250x182.jpg,黄浦,董家渡,明日星城（一期）,95,2室2厅1卫,南,11000,近地铁;随时看房;,低楼层/34层,2020-02-23,,整租,季付,11000,0,5500,8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1141m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1141m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1141m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1141m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/7a654cf359648eea98911e05f1de5fd8.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5bca10ac8544564aca4463ff93a838b5.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6eff2ccc2ac82ce2e777f472231407e7.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9fee2d07962af774fd01edb30c230d46.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/88a38d042bd16768bb9022f9df3556bb.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/91f1258ab7b7c223a17be73c11d4631d.jpeg.780x439.jpg;,
SH2374443315002081280,整租·黄家小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/f8e3a3ed-4923-4de6-8db8-a9348a7b63f2.jpg.250x182.jpg,黄浦,董家渡,黄家小区,33,1室1厅1卫,南,5000,近地铁;随时看房;,高楼层/7层,2020-02-17,,整租,季付,5000,0,需咨询,4号线-南浦大桥-1170m;4号线-南浦大桥-1170m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/f8e3a3ed-4923-4de6-8db8-a9348a7b63f2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2aa98ada-e117-49aa-b9ac-57ffa4322c7f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3c5869a1-196c-42a5-9715-b72c64d36b49.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c3b32c2e-c97d-477f-a1e4-4de9b10fb3ec.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f9052c2d-48d2-406f-aaff-ceb9acef629a.jpg.780x439.jpg;,【房源亮点】简单温馨一室户，小区出门就是地铁口，处于属于黄埔，生活设施齐全。等着您来入住哦【装修描述】简单装修，拎包入住，适合白领或者小情侣入住哦，基本的配套设施齐全【交通出行】小区地铁9号线，9号线小南门站，小区到9号线2号口300米。9号线东到曹路，2站到陆家嘴，小区一期近陆家浜路，可以接上南浦大桥。西到松江南站，5站徐家汇。9号线贯穿4/11/12/17/13/8/2/6地铁，陆家浜路多条公交线路，【周边配套】小区位于董家渡板块，小区北面是百年豫园。南面是黄浦滨江，西面打浦桥，日月光，新天地。东面黄浦江，滨江跑道。北边有一个香港名都，西边有一个新邻生活广场，满足了日常的生活需求。
SH2460804356954390528,整租·面筋小区 1室1厅 南,https://image1.ljcdn.com/110000-inspection/9bc7eac289b25b33ec63f4b27b764a19.jpg.250x182.jpg,黄浦,董家渡,面筋小区,0,,,4700,新上;近地铁;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2409876511625576448,整租·董家渡路450弄 2室0厅 南/北,https://image1.ljcdn.com/310000-inspection/58c26bcb-0480-4f7f-8b73-9897dab455ba.jpg.250x182.jpg,黄浦,董家渡,董家渡路450弄,54,2室0厅1卫,南/北,4800,近地铁;随时看房;,高楼层/7层,2020-02-20,,整租,季付,4800,0,需咨询,4号线-南浦大桥-770m;4号线-南浦大桥-770m;,False,False,True,False,True,False,True,False,True,False,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/201bb8a3-98ab-4225-bc1c-1b0cafadbe0d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/32d72710-b99f-4afc-b9c4-0463664c3495.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8666fad8-5a08-4fd1-9d69-bbde1d2cffdf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/58c26bcb-0480-4f7f-8b73-9897dab455ba.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/808f2c92-b026-4ac1-bc8f-87930b80d5a8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cfeb8bbe-45d2-45b3-84d4-b85de302705c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/367619c9-5f70-4838-b0ca-30aad34c3b38.jpg.780x439.jpg;,
SH2457230699426750464,整租·黄家小区 2室1厅 东,https://image1.ljcdn.com/110000-inspection/51d340340dabedf1d47365af01c8510b.jpg.250x182.jpg,黄浦,董家渡,黄家小区,49,2室1厅1卫,东,5500,近地铁;,中楼层/11层,2020-02-23,,整租,季付,5500,0,需咨询,4号线-南浦大桥-1170m;4号线-南浦大桥-1170m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,自采暖,3年以内,需提前预约,2020-03-19,True,民水,True,https://image1.ljcdn.com/110000-inspection/51d340340dabedf1d47365af01c8510b.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/82a02b69401c615f7d20ef9321b8a26c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d2af17cda595c95dbe157c278f3f8a74.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/4e70d45cc3c675d082a9bab848f0ed27.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e00973c5c948f9207cd1bf1b54a17c96.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e08e491c1bf54a2d43b59b356333d06a.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/7104f789-2d25-4e61-9dce-d3946796f19b.png.780x439.jpg;,【房源亮点】简单温馨一室户，小区出门就是地铁口，处于属于黄埔，生活设施齐全。等着您来入住哦【装修描述】简单装修，拎包入住，适合一家人或者小情侣入住哦，基本的配套设施齐全【交通出行】小区地铁9号线，9号线小南门站，小区到9号线2号口300米。9号线东到曹路，2站到陆家嘴，小区一期近陆家浜路，可以接上南浦大桥。西到松江南站，5站徐家汇。9号线贯穿4/11/12/17/13/8/2/6地铁，陆家浜路多条公交线路，【周边配套】小区位于董家渡板块，小区北面是百年豫园。南面是黄浦滨江，西面打浦桥，日月光，新天地。东面黄浦江，滨江跑道。北边有一个香港名都，西边有一个新邻生活广场，满足了日常的生活需求。
SH2432617745343586304,整租·复兴东路310-354号 1室0厅 南,https://image1.ljcdn.com/310000-inspection/79f0e811-1dab-4204-8fc0-d2fc83c1ac39.jpg.250x182.jpg,黄浦,董家渡,复兴东路310-354号,29,1室0厅1卫,南,5300,近地铁;精装;,低楼层/7层,2020-02-19,精装修,整租,季付,5300,0,需咨询,9号线-小南门-400m;,True,True,True,True,True,True,True,True,True,True,免费使用,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/b57e7d75-601f-45a7-b43f-5293cf189f3f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/79f0e811-1dab-4204-8fc0-d2fc83c1ac39.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e464b1e0-0af8-435f-bfd4-e1bb45a98fa1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/56855576-04ac-413d-87d2-2e4e9ec79c1d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4fdf42ca-00a4-44cc-a013-3c522e7d19f3.jpg.780x439.jpg;,【装修描述】业主是二手买进，之前对外出租，刚好租客到期，家具家齐全可以拎包入住。【交通出行】地铁9号线小南门站步行10min以内的距离，出行方便外滩近距离。【出租原因】租客到期，重新挂牌出租，价格可以谈，家具家电齐全。；；；；；；；；
SH2377970164390952960,整租·黄家小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/eb0b4037-f7c5-4cd3-8d5b-6c9919fd7db0.jpg.250x182.jpg,黄浦,董家渡,黄家小区,36,1室1厅1卫,南,5500,近地铁;,中楼层/7层,2020-02-24,,整租,季付,5500,0,需咨询,4号线-南浦大桥-1170m;4号线-南浦大桥-1170m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/eb0b4037-f7c5-4cd3-8d5b-6c9919fd7db0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/86970d77-bc01-46d1-9dc9-f27e92c42716.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8c8a96be-b897-484a-bccd-407af3f2e417.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/82660205-5931-48c4-ae18-2a7c4076c6b0.jpg.780x439.jpg;,【房源亮点】简单温馨一室户，小区出门就是地铁口，处于属于黄埔，生活设施齐全。等着您来入住哦【装修描述】简单装修，拎包入住，适合一家人或者小情侣入住哦，基本的配套设施齐全【交通出行】小区地铁9号线，9号线小南门站，小区到9号线2号口300米。9号线东到曹路，2站到陆家嘴，小区一期近陆家浜路，可以接上南浦大桥。西到松江南站，5站徐家汇。9号线贯穿4/11/12/17/13/8/2/6地铁，陆家浜路多条公交线路，【周边配套】小区位于董家渡板块，小区北面是百年豫园。南面是黄浦滨江，西面打浦桥，日月光，新天地。东面黄浦江，滨江跑道。北边有一个香港名都，西边有一个新邻生活广场，满足了日常的生活需求。
SH2431654450491039744,整租·董家渡路450弄 1室1厅 北,https://image1.ljcdn.com/310000-inspection/61ee8a33-aa94-4b85-9f1a-9c3d47607840.jpg.250x182.jpg,黄浦,董家渡,董家渡路450弄,35,1室1厅1卫,北,4500,近地铁;,高楼层/7层,2020-02-16,,整租,季付,4500,0,需咨询,4号线-南浦大桥-770m;4号线-南浦大桥-770m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/e249ce08-87ff-44fc-9bc8-a8aed496073a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/61ee8a33-aa94-4b85-9f1a-9c3d47607840.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/74e09b4c-d92c-4eb5-b65f-b7b3f3ead5ee.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/87e81f37-ed6a-40bf-9b56-7aceba588dc1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/93c0b038-18e4-42f0-b2d8-6ec661cd9e0d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d605df3c-46ea-416b-b180-bf820112ca94.jpg.780x439.jpg;,【交通出行】宜居易行，距离9号线小南门站200米，4号线南浦大桥站600米 南浦大桥 人民路隧道 延安路隧道贯穿东西【出租原因】空置，业主很诚意，可多多带看。。。。。。。。。。。。。。。。。。。。。。。。。。。【周边配套】小区位于董家渡板块，小区北面是百年豫园。南面是黄浦滨江，西面打浦桥，日月光，新天地。东面黄浦江，滨江跑道。北边有一个香港名都，西边有一个新邻生活广场，满足了日常的生活需求。
