hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2425930769051959296,整租·南昌路151弄 1室1厅 南,https://image1.ljcdn.com/lease-image/house/f3b4753d-6852-4c7c-a1e1-7be71022c4a9.jpg.250x182.jpg,黄浦,淮海中路,南昌路151弄,28,1室1厅1卫,南,6000,近地铁;随时看房;,中楼层/5层,2020-02-10,,整租,季付,6000,0,3000,13号线-淮海中路-430m;13号线-淮海中路-430m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/3a8a11da-d782-4661-ae0a-e0f0f7bd11a8.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f3b4753d-6852-4c7c-a1e1-7be71022c4a9.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/30dee122-8d0b-4a5b-9ee6-23d43e061e48.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/13aae2ad-6ebc-4a68-9c11-4757534f5191.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f49c2639-7d82-4b80-8610-1227edc691ae.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8fe213fd-f64f-4b92-8b14-a212e39f4d63.jpg.780x439.jpg;,
SH2437501001641492480,整租·瑞雪大楼 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,黄浦,淮海中路,瑞雪大楼,39,1室1厅1卫,南,6500,近地铁;精装;随时看房;,低楼层/18层,2020-01-19,精装修,整租,季付,6500,0,3250,1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1027m;1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1027m;1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1027m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,,
SH2464369889788837888,整租·瑞雪大楼 1室1厅 南,https://image1.ljcdn.com/110000-inspection/96a070355f6d17f370c2dfad2d868be3.jpg.250x182.jpg,黄浦,淮海中路,瑞雪大楼,35,1室1厅1卫,南,5500,新上;近地铁;,低楼层/17层,2020-02-25,,整租,需咨询,5500,0,需咨询,1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1027m;1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1027m;1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1027m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/110000-inspection/96a070355f6d17f370c2dfad2d868be3.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/04d0fa2f5cd1aee391e32f8e9300a3f9.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/9ce3fea852e1f765f8a85a89b6727276.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a719c26cace9d8643b8d43cb4615ae53.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f3d44d1b5910a2700dfbdeddcdc75041.jpg.780x439.jpg;,
SH2410059855818653696,整租·瑞金二路69弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/bbf825ba-64cd-456b-80b6-83df37a374e6.jpg.250x182.jpg,黄浦,淮海中路,瑞金二路69弄,15,1室1厅0卫,南,3500,近地铁;随时看房;,高楼层/3层,2020-01-18,,整租,季付,3500,0,需咨询,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1123m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1123m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1123m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1123m;,True,True,True,True,True,False,True,False,True,False,暂无数据,暂无数据,暂无数据,1年以内,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/bbf825ba-64cd-456b-80b6-83df37a374e6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/42a5f533-917b-4c2a-acd0-6035c9aa40be.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6a10d356-97c1-4289-959a-f67fd3180c4e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0b90a8ff-40b3-46fb-8c4c-d326b5ece192.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bd3a2319-0731-423c-8554-9a1f928ce3da.jpg.780x439.jpg;,
SH2397880230216728576,整租·瑞金二路48弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/32cf098a-202a-4c4d-ba75-8a11559b7442.jpg.250x182.jpg,黄浦,淮海中路,瑞金二路48弄,37,1室1厅1卫,南,5500,近地铁;押一付一;,中楼层/5层,2020-02-12,,整租,月付,5500,0,需咨询,9号线-打浦桥-1153m;9号线-打浦桥-1153m;9号线-打浦桥-1153m;9号线-打浦桥-1153m;,True,True,True,True,True,False,False,True,True,False,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/32cf098a-202a-4c4d-ba75-8a11559b7442.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/75c1273d-4a43-490b-bc6e-cbb0993dc6d2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5059b49d-7705-40a1-b6a7-e862058be916.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9b801c9b-964d-4f37-b8d0-946b2eb06879.jpg.780x439.jpg;,【户型介绍】一室一厅，套内厨卫，使用面积较大，房东还在收拾房屋。。。。。【交通出行】10号线边上，接近陕西南路站，瑞金二路和淮海中路交界处。交通便利【周边配套】建筑设施配套齐全，边上就是上海文化广场以及瑞金医院，复兴公园
SH2416414255269560320,整租·瑞金二路48弄 1室0厅 东南,https://image1.ljcdn.com/310000-inspection/0c307315-ffb4-4673-84e6-26f454341ff9.jpg.250x182.jpg,黄浦,淮海中路,瑞金二路48弄,21,1室0厅1卫,东南,3300,近地铁;精装;,低楼层/3层,2020-02-25,精装修,整租,季付,3300,0,需咨询,9号线-打浦桥-1153m;9号线-打浦桥-1153m;9号线-打浦桥-1153m;9号线-打浦桥-1153m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/0c307315-ffb4-4673-84e6-26f454341ff9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3a12d0ce-dadd-464f-a51b-dbbe8671bb58.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/05c0da6b-0b2b-4af9-86da-6e320be88eef.jpg.780x439.jpg;,
SH2461399262957936640,整租·白尔登公寓 1室1厅 南,https://image1.ljcdn.com/110000-inspection/6009c99c-4b6e-41c6-ad03-5f69a3afb1ee.jpg.250x182.jpg,黄浦,淮海中路,白尔登公寓,43,1室1厅1卫,南,6500,新上;近地铁;精装;,低楼层/6层,2020-02-25,精装修,整租,季付,6500,0,需咨询,9号线，12号线-嘉善路-1148m;9号线，12号线-嘉善路-1148m;9号线，12号线-嘉善路-1148m;,True,True,True,True,True,True,True,True,True,True,租用车位,民电,暂无数据,3年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/6009c99c-4b6e-41c6-ad03-5f69a3afb1ee.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/6677d82b-5008-4bb5-a9e9-fdb215ea8b8c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/209abc55-a377-4b60-a9a6-ed19f53fd7b7.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c9782e94-6b44-48c9-b89d-f2c5b58382ce.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/cc3feb78-9eec-4624-8e04-88be72fcc1a9.jpg.780x439.jpg;,
SH2423732603984289792,整租·瑞金一路121弄 1室0厅 南,https://image1.ljcdn.com/310000-inspection/900ee490-5eaa-4edc-91f8-83cd39dae0b6.jpg.250x182.jpg,黄浦,淮海中路,瑞金一路121弄,22,1室0厅1卫,南,4200,近地铁;随时看房;,高楼层/3层,2020-02-24,,整租,需咨询,4200,0,需咨询,1号线-黄陂南路-919m;1号线-黄陂南路-919m;1号线-黄陂南路-919m;1号线-黄陂南路-919m;,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/900ee490-5eaa-4edc-91f8-83cd39dae0b6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2805594e-fca7-47fa-9f72-88a8396afd05.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/20571942-f015-46e9-933a-464a8a82755c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4373b716-4123-4c14-b81b-41d53adfacf1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ed4dae71-90a4-4846-9184-522e99380f4e.jpg.780x439.jpg;,
SH2414562741768691712,整租·永嘉路39弄 1室0厅 南,https://image1.ljcdn.com/310000-inspection/bfeef42a-d048-4ddd-b0aa-68edf7bfbcba.jpg.250x182.jpg,黄浦,淮海中路,永嘉路39弄,39,1室0厅1卫,南,5500,近地铁;精装;,高楼层/6层,2020-02-24,精装修,整租,季付,5500,0,需咨询,13号线-淮海中路-1023m;13号线-淮海中路-1023m;13号线-淮海中路-1023m;13号线-淮海中路-1023m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,暂无数据,3年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/bfeef42a-d048-4ddd-b0aa-68edf7bfbcba.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b4302310-c2a7-4db6-9be1-b478ec99fc1d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9914aab4-6813-49ea-a917-68d1e15da670.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ead9dabd-877a-451c-9dd3-adb7b61d498f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1861ed28-ae60-4019-a598-4ff456ae85fa.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e52d54ff-1de0-4d36-a11e-6a760a0afd04.jpg.780x439.jpg;,【房源亮点】此房户型方正采光好，正朝南，房子精装修，拎包入住，随时起租。【装修描述】此房精装修，一房一厅朝南户型，户型方正，业主诚意随时入住。。【交通出行】地铁9号线打浦桥站，9号线/12号线嘉善路站，10号线/12号线陕西南路站。【周边配套】小区近瑞金医院，瑞金宾馆，环贸购物广场，思南公馆，复兴公园，绍兴公园，地铁9号线打浦桥站，9号线/12号线嘉善路站。【小区介绍】永嘉路39弄小位于永嘉路陕西南路路口，环境干净，有车位，小区24小时有保安值班，
SH2458464954404585472,整租·思南路97号 2室1厅 东南,https://image1.ljcdn.com/110000-inspection/f136fec9-ccf1-4f53-827c-1237032ef9db.jpg.250x182.jpg,黄浦,淮海中路,思南路97号,55,2室1厅1卫,东南,8000,近地铁;,高楼层/3层,2020-02-23,,整租,需咨询,8000,0,需咨询,13号线-淮海中路-1098m;13号线-淮海中路-1098m;13号线-淮海中路-1098m;13号线-淮海中路-1098m;,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/110000-inspection/f136fec9-ccf1-4f53-827c-1237032ef9db.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/bf3b726f-cbfa-4ac4-8c3b-d8944a043c57.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e59f76d0-461c-4adc-8aec-1fa8a6db5c8f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/1a1ea0d5-b9c5-4440-a238-e541ef12154a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2c2dafa5-cb9f-4da0-9212-895217f0f2da.jpg.780x439.jpg;,
