hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2298571469099106304,整租·华润外滩九里 1室1厅 南,https://image1.ljcdn.com/lease-image/house/29a574d2-d2ad-44fb-8c14-725ae9f3e84f.jpg.250x182.jpg,黄浦,黄浦滨江,华润外滩九里,74,1室1厅1卫,南,15800,近地铁;精装;随时看房;,高楼层/23层,2019-12-29,精装修,整租,季付,15800,0,7900,9号线-小南门-558m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/65d5c752-deef-4e46-aedc-648d86a15b73.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5d7d2070-bd51-489d-807f-73a662959c5e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/29a574d2-d2ad-44fb-8c14-725ae9f3e84f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8e0f0677-5819-4de4-9670-a41adaf914a7.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/83c7daeb-8f96-41f9-b080-a7fa095aa258.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/decbb2a8-3584-475b-ab57-99c6d3fa8183.jpg.780x439.jpg;,
SH2407225459470508032,整租·华润外滩九里 2室2厅 南,https://image1.ljcdn.com/lease-image/house/2ffc082e-0946-4201-b2ee-68c1115e16f1.jpg.250x182.jpg,黄浦,黄浦滨江,华润外滩九里,109,2室2厅2卫,南,19000,近地铁;精装;双卫生间;随时看房;,中楼层/23层,2019-12-08,精装修,整租,季付,19000,0,9500,9号线-小南门-558m;,False,True,True,True,True,False,False,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/83e94d7b-d1e9-42ff-9fdf-8e923dc65c04.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7f4c4f1f-2e0d-4897-bf0d-7651253c6970.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c7118ef6-71a1-48bb-b188-6688abaae929.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/79feb14d-e1ce-4fe3-bb62-530a16eb34f6.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/08e5cf29-3171-4dcf-811d-d6fd7a2946c3.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c4b81793-f32e-4316-8f90-4d6b34e1a7e7.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2ffc082e-0946-4201-b2ee-68c1115e16f1.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/64534d88-96f9-4ce8-a1d0-9fab9c64f4ef.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c51a882d-f691-44d5-a980-0ccba1202edc.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/769b44ca-def7-41dd-b2a7-acdf76bd90c6.jpg.780x439.jpg;,
SH2419380273575116800,整租·福鑫大楼 3室2厅 南,https://image1.ljcdn.com/110000-inspection/58f12e21f8090c43bdca783bb9fabdc2.jpg.250x182.jpg,黄浦,黄浦滨江,福鑫大楼,107,3室2厅2卫,南,10000,近地铁;精装;双卫生间;随时看房;,中楼层/22层,2020-02-23,精装修,整租,需咨询,10000,0,需咨询,9号线-小南门-462m;,True,True,True,False,True,False,False,True,True,True,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/110000-inspection/80394dff8c0f535a882cda4f1690aa78.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a53fbd79621b898dbdf1ac0a18af8e2f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/58f12e21f8090c43bdca783bb9fabdc2.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f4b9ed8b0b409f6a11f740e35db9111d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d5c1c0f2f1ccd46c803947ac4abc6f85.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a0165a76873c724c324819f93f1c6bd6.jpg.780x439.jpg;,【装修描述】精修电梯房  中楼层采光好   近地铁9号线小南门站，出行方便【交通出行】9号线小南门站，出行便利，到外滩仅1公里，三公里内到新天地，人民广场，南京东路，驱车6公里到陆家嘴，8公里到徐家汇。 公交：24路、920路、715路、64路、930路、观光巴士1路。【周边配套】南外滩滨江，距离豫园景点、上海外滩景点、外滩金融区都比较近。超市、餐厅、酒店等配套齐全。小区近地铁九号线小南门站。
SH2407964928033439744,整租·共和园小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/749daecb-b418-4a62-9ee4-51534dbd8f2e.jpg.250x182.jpg,黄浦,黄浦滨江,共和园小区,33,1室1厅1卫,南,6000,近地铁;,中楼层/7层,2020-02-21,,整租,需咨询,6000,0,需咨询,9号线-小南门-629m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/e729c4bd-263f-4038-87f2-9930adcebb7c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/749daecb-b418-4a62-9ee4-51534dbd8f2e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ee19aeca-2283-46ee-a753-d3f8b7f04ad6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f567213a-45f6-49c8-a683-0c72fbddcb83.jpg.780x439.jpg;,【房源亮点】外滩板块的整租一室户 房子很干净 精装修 近BFC 老码头 出行方便 生活便利【户型介绍】朝南的一室户 带阳台 采光好 独立厨卫 户型方正 房子虽小但五脏俱全【交通出行】地铁：9号线小南门 公交站：小东门、大东门 930 64路通往人民广场，跟打浦桥、新天地、豫园、老西门咫尺之间。菜市场、超市都有。
SH2430160055644471296,整租·福鑫大楼 2室1厅 东,https://image1.ljcdn.com/310000-inspection/prod-2c72770c-422b-4c7e-8732-489e28496443.jpg.250x182.jpg,黄浦,黄浦滨江,福鑫大楼,67,2室1厅1卫,东,8000,近地铁;精装;随时看房;,低楼层/22层,2020-02-19,精装修,整租,季付,8000,0,需咨询,9号线-小南门-462m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,自采暖,2年以内,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/prod-2c72770c-422b-4c7e-8732-489e28496443.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-8b658171-b09e-4c5b-8828-45f79f7a80a3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-8af5d7a6-a41c-46e6-bf6f-0b4384e8d463.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-5b91ee1e-a0f0-440c-bbef-4df14b962159.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-41bd794f-8af3-4bee-9724-17974ffb2fb5.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-2125dc7e-10bb-44e7-aa2b-1bbf112c01d5.png.780x439.jpg;,【房源亮点】家电全配，拎包入住，电梯两房，价格实惠，近地铁9号线小南门站，出行方便【交通出行】9号线小南门站，出行便利，到外滩仅1公里，三公里内到新天地，人民广场，南京东路，驱车6公里到陆家嘴，8公里到徐家汇。 公交：24路、920路、715路、64路、930路、观光巴士1路。【周边配套】南外滩滨江，距离豫园景点、上海外滩景点、外滩金融区都比较近。超市、餐厅、酒店等配套齐全。小区近地铁九号线小南门站。
SH2423075683451273216,整租·福鑫大楼 2室1厅 西北,https://image1.ljcdn.com/310000-inspection/2ed6192b-7f00-4789-ba2b-41c944926d82.jpg.250x182.jpg,黄浦,黄浦滨江,福鑫大楼,67,2室1厅1卫,西北,9000,近地铁;精装;,高楼层/22层,2020-02-20,精装修,整租,季付,9000,0,需咨询,9号线-小南门-462m;,True,True,True,True,True,True,True,True,True,True,租用车位,民电,自采暖,3年以上,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/d453ea65-fd32-4135-9fd0-f783de32f3a0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2ed6192b-7f00-4789-ba2b-41c944926d82.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4e1a9531-5366-4b06-ac4e-2d2cb9239101.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/72e88dce-2857-4349-888f-9fec64caf266.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/927a76c9-38c9-4783-8295-7de06e99adbd.jpg.780x439.jpg;,【房源亮点】家电全配，拎包入住，电梯两房，价格实惠，近地铁9号线小南门站，出行方便【交通出行】9号线小南门站，出行便利，到外滩仅1公里，三公里内到新天地，人民广场，南京东路，驱车6公里到陆家嘴，8公里到徐家汇。 公交：24路、920路、715路、64路、930路、观光巴士1路。【周边配套】南外滩滨江，距离豫园景点、上海外滩景点、外滩金融区都比较近。超市、餐厅、酒店等配套齐全。小区近地铁九号线小南门站
SH2389599853488373760,整租·福鑫大楼 2室2厅 南,https://image1.ljcdn.com/310000-inspection/da210a67-f7f3-4148-8451-1bc8ce590532.jpg.250x182.jpg,黄浦,黄浦滨江,福鑫大楼,0,,,9500,近地铁;精装;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2460711105580761088,整租·华润外滩九里 1室2厅 南,https://image1.ljcdn.com/110000-inspection/b63749783c6b2076dbdfb30b2e8b7370.jpg.250x182.jpg,黄浦,黄浦滨江,华润外滩九里,74,1室2厅1卫,南,13800,新上;近地铁;精装;,低楼层/23层,2020-02-24,精装修,整租,季付,13800,0,需咨询,9号线-小南门-558m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,自采暖,3年以上,需提前预约,2020-03-01,True,民水,True,https://image1.ljcdn.com/110000-inspection/14052936fc64a2319b9e74a9a5e2d503.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a6b33d20c5ac3f171f6dd59ac1c16deb.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b63749783c6b2076dbdfb30b2e8b7370.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/58861dfdb4ff9ba0c5e9d1b29d4f533d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f0ce78d02c774b24fd89db986c7daa69.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/d918fd8d-5278-4a92-8b48-e05080f7179e.png.780x439.jpg;,【户型介绍】一室两厅一厨一卫，精致小家，户型方正，朝南阳台，布局合理，低层方便日常起居生活【装修描述】风格简约温馨，给人安定幸福的感觉。精装修，配有品牌家具家电，法式平层 环保石材 全屋地暖，可拎包入住。【交通出行】小区2公里范围有复兴东路、人民路、中山南路、延安路及对应的复兴东路隧道、人民路隧道、外滩隧道、延安路隧道，距离9号线小南门站约400米，交通便利，出行方便。轨交：4号线南浦大桥站，8号线陆家浜路站，10号线豫园站 11路：人民路大东门站等【周边配套】金融配套：紧贴董家渡金融板块；生活配套：董家渡老菜场，未来建成董家渡金融城将匹配，届时超市齐全；医疗配套：中西医结合医院、上海市第二人民医院等。商圈；外滩、陆家嘴、人民广场、淮海公园、新天地等主要商圈均在3公里车程之内。【小区介绍】华润集团上海标杆私家大宅，24H管家服务，全天保安巡逻，华润自持物业，安心省心；小区门口超市、咖啡馆等便民服务设施齐全；内置露天泳池，露天网球场。室内恒温泳池，室内会所，小区有免费的健身房、棋牌室等设施为居住者的精致生活助力
SH2462819723877031936,整租·滨江名人苑 2室1厅 南,https://image1.ljcdn.com/110000-inspection/de0ade546c8420bec4b3558a72a50e51.jpg.250x182.jpg,黄浦,黄浦滨江,滨江名人苑,103,2室1厅1卫,南,12800,新上;近地铁;,低楼层/31层,2020-02-24,,整租,需咨询,12800,0,需咨询,9号线-小南门-717m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,集中供暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/110000-inspection/716efb05a90c131b852dc8366aeb9e41.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e5326524bfcf94a9a154cb612d33aa21.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/de0ade546c8420bec4b3558a72a50e51.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/32f857548f788705b6324198e85960b6.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/67c259bfcb678843c82a3ffe950d113e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/efbf2892d5bd1f3d87f57130f75d4e29.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/test-8e349ef4-58c2-41ea-8f6d-81887300e29c.png.780x439.jpg;,
SH2449779154758148096,整租·滨江名人苑 2室2厅 南/北,https://image1.ljcdn.com/110000-inspection/a71ffbb5806410177a4d43a864685cfc.jpg.250x182.jpg,黄浦,黄浦滨江,滨江名人苑,131,2室2厅2卫,南/北,14000,近地铁;精装;双卫生间;,低楼层/32层,2020-02-25,精装修,整租,季付,14000,0,需咨询,9号线-小南门-717m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,集中供暖,3年以内,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/110000-inspection/2f90aeca0c459b28f215f9b9bca0de57.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b600b2131507a3d44e8da8da465735db.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a71ffbb5806410177a4d43a864685cfc.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/8d19cd8207caf713e7289f7f0a110afd.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/093c2302b1492b9031bdc8181ad6f43f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5427b0e62822f5a149f2e664495fbebb.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2abfee370f6d4d1462788338671705eb.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f4d249d3454b19a7f4168dc4241ce0d4.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/5534543c-e5db-47a8-a2c0-313269fccc47.png.780x439.jpg;,【户型介绍】131平的南北通2房，南北双阳台，通风采光好。房子里可以赏黄浦江，赏东方明珠，景观很棒。【装修描述】房子是自住装修，品牌家电，品质家具，保洁已做，完全可以拎包入住。【交通出行】小区2公里范围有复兴东路、人民路、中山南路、延安路及对应的复兴东路隧道、人民路隧道、外滩隧道、延安路隧道，距离9号线小南门站约650米，交通便利，出行方便。【出租原因】业主上海多套房产，平常住在其他区域，这套房子平常用不到，所以出租，希望碰到一个合适的租客入住。【周边配套】小区位于黄浦江畔，近外滩，近城隍庙，近古城公园。附、近多为上市企业写字楼，小区附、近多为品质楼盘，毗、邻而居，生活品质高。 地铁9号线小南门站，10号线豫园站，近复兴东路，中山南路，人民路，出行便利。【小区介绍】2004年楼盘，小区6栋楼，小区绿、化率高，环境优美。小区主力房型为2房，3房，小区位于中华路88弄。
