hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2437455086679760896,整租·老西门新苑 3室2厅 南/北,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,黄浦,老西门,老西门新苑,158,3室2厅2卫,南/北,18200,新上;近地铁;精装;双卫生间;随时看房;,中楼层/34层,2020-01-19,精装修,整租,季付,18200,0,9100,9号线，13号线-马当路-1039m;9号线，13号线-马当路-1039m;9号线，13号线-马当路-1039m;9号线，13号线-马当路-1039m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,,
SH2460758440071397376,整租·新世纪大厦 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,黄浦,老西门,新世纪大厦,0,,,5000,新上;近地铁;精装;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2459876838147620864,整租·牌楼路23-29号 1室1厅 南,https://image1.ljcdn.com/110000-inspection/e000868e16c26ee32093b8a4c92925f8.jpg.250x182.jpg,黄浦,老西门,牌楼路23-29号,0,,,5000,新上;近地铁;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2462899213126868992,整租·桃源新村 2室1厅 南,https://image1.ljcdn.com/110000-inspection/12a064a002f3263a6705c263d76cf422.jpg.250x182.jpg,黄浦,老西门,桃源新村,81,2室1厅1卫,南,7500,新上;近地铁;,高楼层/7层,2020-02-23,,整租,需咨询,7500,0,需咨询,1号线，2号线，8号线-人民广场-929m;1号线，2号线，8号线-人民广场-929m;1号线，2号线，8号线-人民广场-929m;1号线，2号线，8号线-人民广场-929m;1号线，2号线，8号线-人民广场-929m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,2020-03-19,False,民水,False,https://image1.ljcdn.com/110000-inspection/12a064a002f3263a6705c263d76cf422.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c7ff3a5b5d51ce3c168e269624139ca9.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/7afd9c827c821560184162e125dc229d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2d1c3dc32523c8879037f93d9d949b9f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/808a1916c7aabdcf14d4607cab47e0e4.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/bf90fd6d0ac43dc5aab8cdb436f1cfc4.jpg.780x439.jpg;,【交通出行】出门公交车站，距离8号线大世界350米，10号线豫园660米【周边配套】满足吃喝玩乐，出门数码广场，美食城，人民广场，广场公园，满足日常休闲娱乐【小区介绍】小区环境优美安静，小区24小时的安保，适合家长陪读，房东人好沟通
SH2436054197037441024,整租·蓬莱路421弄 1室1厅 西,https://image1.ljcdn.com/310000-inspection/fe374810-30a2-489d-9f4d-eaebb2525156.jpg.250x182.jpg,黄浦,老西门,蓬莱路421弄,31,1室1厅1卫,西,5000,近地铁;精装;,高楼层/6层,2020-01-19,精装修,整租,季付,5000,0,需咨询,8号线，9号线-陆家浜路-603m;8号线，9号线-陆家浜路-603m;,True,True,True,True,True,True,True,True,True,True,租用车位,民电,暂无数据,3年以上,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/8a5851ef-bd04-43e2-927c-d7689da71896.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fe374810-30a2-489d-9f4d-eaebb2525156.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9c1c778f-74a1-4d77-8365-768639768372.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/83864e8b-a547-4a84-94aa-80638de323c4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b27c1781-c03a-4995-acfa-b9a43110bbc3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c62741c1-f41f-47aa-9d1e-7540de7b0331.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-858d9cca-0b9e-4cfc-abba-bd7887c279e4.png.780x439.jpg;,【房源亮点】老西门地铁300米，8/10号线，陆家浜路地铁500米，8/9号线，配套齐全，文庙旁，地段极好【户型介绍】房子是一居室，厨卫套内独用，朝南带阳台，采光通风极好，楼层为高区【装修描述】房子精装修，房主长期出租，目前有租客，年后到期，房子在中华路蓬莱路位置好【出租原因】房主闲置资产，常年出租，暂无出售打算，可以长期出租，陪读首.选【周边配套】吉买盛，老西门商圈，文庙旁，历史文化气息浓郁，新邻生活站，华联超市，中国银行，蓬莱路菜场，中海环宇荟，新天地购物广场，3公里内应有尽.有
SH2401934927605276672,整租·蓬莱路391弄 1室1厅 北,https://image1.ljcdn.com/310000-inspection/3cc6c688-4047-4879-baa9-8dee5b8a46eb.jpg.250x182.jpg,黄浦,老西门,蓬莱路391弄,27,1室1厅1卫,北,4300,近地铁;,中楼层/4层,2020-02-16,,整租,季付,4300,0,需咨询,8号线，9号线-陆家浜路-673m;8号线，9号线-陆家浜路-673m;,True,True,True,True,True,False,True,True,True,False,暂无数据,民电,暂无数据,2年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/b1c343e1-75a5-4562-a64c-10d6b3082c22.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3cc6c688-4047-4879-baa9-8dee5b8a46eb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9fb26e85-a7e4-47a7-84b6-f2ed8373f2bf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/74a29eee-ff98-4b24-b979-81504be44860.jpg.780x439.jpg;,【装修描述】房子简单装修，家具家电配套齐全，房间里面没有天然气，做饭需要用电磁炉。【交通出行】地铁8号、10号老西门站步行可达，公交64路、66路、11路外圈，出行方便【周边配套】近新邻生活站，世纪联华，全家，KFC，星巴克，曙光医院，第九人民医院，丽园公园。
SH2461610430687084544,整租·桃源新村 1室1厅 南,https://image1.ljcdn.com/110000-inspection/72a718114e0b85df3f85654f6ada0934.jpg.250x182.jpg,黄浦,老西门,桃源新村,32,1室1厅1卫,南,6000,新上;近地铁;精装;,中楼层/7层,2020-02-23,精装修,整租,季付,6000,0,需咨询,1号线，2号线，8号线-人民广场-929m;1号线，2号线，8号线-人民广场-929m;1号线，2号线，8号线-人民广场-929m;1号线，2号线，8号线-人民广场-929m;1号线，2号线，8号线-人民广场-929m;,True,True,True,True,True,False,True,False,True,True,租用车位,民电,自采暖,3年以上,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/72a718114e0b85df3f85654f6ada0934.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e671d52b16f4489c46b34b8731bccf60.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f76dea2339031a68c4874e9db869e689.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c82b2fd91f8aa01bfbfb751c27c518ec.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/4bf571dab0c9a9ab087f2b19149a053c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2699e8434d7ca7847a60294e880a1134.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b51b1b1ee1dfab1e2ed9d08a4dc8504d.jpg.780x439.jpg;,【房源亮点】房子距离地铁站大世界近，人民广场区域，生活商超配套完善，交通便利【户型介绍】房型方正，一室一厅一厨一卫，朝南，采光通风都是极好的，楼层也是4楼的【装修描述】房子装修不错，精装修，家具家电全配，拎包入住，房东诚意出租，房东住得近看房方便。【出租原因】房东名下拥有多套房产，一直用于出租，房主自己也是住在得近的，希望能找长期稳定客户，房东人很好，诚意出租
SH2460773049302261760,整租·新世纪大厦 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,黄浦,老西门,新世纪大厦,45,1室1厅1卫,南,6000,新上;近地铁;精装;,低楼层/19层,2020-02-21,精装修,整租,季付,6000,0,需咨询,9号线，13号线-马当路-1186m;9号线，13号线-马当路-1186m;9号线，13号线-马当路-1186m;9号线，13号线-马当路-1186m;,True,True,True,True,True,False,True,False,True,True,暂无数据,商电,暂无数据,3年以内,需提前预约,随时入住,True,商水,False,,【户型介绍】距离陆家浜路8，9号线地铁口仅一百二十米，旁边就有公交站，靠着陆家浜路主干道，出行十分便利。 房源亮点 可办公可长租，面积大，视野开阔，前排无遮挡，朝向好，出行便利【装修描述】全新精装修可长租，面积大，视野开阔，前排无遮挡，朝向好，出行便利【出租原因】业主闲置资产，经过与家人协商之后决定委托链家挂牌出租，可自住可长租，房主住得近，支持实地看房【周边配套】新邻生.活站，联华超市，各大银行，文庙，1公里内均有，中海环宇荟，新天地购物广场，豫园城隍庙3公里内，陆家浜路地铁站8/9号线。
SH2438259535379701760,整租·陆家浜大楼 2室1厅 南,https://image1.ljcdn.com/310000-inspection/2b845a21-eb89-4868-a323-41b082ad1171.jpg.250x182.jpg,黄浦,老西门,陆家浜大楼,61,2室1厅1卫,南,7600,近地铁;精装;,高楼层/15层,2020-02-19,精装修,整租,季付,7600,0,需咨询,4号线，8号线-西藏南路-1155m;4号线，8号线-西藏南路-1155m;4号线，8号线-西藏南路-1155m;4号线，8号线-西藏南路-1155m;,True,True,True,True,True,False,True,False,True,True,租用车位,民电,暂无数据,2年以内,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/5e1113d0-5d37-43cd-8d42-4608b306f37f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a6fdc6de-da20-41a9-9293-fcd806856583.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2b845a21-eb89-4868-a323-41b082ad1171.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/161539c7-2e96-4dcc-87a3-9e987ac30e8e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2fea06d6-1c75-4e1c-9c27-c39aa8c392d1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2200c79b-d684-4573-9ef7-409de0ff77ae.jpg.780x439.jpg;,【房源亮点】房子地理位置好，陆家浜地铁口，从小区到地铁口50米，出行方便，配套齐全，徽宁路菜场、联华超市、新邻生活站。【交通出行】地铁8/9号线陆家浜路，8/10号线老西门，出行很方便，不需要多走路。【出租原因】房子之前住的也是陪读的，住的挺好的，合同到期搬走了，目前空置，看房提前预约。【周边配套】配套齐全，新邻生活站，联华超市，中海环宇荟、凯德晶萃，基本所需都可以满足。【小区介绍】小区独栋，带电梯，近地铁，看房提前预约，房东诚意出租，精装两房。
SH2416549406699962368,整租·惠德公寓 1室1厅 南,https://image1.ljcdn.com/310000-inspection/e1127013-c3f0-45a7-8206-07e6edde4e2a.jpg.250x182.jpg,黄浦,老西门,惠德公寓,65,1室1厅1卫,南,7200,近地铁;精装;,高楼层/5层,2020-02-17,精装修,整租,季付,7200,0,需咨询,9号线，13号线-马当路-1155m;9号线，13号线-马当路-1155m;9号线，13号线-马当路-1155m;9号线，13号线-马当路-1155m;,True,True,True,True,True,True,True,False,True,True,暂无数据,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/07117ee3-e32e-4d91-81a1-b53492bdd965.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e1127013-c3f0-45a7-8206-07e6edde4e2a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a540d59f-5f4d-4945-925a-ec8f088a34bc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/88ded6f5-60a7-4b8f-b21b-4da0c8fa3a9c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7f0b5450-eac9-4e88-b3ce-ff0e64c9aba5.jpg.780x439.jpg;,【房源亮点】房子是精装一房两厅，面积大，位置佳，主卧朝南，采光极好，主卧客厅都带有阳台，温馨舒适，客厅宽敞明亮，空间大，厨房干净明亮，卫生间干净通风。房子家具家电齐全，这种生活电器和生活设施齐全，首 次出租，拎包即可入住。【户型介绍】房子户型是精装一房两厅，房型正，面积大，楼层好，位置佳，采光好，主卧朝南，带阳台，温馨舒适，客厅宽敞明亮，空间大，厨房干净明亮，卫生间干净通风【出租原因】房东女儿在浦东，要帮女儿照顾孩子，房子空置在这里也无人打理，经过一家人协商之后决定挂牌出租，欢迎高素质客户，咨询看房【周边配套】惠德公寓小区8，9号地铁路线环抱，距离近，小区门口有公交站台，旁边菜场，吉买盛超市等商圈配套齐全，生活方便温馨。
