hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2336859771774713856,整租·福州大楼 2室1厅 南,https://image1.ljcdn.com/310000-inspection/prod-f7ea0ea4-d6dc-4df5-b467-2ae730516e3f.jpg.250x182.jpg,黄浦,南京东路,福州大楼,55,2室1厅1卫,南,9500,近地铁;精装;,中楼层/14层,2019-10-22,精装修,整租,季付,9500,0,需咨询,1号线，2号线，8号线-人民广场-1192m;1号线，2号线，8号线-人民广场-1192m;1号线，2号线，8号线-人民广场-1192m;,True,True,True,True,True,False,True,True,True,True,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/prod-e8983174-8086-4d92-8de2-b8eb97a1ac5d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-81c34ab5-ae36-4726-9e88-2580013d0e8b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-2b7dbda1-8574-4b21-903f-3cd0c28e49cd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-a63b335a-40b0-4260-9141-541d5ffc4233.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-f7ea0ea4-d6dc-4df5-b467-2ae730516e3f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-52530406-7208-4a9c-a936-76926c528154.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-060202cf-5eef-43ef-9f27-d2b326fcef47.png.780x439.jpg;,
SH2459441666642419712,整租·中福世福汇 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,黄浦,南京东路,中福世福汇,0,,,6500,近地铁;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2424466159828213760,整租·中福城 2室2厅 南,https://image1.ljcdn.com/310000-inspection/470f2165-5791-47cd-b16a-c31ba0a5cf28.jpg.250x182.jpg,黄浦,南京东路,中福城,97,2室2厅1卫,南,13000,近地铁;精装;,中楼层/16层,2020-02-23,精装修,整租,季付,13000,0,需咨询,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1115m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1115m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1115m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1115m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1115m;,True,True,True,True,True,True,True,False,True,True,暂无数据,民电,暂无数据,2年以内,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/470f2165-5791-47cd-b16a-c31ba0a5cf28.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/669c0c57-33b6-471c-b37b-df166f25e066.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/55c57a01-a701-4234-b531-78cdb596898c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ba892ee5-2909-4093-bd13-9c75979a43d4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dc8b4d0b-98f1-4e1c-99e9-d1e0005256fb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/de01ed5c-4643-4183-8b9c-f9a79ba91a20.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/060e150d-e04b-4483-8fe8-d62139c3226b.jpg.780x439.jpg;,【房源亮点】居家装修，房屋保养好，精装两房。独门独户 ，电梯双开门，不会和邻居吵扰到【交通出行】距离地铁2.10线南京东路站600米，距离地铁1.2.8号线人民广场150米，还有多条公交线路，交通便利【周边配套】背靠南京东路步行街，楼前为来福士广场各种购物一应俱全，还有贵州路云南路小吃街， 向东走10分种即可到外滩，向西走2分种为人民广场，生活购物逛街休闲集一体
SH2414457645042761728,整租·中福城 2室2厅 南,https://image1.ljcdn.com/310000-inspection/pc1_syDvjRZpb_1.jpg.250x182.jpg,黄浦,南京东路,中福城,95,2室2厅1卫,南,13500,近地铁;,低楼层/15层,2020-02-14,,整租,需咨询,13500,0,需咨询,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1115m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1115m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1115m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1115m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1115m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/2151f170-e61c-4270-82cf-cf0d5294c6fd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3d5f3234-3f0f-496e-9919-f1427996f96e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/pc1_syDvjRZpb_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/636d7b77-edaa-40ee-8a11-911bcf4db799.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7cfd29d9-e79c-42ba-a2d6-bef90b412f1a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2b438aa5-3945-493b-bec6-64a0314bd30b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/67449627-ad8a-44b7-b5cb-172e5128e34d.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_6aef6958-e32d-4a76-a318-e9654d8eee00.png.780x439.jpg;,
SH2422471200417513472,整租·怡水豪庭 1室2厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,黄浦,南京东路,怡水豪庭,76,1室2厅1卫,南,12000,近地铁;,中楼层/29层,2020-02-09,,整租,需咨询,12000,0,需咨询,2号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1149m;2号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1149m;2号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1149m;2号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1149m;2号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1149m;,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,True,商水,False,,
SH2341990542642257920,整租·怡水豪庭 1室1厅 西,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,黄浦,南京东路,怡水豪庭,90,1室1厅1卫,西,12000,近地铁;精装;,中楼层/29层,2020-02-16,精装修,整租,季付,12000,0,需咨询,2号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1149m;2号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1149m;2号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1149m;2号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1149m;2号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1149m;,True,True,True,True,True,True,True,True,True,True,暂无数据,商电,暂无数据,3年以内,需提前预约,随时入住,True,商水,False,,【房源亮点】一房一厅，装修精致，窗外是苏州河景观，物业服务好，一楼大堂，梯控，入住人群企业高管，外籍人士等，安静惬意【交通出行】距离2号线10号线南京东路站969米， 8号线曲阜路地铁站355米 ，1号线新闸路站649米，交通便利【周边配套】公园：人民广场公园，静安雕塑公园 商场：南京东路步行街，新世界大丸百货，百货商厦，大悦城
SH2431742813243973632,整租·中福城 3室2厅 南,https://image1.ljcdn.com/110000-inspection/f07a698d84294f8f170b5c70976d9196.jpg.250x182.jpg,黄浦,南京东路,中福城,119,3室2厅2卫,南,16000,近地铁;精装;双卫生间;,中楼层/21层,2020-02-24,精装修,整租,季付,16000,0,需咨询,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1115m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1115m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1115m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1115m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1115m;,True,True,True,True,True,True,True,False,True,True,租用车位,民电,暂无数据,3年以内,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/110000-inspection/11a92e751fb92fdc2be282c132360cd0.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f07a698d84294f8f170b5c70976d9196.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/122df596a5a9bb2047ec2091a6242c7b.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/6c67e6a4fbeb5ad4331ccb4db6caceed.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/00002621a56581b26e3c9a1272d4acc6.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/70a53adb09da85e92d75c57055ba1913.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d4a79f15f057feab3176d850c65d1770.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/11a1b29e62d23e828bccf58b1068a0ea.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/287016d7d03aeab40f399b575acd7b3b.jpg.780x439.jpg;,【装修描述】居家装修，房屋保养好，精装三房，南北通透，通风效果好【交通出行】距离地铁2.10线南京东路站600米，距离地铁1.2.8号线人民广场150米，还有多条公交线路，交通便利【周边配套】背靠南京东路步行街，楼前为来福士广场各种购物一应俱全，还有贵州路云南路小吃街， 向东走10分种即可到外滩，向西走2分种为人民广场，生活购物逛街休闲集一体
SH2233909094556123136,整租·怡水豪庭 1室1厅 南/西南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,黄浦,南京东路,怡水豪庭,90,1室1厅1卫,南/西南,12000,近地铁;精装;,低楼层/29层,2020-02-16,精装修,整租,季付,12000,0,需咨询,2号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1149m;2号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1149m;2号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1149m;2号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1149m;2号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1149m;,True,True,True,True,True,True,True,True,True,True,暂无数据,商电,暂无数据,3年以内,需提前预约,随时入住,True,商水,False,,【房源亮点】一房一厅，装修精致，苏州河景观，物业服务好，一楼大堂，梯控，入住人群企业高管，外籍人士等，安静【交通出行】距离2号线10号线南京东路站969米 8号线曲阜路地铁站355米 1号线新闸路站649米【周边配套】公园：人民广场公园，静安雕塑公园 商场：南京东路步行街，新世界大丸百货，百货商厦，大悦城
SH2368670873395150848,整租·怡水豪庭 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,黄浦,南京东路,怡水豪庭,89,1室1厅1卫,南,13000,近地铁;精装;,中楼层/29层,2020-01-20,精装修,整租,季付,13000,0,需咨询,2号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1149m;2号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1149m;2号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1149m;2号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1149m;2号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1149m;,True,True,True,True,True,False,True,True,True,True,暂无数据,商电,暂无数据,3年以内,需提前预约,随时入住,True,商水,False,,【房源亮点】一房一厅，装修精致，窗外是苏州河景观，物业服务好，一楼大堂，梯控，入住人群企业高管，外籍人士等，安静惬意【交通出行】距离2号线10号线南京东路站969米， 8号线曲阜路地铁站355米 ，1号线新闸路站649米，交通便利【周边配套】公园：人民广场公园，静安雕塑公园 商场：南京东路步行街，新世界大丸百货，百货商厦，大悦城
SH2428047862224404480,整租·中福城 2室2厅 南,https://image1.ljcdn.com/310000-inspection/d5245498-3065-4237-9849-861c143597fc.jpg.250x182.jpg,黄浦,南京东路,中福城,118,2室2厅2卫,南,15000,近地铁;精装;双卫生间;,中楼层/22层,2020-02-22,精装修,整租,季付,15000,0,需咨询,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1115m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1115m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1115m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1115m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1115m;,True,True,True,True,True,False,True,True,True,True,租用车位,民电,暂无数据,2年以内,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/d5245498-3065-4237-9849-861c143597fc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f9d7f620-7028-4e3f-ba2c-b8a06bca480a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5367a416-9df9-4a36-95f4-50a361925d4f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/db0e18b2-b686-49ca-88d4-795ab40803d9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b68d54b3-957f-4823-97d6-feed4b47cb84.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/924b0cc8-5585-45fd-9d8e-28f25a24f2e6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a5614e2f-b3f6-4886-ae27-d792b0b54400.jpg.780x439.jpg;,【房源亮点】居家装修，房屋保养好，精装两房。独门独户 ，电梯双开门，不会和邻居吵扰到【交通出行】距离地铁2.10线南京东路站600米，距离地铁1.2.8号线人民广场150米，还有多条公交线路，交通便利【周边配套】背靠南京东路步行街，楼前为来福士广场各种购物一应俱全，还有贵州路云南路小吃街， 向东走10分种即可到外滩，向西走2分种为人民广场，生活购物逛街休闲集一体
