hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2415108643537297408,整租·海潮新村 1室0厅 南,https://image1.ljcdn.com/lease-image/house/c6ee66f5-039e-46a9-821d-349c059ce732.jpg.250x182.jpg,黄浦,蓬莱公园,海潮新村,33,1室0厅1卫,南,5190,近地铁;精装;随时看房;,高楼层/6层,2019-12-19,精装修,整租,季付,5190,0,2595,4号线，8号线-西藏南路-1123m;4号线，8号线-西藏南路-1123m;4号线，8号线-西藏南路-1123m;4号线，8号线-西藏南路-1123m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/c6ee66f5-039e-46a9-821d-349c059ce732.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5ab95e60-d6c2-42cf-a426-495b74c04f06.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5fcb1faf-7719-41a8-b62a-5867ec0d45e7.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1ccbc298-73b4-4c59-bede-aa145f078a7a.jpg.780x439.jpg;,【户型介绍】房间为一室户整租，朝南，采光很好，带内阳台晒衣服方便。。。。【装修描述】家具家电齐全，精装修，房间干净整洁，有钥匙看房方便！！！！！！！【小区介绍】小区旁边就是南浦大桥地铁站，配套齐全。。。。。。。。。。。。。。
SH2412906225664016384,整租·瞿溪路463弄 1室1厅 南,https://image1.ljcdn.com/lease-image/house/b9ca3db6d47caf51378261566d6d2f57.jpeg.250x182.jpg,黄浦,蓬莱公园,瞿溪路463弄,0,,,4580,近地铁;精装;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2412127801974472704,整租·中福浦江汇 1室1厅 南,https://image1.ljcdn.com/lease-image/house/18f62241-6715-43af-b91b-7933bd248122.jpg.250x182.jpg,黄浦,蓬莱公园,中福浦江汇,51,1室1厅1卫,南,7990,近地铁;精装;随时看房;,高楼层/24层,2019-12-15,精装修,整租,季付,7990,0,3995,4号线，8号线-西藏南路-1131m;4号线，8号线-西藏南路-1131m;4号线，8号线-西藏南路-1131m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/da092f9a-f2f2-453f-9611-7d1c81071e12.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d18cbb8f-5898-406b-b259-55b742bf90d8.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/18f62241-6715-43af-b91b-7933bd248122.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/27f72a19-670b-47f8-820b-d4540c37a191.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a9f9fef6-e566-4235-8a74-2b98fad30177.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e929edb3-8cc3-4b13-8347-5be64ae00163.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a4d0a919-4048-4818-b62f-a7997ea2c8e4.jpg.780x439.jpg;,【户型介绍】房间为一室户整租，朝南，采光很好，带内阳台晒衣服方便。。。。【装修描述】家具家电齐全，精装修，房间干净整洁，有钥匙看房方便！！！！！！！【小区介绍】小区旁边就是南浦大桥地铁站，配套齐全。。。。。。。。。。。。。。
SH2417418341716066304,整租·华浩苑 2室2厅 西南,https://image1.ljcdn.com/lease-image/house/5b0a02c1ec7a1ff8d65f8cc97906bc22.jpeg.250x182.jpg,黄浦,蓬莱公园,华浩苑,128,2室2厅1卫,西南,12800,近地铁;精装;随时看房;,中楼层/27层,2019-12-22,精装修,整租,季付,12800,0,6400,9号线，13号线-马当路-887m;9号线，13号线-马当路-887m;9号线，13号线-马当路-887m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/7325b0b13ef0012bb89c59ea0490db7d.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a7eec4c41e7a05d2e1d2d08a54a195f3.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7faecf702ce506bd208918efbb4affad.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3460facc84e74d94da0c9f695dc98c15.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5b0a02c1ec7a1ff8d65f8cc97906bc22.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/74e5ffc509579460740ec54415d57f92.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a76457226920d44d060a68d6adc20418.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a7d16e99701335092bb8fff0e6c63b29.jpeg.780x439.jpg;,【户型介绍】三开间朝南户型方正，客厅，主卧朝南带阳台，次卧朝南。厨房，卫生间朝北高区景观视野好。【装修描述】居家装修干净整洁，客厅宽敞明亮，卧室双南采光好，厨房卫生间干净整洁，家具家电齐全【交通出行】地铁：8·9号线陆家浜站，三站路到人民广场交通便利，近新天地商圈配套成熟。
SH2433135962524483584,整租·瞿溪路115-131号 1室0厅 北,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,黄浦,蓬莱公园,瞿溪路115-131号,30,1室0厅1卫,北,4200,近地铁;随时看房;,中楼层/6层,2020-01-13,,整租,季付,4200,0,2100,8号线，9号线-陆家浜路-1128m;8号线，9号线-陆家浜路-1128m;8号线，9号线-陆家浜路-1128m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,,【装修描述】一室户整租，家具家电齐全，精装修...............................【出租原因】房源便宜，年前好房。。。。。。。。。。。。。。。。。。。。。。。。。。【小区介绍】小区近南浦大桥地铁站，交通便利，配套齐全。。。。。。。。。。。。。
SH2454851928677687296,整租·天柱山路小区 1室1厅 南,https://image1.ljcdn.com/110000-inspection/e523e78b-4b35-42d4-be52-f6a9f98d6598.jpg.250x182.jpg,黄浦,蓬莱公园,天柱山路小区,42,1室1厅1卫,南,5500,近地铁;,中楼层/6层,2020-02-23,,整租,需咨询,5500,0,需咨询,9号线-小南门-1024m;9号线-小南门-1024m;9号线-小南门-1024m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,2020-03-18,False,民水,False,https://image1.ljcdn.com/110000-inspection/89583bf9-59f2-4df6-8fbc-5367d57199f4.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e523e78b-4b35-42d4-be52-f6a9f98d6598.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5c7d8dab-b616-4079-b5cc-493fba0206ad.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/99276959-ff1b-423c-8c05-09dd252d588b.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/233893cf-6088-4fbb-b4cd-0fb98569fed0.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/981c20a2-6be3-470c-aa26-cd1127c0a67a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/39f1317b-5acc-4df5-9144-3961fb47168a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/85721fcb-c9c7-4945-8ef5-5161b0bb1be4.jpg.780x439.jpg;,
SH2386997544010907648,整租·西凌新邨 2室0厅 南,https://image1.ljcdn.com/310000-inspection/7443d08b-7911-4a73-bcf6-16ecf0cc7014_1000.jpg.250x182.jpg,黄浦,蓬莱公园,西凌新邨,47,2室0厅1卫,南,5200,近地铁;随时看房;,高楼层/6层,2020-02-23,,整租,季付,5200,0,需咨询,4号线-鲁班路-1060m;4号线-鲁班路-1060m;4号线-鲁班路-1060m;4号线-鲁班路-1060m;4号线-鲁班路-1060m;4号线-鲁班路-1060m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/7443d08b-7911-4a73-bcf6-16ecf0cc7014_1000.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/381c89bb-6dd9-4fc6-ad01-4f5a52076d83.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/51785c76-b1ae-4ca3-9ee9-2ea7fbf6fa3c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d35e88ee-6663-4bf7-ba0d-ac6e33f31a14.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5646079a-e473-486c-99d7-7187c1c965d1.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_50a34187-aa53-4e1a-abf6-02f628c12970.png.780x439.jpg;,【房源亮点】方便看房，实际看房效果比照片好！ 近九院近地铁、生活很方便、一条街解决你的生活问题。【交通出行】1、地铁：交通便利，地铁4/8/9号线 2、公交：小区出门往西藏南路方向右转50米有西藏南路瞿溪路公交站台，有18路、23路、318路、454路、715路、969路、96路、974路等公交车； 公交站台过去200米就是4/8号线西藏南路地铁【周边配套】生活配套完善，小区出门就是西凌家宅路，有菜市场，大超市，便利店，满足各种生活购物需求！ 距离蓬莱公园700米，小区旁边就是上海交通大学医学院附属第九人民医院南院！！！
SH2415735339236212736,整租·西凌新邨 1室1厅 南,https://image1.ljcdn.com/310000-inspection/eea41e46-6479-488b-b10c-043c62250926.jpg.250x182.jpg,黄浦,蓬莱公园,西凌新邨,40,1室1厅1卫,南,5000,近地铁;,高楼层/7层,2020-02-24,,整租,季付,5000,0,需咨询,4号线-鲁班路-1060m;4号线-鲁班路-1060m;4号线-鲁班路-1060m;4号线-鲁班路-1060m;4号线-鲁班路-1060m;4号线-鲁班路-1060m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/db05ee7e-3349-4f73-8eb7-688fa609519c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/eea41e46-6479-488b-b10c-043c62250926.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ac570c74-28b9-4a7e-8b48-993a4afe574b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/88389ade-3ed9-4752-a9ba-e8e9db4ba914.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/72262628-0f2e-41e5-96da-a85a71ad2661.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/74cb7103-9ca8-45ba-b576-751a6292cebd.png.780x439.jpg;,【房源亮点】房子是西凌新村朝南一居室。无遮挡、通风阳光都很好。房子本身家具少，空间大。【交通出行】距离4、8号线西藏南路地铁站仅300米，出行方便。旁边公交车有454、715、969、974、18、23、96、318等等。出行方便。【周边配套】距离4、8号地铁站仅300米，出行方便。距离上海市第九人民医院仅350米，距离蓬莱公园590米。便利店、早餐店、大食堂、菜市场、小吃店等。银行、健身房、生活广场、宠物店、花店等生活娱乐配套齐全。
SH2364451691954446336,整租·西凌新邨 1室0厅 南,https://image1.ljcdn.com/310000-inspection/prod-c20c09f8-e7de-4b18-9913-3d2e625bad2e.jpg.250x182.jpg,黄浦,蓬莱公园,西凌新邨,32,1室0厅1卫,南,4500,近地铁;,高楼层/6层,2020-01-30,,整租,季付,4500,0,需咨询,4号线-鲁班路-1060m;4号线-鲁班路-1060m;4号线-鲁班路-1060m;4号线-鲁班路-1060m;4号线-鲁班路-1060m;4号线-鲁班路-1060m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/prod-c20c09f8-e7de-4b18-9913-3d2e625bad2e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-1aa5ea70-7dcf-4411-8ce6-ec3317fed949.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-0e29b5c4-4804-4e85-9511-94ed7a5beb51.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-5e5a6200-80ca-40d1-87a7-70d04fd41f0f.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-db497a34-d14e-4d28-8ff2-015c58909aa9.png.780x439.jpg;,【房源亮点】小区出门就是西凌家宅路，有菜市场，大超市，便利店，满足各种生活购物需求！距离蓬莱公园700米，小区旁边就是上海交通大学医学院附属第九人民医院南院！！！【交通出行】1、地铁：交通便利，地铁4/8/9号线 2、公交：小区出门往西藏南路方向右转50米有西藏南路瞿溪路公交站台，有18路、23路、318路、454路、715路、969路、96路、974路等公交车； 公交站台过去200米就是4/8号线西藏南路地【周边配套】本房居家装修、家电家具配套、近4/8号线西藏南路地铁站。近九院、生活配套完善很方便、一条街解决你的生活问题。
SH2430208447049113600,整租·西凌新邨 1室0厅 南,https://image1.ljcdn.com/310000-inspection/25bc181f-26b5-4c01-8d96-96568b5d9bf7.jpg.250x182.jpg,黄浦,蓬莱公园,西凌新邨,34,1室0厅1卫,南,4700,近地铁;随时看房;,高楼层/7层,2020-02-23,,整租,季付,4700,0,需咨询,4号线-鲁班路-1060m;4号线-鲁班路-1060m;4号线-鲁班路-1060m;4号线-鲁班路-1060m;4号线-鲁班路-1060m;4号线-鲁班路-1060m;,True,True,True,True,True,True,True,False,True,True,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/282a5479-5f0f-4667-8e23-4be233c73b9e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/25bc181f-26b5-4c01-8d96-96568b5d9bf7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a2640a65-6662-4a1d-af8c-192673e1b73e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7d208a84-f825-47a7-98ed-d8203d07935b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/54852811-0a2c-4029-a499-1c670b314988.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/f63b56f2-2b49-4911-b8f0-bbfcae652972.png.780x439.jpg;,【装修描述】方便看房，实际看房效果比照片还好！本房精装修、家电家具配套、楼层好！电梯房！拒绝爬楼！采光好！ 近九院近地铁、生活很方便、一条街解决你的生活问题，精致装修，温馨的一室户【交通出行】1.地铁：交通便利，地铁4/8/9号线 2、公交：小区出门往西藏南路方向右转50米有西藏南路瞿溪路公交站台，有18路、23路、318路、454路、715路、969路、96路、974路等公交车；公交站台过去200米就是4/8号线西藏南路地铁【周边配套】生活配套完善，小区出门就是西凌家宅路，有菜市场，大超市，便利店，满足各种生活购物需求！ 距离蓬莱公园700米，小区旁边就是上海交通大学医学院附属第九人民医院南院！！！
