hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2422486832882122752,整租·中山南一路246弄 1室1厅 南,https://image1.ljcdn.com/lease-image/house/20e926ad3f3d01070eac266d1bc0a3c1.jpeg.250x182.jpg,黄浦,世博滨江,中山南一路246弄,29,1室1厅1卫,南,4850,近地铁;随时看房;,中楼层/5层,2019-12-30,,整租,季付,4850,0,2425,13号线-世博会博物馆-672m;13号线-世博会博物馆-672m;,False,True,False,True,True,False,True,False,False,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/20e926ad3f3d01070eac266d1bc0a3c1.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b22291cd45aece89eeffd9670144f7ea.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c40566a85637f8f6b2071c4c4d4296c5.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4e28bdd550be9340cf00beb6bf5e18aa.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e82eece1809dce35da42fcc8d5d49f8d.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/bb571976ae3e0277ba80ce530c986ac7.jpeg.780x439.jpg;,【户型介绍】此房卧室比较大，不考马路安静。朝南一室户，采光无遮挡！！！!【装修描述】此房装修比较好，家具家电齐全拎包入住，有钥匙方便看房！！！！【交通出行】交通便利，近西藏南路地铁站，地铁4 8 号线，距离200米！
SH2298571059055558656,整租·紫荆新苑 2室2厅 南,https://image1.ljcdn.com/lease-image/house/d6ea7c52-4fd6-4ada-9cd6-30ea1b7f7bd4.jpg.250x182.jpg,黄浦,世博滨江,紫荆新苑,89,2室2厅1卫,南,8500,近地铁;随时看房;,高楼层/6层,2020-02-10,,整租,季付,8500,0,4250,4号线-鲁班路-774m;4号线-鲁班路-774m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/959691a1-3072-4898-9fb5-e4f8bc819a34.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/98cc7311-90cd-4c1e-8a70-dab3cf008ef8.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b78ead56-36ed-433f-a3e0-2088601357fd.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d53028b5-3c02-43c3-b5f4-5ce26c1ae04a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/bf831b83-e800-48c5-b534-697dbf52a2af.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d6ea7c52-4fd6-4ada-9cd6-30ea1b7f7bd4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8e9db7d0-59f3-42cd-81d0-e376807d7aa8.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2ab0646f-7dc6-4c7a-9854-be4480ab8e2d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f5d7ea21-dbaf-4d70-b1df-e8b13ec838ca.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/42761eb1-e589-4cf8-8cf5-198f6cd4ccbe.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/488d5140-da88-4f5d-a64f-697caf9ceb09.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6076e220-b39a-4ff3-a303-2704fa40c333.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f7642c0f-4bd4-4f3b-bb9e-de731b635a44.png.780x439.jpg;,
SH2433121174910140416,整租·雾晓大楼 2室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,黄浦,世博滨江,雾晓大楼,54,2室1厅1卫,南,7200,近地铁;精装;随时看房;,中楼层/20层,2020-01-13,精装修,整租,季付,7200,0,3600,4号线-南浦大桥-658m;4号线-南浦大桥-658m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,False,,【装修描述】一室户整租，家具家电齐全，精装修...............................【出租原因】房源便宜，年前好房。。。。。。。。。。。。。。。。。。。。。。。。。。【小区介绍】小区近南浦大桥地铁站，交通便利，配套齐全。。。。。。。。。。。。。
SH2461458387519946752,整租·市民新村 2室0厅 南,https://image1.ljcdn.com/110000-inspection/e310674b-5ab8-4608-8e0c-c945a0c66a1d.jpg.250x182.jpg,黄浦,世博滨江,市民新村,18,2室0厅1卫,南,4000,新上;近地铁;随时看房;,高楼层/6层,2020-02-23,,整租,季付,4000,0,需咨询,13号线-世博会博物馆-1057m;13号线-世博会博物馆-1057m;13号线-世博会博物馆-1057m;13号线-世博会博物馆-1057m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,3年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/5f31641a-4057-416b-958f-7cc895556d00.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/061195f4-e2a7-4041-8300-932f2a3d413e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e310674b-5ab8-4608-8e0c-c945a0c66a1d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c2ddd9ff-cb4c-4f17-b54c-e66173e301e4.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b68dff06-5417-4c41-b6ba-c138c35f39cf.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/76532ff7-ac8a-4d1d-8c8e-e269df7c896b.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170418/ac3f9bf1-d834-4fe9-ad61-0a383b95ceba.jpg.780x439.jpg;,
SH2381836262450667520,整租·市民新村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/035a221b-af19-48ca-9b9d-9aa1cf67dec2.jpg.250x182.jpg,黄浦,世博滨江,市民新村,0,,,3600,近地铁;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2433166604582780928,整租·龙华小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/593c09b9-d91f-4a4a-ab82-eeab9b9b4d99.jpg.250x182.jpg,黄浦,世博滨江,龙华小区,40,1室1厅1卫,南,5500,近地铁;精装;,高楼层/6层,2020-02-24,精装修,整租,季付,5500,0,需咨询,4号线，12号线-大木桥路-900m;4号线，12号线-大木桥路-900m;4号线，12号线-大木桥路-900m;4号线，12号线-大木桥路-900m;4号线，12号线-大木桥路-900m;4号线，12号线-大木桥路-900m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,3年以上,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/8cfc971d-a4e9-4a05-907d-8dc98e5c8166.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/593c09b9-d91f-4a4a-ab82-eeab9b9b4d99.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2c940b34-0826-4d08-b09c-a4df36710c33.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ad63c389-9f96-4abb-b60d-dd732e87d445.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c21eb59b-ffbb-4a55-8c09-e4dc1b99fa29.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f5975f35-dc54-4da7-aa1d-89d955ce4613.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3bdabb83-6c3a-449a-af72-e103e41650e3.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/059d4ff9-e004-4e71-8864-b0d57b5525f7.png.780x439.jpg;,【房源亮点】四号线鲁班路地铁口，出门一百米菜场，三百米汇景生活广场，生活便利，配套齐【交通出行】4号线鲁班路站，北边即9号线打浦桥地铁站，内环高架，东边即南北高架，出行及其方便【周边配套】菜场，东边即汇景生活广场，南边即南园公园、黄浦滨江，北边即日月光、田子坊
SH2401183423705391104,整租·鲁班大楼 1室1厅 南,https://image1.ljcdn.com/310000-inspection/d9adc1ca-46b0-41bf-80bc-0075e5a100b4.jpg.250x182.jpg,黄浦,世博滨江,鲁班大楼,66,1室1厅1卫,南,5400,近地铁;,中楼层/24层,2020-02-20,,整租,需咨询,5400,0,需咨询,4号线，8号线-西藏南路-1099m;4号线，8号线-西藏南路-1099m;4号线，8号线-西藏南路-1099m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/f818aacf-dee6-401f-9ef1-018f8d1f76d4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d9adc1ca-46b0-41bf-80bc-0075e5a100b4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3dd62bee-4653-4334-8191-f5754fbc52c4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/79bbd3ef-aae4-4181-b94f-8c2c2dcd0ccd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/75c6ba8f-ab04-4418-9a10-38f5b1a9a42f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/62633c20-d44e-4e10-92f8-c429b8b4459b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c9d45d69-6c75-4722-8211-7d98986db666.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4cc7c7c8-9f0a-447c-b847-06ddb7286e67.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c0f7c2a4-8074-4209-ae3e-70b6aa51b875.jpg.780x439.jpg;,
SH2422328218993836032,整租·融创滨江壹号院 1室0厅 南,https://image1.ljcdn.com/310000-inspection/d1997f1e-a2db-47f1-905f-94fae15b463b.jpg.250x182.jpg,黄浦,世博滨江,融创滨江壹号院,20,1室0厅0卫,南,1000,近地铁;,中楼层/36层,2020-02-17,,整租,需咨询,1000,0,需咨询,4号线-鲁班路-889m;4号线-鲁班路-889m;4号线-鲁班路-889m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,,【户型介绍】b3车位，产权车位，随时可看，随时出租，价格可谈，有需要请咨询。【装修描述】b3车位，产权车位，随时可看，随时出租，价格可谈，有需要请咨询。【出租原因】b3车位，产权车位，随时可看，随时出租，价格可谈，有需要请咨询。
SH2415042995927138304,整租·铁道路676-684号 1室1厅 北,https://image1.ljcdn.com/shfdfs-image/20171219/e745a8a3-eb85-4c87-ba0a-ba01baa3288c.jpg.250x182.jpg,黄浦,世博滨江,铁道路676-684号,34,1室1厅1卫,北,4200,近地铁;精装;随时看房;,高楼层/7层,2020-02-20,精装修,整租,季付,4200,0,需咨询,4号线，12号线-大木桥路-1157m;4号线，12号线-大木桥路-1157m;4号线，12号线-大木桥路-1157m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/shfdfs-image/20171219/417a2dea-7b3e-4564-86ff-2ff23e5f2601.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171219/b40f0500-4bc9-425c-9e38-39963e213106.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171219/fd688f90-d404-4fb3-80dc-f55070637e09.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171219/e745a8a3-eb85-4c87-ba0a-ba01baa3288c.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171219/aab79a0e-37da-4785-bc52-a1edd53de061.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171219/28502e5c-ce08-4ddd-ae8f-db8564da2640.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171219/31fe9928-9e04-4eef-b837-ce0edb4043cc.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171219/9f0e628b-1f9d-4878-8747-43b984772fda.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171219/209433c3-7866-4230-9e02-2d6dea71093b.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171220/669d6c94-c9ec-42e8-9d9d-dda6a5c8d75b.jpg.780x439.jpg;,【房源亮点】装修很好的一室户，离地铁近，生活交通设施齐全，高区视野宽阔。【交通出行】距离4号线鲁班路500米，13号线世博会博物馆800米，公交线路多，临南北高架，打浦路隧道，内环高架【周边配套】小区在中山南一路上，近4号线鲁班路，13号线世博会博物馆，有新瞿溪菜市场，汇暻生活广场，绿地缤纷城，永辉超市，医院，各大银行等
SH2433246224426467328,整租·瞿四小区 2室1厅 南,https://image1.ljcdn.com/310000-inspection/59102713-fde5-49f1-8a42-6fed036fbbfd.jpg.250x182.jpg,黄浦,世博滨江,瞿四小区,45,2室1厅1卫,南,5500,近地铁;随时看房;,低楼层/5层,2020-02-23,,整租,季付,5500,0,需咨询,8号线，9号线-陆家浜路-1183m;8号线，9号线-陆家浜路-1183m;8号线，9号线-陆家浜路-1183m;8号线，9号线-陆家浜路-1183m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/59102713-fde5-49f1-8a42-6fed036fbbfd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/52896553-667b-4f62-87fe-5a423314ec0a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f79c98ab-ea64-4c37-a340-c6d3ac63d3a3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/76c35371-c8a0-4cd5-b553-68381a687bee.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_8ce1e1bc-f6e7-43a6-bde1-911370eca35a.png.780x439.jpg;,【房源亮点】该房屋装修风格为居家装修，卧室面积大，适合自己私人物品较多的上班族。每天下班后回家，都伴随着舒适感。【交通出行】距离4、8号线西藏南路地铁站仅100米，出行方便。旁边公交车有454、715、969、974、18、23、96、318等等。出行方便【周边配套】距离4、8号地铁站仅100米，出行方便。距离上海市第九人民医院仅50米，距离蓬莱公园600米。便利店、早餐店、大食堂、菜市场、小吃店等。银行、健身房、生活广场、宠物店、花店等生活娱乐配套齐全。
