hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2435464570865983488,整租·斜土路520-540号 1室1厅 北,https://image1.ljcdn.com/lease-image/house/0d816c4a-717b-4e4b-a31c-af1908772130.jpg.250x182.jpg,黄浦,五里桥,斜土路520-540号,32,1室1厅1卫,北,5000,近地铁;精装;随时看房;,中楼层/6层,2020-01-16,精装修,整租,季付,5000,0,2500,13号线-世博会博物馆-971m;13号线-世博会博物馆-971m;13号线-世博会博物馆-971m;13号线-世博会博物馆-971m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/0d816c4a-717b-4e4b-a31c-af1908772130.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a4882728-ae33-4e10-8da3-becb48533223.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f11ebff5-5536-4443-8edb-44ba9893cec4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/be6a554a-4bfd-46e7-a129-60f515d1e844.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/17fbdf40-b91e-4121-8389-bbd98530ae9f.jpg.780x439.jpg;,
SH2412832305417551872,整租·桥一小区 2室1厅 南,https://image1.ljcdn.com/lease-image/house/1fea00b536b2be300d828c7ad4811c01.jpeg.250x182.jpg,黄浦,五里桥,桥一小区,47,2室1厅1卫,南,6650,近地铁;随时看房;,高楼层/7层,2020-02-22,,整租,季付,6650,0,3325,4号线，8号线-西藏南路-1053m;4号线，8号线-西藏南路-1053m;4号线，8号线-西藏南路-1053m;4号线，8号线-西藏南路-1053m;,False,False,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/1fea00b536b2be300d828c7ad4811c01.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3cbe66710d4a4ae35c626be76fe3f1eb.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/eb1c5199781e6b706d9161cd042c753f.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e376043f49c201113fabc4b5a0ddd11c.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/51f44c791193d57a8b7d3ab56bfb58ea.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/25ac4835615adf723b030b0b2fe09b34.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d5ca10bb4752b0ff88f5a2dd30ebd3d4.jpeg.780x439.jpg;,【户型介绍】此房二个卧室，大小差不多每个都有阳台，不考马路安静。南北通透二房，采光无遮挡！！！【装修描述】此房装修比较好，家具家电齐全拎包入住，有钥匙方便看房！！！！【交通出行】周 边配套齐全，近地铁马当路，地铁9 号13号线，交通便利！！
SH2450480519016611840,整租·百汇大厦 2室1厅 南,https://image1.ljcdn.com/lease-image/house/d3aab495-a7c8-4fcd-907e-41f623ce2d20.jpg.250x182.jpg,黄浦,五里桥,百汇大厦,80,2室1厅1卫,南,9500,近地铁;精装;随时看房;,中楼层/23层,2020-02-11,精装修,整租,季付,9500,0,4750,9号线-打浦桥-1166m;9号线-打浦桥-1166m;9号线-打浦桥-1166m;9号线-打浦桥-1166m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,False,https://image1.ljcdn.com/lease-image/house/d3aab495-a7c8-4fcd-907e-41f623ce2d20.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/96c20aa3-004d-427d-946b-d6bfa0085a2d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/61338157-e53f-45b6-9973-b4d574379306.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/106e5783-1199-44bc-85c2-84936c48b6f8.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b88597ad-99ff-4911-9f15-4a11c98e78b1.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/47e59473-8f1f-4085-bf59-028d61553039.jpg.780x439.jpg;,
SH2427377636176306176,整租·蒙自路395弄 1室1厅 南,https://image1.ljcdn.com/lease-image/house/31648abb2354dec57d4226c9329f6c8d.jpeg.250x182.jpg,黄浦,五里桥,蒙自路395弄,39,1室1厅1卫,南,6000,近地铁;精装;随时看房;,高楼层/7层,2020-01-05,精装修,整租,季付,6000,0,3000,9号线，13号线-马当路-750m;9号线，13号线-马当路-750m;9号线，13号线-马当路-750m;,False,False,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/979e9ec3e87a81d0b297cd57ca231cef.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/31648abb2354dec57d4226c9329f6c8d.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0b4d65522499927499df1a959a5960cb.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d7c47b203f38355758ab4398f2f1c8dd.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/05cb1c9950860db59b3b3d766cba4aa2.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/35f87b38d556a963e0941144af68623d.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/fcc7fcda519fbf9a6aef5373467df7ab.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4bce66468b3dec08423df2b00d17ffa3.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/90b4c8c9-6500-443c-b790-fb5ad9325cad.png.780x439.jpg;,
SH2421112583873363968,整租·怡绿公寓 2室2厅 南,https://image1.ljcdn.com/lease-image/house/5d30b455f411080380b82b1fa5c2eb3e.jpeg.250x182.jpg,黄浦,五里桥,怡绿公寓,87,2室2厅1卫,南,8450,近地铁;随时看房;,中楼层/7层,2020-01-14,,整租,季付,8450,0,4225,4号线-鲁班路-864m;4号线-鲁班路-864m;4号线-鲁班路-864m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/4d306e3258b15a219b704942451697ec.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/74b9a9b3e7de394370cd9e28d32cee4a.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/488324d0366a4d827c0e68ce0c8f5ccf.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5d30b455f411080380b82b1fa5c2eb3e.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7bf61e32de74b40c9ddffd88215893b5.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c5c929446d147e1d2064bc03e9c55625.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/199cd2da88fb9e848ba3778f5bdbe5ad.jpeg.780x439.jpg;,【户型介绍】此房卧室比较大，不考马路安静。南北通透两房，采光无遮挡！！！【交通出行】交通便利，近西藏南路地铁站，地铁4 8 号线，和马当路9，13号线！【小区介绍】此房是新公房一梯2户，小区品质相对较高，得房率高，面积大！！
SH2391040586343268352,整租·汝南街小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/pc1_3Ae9wKbNV_1.jpg.250x182.jpg,黄浦,五里桥,汝南街小区,42,1室1厅1卫,南,5400,近地铁;,高楼层/7层,2020-02-20,,整租,季付,5400,0,需咨询,9号线，13号线-马当路-1092m;9号线，13号线-马当路-1092m;9号线，13号线-马当路-1092m;9号线，13号线-马当路-1092m;9号线，13号线-马当路-1092m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/pc1_3Ae9wKbNV_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c18ed9da-e8bf-4ea1-909f-3a538e7f8db6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dd0bb5a2-5a38-4810-a4a9-dbe1c5306a2d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/382ffc37-fa7b-49cc-a790-e8ede6a3f032.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/aa72e3da-f911-4706-8b1c-06998d1ff8c5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0f104359-0ed3-4f6c-94a3-fb3e645dd671.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/457a6a5d-815d-4fb1-b72d-f3d5202fdee0.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_404f03ba-cde0-4815-855f-2a79ea6d772d.png.780x439.jpg;,【房源亮点】高品质小区精装一房，领包入住。采光好，通风好。4、8号线旁，交通便利。【交通出行】距离4、8号线西藏南路地铁站仅350米，出行方便。旁边公交车有454、715、969、974、18、23、96、318等等。出行方便。【周边配套】距离4、8号地铁站仅350米，出行方便。距离上海市第九人民医院仅100米，距离蓬莱公园690米。便利店、早餐店、大食堂、菜市场、小吃店等。银行、健身房、生活广场、宠物店、花店等生活娱乐配套齐全。
SH2377519898508402688,整租·北蒙三小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/pc1_jRKwv5Msl_1.jpg.250x182.jpg,黄浦,五里桥,北蒙三小区,31,1室1厅1卫,南,4600,近地铁;随时看房;,高楼层/7层,2020-01-18,,整租,需咨询,4600,0,需咨询,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1127m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1127m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1127m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1127m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1127m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/pc1_jRKwv5Msl_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5de0dfac-1a69-49b7-8ab1-00957b949c0b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e6efd26f-e2d3-4d06-beaa-ee27a2a6823f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d8e24f3d-6899-475a-8e52-d1d33507d3c5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1c6be5e1-a653-4698-8bc6-75e984fc920b.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_4e49fffa-1fb1-41af-a9e8-cd2c22ab1a1d.png.780x439.jpg;,【交通出行】9/13号线马当路地铁站，有多条公交车线路经过，出门300米上南北高架【周边配套】丽园公园、蒙西菜市场、凯德龙之梦、第九人民医院、工商银行、卢湾实验。【小区介绍】出门即9/13号线马当路地铁口，小区很干净，配套齐全，凯德龙之梦，丽园公园，蒙西菜市场。
SH2386857953748852736,整租·桥一小区 2室0厅 东,https://image1.ljcdn.com/310000-inspection/eb3a883d-a4fe-4a1f-8a12-e4597cf022c8.jpg.250x182.jpg,黄浦,五里桥,桥一小区,45,2室0厅1卫,东,5400,近地铁;随时看房;,中楼层/7层,2020-02-18,,整租,需咨询,5400,0,需咨询,4号线，8号线-西藏南路-1053m;4号线，8号线-西藏南路-1053m;4号线，8号线-西藏南路-1053m;4号线，8号线-西藏南路-1053m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/2257741f-35df-47af-92a4-50b492ab0046.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/eb3a883d-a4fe-4a1f-8a12-e4597cf022c8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/23fc3d0d-f135-4d65-a8ce-13d7c988ee12.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d6132903-bc66-443b-99f6-46bd1bc4e3d5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2b931a7e-c760-4d8f-8e77-955e5f56ad57.jpg.780x439.jpg;,【房源亮点】朝南户型，采光好、视野开阔，无遮挡，南北通透，房型很正，优质环境【交通出行】交通8/9/13号线，南北走向，在五里桥路，小区安静，出行便利【周边配套】配套设施完善，吃喝玩乐方便，闹中取静，适合居住，旁边菜场很方便
SH2455735246080188416,整租·蒙西小区 1室1厅 南/北,https://image1.ljcdn.com/110000-inspection/8a2e01bbba74b82a1a62da01d4210bfb.jpg.250x182.jpg,黄浦,五里桥,蒙西小区,37,1室1厅1卫,南/北,5500,近地铁;精装;,低楼层/6层,2020-02-25,精装修,整租,季付,5500,0,需咨询,8号线，9号线-陆家浜路-1106m;8号线，9号线-陆家浜路-1106m;8号线，9号线-陆家浜路-1106m;8号线，9号线-陆家浜路-1106m;8号线，9号线-陆家浜路-1106m;8号线，9号线-陆家浜路-1106m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,自采暖,2年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/8a2e01bbba74b82a1a62da01d4210bfb.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e0224e6b569ecf0b2b3e4405ff14cde0.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/41f0a72baa579851b5c9b6646df1e7ce.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/0aa8b51a65cca7af4cd0d51603d4a367.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/af53cb975695b22f8ff8d37758e4ae59.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/990b9ed88079f2d8519b2b11ce2ee713.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/a8083179-6b54-4748-9851-4a9581134673.png.780x439.jpg;,【交通出行】交通便利，小区隔条马路就是新天地商圈，出门9号线13号线马当路地铁站，9号线可转乘多条主干线，13号线地铁到站每个区域位置好且不拥挤，驾车近南北高架、西藏南路隧道、复兴中路隧道。【周边配套】配套完善，出门丽园公园，适合家里有老人和孩子，休闲娱乐锻炼身体好去处，距离小区最近的是上海九院。【小区介绍】小区的地理位置不错，交通便利，距离马当路地铁站、鲁班路地铁站较近，生活设施齐全
SH2458519856920657920,整租·北蒙三小区 1室0厅 东北,https://image1.ljcdn.com/110000-inspection/252aaf62a88fe8fe48a505a6aab2c021.jpg.250x182.jpg,黄浦,五里桥,北蒙三小区,0,,,4200,近地铁;精装;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
