hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2406552761148907520,整租·复地雅园公馆 2室2厅 南,https://image1.ljcdn.com/lease-image/house/f27fe773-0f7f-4b04-a8a0-22e033d8865a.jpg.250x182.jpg,黄浦,豫园,复地雅园公馆,139,2室2厅2卫,南,15500,近地铁;精装;双卫生间;随时看房;,高楼层/21层,2019-12-08,精装修,整租,季付,15500,0,7750,8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-917m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-917m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/9f42138a-bc87-44fa-9f06-d3f86ae399bf.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c3700baa-c4bc-4ee8-8a97-7fa163798f46.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/beb80571-71fe-400a-96f9-dcac2904bbf6.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f27fe773-0f7f-4b04-a8a0-22e033d8865a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c7759117-9945-42ad-bded-d468c3b03937.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/84958ddb-3f9c-41ed-b4d7-aa7c841fdd9a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c7702218-fa3b-4b95-8a06-587209ca5a8d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/93fd9fe7-4b34-4599-8036-199af19d3889.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/486314f0-124e-49ba-a849-e17b36e6b332.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/04e397ed-a00d-4383-b707-004dcbebe59f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/579f63c2-989f-43c7-89bb-4b2defaf81c3.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cc9dad2b-687a-4208-a3bc-161d8aa7475f.jpg.780x439.jpg;,
SH2462782210005008384,整租·瑞福小区 2室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,黄浦,豫园,瑞福小区,78,2室1厅1卫,南,9200,新上;近地铁;随时看房;,低楼层/23层,2020-02-23,,整租,季付,9200,0,4600,1号线-黄陂南路-1194m;1号线-黄陂南路-1194m;1号线-黄陂南路-1194m;1号线-黄陂南路-1194m;1号线-黄陂南路-1194m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,False,,
SH2429706434553061376,整租·人民大楼 2室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,黄浦,豫园,人民大楼,67,2室1厅1卫,南,8800,近地铁;随时看房;,高楼层/17层,2020-01-08,,整租,季付,8800,0,4400,1号线，2号线，8号线-人民广场-1126m;1号线，2号线，8号线-人民广场-1126m;1号线，2号线，8号线-人民广场-1126m;1号线，2号线，8号线-人民广场-1126m;1号线，2号线，8号线-人民广场-1126m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,False,,
SH2459308504402632704,整租·先棉祠街小区 2室1厅 南,https://image1.ljcdn.com/110000-inspection/24cf95b96a8660a6d8d159b19d410b6d.jpg.250x182.jpg,黄浦,豫园,先棉祠街小区,52,2室1厅1卫,南,5500,近地铁;,低楼层/6层,2020-02-19,,整租,需咨询,5500,0,需咨询,8号线，9号线-陆家浜路-931m;8号线，9号线-陆家浜路-931m;8号线，9号线-陆家浜路-931m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/24cf95b96a8660a6d8d159b19d410b6d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/059e5d81afaa4a3f98d6cd2fa6e17039.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/8e10db4b5956902dbc2a0c33671028a7.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/053d873042c58a02bc7b0db74d99efe0.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/fa07961092404072b20ad47c7cf0f237.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/4a650f7ea2bec5c5a533f13d131ff92f.jpg.780x439.jpg;,
SH2386027956007862272,整租·四川南路44弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/aa21a110-b801-46c6-b4aa-1e68ada7c3e1.jpg.250x182.jpg,黄浦,豫园,四川南路44弄,44,1室1厅1卫,南,5500,近地铁;精装;,高楼层/6层,2020-01-14,精装修,整租,季付,5500,0,需咨询,8号线-大世界-1118m;8号线-大世界-1118m;,True,True,True,True,True,True,True,True,True,True,免费使用,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/aa21a110-b801-46c6-b4aa-1e68ada7c3e1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c2c3c8e9-6629-4e49-b4ca-ffb03c66471c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/44174116-6e81-4a08-b0bd-290ef444873b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0f8db9e1-e7e9-4dc4-a9f7-6eb91f991582.jpg.780x439.jpg;,【户型介绍】四川南路属于大的开间一居室，精装修家具家电齐全，可以拎包入住。【交通出行】地铁10/8号线老西门地铁站，同时夜晚出行城隍庙也是您很好的选择。【出租原因】业主是一手买进的，现在用不到这个房子，这是第二次出租，租客到期了座椅对外出租。
SH2415275406615134208,整租·龙门邨 1室1厅 南,https://image1.ljcdn.com/110000-inspection/27688555e938851456d2dd151f2db0dd.jpg.250x182.jpg,黄浦,豫园,龙门邨,15,1室1厅1卫,南,3000,近地铁;随时看房;,低楼层/3层,2020-02-24,,整租,季付,3000,0,需咨询,8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-782m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-782m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-782m;,False,False,True,True,True,False,True,False,False,False,暂无数据,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/4c3b5e8437e4411125318238d840dc86.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/27688555e938851456d2dd151f2db0dd.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/650971eb6729c3229a92899b7d5e19d0.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/207d1b9410a1f88d9f0573109fe48626.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/398b2baadeaf84c4bf120803b78122a3.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2dccfba48d970c26b7a281cc8f866460.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/8e83bcba8e1514af0216bea3c728125c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/931f5638281d2932eec314e2b2963d7a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e613087332ceb129c231f7d64ce1d679.jpg.780x439.jpg;,【房源亮点】整租一居室，价格美丽，安静舒适，适合单身，房间可以放一个单人床。欢迎入住【装修描述】业主全新装修，一居室居住方便，阳光不挡，现代装修，期待您的入住。【交通出行】距离地铁小南门站780米，公交站有11路，866路，715路，64路，24路公交车，出行便利。
SH2410033593176039424,整租·光启路103弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/ef309cf9-a00f-43a9-8786-1824c143f6ea.jpg.250x182.jpg,黄浦,豫园,光启路103弄,0,,,4800,近地铁;精装;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2431660153561956352,整租·县左街20弄 1室0厅 南,https://image1.ljcdn.com/310000-inspection/f2593668-1cf1-482d-8fd3-a49a42cebea1.jpg.250x182.jpg,黄浦,豫园,县左街20弄,19,1室0厅1卫,南,4000,近地铁;,中楼层/8层,2020-02-25,,整租,季付,4000,0,需咨询,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1061m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1061m;,False,True,True,False,True,False,False,False,False,True,暂无数据,民电,自采暖,1年以内,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/4f866650-57aa-4df2-8d3b-31f93d232d10.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f2593668-1cf1-482d-8fd3-a49a42cebea1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ab23b6d0-58ea-47fa-b441-e8abfd7563f8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/406253c1-4f55-45ac-b750-b5d201ace6a2.jpg.780x439.jpg;,【房源亮点】小户型，业主好沟通，适合居家，单身，情侣，朋友合租，地理位置不错，价格合适【装修描述】简简简装，业主买来后直接出租，装修比较简单，价格可谈，同事们多多推荐【出租原因】业主买来后没有装修，不自住，直接对外出租，业主不住在这边，住在浦东【周边配套】出小区门有水果商店，小饭馆，小超市之类的，距离10号线豫园站1公里【小区介绍】小区是老小区，总高8层，没有电梯，该房源位于6楼，中高楼层采光好
SH2419663948463734784,整租·县左街20弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/24f0637c-ee02-4781-8ff2-79448d5737f3.jpg.250x182.jpg,黄浦,豫园,县左街20弄,26,1室1厅1卫,南,5000,近地铁;精装;随时看房;,中楼层/8层,2020-02-25,精装修,整租,季付,5000,0,需咨询,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1061m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1061m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,自采暖,2年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/24f0637c-ee02-4781-8ff2-79448d5737f3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bbf3daae-49ff-4487-94f0-6599292cc242.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/43e55f22-76c6-4c95-b953-27821a14293a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/993f3c7a-6c1d-469a-b3f2-c503837bada5.jpg.780x439.jpg;,【装修描述】朝南一居室，一门独户，有独立阳台晾衣方便，家具家电齐全，诚意出租【出租原因】业主多余房产，诚意出租，看房随时，价格还能谈，租客希望是素质高的，居家或者白领之类的【周边配套】生活方便，设施齐全，近豫园地铁和小南门地铁站，晚上还能看到外滩浦东的高楼
SH2386730468037885952,整租·光启路103弄 1室0厅 西北,https://image1.ljcdn.com/310000-inspection/bf74a6a5-d151-4674-b25a-777073e61c4d.jpg.250x182.jpg,黄浦,豫园,光启路103弄,27,1室0厅1卫,西北,5000,近地铁;精装;随时看房;,高楼层/7层,2020-02-24,精装修,整租,季付,5000,0,需咨询,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1083m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1083m;,True,True,True,True,True,True,True,True,True,True,免费使用,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/1adb0bee-427c-4b0b-8649-c85406783cb0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bf74a6a5-d151-4674-b25a-777073e61c4d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/eecfb6bc-3656-41e4-8215-06dd1b5ea5da.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/61e250e9-91be-45c7-b357-91fb26a46b9f.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/test-4bcb052c-db48-4ca4-ae92-61889eff2ec1.png.780x439.jpg;,【户型介绍】本房属于开间的一居室，精装修面积是将近在30平方左右，朝南一居室。【交通出行】8号线10号线老西门站，10号线豫园站，城隍庙更是能够满足您的交通出行。【出租原因】业主是二手买进现在用不到，所以出租此房，房东很好说话，通过我们链家二次的交易。
