hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2426894563672334336,整租·世昶生活广场 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,嘉定,安亭,世昶生活广场,56,1室1厅1卫,南,2300,近地铁;随时看房;,高楼层/15层,2020-02-11,,整租,季付,2300,0,1150,2号线-川沙-1098m;2号线-川沙-1098m;2号线-川沙-1098m;,False,True,True,True,True,False,True,False,True,False,暂无数据,商电,自采暖,暂无数据,随时可看,随时入住,True,商水,True,https://image1.ljcdn.com/lease-image/house/2174b80760279d4eca453b9e73185423.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7cb48f610ff9c01f4a29be647abaadde.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6d96841ad9bbd53a439e5a9ed358aa0c.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/46c5d39fc0d02d0e2cf9d89842b68b5a.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8a8ce2b40f64286aa2158d6044b70898.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/972cfa15-df73-4736-bfd1-eb4a55d0b30a.png.780x439.jpg;,
SH2433984357564948480,整租·红梅小区(嘉定) 3室1厅 南,https://image1.ljcdn.com/lease-image/house/04d4b74ab04c258e831aecf145d125d4.jpeg.250x182.jpg,嘉定,安亭,红梅小区(嘉定),68,3室1厅1卫,南,2800,近地铁;随时看房;,中楼层/6层,2020-01-16,,整租,季付,2800,0,1400,11号线(花桥-迪士尼)-780m;,False,False,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/04d4b74ab04c258e831aecf145d125d4.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8f4e4302193964c382eaa52ef497ec55.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/429b6eb69d883ef9b89453649bae0998.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/75c15bcf86e9a78017cc6504cf454114.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8d29cbb3a04d8b1ae7bac590344cf5f5.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b0a4fb7d46048342ead5ea0cc5ff156b.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/db65fddd7aecc995d27c0c8c302ab6c4.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6f12b632b8900d85570664b81c76cf28.jpeg.780x439.jpg;,
SH2436908408033779712,整租·上海派 3室2厅 南,https://image1.ljcdn.com/lease-image/house/b9a5ff7dbb2f178560fd72aec7148536.jpeg.250x182.jpg,嘉定,安亭,上海派,89,3室2厅1卫,南,3700,精装;随时看房;,低楼层/17层,2020-01-18,精装修,整租,季付,3700,0,1850,11号线(花桥-迪士尼)-459m;,False,True,True,True,True,False,True,False,True,False,暂无数据,商电,暂无数据,暂无数据,随时可看,随时入住,False,商水,True,https://image1.ljcdn.com/lease-image/house/0c6c8d3383a9ee00f035fcfa35ff6eeb.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f6cfff08c8ff620ac8a0306bd9856778.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/bc668d6a3e555639958077abc515288f.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b9a5ff7dbb2f178560fd72aec7148536.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/47d3026a33289b22746a32517b32c99c.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5e8591d3ac74165dcc11a83f3bcc0250.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4278e41ea260e12bbe5aaef6afb31f29.jpeg.780x439.jpg;,
SH2436942324752982016,整租·新里米兰商业街 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,嘉定,安亭,新里米兰商业街,0,,,2800,近地铁;精装;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2382487370667655168,整租·绿地海域苏河源(二期) 1室0厅 南,https://image1.ljcdn.com/310000-inspection/dd4d057d-f9d4-4fc4-82b7-485520aeef17.jpg.250x182.jpg,嘉定,安亭,绿地海域苏河源(二期),172,1室0厅1卫,南,1400,,中楼层/5层,2020-02-23,,整租,需咨询,1400,0,需咨询,11号线(花桥-迪士尼)-856m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/dd4d057d-f9d4-4fc4-82b7-485520aeef17.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/85f26774-42c8-4760-a1d6-79a61db1379b.jpg.780x439.jpg;,
SH2460768309537415168,整租·上海派 2室1厅 南/北,https://image1.ljcdn.com/110000-inspection/a4792d72-090d-426a-acfc-03a714a12ae2.jpg.250x182.jpg,嘉定,安亭,上海派,69,2室1厅1卫,南/北,2200,新上;,高楼层/15层,2020-02-25,,整租,需咨询,2200,0,需咨询,11号线(花桥-迪士尼)-459m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/bec4137f-b794-4f7d-8f1e-e716f1ab9ac3.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/37c861ae-0bdc-4383-ba5e-47c1adea8e2c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a4792d72-090d-426a-acfc-03a714a12ae2.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/95ba9080-e733-4689-a1a8-da060b5fe395.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ad3de8a0-fb96-4b41-84f7-b64a81f72fb8.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/f74598a1-fc31-477c-8cde-bc125f81c722.png.780x439.jpg;,
SH2431730185184215040,整租·日月光伯爵湾 3室2厅 南,https://image1.ljcdn.com/310000-inspection/3b4fe0e1-5e71-4952-adb8-b0584d732f4a.jpg.250x182.jpg,嘉定,安亭,日月光伯爵湾,90,3室2厅2卫,南,2100,双卫生间;,低楼层/18层,2020-02-19,,整租,需咨询,2100,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/812a6900-3d75-4cbb-b59a-31f6eb6ee31c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9de50a81-8c6e-46ec-932a-4a3d14cc7c2d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a0da25bb-c27c-4cee-a2cb-28fcf191d2af.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3b4fe0e1-5e71-4952-adb8-b0584d732f4a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7a35d942-a5df-4e32-b192-00a0e70f96d7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d8f9fe8e-802b-4c20-99e6-cf2e38a6f6fc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b65791e5-c2ce-44ae-b288-6818e7f2f4a5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5ef9b48e-1784-44bc-8a54-72f27f40a1ec.jpg.780x439.jpg;,
SH2299212070585384960,整租·新虹桥时代公馆 1室0厅 北,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,嘉定,安亭,新虹桥时代公馆,0,,,2000,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2383125465687654400,整租·绿地海域苏河源(一期) 2室1厅 南,https://image1.ljcdn.com/310000-inspection/121eaddd-60bd-4899-8e3b-a07c2cf52200.jpg.250x182.jpg,嘉定,安亭,绿地海域苏河源(一期),81,2室1厅1卫,南,2200,,高楼层/27层,2020-01-19,,整租,需咨询,2200,0,需咨询,11号线(花桥-迪士尼)-933m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/d7bf8d6c-b638-4665-ad89-95ab4f3acf89.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/121eaddd-60bd-4899-8e3b-a07c2cf52200.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c0cc68e2-3fd6-46d6-bf52-150d3962f4ba.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/afb84f6c-26b3-41f5-92af-f2c8b2daed1b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b290eebf-3e6b-46dc-9897-c02c334e9a9e.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/e4b97bd7-a895-4f57-ac20-64d8ba672b9d.png.780x439.jpg;,
SH2461470055385808896,整租·恒大名都 2室2厅 南,https://image1.ljcdn.com/110000-inspection/b1bc26f4-b4cf-40bd-a26b-5de25107d955.jpg.250x182.jpg,嘉定,安亭,恒大名都,74,2室2厅1卫,南,3600,新上;近地铁;,高楼层/16层,2020-02-25,,整租,需咨询,3600,0,需咨询,11号线(花桥-迪士尼)-320m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/10469924-e41a-4616-95f9-33593c8ed745.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/bc38b829-70b4-46c3-b570-9d2b0f3efc12.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b1bc26f4-b4cf-40bd-a26b-5de25107d955.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/688ba3d7-a14e-49a4-8612-090a55012e2a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/704301aa-55fe-40ea-a5d9-4dcf986cb706.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ef68a9b2-5ca9-4e58-8d76-b2cbad9ffbf9.jpg.780x439.jpg;,
