hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2458436153510985728,整租·金丰新村 1室2厅 南,https://image1.ljcdn.com/lease-image/house/52e41999-bd01-4a2d-87ca-d3290610da95.jpg.250x182.jpg,嘉定,丰庄,金丰新村,73,1室2厅1卫,南,6300,近地铁;精装;随时看房;,低楼层/6层,2020-02-17,精装修,整租,季付,6300,0,3150,13号线-祁连山南路-641m;13号线-祁连山南路-641m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/52e41999-bd01-4a2d-87ca-d3290610da95.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/00dbbec7-e741-4c89-8b64-f410e9fb3f75.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ba185134-696d-4f73-8006-437e4b0d5dae.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/efba8633-daf9-46ec-92f8-be06ce83c20a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2f54c698-16d6-4e6e-b2f4-61da4d687e9e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/064d3abc-a1fb-4888-8d5c-9f21b2789cb9.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c5d4ad33-147a-4b1c-9564-0dc39612b3ee.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e0f4bf7f-6bde-4540-9670-06f42898564a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/eb09b728-5b9b-4d36-9e0b-30eb0ca1a6a1.jpg.780x439.jpg;,
SH2399840607137964032,整租·安盛苑 2室1厅 南,https://image1.ljcdn.com/310000-inspection/feb73016-ee9d-4514-bbc4-80f54fc84b58.jpg.250x182.jpg,嘉定,丰庄,安盛苑,78,2室1厅1卫,南,2800,,低楼层/6层,2020-02-26,,整租,需咨询,2800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/f9b141bb-1b93-4792-bbc6-39087aed1bfd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/aab6df9c-eceb-43d6-980c-e463dbc0ad78.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/feb73016-ee9d-4514-bbc4-80f54fc84b58.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/204c499c-40e4-4085-8bee-a6a3aee63beb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/041d07da-a03d-46a0-a0aa-455b9a197e4d.jpg.780x439.jpg;,
SH2402160671732006912,整租·嘉和坊 1室1厅 南,https://image1.ljcdn.com/310000-inspection/09681db6-bdfe-4874-bdba-3084cab9cbac.jpg.250x182.jpg,嘉定,丰庄,嘉和坊,47,1室1厅1卫,南,2900,随时看房;,高楼层/6层,2020-01-20,,整租,需咨询,2900,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/09681db6-bdfe-4874-bdba-3084cab9cbac.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a66a3d01-64d0-4c08-9d62-daefdf96c99f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6169defa-f71f-4ed1-81ac-a19616b827de.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9c3675df-5aa6-4bdb-8c99-a2aa358400f1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8e8e52db-3014-4ebc-b35a-72973170db90.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/40260cd3-7d75-47e5-9968-23eb481499d3.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/76308bd5-fc79-48ee-8ffe-9ce85070ab6b.png.780x439.jpg;,
SH2438306580807294976,整租·嘉美坊 1室1厅 南,https://image1.ljcdn.com/310000-inspection/b7183c71-f90f-44df-8923-e803464cf5fc.jpg.250x182.jpg,嘉定,丰庄,嘉美坊,48,1室1厅1卫,南,3200,随时看房;,高楼层/6层,2020-02-22,,整租,需咨询,3200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/b7183c71-f90f-44df-8923-e803464cf5fc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/86394669-81c7-40d1-b72d-5fecc8a8672a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0d62003f-9d57-4d25-a4e6-e7b64e90994b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f1dde456-462f-4247-8332-82f7c62e5353.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e9e011aa-b5f9-4de8-8ae8-d5fd87f02091.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/0841f71b-20c2-4792-b404-69623db4eca1.png.780x439.jpg;,
SH2414289269222023168,整租·丰庄十二街坊 1室0厅 南,https://image1.ljcdn.com/310000-inspection/prod-12d452da-d825-4004-af0d-bb9452cdf0b9.jpg.250x182.jpg,嘉定,丰庄,丰庄十二街坊,34,1室0厅1卫,南,3500,近地铁;,高楼层/6层,2020-02-20,,整租,季付,3500,0,需咨询,13号线-丰庄-563m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/prod-12d452da-d825-4004-af0d-bb9452cdf0b9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-521a4029-2fbc-4e8e-98b4-ff0454dc6e7d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-a5185afa-5558-45d1-a034-2fb655000b4f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-82e96a32-6285-46ea-8f53-a377f156ad61.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-d0f7e8a5-3ed0-425a-b0b3-d374c1aa3f5b.png.780x439.jpg;,
SH2449784731253358592,整租·丰庄十四街坊 1室1厅 南,https://image1.ljcdn.com/310000-inspection/caeaf31b-68e6-4750-850c-fa75a26cf1d7.jpg.250x182.jpg,嘉定,丰庄,丰庄十四街坊,0,,,3500,近地铁;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2412329305557442560,整租·嘉美坊 1室1厅 南,https://image1.ljcdn.com/310000-inspection/be392cb2-a9e4-4db6-afad-42f6fe5dcc45.jpg.250x182.jpg,嘉定,丰庄,嘉美坊,48,1室1厅1卫,南,3600,,中楼层/6层,2020-02-21,,整租,需咨询,3600,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/ac5aafef-bc9d-4fc2-9a59-d63a0bf17f93.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/be392cb2-a9e4-4db6-afad-42f6fe5dcc45.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4a3a2df3-4c29-4abf-8df6-73f4e318f080.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/29c2696e-c50e-4df2-b7df-f7be150d4074.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ab50ab8b-c310-472c-86b8-73f3c9d28a5d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fc5c3aad-94a0-44d8-8547-7ec5e35019a3.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_e55a0d94-28f8-423b-a83d-94b9e96e8549.png.780x439.jpg;,
SH2427424124734816256,整租·华轩大厦 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,嘉定,丰庄,华轩大厦,47,1室1厅1卫,南,3200,随时看房;,中楼层/14层,2020-02-25,,整租,需咨询,3200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,,
SH2462209724779864064,整租·嘉尚坊 1室1厅 南,https://image1.ljcdn.com/110000-inspection/5c4a3b69-42a9-41be-b3ff-f23050a840d6.jpg.250x182.jpg,嘉定,丰庄,嘉尚坊,46,1室1厅1卫,南,4200,新上;,中楼层/6层,2020-02-24,,整租,需咨询,4200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/5c4a3b69-42a9-41be-b3ff-f23050a840d6.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/31c26658-b1cb-4f56-abe5-9bbae64051e6.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2b142556-ded5-4579-acdf-2a664acc9292.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e39507bf-5ecb-4cfb-8576-47bf70689342.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/1be01c27-71cc-4caa-b9a5-33ad27b60aac.png.780x439.jpg;,
SH2462954223000616960,整租·丰庄一村 1室1厅 南,https://image1.ljcdn.com/110000-inspection/581a5d180e7b85687370ac33f3a08c0e.jpg.250x182.jpg,嘉定,丰庄,丰庄一村,48,1室1厅1卫,南,3800,新上;,高楼层/6层,2020-02-24,,整租,需咨询,3800,0,需咨询,13号线-丰庄-1092m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/173729f387a5a339a1b797f161e7c6fd.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/581a5d180e7b85687370ac33f3a08c0e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/abe8b5c8ca17ec716b55ffd094538e3a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/fe641a36002eaa8b9b19a32dd5aeec8d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f0268783a76ceebf7aba62f111a01acb.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/d8ee108b-786e-4061-ba18-d838d40cd9ba.png.780x439.jpg;,
