hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2459913769741197312,整租·梅园新村(嘉定) 1室1厅 南,https://image1.ljcdn.com/110000-inspection/40f62c2f3523c4a4aa7328253408797e.jpg.250x182.jpg,嘉定,嘉定老城,梅园新村(嘉定),35,1室1厅1卫,南,2000,新上;,低楼层/6层,2020-02-25,,整租,需咨询,2000,0,需咨询,11号线(嘉定北-迪士尼)-701m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/40f62c2f3523c4a4aa7328253408797e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b2a8954ef0396d130371b0c6fd7f8624.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/686437dafc27295227c2a63ce3cd6f5c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/9af2f1e2661adcf54f6438ecda109532.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a71343123004ecb3cd3c027fa3fc8c08.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_eb6248f7-a9ec-478a-8fbc-9e724c5c40c9.png.780x439.jpg;,
SH2370752046623367168,整租·桃园小区(嘉定) 1室1厅 南,https://image1.ljcdn.com/310000-inspection/a30b18c5-47ae-4b19-95ef-7ed04fa74de3.jpg.250x182.jpg,嘉定,嘉定老城,桃园小区(嘉定),40,1室1厅1卫,南,1800,,高楼层/6层,2020-01-18,,整租,需咨询,1800,0,需咨询,11号线(嘉定北-迪士尼)-798m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/a30b18c5-47ae-4b19-95ef-7ed04fa74de3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/77d06f9f-49fe-4c0d-9fa9-4acde2b40218.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b98afd5a-2a4e-43c1-9361-14f6b3b046d4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c8c619fe-cb66-49f3-82d7-c4d61a2fb82a.jpg.780x439.jpg;,
SH2322199825678352384,整租·李园二村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/c48b4a9f-0c5a-460f-bc35-c268eee2fd7b.jpg.250x182.jpg,嘉定,嘉定老城,李园二村,45,1室1厅1卫,南,2200,精装;,中楼层/6层,2020-01-17,精装修,整租,季付,2200,0,需咨询,,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/994da21b-df00-47f4-a7f5-69e66a1c6eeb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c48b4a9f-0c5a-460f-bc35-c268eee2fd7b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/adc3ca00-1623-46bb-8e4e-54b00fa94dc1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5cf9ebf4-76b2-4d6e-99f8-115fe6f51290.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/59165490-a367-4448-869a-cf06b6a91a4a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1857d53d-88eb-4dc7-9961-0ac65fc38845.jpg.780x439.jpg;,
SH2431935911912030208,整租·桃园小区(嘉定) 1室1厅 南,https://image1.ljcdn.com/110000-inspection/7831b7df-bc11-4b2a-ae1f-e7a8f2cb92e7.jpg.250x182.jpg,嘉定,嘉定老城,桃园小区(嘉定),39,1室1厅1卫,南,2100,近地铁;,中楼层/6层,2020-02-15,,整租,需咨询,2100,0,需咨询,11号线(嘉定北-迪士尼)-798m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/7831b7df-bc11-4b2a-ae1f-e7a8f2cb92e7.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b6caced7-ad8a-471e-83eb-4dd60eefa2a8.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ec87050e-d186-436d-8689-5a96e2d26248.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b10b4141-68f5-4bd2-8562-2ec751531860.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d1f62910-4dfa-4870-ab6b-25112d209883.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_f04ee3da-f740-4703-b8c3-673cdf754405.png.780x439.jpg;,
SH2431832651804983296,整租·李园二村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/0e7b3a19-efe5-445d-9ae4-ada9e8472015_1000.jpg.250x182.jpg,嘉定,嘉定老城,李园二村,45,1室1厅1卫,南,2000,随时看房;,高楼层/6层,2020-02-15,,整租,需咨询,2000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/562c0cec-4e98-468c-9990-ef522bee4eb9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0e7b3a19-efe5-445d-9ae4-ada9e8472015_1000.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c620e958-97b9-433a-8a30-329d3c7d8eda.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6bb0eacb-6278-4cd4-a42c-c7d9ea2f9229.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e10f08c4-5e48-454c-aeac-a83432ffbfd6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1e3928e9-9fe6-439c-b0c1-861dec306578.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_e38b74b2-4fd4-48cd-83b5-e5fb004b41f3.png.780x439.jpg;,
SH2460666806684090368,整租·中下塘街小区 1室1厅 南,https://image1.ljcdn.com/110000-inspection/f100f2721d11d3b75b573c6c67eeab19.jpg.250x182.jpg,嘉定,嘉定老城,中下塘街小区,43,1室1厅1卫,南,2000,新上;,中楼层/5层,2020-02-24,,整租,需咨询,2000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/f100f2721d11d3b75b573c6c67eeab19.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/59add86a181ef7498557853794f624a8.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b0ccf1d02369837ba16c1ab897fe7f23.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/92a1114b4f3487902339f523ccb91fe7.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/6c895a32c25db253e2f7b0c86117674a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/7144d1f1430aa0a90f01b7f3446acd8b.jpg.780x439.jpg;,
SH2457294816636583936,整租·东大小区 2室1厅 南,https://image1.ljcdn.com/110000-inspection/17e84db8-be61-4c6c-aaee-d8ff0fcacda5.jpg.250x182.jpg,嘉定,嘉定老城,东大小区,58,2室1厅1卫,南,2200,,高楼层/6层,2020-02-21,,整租,需咨询,2200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/17e84db8-be61-4c6c-aaee-d8ff0fcacda5.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/427a9fa3-6e6b-40fe-a429-63438786c85d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c9c75ef8-3e61-4232-90cc-85dd72972357.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d3fb853b-d137-48ab-b731-9866265462d9.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/cc6905aa-0ccf-4299-85d4-ff99ad983dac.jpg.780x439.jpg;,
SH2203354293635907584,整租·六一小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/4d1bc45a-304d-42e6-ac42-07f1b27dae6b.jpg.250x182.jpg,嘉定,嘉定老城,六一小区,29,1室1厅1卫,南,1600,,高楼层/6层,2020-02-24,,整租,季付,1600,0,需咨询,,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,暂无数据,3年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/4d1bc45a-304d-42e6-ac42-07f1b27dae6b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c264cf33-bf3e-4d86-9d70-30088ebf2ade.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/03b84777-54c8-449e-925d-46e7fb7d0ae7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/485353d6-42b1-4883-9494-98ace2c63361.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/226e80ad-0e38-4dff-9084-1a3249e74d12.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e0d9746b-b5d5-4f68-9b0f-4d4937b8e78c.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/a51fa710-39d2-4f90-b5bf-30ccc28587eb.png.780x439.jpg;,
SH2425977149883424768,整租·清河路58号 1室1厅 南,https://image1.ljcdn.com/310000-inspection/c3e0b96b-a24d-4fca-8a8d-785110b4de47.jpg.250x182.jpg,嘉定,嘉定老城,清河路58号,40,1室1厅1卫,南,1900,,高楼层/6层,2020-02-24,,整租,需咨询,1900,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/c3e0b96b-a24d-4fca-8a8d-785110b4de47.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/eeec3f34-0ff0-4a29-982c-bebbbaa50240.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ec3e4140-357c-429a-99f1-b49ccaabc513.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ea2a2405-26a1-418e-9838-34ab92d451e6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b0d224e6-88dd-47be-8188-0757e956f853.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/82028374-02d8-48ae-b20b-dfaf13a63f6e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5d6d19c1-cb6d-403a-b3e6-fe1feb64532f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c7fc4e22-3e9e-4037-8569-4969b2f7eaed.jpg.780x439.jpg;,
SH2453413537427759104,整租·塔城路850弄 2室1厅 南,https://image1.ljcdn.com/110000-inspection/ec962d1b9921c29df5970a0ea4a71061.jpg.250x182.jpg,嘉定,嘉定老城,塔城路850弄,64,2室1厅1卫,南,1800,,低楼层/6层,2020-02-21,,整租,需咨询,1800,0,需咨询,11号线(嘉定北-迪士尼)-1105m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,集中供暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/ec962d1b9921c29df5970a0ea4a71061.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b29305909d6f0f2fcff84c346a492a6c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d30b9d7b4b73892468b71c6929cab073.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/aa4fba10ebb9e84b079c912fda404ab8.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f7a1320d76ee185c0222831fbfffb361.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-5bf36dfe-7fe3-4c49-ac3c-f69c52873dff.png.780x439.jpg;,
