hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2428895400887844864,整租·保利湖畔阳光苑 2室2厅 南,https://image1.ljcdn.com/lease-image/house/4e928cfcbbc43e42b1dec1c4fc6d07d1.jpeg.250x182.jpg,嘉定,嘉定新城,保利湖畔阳光苑,89,2室2厅1卫,南,4800,精装;随时看房;,中楼层/14层,2020-02-11,精装修,整租,季付,4800,0,2400,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/3b20096b968c5f74a5823ed48df8d8c7.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e2b0b3842ba42afadffaf1c146335562.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5c30adb5747e439d5b26856898bbc157.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/403ab84de43667bd91ea10d33fe4f48b.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4e928cfcbbc43e42b1dec1c4fc6d07d1.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7964979985624c11d6315bb63125fbf1.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8c911a262832c6cde10773152e3eb625.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4e877638e1cc4de763fe7c36e6d1da29.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/279fb459b7d6d87e80499823115c82de.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/de231302e1b9e3a0107f3bc4f0b40d46.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/174d7617805a080144be8ba2e99fd3a6.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2150ab3ed8b796bbf1b23b0ab5c1ebb2.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/24a6e0f9c2535b93eec7c692ef8329db.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b3352472-666d-4bf7-8a0b-42e87d6499f6.jpg.780x439.jpg;,
SH2431749061280268288,整租·阳光里(嘉定) 2室2厅 南,https://image1.ljcdn.com/lease-image/house/df95809e201b4f87b1238482cfc39669.jpeg.250x182.jpg,嘉定,嘉定新城,阳光里(嘉定),89,2室2厅1卫,南,4600,精装;随时看房;,中楼层/29层,2020-01-31,精装修,整租,季付,4600,0,2300,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,False,https://image1.ljcdn.com/lease-image/house/df95809e201b4f87b1238482cfc39669.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0c81dc023d5efa4a910929f05e8d32a0.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/189ba780452121fdebd7a6f9aff49c45.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/78887fe2cde9ccc0cc9b32159ca3fb42.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7c3e6dfc6e28f0c0298db787133ee137.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/13f56c1ef19c7d43bcc1436a2d6370e4.jpeg.780x439.jpg;,
SH2429052576449708032,整租·保利星海屿筑 2室1厅 南/北,https://image1.ljcdn.com/lease-image/house/9dcde74ed40251b2338e19b7576a2eae.jpeg.250x182.jpg,嘉定,嘉定新城,保利星海屿筑,0,,,4800,精装;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2435460660792918016,整租·嘉宝紫提湾(公寓) 3室2厅 南/北,https://image1.ljcdn.com/lease-image/house/bc95bfd17f0a0fa9dbed805842e84779.jpeg.250x182.jpg,嘉定,嘉定新城,嘉宝紫提湾(公寓),114,3室2厅1卫,南/北,5600,精装;随时看房;,中楼层/26层,2020-01-16,精装修,整租,季付,5600,0,2800,,False,False,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/4763263386797f16786eddcf1cb78ffd.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/da913f8aaed2270b90fe8ddeaae4756f.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/bc95bfd17f0a0fa9dbed805842e84779.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/37909e2a9e5d7f3a52e0c4223a474101.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/77450ecaeff7ed7db8af14e8e081af25.jpeg.780x439.jpg;,
SH2437783567078793216,整租·保利星海屿筑 3室2厅 南,https://image1.ljcdn.com/lease-image/house/718276d5d8aed498530c29183be1e29f.jpeg.250x182.jpg,嘉定,嘉定新城,保利星海屿筑,91,3室2厅1卫,南,5500,精装;随时看房;,中楼层/18层,2020-02-17,精装修,整租,季付,5500,0,2750,11号线(嘉定北-迪士尼)-1048m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/a39407dca6129a68f8d4ec24c8f1d8fc.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b7bf983218c66ba96791a317181e479f.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4a5cc6922ca291e1e100b4b2bc558ea9.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/28bb4189bfe4b723cb25d8346666f65e.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c53298c694d93b930b3662edc1f51b78.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/718276d5d8aed498530c29183be1e29f.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/433c2f78d24b05d84db74d67d3b500d4.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3db30f100a9fffde62c6598365a5a94d.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/be39c4521df30ec013d06af524ca3969.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/993e79b1814e6f3f5219b15b875ec3d3.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/981016b643eee7d898272e1737a2871a.jpeg.780x439.jpg;,
SH2339082067670999040,整租·汇豪新天地 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,嘉定,嘉定新城,汇豪新天地,55,1室1厅1卫,南,2000,,中楼层/13层,2020-02-24,,整租,需咨询,2000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,True,商水,False,,
SH2430389370592182272,整租·马陆汽配城 1室0厅 南,https://image1.ljcdn.com/310000-inspection/c33ba926-bf31-4dbd-867d-b5361992924f.jpg.250x182.jpg,嘉定,嘉定新城,马陆汽配城,24,1室0厅1卫,南,1800,,低楼层/3层,2020-02-24,,整租,需咨询,1800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/ee5039d8-1e0e-46ff-9f9f-2503aed31a75.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c33ba926-bf31-4dbd-867d-b5361992924f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b5ed3954-258a-4524-9d14-de40e9d76605.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f772cce7-7d7e-4689-adad-0681f8d10fa1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/62a28081-dfdf-4250-a645-2662f3102390.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bb3764f0-d528-4c6b-abf9-81df220fefc5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9a955a97-7ff6-4fdc-b4fb-0029658a5222.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/35edcc98-570f-4be6-9aff-32092dfe2035.jpg.780x439.jpg;,
SH2412093370412302336,整租·马陆汽配城 1室1厅 南,https://image1.ljcdn.com/310000-inspection/ec53158e-4792-4777-aa7e-65c94bf705ef.jpg.250x182.jpg,嘉定,嘉定新城,马陆汽配城,34,1室1厅1卫,南,2100,,高楼层/3层,2020-02-24,,整租,需咨询,2100,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/5ec1bbe1-e74d-4ffb-a617-d58549541b1d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ec53158e-4792-4777-aa7e-65c94bf705ef.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d79d95ab-6a88-421d-bdae-d8c5fe0ce9f9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7bab19c4-6d57-48cc-b37c-2fe8221a07ee.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4d115e9f-9a6d-4abf-8a79-ad689003e6ed.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/53a28655-ab5a-45d9-89d8-d1d5c9623897.jpg.780x439.jpg;,
SH2409223449483411456,整租·保利家园 2室2厅 南,https://image1.ljcdn.com/310000-inspection/b71ab6a6-c580-44f1-8cca-f4d853c5f5e2.jpg.250x182.jpg,嘉定,嘉定新城,保利家园,84,2室2厅1卫,南,2600,,高楼层/26层,2020-02-24,,整租,需咨询,2600,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/b71ab6a6-c580-44f1-8cca-f4d853c5f5e2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c2126e7b-2694-41dd-b7c8-9642ded03b93.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fb35cb71-4afa-4b51-8b4f-cbd3ac055c15.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bd871d19-7869-4449-9180-afe36cd6207f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/406ac23e-be44-4705-826d-cbcf924f063e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c3317b0a-2a33-4c59-b8b8-f94f2b94a6dc.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/219192f8-f19f-4382-8e26-0072e4bef240.png.780x439.jpg;,
SH2274695384192794624,整租·保利湖畔阳光苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/prod-604ebeba-d29e-4046-af53-f00ef3013fe9.jpg.250x182.jpg,嘉定,嘉定新城,保利湖畔阳光苑,69,1室1厅1卫,南,2500,,低楼层/14层,2020-01-19,,整租,需咨询,2500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/prod-8b5b8336-9b9d-4cfe-b9fb-d95daecaed26.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-ef9703a1-0e6f-4780-9709-734127a99c1f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-604ebeba-d29e-4046-af53-f00ef3013fe9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-aa8d864b-9015-4b62-bb7a-e56e53baec0b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-4c379050-e428-451f-91eb-fdea50e571f7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-6f9f95bf-533f-4ee4-86fd-39dc5fa2218f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-5f2338a8-dc79-4d65-8b35-79bdb02efecb.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_bb7f78fc-4c68-4a85-af13-59af663ed416.png.780x439.jpg;,
