hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2462907243692032000,整租·香馥湾酒店式公寓 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,嘉定,江桥,香馥湾酒店式公寓,65,1室1厅1卫,南,3400,新上;,高楼层/11层,2020-02-24,,整租,需咨询,3400,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,True,商水,False,,
SH2415010530822455296,整租·嘉莲华商住酒店式公寓(商业类) 1室1厅 南,https://image1.ljcdn.com/110000-inspection/94c3a583dca720bf199b9314f89ecb8b.jpg.250x182.jpg,嘉定,江桥,嘉莲华商住酒店式公寓(商业类),59,1室1厅1卫,南,2800,,低楼层/6层,2020-02-25,,整租,需咨询,2800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/94c3a583dca720bf199b9314f89ecb8b.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e2ec17d25aa6397bb58db0dfeddbfa2e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e2189ad0e8602b3781ee2a70fe8e2655.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/49d7e47ab0a94d1d0816fc496b653326.jpg.780x439.jpg;,
SH2420960898430025728,整租·中星海上名豪苑(三期) 1室2厅 南,https://image1.ljcdn.com/310000-inspection/774bb766-1455-4deb-a136-4658524b04a1.jpg.250x182.jpg,嘉定,江桥,中星海上名豪苑(三期),64,1室2厅1卫,南,3100,,低楼层/18层,2020-02-05,,整租,季付,3100,0,需咨询,,False,False,False,False,True,False,True,False,False,True,暂无数据,民电,暂无数据,2年以内,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/b0af8c2a-c89b-4fdb-9413-261f612d5525.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6ef451ec-cb67-4603-b934-42e90de8a134.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/774bb766-1455-4deb-a136-4658524b04a1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4621cdc4-9869-425c-a60c-c3454eeef628.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b01af252-e438-4741-b402-71132ad7bea2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/32310292-ad24-467f-85ee-94f2f97485aa.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20170929/b91592d8-5c7d-4114-9d83-9c8f6399999b.jpg.780x439.jpg;,【交通出行】公交：门口就有嘉定117路，由海波路星华公路发车，经海波路、华江路、金沙江路至金运路鹤旋路终点站；561、947、950、嘉江专线、北安线地铁：13号线金运路站、11号线桃浦新村站【出租原因】房屋现在有租客住，房子已装修完毕，2月1号之前搬走，看房随时方便的，现在看房中意的话可提前预定!!!!!!!!【周边配套】1.小区往东500米是富盈美食城、上疏永辉和联华超市；2.往东1000米是嘉尚坊广场和曹江农贸菜市场；3.往东南1500米是大型商场沃尔玛
SH2358543445779554304,整租·江桥三村五街坊 2室1厅 南,https://image1.ljcdn.com/310000-inspection/prod-3ef7ce87-63d1-4e1f-a767-795edf14b27c.jpg.250x182.jpg,嘉定,江桥,江桥三村五街坊,60,2室1厅1卫,南,3600,随时看房;,高楼层/6层,2020-01-17,,整租,需咨询,3600,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/prod-2faf9c41-2889-4eca-86c2-73dd365f07e9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-b333a596-4a52-4007-beb8-146e78e37429.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-17bf05b0-4a90-4cb4-948b-9d7e3c401aee.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-3ce602ba-adf4-43a4-a84b-9cf36ccc0022.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-3ef7ce87-63d1-4e1f-a767-795edf14b27c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-a2f07822-9088-458f-9c22-be4c947f97cf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-5fc1c483-740a-4df1-8448-983ba0809392.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-21471d7e-2f80-4aaa-bb61-b6fa674a7325.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-1654481e-d91a-4700-9559-ba9810a8c69e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-68246c9a-c34d-4859-85e4-e12b784d4387.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-44bb2233-c779-471b-9994-e62bcc38520a.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-b275f19e-7542-4d0e-ba41-d4aaab5c0df0.png.780x439.jpg;,
SH2462895832291622912,整租·金霞苑 1室1厅 南,https://image1.ljcdn.com/110000-inspection/971440f3c211fa561b20cbe92082ddbc.jpg.250x182.jpg,嘉定,江桥,金霞苑,52,1室1厅1卫,南,3500,新上;,低楼层/6层,2020-02-25,,整租,需咨询,3500,0,需咨询,13号线-金运路-995m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/6fdf7617566e35860210934c08399b8e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/971440f3c211fa561b20cbe92082ddbc.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/22e8e3d86ba5ae0af11054c7370f40d0.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2e2ba6a34605785267c795087bab0be3.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/123eb0642cb56546b05f7cd4a117d4c2.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c9711e23cfb4909dded09cf26377f108.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/59a0a4f0506da2bebbba36b7b8e727d6.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/6fedaeca98f6f09d69c22ab5d22b5b85.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/a0183477-1b8d-4882-81e8-97ab6ec17d5a.png.780x439.jpg;,
SH2433397944993447936,整租·江桥二村 1室1厅 南,https://image1.ljcdn.com/110000-inspection/d8535cb8-839a-4ebe-b8f8-eaa2163f2ab1.jpg.250x182.jpg,嘉定,江桥,江桥二村,41,1室1厅1卫,南,2880,,高楼层/6层,2020-02-20,,整租,需咨询,2880,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/d8535cb8-839a-4ebe-b8f8-eaa2163f2ab1.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/4f3e8d16-fc0f-4e51-a1bc-461b12a9342e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/1187c51a-3779-414b-a7c7-5ec08962c30d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/bc8b6d8b-37ae-4c0c-95a9-d82b2825af0f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/320566b9-7707-4bc5-9715-e7a8e75ad184.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-85e07901-cb86-4bd1-bac8-c80a2ec35ea9.png.780x439.jpg;,
SH2427330365942136832,整租·水岸秀苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/dc323fa2-2fa6-46aa-8ed9-6ebaa5c192b4.jpg.250x182.jpg,嘉定,江桥,水岸秀苑,54,1室1厅1卫,南,3600,近地铁;,低楼层/6层,2020-02-21,,整租,需咨询,3600,0,需咨询,13号线-金运路-959m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,一般下班后可看,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/dc323fa2-2fa6-46aa-8ed9-6ebaa5c192b4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c690db24-56cb-4f36-9c9c-339f06006e87.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/30686894-8040-4421-9acb-ebeee85d40bb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/37fb6e20-ca84-4515-aa3e-baa7f9f439ce.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/2c4dcc57-8395-48e1-b48a-b09bd6564dc5.png.780x439.jpg;,
SH2426813136830210048,整租·水岸金桥苑 2室1厅 南,https://image1.ljcdn.com/310000-inspection/b37afdb4-cf03-486f-83cd-914475cb68ef.jpg.250x182.jpg,嘉定,江桥,水岸金桥苑,78,2室1厅1卫,南,3500,近地铁;,中楼层/6层,2020-02-23,,整租,需咨询,3500,0,需咨询,13号线-金运路-817m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/bfd159da-6771-4d28-a9e8-61a8a9d666ff.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b37afdb4-cf03-486f-83cd-914475cb68ef.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2fda31cd-2c49-4a6d-b3cf-cd22dee5992f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e0b2bc8f-228e-4308-bd09-569f8eb232a6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/539d1183-d7d5-4645-b438-c9155d00cdf7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e77093b1-fa6f-4184-817f-612adbcbfb1c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/78853be8-a3c7-4676-bea8-c11576e371e7.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/863572f2-a506-47a5-a810-bd5f2e4a727f.png.780x439.jpg;,
SH2432680688290635776,整租·江桥二村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/prod-192e163f-d65d-4ca3-828c-15df6d70c4ec.jpg.250x182.jpg,嘉定,江桥,江桥二村,51,1室1厅1卫,南,2800,随时看房;,低楼层/6层,2020-02-24,,整租,需咨询,2800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/prod-e1e34ae4-d45d-4d55-9840-a317b27e4e42.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-192e163f-d65d-4ca3-828c-15df6d70c4ec.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-d5143320-f548-45e0-99c3-abd0c39ae412.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-5aae8c90-e804-47a1-804e-3ab4d71b85a1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-2dd71cae-72a7-48dd-8958-49225facc3ca.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-de415681-6ef2-4872-85e4-ffb8695f7dc0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-db04a2a0-841f-4070-9aa8-7fa50834195f.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-0caf0015-b0fe-4e4c-a526-6c92729949a0.png.780x439.jpg;,
SH2347114180534353920,整租·江桥一村 2室1厅 南,https://image1.ljcdn.com/310000-inspection/2b2b55c7-a264-4f02-892a-262ea59224f7.jpg.250x182.jpg,嘉定,江桥,江桥一村,80,2室1厅1卫,南,3600,随时看房;,高楼层/6层,2020-02-24,,整租,需咨询,3600,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/2b2b55c7-a264-4f02-892a-262ea59224f7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/da30909b-77f9-4911-8292-16951452152c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/762ca0a6-4351-4fe4-90d4-0f81142b30a0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a409f731-1593-49d9-8c66-8c835ddeca76.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/842dc9cc-08b7-4a24-8f75-d73d099fc322.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0721db44-b40c-49b7-b3be-fe9df4912b33.jpg.780x439.jpg;,
