hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2430402905527304192,整租·保利海上五月花(公寓) 3室2厅 南,https://image1.ljcdn.com/lease-image/house/df08e20a-d695-459e-92dd-e0b43e4b7f06.jpg.250x182.jpg,嘉定,菊园新区,保利海上五月花(公寓),92,3室2厅1卫,南,4290,精装;随时看房;,高楼层/14层,2020-01-09,精装修,整租,季付,4290,0,2145,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,False,https://image1.ljcdn.com/lease-image/house/df08e20a-d695-459e-92dd-e0b43e4b7f06.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b1844e14-19dd-4ec7-9023-25742f1eeb65.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8a1cb17d-93c3-470d-9b10-9502aaaf6019.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2de074de-22eb-4f74-9be2-d7758450807b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5b3d464c-6cdf-4125-8665-5304abff3cdb.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/83cc96bd-6a41-4e7a-a468-b3e933285002.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/32d1b84e-fbe8-4680-b451-04e0634b05e9.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f23b6063-096c-4651-b2a5-5c22417db02e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/aa0a3e85-104b-459e-8a3d-90e3c9974567.jpg.780x439.jpg;,
SH2437415129458425856,整租·嘉宝梦之月华庭 2室1厅 南,https://image1.ljcdn.com/lease-image/house/dcc0edb7-c31d-4e1a-a475-557999223367.jpg.250x182.jpg,嘉定,菊园新区,嘉宝梦之月华庭,91,2室1厅1卫,南,4290,近地铁;精装;随时看房;,中楼层/8层,2020-01-19,精装修,整租,季付,4290,0,2145,11号线(嘉定北-迪士尼)-479m;,False,False,False,True,False,False,True,False,False,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/5c2e12b8-4b37-483e-936e-1d7841bd62c9.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ca3af668-3f55-47d5-9520-41875719dd2b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/dcc0edb7-c31d-4e1a-a475-557999223367.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/59841db1-33ef-4d86-b8c0-4a1e7d84fd95.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d05f2f08-d805-400a-b8af-62569a1b11e9.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e627afaa-a425-4fc9-91c0-1f808bdb3739.jpg.780x439.jpg;,
SH2431846836840177664,整租·万科金色领域 3室2厅 东南,https://image1.ljcdn.com/lease-image/house/d754b3c1-8ffe-4ef1-b12f-1e627851c843.jpg.250x182.jpg,嘉定,菊园新区,万科金色领域,89,3室2厅1卫,东南,4200,精装;随时看房;,高楼层/11层,2020-01-11,精装修,整租,季付,4200,0,2100,11号线(嘉定北-迪士尼)-1106m;,False,False,False,False,True,False,True,False,False,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/d754b3c1-8ffe-4ef1-b12f-1e627851c843.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/69183b37-f274-488d-b0ed-f5306cc5366a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/27df0aa6-0456-4a14-8505-596cc664f79b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1e6e6ed2-b86e-4e22-bc05-a5f71f7a4561.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ddef6634-792f-4522-badd-84fb88372fac.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5d7ded8c-d24d-4453-b90e-64d8df1b04c4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/84bdd382-6fbc-4f5b-8d34-fa90c10138af.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e7bc8967-f4c1-4daa-ac1a-c759846d6d50.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/42e8a9fa-1ac0-4b22-9b38-52b4ac0245f8.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1cdab220-7598-4350-83c0-7171e388889e.jpg.780x439.jpg;,
SH2460781627853512704,整租·嘉富小区 1室1厅 南,https://image1.ljcdn.com/110000-inspection/5a5ed299-377c-4ac7-a1a0-3d8681e1397a.jpg.250x182.jpg,嘉定,菊园新区,嘉富小区,53,1室1厅1卫,南,1900,新上;,中楼层/6层,2020-02-24,,整租,需咨询,1900,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/5a5ed299-377c-4ac7-a1a0-3d8681e1397a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/7514d8a8-71b1-4ae6-9b91-89b875de4b9f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2e3e6594-e254-4553-aa88-acd2664465ff.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/cb53703d-807b-4692-b884-6ab52574f439.jpg.780x439.jpg;,
SH2323797424579289088,整租·大成名庭 3室2厅 南/北,https://image1.ljcdn.com/310000-inspection/8474637d-2ca5-42c3-aa66-e4d196cc593c.jpg.250x182.jpg,嘉定,菊园新区,大成名庭,121,3室2厅2卫,南/北,2000,双卫生间;随时看房;,低楼层/7层,2020-02-23,,整租,需咨询,2000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/8474637d-2ca5-42c3-aa66-e4d196cc593c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4f7b4fe9-04e4-4470-a170-5990efe69108.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/13e1e092-a89f-4265-8550-e14f9dbec4c5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5e36633c-85c7-4572-8bb7-9e53f4b30d10.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7ebd1f8d-326c-4dc5-af78-aaa4cddd52f7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b021da89-1d55-4588-bb6a-1ab8f68d7ea0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9efa414b-1418-41f9-ad8b-1d0faf30fa55.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/13684f47-a2b4-4bfe-9184-4dd265f69269.jpg.780x439.jpg;,
SH2427519093759279104,整租·慈竹路987弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/2b3c8feb-03fb-47d5-bc11-4c82b2acdd21.jpg.250x182.jpg,嘉定,菊园新区,慈竹路987弄,57,1室1厅1卫,南,1500,,高楼层/12层,2020-02-20,,整租,需咨询,1500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,只能周末看房,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/70770fd9-7008-4c7f-b6ce-febc06232d48.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2b3c8feb-03fb-47d5-bc11-4c82b2acdd21.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/329385c9-1a09-4f1e-8a98-d10a68718830.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f8cbf69a-ddb1-45ed-a9e8-d5553aa90bf0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1c67f76f-f926-4032-af45-f6b6b9df6db8.jpg.780x439.jpg;,
SH2411564518640721920,整租·慈竹路175弄 2室1厅 南,https://image1.ljcdn.com/310000-inspection/7ef0fb4b-fa0f-4748-a6d5-caf948a3ba44.jpg.250x182.jpg,嘉定,菊园新区,慈竹路175弄,74,2室1厅1卫,南,1500,随时看房;,高楼层/24层,2020-02-23,,整租,需咨询,1500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/7ef0fb4b-fa0f-4748-a6d5-caf948a3ba44.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7b015433-51d3-4462-8b39-393de7482762.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4230afad-a728-41b9-aa59-4a331cc0525b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8e436912-4960-47a6-8d80-e2665274bb8e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/32e8c301-f9a8-44c0-b3ff-d5969510208e.jpg.780x439.jpg;,
SH2393994966990069760,整租·慈竹路176弄 2室1厅 南,https://image1.ljcdn.com/310000-inspection/1a224f97-c6ad-41c9-b312-1bc3a85b5f8d.jpg.250x182.jpg,嘉定,菊园新区,慈竹路176弄,73,2室1厅1卫,南,1500,,低楼层/24层,2020-02-22,,整租,需咨询,1500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/a7a54d7e-23b3-4b4e-acdd-2372c987ab3b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1a224f97-c6ad-41c9-b312-1bc3a85b5f8d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/91d16788-e186-4813-b8cf-28284e1c2c0b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2339c638-6eae-4a12-86ee-936b8263d54d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1f8be20f-b415-4737-a08a-203c838f6145.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8ce41020-a4d9-4048-8197-d8e445322d99.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5bc1cee5-06a9-43e5-ad6d-3ca88c072017.jpg.780x439.jpg;,
SH2436743121258676224,整租·练祁佳城永泰嘉苑 2室1厅 南,https://image1.ljcdn.com/310000-inspection/d998e2c8-4e61-4c79-b05a-40c3a8b448a9.jpg.250x182.jpg,嘉定,菊园新区,练祁佳城永泰嘉苑,78,2室1厅1卫,南,2000,,高楼层/8层,2020-02-22,,整租,需咨询,2000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/fec14b9d-12d1-40a2-acaa-58d2d6bd690c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c59a5652-18cb-41e4-82af-4d9bd46d8d89.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d998e2c8-4e61-4c79-b05a-40c3a8b448a9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/72bd492a-bb8d-4d68-a836-f6282df73c7f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ea21b887-8c73-460c-8715-90f7070a1536.jpg.780x439.jpg;,
SH2415178772786987008,整租·练祁佳城阳光嘉苑 2室1厅 南,https://image1.ljcdn.com/310000-inspection/32e47ac0-0b97-4216-ab81-073692e6f8ae.jpg.250x182.jpg,嘉定,菊园新区,练祁佳城阳光嘉苑,77,2室1厅1卫,南,1600,随时看房;,高楼层/15层,2020-01-12,,整租,需咨询,1600,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/91a85d42-8737-4fef-9382-49ff3d486ad6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5330c0e7-d6a4-4a5e-b8bd-fefba9615348.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/32e47ac0-0b97-4216-ab81-073692e6f8ae.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ead7505f-d7ae-4913-8798-7b191b3613e2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2034d036-1149-4955-bc0c-9ccdc4370cd0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/94b701db-596d-47d0-8f99-7f077465c733.jpg.780x439.jpg;,
