hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2424402511155691520,整租·方舟时代广场 2室1厅 东/南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,嘉定,马陆,方舟时代广场,54,2室1厅1卫,东/南,3200,,中楼层/16层,2020-02-23,,整租,需咨询,3200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,False,商水,False,,
SH2302783232208814080,整租·东方慧谷 2室1厅 东南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,嘉定,马陆,东方慧谷,65,2室1厅1卫,东南,3500,,高楼层/22层,2020-02-24,,整租,需咨询,3500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,True,商水,False,,
SH2394094629164425216,整租·方舟时代广场 2室2厅 跃层 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,嘉定,马陆,方舟时代广场,56,2室2厅1卫,南,3350,,高楼层/16层,2020-02-20,,整租,需咨询,3350,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,False,商水,False,,
SH2066507431512645632,整租·方舟时代广场 2室2厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,嘉定,马陆,方舟时代广场,0,,,3500,精装;双卫生间;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2066507286062301184,整租·方舟时代广场 2室2厅,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,嘉定,马陆,方舟时代广场,100,2室2厅1卫,,3500,,中楼层/16层,2019-10-22,,整租,需咨询,3500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,暂无数据,暂无数据,False,商水,False,,
SH2365145395358597120,整租·东方慧谷 3室2厅 南/北,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,嘉定,马陆,东方慧谷,63,3室2厅1卫,南/北,3500,,高楼层/15层,2020-02-22,,整租,需咨询,3500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,False,商水,False,,
SH2323122680779513856,整租·信义嘉庭 3室1厅 南/北,https://image1.ljcdn.com/310000-inspection/a37f3492-8687-4efd-9e81-33645b87495c.jpg.250x182.jpg,嘉定,马陆,信义嘉庭,90,3室1厅1卫,南/北,4500,,高楼层/18层,2020-02-18,,整租,需咨询,4500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/d05153c2-68ff-4783-be46-9fe4c9b93e9c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/580d7c68-3f50-483c-b74a-3a7829106849.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/59499624-c6a6-4426-a766-088e60954ecd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a37f3492-8687-4efd-9e81-33645b87495c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2c09e6cb-29a0-410f-a2d1-759b2738268c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8f2ee79b-5b27-4251-8b6d-b66a39cfbcc8.jpg.780x439.jpg;,
SH2358620945310023680,整租·信义嘉庭 2室2厅 南,https://image1.ljcdn.com/310000-inspection/11cd16f9-3bd3-483e-aed6-39da8996a9ce.jpg.250x182.jpg,嘉定,马陆,信义嘉庭,80,2室2厅1卫,南,3700,,高楼层/26层,2020-02-24,,整租,需咨询,3700,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/44228fc9-9b94-45d5-834c-e29e2b829a81.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e599b657-7c12-49ac-878b-e6c5832edc7e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/272f41f9-775e-416e-a6b1-859e664df8d8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/de8bf47c-ba70-4fc8-b040-deccfdd9e0bd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/11cd16f9-3bd3-483e-aed6-39da8996a9ce.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5830700a-9336-4787-99ac-57542254d731.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/813e1f0b-f654-4d52-aa9d-acb434b271db.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/44f225fa-27f6-4909-8350-f6a00c21cb26.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ac4b4650-57f3-40d5-971b-d210b8c2e3b3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3f5b58f0-3c46-44bc-999f-df338360cb34.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/913e023d-bb04-4d21-85ea-5a9362840ea6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e3cd762c-77b5-4d15-b7c2-df86cdaa5fe5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c7f459b2-201e-4667-bdd3-a1495701f394.jpg.780x439.jpg;,
SH2325096445784629248,整租·茂华路50弄 3室2厅 南,https://image1.ljcdn.com/310000-inspection/6a299926-7cf1-4cbb-9e4b-54b4f302a8df.jpg.250x182.jpg,嘉定,马陆,茂华路50弄,133,3室2厅2卫,南,3800,双卫生间;,低楼层/18层,2020-02-24,,整租,需咨询,3800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/866d0f73-711d-4622-9f0e-cef7a18a13f4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/00144b9a-552e-462f-a2e4-e9c145d61d43.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ee6812ba-ee5d-47a4-824c-adcbfaba7194.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6a299926-7cf1-4cbb-9e4b-54b4f302a8df.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/953d5e4d-97aa-4bd6-b125-b3a16203db6d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/de0c437d-33bf-4148-b461-045f1b01e584.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/28a7cfdf-cd2c-4ad7-b485-b015ab307952.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/148dcc48-3347-4028-8d10-daf631da8bc5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/14e5b40f-e9bb-4a68-ab59-9d76d7aab852.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e043b86d-8873-4ce7-9564-e217ff8c4a02.jpg.780x439.jpg;,
SH2193431025848696832,整租·嘉苑新村 3室2厅 南/北,https://image1.ljcdn.com/310000-inspection/26934e79-c57f-44be-a21a-14ba6603e3e6.jpg.250x182.jpg,嘉定,马陆,嘉苑新村,153,3室2厅2卫,南/北,6000,双卫生间;,低楼层/2层,2020-01-21,,整租,需咨询,6000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/6c6d0ded-f1e0-4b02-a953-5bee25d7013a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f3ab7c8d-d0fe-4389-871e-6cc55be03351.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b8285f0a-54cb-4461-8769-61dc87bfdfd9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/26934e79-c57f-44be-a21a-14ba6603e3e6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/91da7a23-93cd-4cca-9f2e-3d9f848a4663.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/370f6f41-e4fe-407a-ba69-78e79af03e17.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/169956d2-0dd2-4cc1-8ac5-c5e711221eba.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f9c47816-50d7-4242-a8c8-8e90affe39d1.jpg.780x439.jpg;,
