hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2431082395190173696,整租·翔和雅苑 1室1厅 南,https://image1.ljcdn.com/lease-image/house/b9e4e963-c269-43ed-ac12-5bddf6bb1dc1.jpg.250x182.jpg,嘉定,南翔,翔和雅苑,54,1室1厅1卫,南,3390,精装;随时看房;,低楼层/18层,2020-01-12,精装修,整租,季付,3390,0,1695,,False,True,True,True,True,False,True,False,True,False,暂无数据,暂无数据,集中供暖,暂无数据,随时可看,随时入住,True,暂无数据,False,https://image1.ljcdn.com/lease-image/house/a094f090-b9d8-4f5b-82e7-233e54b64770.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b9e4e963-c269-43ed-ac12-5bddf6bb1dc1.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2bd10615-7e9b-4903-b24b-44783f59d473.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d617973f-421e-4ead-b6d5-2b96fbfbbd2f.jpg.780x439.jpg;,
SH2409918006252806144,整租·世盟壹天地 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,嘉定,南翔,世盟壹天地,45,1室1厅1卫,南,3390,新上;近地铁;精装;随时看房;,中楼层/16层,2020-02-20,精装修,整租,季付,3390,0,1695,,False,True,True,True,True,False,True,False,True,False,暂无数据,商电,暂无数据,暂无数据,随时可看,随时入住,True,商水,False,https://image1.ljcdn.com/lease-image/house/a527dde1-43d8-4b1c-bb66-1ff13f2782f0.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cae66d15-a5bc-4d09-b372-f3535a71506f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cd378d53-8463-4791-a53f-3f097d4ace9b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/78d7f36f-a4a8-47e6-86de-9cb3eef6c362.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a8f49dd1-b103-4e60-afb1-b514f2bf503d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f4babc3b-5c37-47fc-aeb7-43b58b56339d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/14ae3ce2-29db-4eea-81fa-f329d3b2781b.jpg.780x439.jpg;,
SH2436879020558647296,整租·德华路301号 2室1厅 南,https://image1.ljcdn.com/lease-image/house/13f83d78-b8eb-4c43-9527-dd3c39519449.jpg.250x182.jpg,嘉定,南翔,德华路301号,69,2室1厅1卫,南,3190,近地铁;随时看房;,中楼层/6层,2020-01-18,,整租,季付,3190,0,1595,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/13f83d78-b8eb-4c43-9527-dd3c39519449.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8636ead0-98c8-4734-9e3e-e870df6d801f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7cb686a2-c834-462c-a8b0-c949ed0edd85.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b495da2a-8705-4426-8d2c-9d1c1186a107.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/114a5070-cd8b-4d93-a38a-48bb38affac6.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/463d18da-9cb4-4b69-a218-0c914c7f45c4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4c1403c4-f6d0-441d-a1be-ee887458834e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2a51d442-f3a6-486c-ac3e-ee1b8d80af87.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5bb4faa6-e3fc-43f1-b29b-2a9ea1cf2bfd.jpg.780x439.jpg;,
SH2386793465318219776,整租·新城公馆 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,嘉定,南翔,新城公馆,0,,,3890,新上;近地铁;精装;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2432562263165771776,整租·旭辉U天地(商业类) 2室1厅 跃层 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,嘉定,南翔,旭辉U天地(商业类),49,2室1厅1卫,南,4290,近地铁;精装;随时看房;,中楼层/12层,2020-01-12,精装修,整租,季付,4290,0,2145,,False,True,True,True,True,False,True,False,True,False,暂无数据,暂无数据,暂无数据,暂无数据,随时可看,随时入住,True,暂无数据,False,https://image1.ljcdn.com/lease-image/house/b524c020-b071-4579-b04c-dee2a8c1b6c9.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cadbe5a6-d306-4b10-a267-d25d98def0e4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/308bb7e0-5c50-474e-933f-9d0153e8955a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c14c4aa0-8f76-43f1-ab40-2e41b455ab01.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/58ad43bf-1729-458a-9d9a-99c1729be1cd.jpg.780x439.jpg;,
SH2434783225424920576,整租·华谊逸品澜湾（南区） 3室2厅 南,https://image1.ljcdn.com/lease-image/house/de1b6081-3385-4167-8b53-0f274e289b89.jpg.250x182.jpg,嘉定,南翔,华谊逸品澜湾（南区）,90,3室2厅1卫,南,5390,精装;随时看房;,中楼层/18层,2020-01-15,精装修,整租,季付,5390,0,2695,,False,True,True,True,True,False,True,False,True,False,暂无数据,暂无数据,暂无数据,暂无数据,随时可看,随时入住,False,暂无数据,False,https://image1.ljcdn.com/lease-image/house/c0282c63-26aa-4509-9b5b-01b4cc83056d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/460ea4d9-70e9-4ffa-9cba-469369a2a584.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c000200d-7678-485d-b666-92b7afecb934.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/de1b6081-3385-4167-8b53-0f274e289b89.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/97439120-3713-4b6e-a36b-8edb2697af4b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f9e4a6d6-e5dc-424f-8f35-6d615af3736e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3df0577e-1245-4cf3-bb90-de624b22e165.jpg.780x439.jpg;,
SH2436870204744278016,整租·三湘森林海尚(嘉定) 2室2厅 南,https://image1.ljcdn.com/lease-image/house/a70ee004-dd16-4116-a6fe-30f90b16265e.jpg.250x182.jpg,嘉定,南翔,三湘森林海尚(嘉定),89,2室2厅1卫,南,5590,精装;随时看房;,高楼层/18层,2020-01-18,精装修,整租,季付,5590,0,2795,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,False,https://image1.ljcdn.com/lease-image/house/61fe043d-f71c-4952-a313-2664ed323e91.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b0ffd522-00c3-4638-89a0-ab6b0b25694d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a70ee004-dd16-4116-a6fe-30f90b16265e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6abc7233-84e3-489f-b05f-80dbf103b6f3.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/849d8d28-bfb9-498e-a03c-2a4fc65ae72f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/94256e4c-99f3-41e8-8342-88ef8daed6fa.jpg.780x439.jpg;,
SH2462829263334940672,整租·同盛公寓 2室2厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,嘉定,南翔,同盛公寓,82,2室2厅1卫,南,4190,新上;随时看房;,高楼层/6层,2020-02-23,,整租,季付,4190,0,2095,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,,
SH2423706992439721984,整租·骏丰嘉峰汇 2室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,嘉定,南翔,骏丰嘉峰汇,70,2室1厅1卫,南,4600,精装;随时看房;,中楼层/17层,2020-01-13,精装修,整租,季付,4600,0,2300,,False,False,True,True,True,False,True,False,True,False,暂无数据,商电,暂无数据,暂无数据,随时可看,随时入住,True,商水,False,,
SH2343372500437565440,整租·通用国际 1室0厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,嘉定,南翔,通用国际,37,1室0厅1卫,南,2000,随时看房;,低楼层/6层,2020-02-21,,整租,需咨询,2000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,False,商水,False,,
