hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2432610711252238336,整租·普铁新村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/e66c702e-4393-44d9-9ba6-ed19c6d023a6.jpg.250x182.jpg,静安,不夜城,普铁新村,30,1室1厅1卫,南,4000,近地铁;精装;随时看房;,低楼层/5层,2020-02-24,精装修,整租,季付,4000,0,需咨询,1号线-延长路-1132m;1号线-延长路-1132m;1号线-延长路-1132m;1号线-延长路-1132m;1号线-延长路-1132m;1号线-延长路-1132m;1号线-延长路-1132m;1号线-延长路-1132m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/d28f381c-7178-48a6-9215-b9f1cafad504.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4722197e-c7c0-4575-a059-b9496564d848.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c9f2692c-0960-4e9d-ae1f-eadd22bc55e1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e66c702e-4393-44d9-9ba6-ed19c6d023a6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ec0df76c-66b5-4eab-b1cd-0ae999a39c11.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f89fc1db-18f3-4a86-943e-12a1b61d04a9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f9a51dca-90a6-4406-98b9-546430048823.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a4da0999-3c3b-4bd6-bbf1-1ddb06186f1b.jpg.780x439.jpg;,【房源亮点】装修比较时尚些，家用电器全部配齐，价格优美，适合上班族和白领~~~【户型介绍】一室户，厨卫都有，30平，可以满足日常的居住需求。小清新的装修，比较适合年轻人。【装修描述】房屋是精装修的，样子上和公寓差不多，上一任租客新年回家退租，业主这边又新换了不少东西。【交通出行】距离中山北路地铁站800米，步行10分 钟，距离上海客运总站1公里，距离上海火车站1.5公里，小区三百米内环高架入口【出租原因】过年啦，上任租客因个人事情回家啦，房子目前空置，所以就出租啦。【周边配套】苏州河梦清园环保主题公园，金融界融府美食城，闸北公园，上海第十人民医院，久光百货
SH2406506407337148416,整租·大统路933弄 1室0厅 南,https://image1.ljcdn.com/310000-inspection/7b822c04-4a1c-47eb-836b-7a46dd6744ef.jpg.250x182.jpg,静安,不夜城,大统路933弄,11,1室0厅1卫,南,2500,近地铁;,高楼层/5层,2020-02-24,,整租,需咨询,2500,0,需咨询,8号线-中兴路-1120m;8号线-中兴路-1120m;8号线-中兴路-1120m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/822ccd0e-43b7-4534-8bac-92a50e2755b7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7b822c04-4a1c-47eb-836b-7a46dd6744ef.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7a233083-9a34-479c-a4b0-7719dcd206cb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7677878f-5022-4058-85c0-8202a0dbcef1.jpg.780x439.jpg;,
SH2419639839797551104,整租·华龙大酒店 1室0厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,静安,不夜城,华龙大酒店,45,1室0厅1卫,南,3900,近地铁;随时看房;,高楼层/16层,2020-02-14,,整租,需咨询,3900,0,需咨询,1号线，3号线，4号线-上海火车站-900m;1号线，3号线，4号线-上海火车站-900m;,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,False,商水,False,,
SH2429503639912448000,整租·普铁新村 1室0厅 南,https://image1.ljcdn.com/310000-inspection/e16979f9-8929-4dd3-8b56-2e2865371d80.jpg.250x182.jpg,静安,不夜城,普铁新村,31,1室0厅1卫,南,4000,近地铁;随时看房;,高楼层/6层,2020-02-25,,整租,需咨询,4000,0,需咨询,1号线-延长路-1132m;1号线-延长路-1132m;1号线-延长路-1132m;1号线-延长路-1132m;1号线-延长路-1132m;1号线-延长路-1132m;1号线-延长路-1132m;1号线-延长路-1132m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/27ceb987-631d-4700-941e-2b8a0e9141ce.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e16979f9-8929-4dd3-8b56-2e2865371d80.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7630227d-b855-489d-a3e9-4404de85d33e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f1ed91b6-30be-4ff8-a191-f23d31ebe558.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/de8086a8-d009-4109-bc52-5535dda189ba.png.780x439.jpg;,
SH2366527323164901376,整租·华龙大酒店 1室0厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,静安,不夜城,华龙大酒店,47,1室0厅1卫,南,4000,近地铁;随时看房;,中楼层/16层,2020-02-24,,整租,需咨询,4000,0,需咨询,1号线，3号线，4号线-上海火车站-900m;1号线，3号线，4号线-上海火车站-900m;,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,False,商水,False,,
SH2425391367002783744,整租·汉中小区 1室1厅 东,https://image1.ljcdn.com/310000-inspection/bbd61d70-245d-44e9-bebe-f14e8914ef90.jpg.250x182.jpg,静安,不夜城,汉中小区,33,1室1厅1卫,东,5900,近地铁;,低楼层/7层,2020-02-23,,整租,季付,5900,0,需咨询,8号线，12号线-曲阜路-989m;8号线，12号线-曲阜路-989m;8号线，12号线-曲阜路-989m;8号线，12号线-曲阜路-989m;8号线，12号线-曲阜路-989m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,集中供暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/bbd61d70-245d-44e9-bebe-f14e8914ef90.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/618c6f8e-8492-4d53-a601-4b43a11d5848.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/205c2308-3d3a-44b8-914e-ffea20a529e2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/caac5b55-c634-44f3-9593-9d0ddcedbca8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c28d21d9-6918-4ff6-b3e2-16f691c31d38.jpg.780x439.jpg;,【交通出行】轨道交通：汉中路站1号线，12号线，13号线步行266m（来源于百度地图）【周边配套】不夜城绿地，凯德星贸，太平洋百货，太阳city。万有集市，北站医院【小区介绍】汉中小区位于闸北不夜城板块，环境一般，背靠不夜城绿地，小区90年小区偏旧。
SH2431817049547751424,整租·天道俪晶国际公寓 1室1厅 南,https://image1.ljcdn.com/310000-inspection/72dc3090-5093-4645-a2c2-3833bd398fc5.jpg.250x182.jpg,静安,不夜城,天道俪晶国际公寓,48,1室1厅1卫,南,5000,近地铁;精装;,低楼层/31层,2020-02-10,精装修,整租,需咨询,5000,0,需咨询,1号线，3号线，4号线-上海火车站-1177m;1号线，3号线，4号线-上海火车站-1177m;1号线，3号线，4号线-上海火车站-1177m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/72dc3090-5093-4645-a2c2-3833bd398fc5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/522513f7-32a8-48ea-9b5c-3d85c4cf7539.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5713efec-bc4c-4a0d-9041-b72bfd366cfe.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/165d4083-30fa-4da6-9e72-baaf188db114.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/add1f75d-e03a-4dd4-987d-97d4e71487cf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ffbaf2c4-a0ac-4c34-b2d4-61957878429a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e57a3e10-cb39-4455-803a-5e31754432a4.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/b52c0229-6d2c-401e-9376-a4e663aac3b5.png.780x439.jpg;,
SH2421491333207433216,整租·芷江小区 2室1厅 东,https://image1.ljcdn.com/310000-inspection/95acdf07-001f-41a7-b38c-05f6ff23d288.jpg.250x182.jpg,静安,不夜城,芷江小区,71,2室1厅1卫,东,6800,近地铁;,高楼层/20层,2020-02-25,,整租,需咨询,6800,0,需咨询,1号线，3号线，4号线-上海火车站-1144m;1号线，3号线，4号线-上海火车站-1144m;1号线，3号线，4号线-上海火车站-1144m;1号线，3号线，4号线-上海火车站-1144m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/212da002-4898-4bb2-9386-757bbaf88483.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6d47e3ee-4a38-4777-8efe-1cae131269f7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/95acdf07-001f-41a7-b38c-05f6ff23d288.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d05d883a-c83d-485e-b0cb-1a2fe44576c0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a2d734a2-1a99-4e85-9eaf-32cb57c163c4.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/18dbacdf-e283-4d4e-8a14-30d8cf933d56.png.780x439.jpg;,
SH2436996675299188736,整租·汉中小区 1室1厅 东南,https://image1.ljcdn.com/310000-inspection/6bd04a13-fdcf-4097-b4df-19695713baf8.jpg.250x182.jpg,静安,不夜城,汉中小区,42,1室1厅1卫,东南,5000,近地铁;随时看房;,中楼层/22层,2020-02-24,,整租,需咨询,5000,0,需咨询,8号线，12号线-曲阜路-989m;8号线，12号线-曲阜路-989m;8号线，12号线-曲阜路-989m;8号线，12号线-曲阜路-989m;8号线，12号线-曲阜路-989m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/6bd04a13-fdcf-4097-b4df-19695713baf8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cacea316-593a-4a0a-bbd5-0eddb2d97b89.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b7f17ae7-1acc-4d38-a77a-42e8023ff57e.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/5aca9027-5469-49d2-a6fd-f6f7140bcf2d.png.780x439.jpg;,
SH2431815235754541056,整租·三兴大楼 2室1厅 南,https://image1.ljcdn.com/310000-inspection/b0a1f67d-ffdf-481c-a209-27103de4398e.jpg.250x182.jpg,静安,不夜城,三兴大楼,62,2室1厅1卫,南,6200,近地铁;,低楼层/24层,2020-02-22,,整租,需咨询,6200,0,需咨询,1号线-中山北路-841m;1号线-中山北路-841m;1号线-中山北路-841m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/bc965e0f-8220-459e-a32a-a97ee2a80938.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4b87afec-228c-4222-a504-a8abd8a3ce3e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/69ed86cf-3a91-43e1-af68-e2d8feae56a6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b59165c6-6e7a-4435-bc86-260a19ded57a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b0a1f67d-ffdf-481c-a209-27103de4398e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ba38dae6-a032-49a6-96e6-ad915b080dfa.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0645f835-ac93-4045-93e8-e5ef569f2850.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/134f3a76-850c-4f7c-9fea-d43d1b101dcc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bd9e9c9e-fb64-4a4e-8611-b1d3855da88f.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/2dbc740b-f2ed-43e2-9b0d-abe40e8e0c03.png.780x439.jpg;,
