hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2392094178487312384,整租·君悦静安 1室1厅 南,https://image1.ljcdn.com/lease-image/house/255e990d-bd91-4829-8c8a-536902223c88.jpg.250x182.jpg,静安,曹家渡,君悦静安,55,1室1厅1卫,南,7000,近地铁;精装;随时看房;,中楼层/22层,2019-12-23,精装修,整租,季付,7000,0,3500,13号线-武宁路-918m;13号线-武宁路-918m;,False,False,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/d8f67aee-8945-4ded-9441-2061351fb9cc.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/aedfe56f-9a77-434e-99d6-30aaece6f1af.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/42fc3751-0907-450f-9c5f-297f467ee5cf.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/72ec2af5-a5a9-4282-9d5b-3d9246c4a2f8.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/255e990d-bd91-4829-8c8a-536902223c88.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/83d95180-8e05-4acb-a650-2394316dbc5c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3572c386-443c-480e-9eb9-50ce44af4495.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1eb5f45e-a50e-4771-8ccf-14d62e58b786.jpg.780x439.jpg;,【装修描述】简约时尚的装修风格，白天的自然光和夜晚的暖灯，温馨而宁静，这就是家！！【交通出行】地铁：7号线昌平路站523米，13号线武宁路站795米； 公交：昌平路延平路站765路184米，康定路万春街站23路234米，胶州路康定路40路113路328路363米。数据源于高德地图。【出租原因】房屋现在在出租，房东为了增加收益，减少空置期，特此在链家寻求优质的客户，【周边配套】美食：春川一只鸡（韩国料理），滇道云南特色料理，holyhigh餐饮店（沙拉很不错），红料理麻辣料理，清迈府泰国料理，鱼见虾，BBBo。 超市：联华超市，元华超市，农工商超市。 银行：工商银行，农业银行，浦发银行，上海银行，建设银行【小区介绍】04年小区+酒店式公寓+配套齐整+豪 华精装+康定路延平路武定路武宁南路交汇+近地铁7号线昌平路站 位于延平路康定路，近静安寺交通便捷，配套成熟！小区是2004年的竣工！不但小区新，而且配套完善，地理位置优越，隔壁14号线已开通，是地铁口
SH2431979716451254272,整租·君悦静安 1室1厅 南,https://image1.ljcdn.com/lease-image/house/0590c08db9769b5b4026d6b6d339d1dd.jpeg.250x182.jpg,静安,曹家渡,君悦静安,45,1室1厅1卫,南,6980,近地铁;精装;随时看房;,中楼层/22层,2020-01-11,精装修,整租,季付,6980,0,3490,13号线-武宁路-918m;13号线-武宁路-918m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/1972dc49d4942acd8f18e2a67347d7aa.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0590c08db9769b5b4026d6b6d339d1dd.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c3a6586a7f6d0310045f353d21fbd3f6.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/51193bc31746e6ea45292f3af3a7465b.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/02762221501e6fdb2c0ac4d87281e5e4.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a35889ff6cfd1ff0f926350429c5bede.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/eced194a8dba88ea07d6a0e2e45b1402.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3b7db330552c2c067d87cb92f91a038e.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f160dea66d7eec4c44875db1339fe15a.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/bb99e15d2aedd30086bca30fe70161b6.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6dbaf9384fb675325a0cd729271fe62f.jpeg.780x439.jpg;,
SH2424597630060871680,整租·康定路991号 2室1厅 南,https://image1.ljcdn.com/lease-image/house/1be8b666-225d-438b-96a1-9d13113ebbd4.jpg.250x182.jpg,静安,曹家渡,康定路991号,50,2室1厅1卫,南,6300,近地铁;精装;随时看房;,高楼层/7层,2020-01-08,精装修,整租,季付,6300,0,3150,13号线-武宁路-981m;13号线-武宁路-981m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,集中供暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/1be8b666-225d-438b-96a1-9d13113ebbd4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/48ca9273-e837-4161-bad3-167ee20cad42.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4ca15e3a-b693-4472-8ba0-af28b627b7a5.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/67ab5ee8-adba-43a9-866e-faa8d4555b72.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/bc5e6706-b9d4-4aca-8a57-1328bae60216.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/590fd8c7-5f47-482b-a183-de0c171c2c24.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/236083a5-c7b6-47c1-924b-a98c14a70d34.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a0a1aedb-d8db-4249-ac24-9f0f8043fa42.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e611277f-e959-4abb-a92c-1aeae4ab1848.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/529ce38f-8653-4ba1-b2c1-410be7b1e954.jpg.780x439.jpg;,
SH2433101927886618624,整租·君悦静安 1室1厅 南,https://image1.ljcdn.com/lease-image/house/7a230981716ac82a9e57395a78c2e219.jpeg.250x182.jpg,静安,曹家渡,君悦静安,55,1室1厅1卫,南,7000,近地铁;精装;随时看房;,高楼层/22层,2020-01-13,精装修,整租,季付,7000,0,3500,13号线-武宁路-918m;13号线-武宁路-918m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/f96a33880695c979a8e82926c13f3189.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a03eb44fdf6f022c1bc1a62af110ede2.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7a230981716ac82a9e57395a78c2e219.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7b5937d9f9c737ac0c3b877c4199837e.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9187548a0c3e7628c583b940e03d1106.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8104d75a4db70005e0b1b10433d50595.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6b29bd25864d89d978cbe62a2469cbd9.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9c62f899700ce262bdf9480f4d1e3455.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c7b1e5bbf3675c629300c94e33d22f7d.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5268ebf76b9eecde68ced756fadc928d.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c1fc42b7fba9aec13310dea8e839ad28.jpeg.780x439.jpg;,
SH2438484828988121088,整租·君悦静安 1室1厅 南,https://image1.ljcdn.com/lease-image/house/09f3fae2-4f0e-42ce-b26b-b9c91532b8bb.jpg.250x182.jpg,静安,曹家渡,君悦静安,50,1室1厅1卫,南,7600,近地铁;精装;随时看房;,中楼层/22层,2020-01-20,精装修,整租,季付,7600,0,3800,13号线-武宁路-918m;13号线-武宁路-918m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/09f3fae2-4f0e-42ce-b26b-b9c91532b8bb.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/540f0e4d-3188-4ddf-b13b-414a8ce9f777.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0026b4ac-84cd-490d-ae26-18f1e95717d4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/322353a6-7989-4e87-99f8-2a4205d06038.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/52b35950-5c6a-43bb-8e6a-c1cc4eec3b10.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6762b8f7-0211-4d62-b660-0a56fc03310b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5a13d643-726a-484d-9102-cbfd40af7771.jpg.780x439.jpg;,
SH2422270239048728576,整租·君悦静安 1室1厅 南,https://image1.ljcdn.com/lease-image/house/855a8f5b1bbce69070ec8c549e7e819f.jpeg.250x182.jpg,静安,曹家渡,君悦静安,49,1室1厅1卫,南,7360,近地铁;精装;随时看房;,中楼层/22层,2019-12-30,精装修,整租,季付,7360,0,3680,13号线-武宁路-918m;13号线-武宁路-918m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/ac8a68a02cfb3eb7a22bfe053ce23dbd.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6a167be98fd4fe0bfe935110d63f6ce3.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/fdd3e1e838870bbfdf27ae367387f2b2.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/855a8f5b1bbce69070ec8c549e7e819f.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ea6f275132f1a59a723864e1193e4efd.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a1e3c06aeccdfda6c8759659aeb9cb30.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e30e71350a51aac7117c9dcf4f683751.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/50dcea9f3211b419e0677c26b2262e31.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/545807df0b0b7a3f4118a3f7878658db.jpeg.780x439.jpg;,
SH2438490310918283264,整租·锦安公寓 3室2厅 东南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,静安,曹家渡,锦安公寓,125,3室2厅2卫,东南,12000,近地铁;精装;双卫生间;随时看房;,低楼层/24层,2020-01-20,精装修,整租,季付,12000,0,6000,13号线-武宁路-972m;13号线-武宁路-972m;13号线-武宁路-972m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,,
SH2326092959231254528,整租·金家巷西弄 1室0厅 西/西北,https://image1.ljcdn.com/310000-inspection/0d05e745-fc0c-4e6f-858f-6c9cd64664ae.jpg.250x182.jpg,静安,曹家渡,金家巷西弄,10,1室0厅1卫,西/西北,3800,近地铁;精装;,高楼层/6层,2020-02-22,精装修,整租,季付,3800,0,需咨询,2号线，11号线(嘉定北-迪士尼)，11号线(花桥-1152m;2号线，11号线(嘉定北-迪士尼)，11号线(花桥-1152m;2号线，11号线(嘉定北-迪士尼)，11号线(花桥-1152m;,False,False,True,False,True,False,True,False,True,False,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/0d05e745-fc0c-4e6f-858f-6c9cd64664ae.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/557a9384-2faf-4401-98bf-1b008000c2d3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6454cb0a-8731-4f06-826b-c4ba7e6568e5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/364eef55-bc22-4c57-b2b6-f3d79d6a6175.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/29db090c-23e4-4952-977e-cce3c9300af9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5d05fa22-a629-4177-9557-a1f3ee3dfc91.jpg.780x439.jpg;,【装修描述】简装修简约风格，房子干净清爽，位于中间楼层，房间朝南，采光好，通风良好，厨卫独用。【交通出行】近静安寺地铁站交通枢纽，7号线和2号线通往上海各处，出行便利； 40路，93路，113路，136路公交经过，便利外出； 新闸路，武宁南路，万航渡路等主干道交织，出租车，滴滴打车或者共享单车分布【周边配套】小区周 边有农工商、联华，购物方便；中国 银行、工商银行、农业银行，为您的金融生活提供便利；静安老年医院、上海儿童医院，为您的健康提供医疗保障。
SH2396160155432517632,整租·蓝朝部落 1室0厅 东南,https://image1.ljcdn.com/310000-inspection/b05a5198-7983-43ab-be49-bca66d7c6f33.jpg.250x182.jpg,静安,曹家渡,蓝朝部落,25,1室0厅1卫,东南,4000,近地铁;随时看房;,中楼层/31层,2020-02-22,,整租,季付,4000,0,需咨询,2号线，11号线(嘉定北-迪士尼)，11号线(花桥-945m;2号线，11号线(嘉定北-迪士尼)，11号线(花桥-945m;2号线，11号线(嘉定北-迪士尼)，11号线(花桥-945m;,True,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,2年以内,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/b05a5198-7983-43ab-be49-bca66d7c6f33.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/06f97baa-d524-45c4-a05f-e0f52be8366f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ef74cbb6-05ad-4865-b327-a9259ba904b0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2d61713a-6e2d-4985-9e32-f02619b36877.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/482a3fe6-99fb-4d87-8052-c652a8909d29.png.780x439.jpg;,【交通出行】小区门外就有随处可见的共享单车，小区出门右拐悦达889就有45321136以及838路公交站！两轨交汇！往武定西路方向走就可以到达211号线5号口；往长宁路这个方向去长宁支路可以到达1113号线隆德路地铁站；静安寺、人民广场、虹桥机场即刻直【周边配套】购物有大型的悦达889广场和老牌的芳汇广场，今年新开的金融街广场和新营业的KING88两个综合体，KING88包含河马生鲜等数十个美食购物，美食购物方便，小区有数十条公交线路，直达静安寺，徐家汇，新静安，火车站，中山公园等线路，生活品质..【小区介绍】小区是02年由开发商上海静安地产有限公司建成、物业就在一楼底层办公、24小时在线服务，为您保驾护航！小区位于老静安曹家渡地界，物业费一年只需150，整体楼栋格局东西对称！
SH2431242605011943424,整租·蓝朝部落 1室0厅 西,https://image1.ljcdn.com/310000-inspection/1de5c88e-d604-4d1f-a6aa-9bbbe89153f6.jpg.250x182.jpg,静安,曹家渡,蓝朝部落,30,1室0厅1卫,西,4000,近地铁;精装;,中楼层/31层,2020-01-15,精装修,整租,季付,4000,0,需咨询,2号线，11号线(嘉定北-迪士尼)，11号线(花桥-945m;2号线，11号线(嘉定北-迪士尼)，11号线(花桥-945m;2号线，11号线(嘉定北-迪士尼)，11号线(花桥-945m;,False,False,False,False,False,False,False,False,False,False,租用车位,民电,自采暖,2年以内,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/7c56c2e9-f823-4158-8607-c065dedda3f8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1de5c88e-d604-4d1f-a6aa-9bbbe89153f6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5d33ff5d-63c2-4d87-93c2-40f4eafdc993.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3e9d3364-d9d0-4595-950a-3ec3f8c33b6c.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/test-262025f3-df58-45fd-8a09-ca0bdbe8074d.png.780x439.jpg;,【交通出行】小区门外就有随处可见的共享单车，小区出门右拐悦达889就有45321136以及838路公交站！两轨交汇！往武定西路方向走就可以到达211号线5号口；往长宁路这个方向去长宁支路可以到达1113号线隆德路地铁站；静安寺、人民广场、虹桥机场即刻【周边配套】购物有大型的悦达889广场和老牌的芳汇广场，今年新开的金融街广场和新营业的KING88两个综合体，KING88包含河马生鲜等数十个美食购物，美食购物方便，小区有数十条公交线路，直达静安寺，徐家汇，新静安，火车站，中山公园等线路，生活品质【小区介绍】小区是02年由开发商上海静安地产有限公司建成、物业就在一楼底层办公、24小时在线服务，为您保驾护航！小区位于老静安曹家渡地界，物业费一年只需150，整体楼栋格局东西对称！
