hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2462147035177435136,整租·洛川中路1100弄 1室1厅 南,https://image1.ljcdn.com/110000-inspection/ebb16ff3-4ef2-444c-aab8-0c22faaddd8b.jpg.250x182.jpg,静安,大宁,洛川中路1100弄,31,1室1厅1卫,南,4200,新上;近地铁;,中楼层/6层,2020-02-25,,整租,需咨询,4200,0,需咨询,1号线-延长路-1188m;1号线-延长路-1188m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,2020-03-01,False,民水,True,https://image1.ljcdn.com/110000-inspection/ebb16ff3-4ef2-444c-aab8-0c22faaddd8b.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/edcb4d48-c81c-4bc5-b23b-ac61fc5c5a45.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/bb5138e1-8fea-4375-be0e-59ce64108bba.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/fe4e7907-1dfc-402f-809d-f50e77cbcbb4.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e952212b-d005-4108-87d6-8bad90375c93.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/b6b0392a-a922-4e95-aea5-9776cc172b7f.png.780x439.jpg;,
SH2408641924887224320,整租·宁和小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/a89b30fb-0b82-464f-8a0e-dbcbe9a5180d.jpg.250x182.jpg,静安,大宁,宁和小区,42,1室1厅1卫,南,4000,近地铁;,高楼层/6层,2020-02-09,,整租,需咨询,4000,0,需咨询,1号线-上海马戏城-795m;1号线-上海马戏城-795m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/bcf061aa-4ce8-41a1-be9a-7220f65c08a7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a89b30fb-0b82-464f-8a0e-dbcbe9a5180d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/23059639-1b4d-4d7c-a37c-51e8489a4965.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/56b2f93d-6b3f-4fbc-a688-bfe3e7ad6e11.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f6271806-81ce-4721-939d-9c474fe088c6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6fd7bcc5-cefe-44e1-9b69-cafa381440d9.jpg.780x439.jpg;,
SH2414272585723551744,整租·延长中路451弄 1室1厅 北,https://image1.ljcdn.com/310000-inspection/6c43e745-42dd-439d-bd2c-cea9374e98db.jpg.250x182.jpg,静安,大宁,延长中路451弄,25,1室1厅0卫,北,3300,近地铁;,高楼层/6层,2020-02-21,,整租,季付,3300,0,需咨询,1号线-上海马戏城-1189m;1号线-上海马戏城-1189m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/6c43e745-42dd-439d-bd2c-cea9374e98db.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/211d598c-0fc1-4ddf-bf5a-21a1fd82753a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f1b04050-d9e9-446e-936c-5a9ad6792c0e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fa538c0f-4c03-4bf7-b0cb-86e424e12b53.jpg.780x439.jpg;,
SH2406295886260084736,整租·延长小区(闸北) 1室1厅 南,https://image1.ljcdn.com/310000-inspection/acf8479f-8be2-49cb-b2c3-60153ed3532e.jpg.250x182.jpg,静安,大宁,延长小区(闸北),40,1室1厅1卫,南,3600,近地铁;随时看房;,高楼层/6层,2020-02-24,,整租,需咨询,3600,0,需咨询,1号线-上海马戏城-1111m;1号线-上海马戏城-1111m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/acf8479f-8be2-49cb-b2c3-60153ed3532e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5a99e371-978a-4285-ab9f-5bc68adc15f5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8981fe9f-6b30-45ad-9a2a-e100da40a296.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e121a77a-03d4-45f6-9324-004658aaa704.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8fcad537-b54b-4043-b789-3c3fe17c6b23.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cd94c317-7d93-4ddf-b3cf-b276274c214c.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/d905a781-68b2-466d-b590-aeaebf19d062.png.780x439.jpg;,
SH2455499174771433472,整租·柳营路1025弄 1室1厅 南,https://image1.ljcdn.com/110000-inspection/335df289-6b2a-4532-8e12-4a82b279b3dd.jpg.250x182.jpg,静安,大宁,柳营路1025弄,32,1室1厅1卫,南,4000,,低楼层/6层,2020-02-23,,整租,需咨询,4000,0,需咨询,1号线-中山北路-1053m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/335df289-6b2a-4532-8e12-4a82b279b3dd.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d158ff8a-8777-4548-a006-28ad6076c41e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e6cd5ef4-7272-41f5-9f8b-4b9c9df62d45.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/6d45b298-1bcd-4d9a-afa4-2eb0b3b4fd85.jpg.780x439.jpg;,
SH2462989403052843008,整租·绿苑(闸北) 2室2厅 南,https://image1.ljcdn.com/110000-inspection/e8fd211d-8b16-48ea-ad03-d5f52f12e01e.jpg.250x182.jpg,静安,大宁,绿苑(闸北),80,2室2厅1卫,南,6500,新上;,高楼层/6层,2020-02-24,,整租,需咨询,6500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/e8fd211d-8b16-48ea-ad03-d5f52f12e01e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/19d93edf-faca-4534-9d3b-b21adc77ea6e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/eeab5dd0-0211-47be-8f50-c4e155cf56e5.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/8006c07c-a8b5-49af-8bf8-cc3ec1640419.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/484f65f0-77b6-4bae-b35d-a9ba77e10c39.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5ceaf13d-a514-44b0-ab38-961190c7e526.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/624ea6bb-cf36-428d-b5ad-54458594a796.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2db83456-91db-4e18-8fd7-ccc0c6cc90d1.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/9f5c71bd-c060-449c-be47-0f8572fcdeed.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/d1adbc10-09b6-40d9-a5b8-36030f61d4a1.png.780x439.jpg;,
SH2431020921306218496,整租·大宁新村 1室0厅 南,https://image1.ljcdn.com/310000-inspection/prod-b978db06-ed7f-4635-9295-1944f79e1c51.jpg.250x182.jpg,静安,大宁,大宁新村,34,1室0厅1卫,南,3200,近地铁;,高楼层/6层,2020-02-25,,整租,季付,3200,0,需咨询,1号线-延长路-713m;1号线-延长路-713m;,False,True,True,True,True,False,False,False,True,True,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/prod-b978db06-ed7f-4635-9295-1944f79e1c51.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-a4ac9325-44d5-4d1e-a96d-346d7a31c75f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-aba319bb-99d6-4e2c-8298-e7140b43adf7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-d309018e-ea30-4cc1-a0b0-1f17df4b9d55.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-d7bf30c6-d755-468c-87ee-25f42a906c65.png.780x439.jpg;,【户型介绍】一室户，可以做饭，南北通透，采光好，布局合理，家具齐全，图片真实拍摄【交通出行】地铁：一号线马戏城站700m。 公交：312路、322路、46路、547路、741路、849路、944路、95路。【周边配套】商场：大宁国际广场、久光百货（在建），周末娱乐休闲好去处。医院：第十人民医院 距离大宁路社区公共运动场610m，有静安网球馆等运动场所。
SH2415686130713772032,整租·洛川中路1100弄 1室0厅 南,https://image1.ljcdn.com/310000-inspection/ae472857-2f51-4a22-ad4c-c2dd213cbb8a.jpg.250x182.jpg,静安,大宁,洛川中路1100弄,31,1室0厅1卫,南,3800,近地铁;,高楼层/6层,2020-02-22,,整租,需咨询,3800,0,需咨询,1号线-延长路-1188m;1号线-延长路-1188m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/ae472857-2f51-4a22-ad4c-c2dd213cbb8a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ebbe3963-c8a8-481a-ae15-eb9dfd033772.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bc292f12-21d1-41c0-ac1b-6ce48255a2f2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e35b2f21-78e8-40eb-9109-249dbeb3fe37.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e2eb88a9-785a-4351-85bc-7bb838bc90c9.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-3033e3eb-02ab-49ee-b8ed-8dbe9a113ace.png.780x439.jpg;,【房源亮点】房间整体精装修，户型方正，得房率高，采光很好，南北通透，通风很好【户型介绍】户型方正，出租的面积超过35平米，大一房边套，厨房有窗。【装修描述】装修简单，但该有的都有，带阳台，使用面积35平米以上，厨房带窗，中间楼层
SH2412203329485807616,整租·谈家桥路80弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/5dcdbbe3-f91e-40d5-8221-20d261fc6569.jpg.250x182.jpg,静安,大宁,谈家桥路80弄,39,1室1厅1卫,南,3600,近地铁;,高楼层/6层,2020-02-20,,整租,需咨询,3600,0,需咨询,1号线-中山北路-868m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/5dcdbbe3-f91e-40d5-8221-20d261fc6569.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f1b3ee3a-2cb6-4cd9-8f87-ff8942daafc4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3fc552e1-f5fd-4eb9-9f8f-cc032d2d53fc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/648fc55a-1961-4382-a6ee-3eabeac377b7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1b64b0c5-13a2-4f94-ae96-84d4dce48251.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/38ed942f-2554-430b-81ee-440b3aecd96e.png.780x439.jpg;,
SH2462129850912079872,整租·绿色丽园 1室1厅 南,https://image1.ljcdn.com/110000-inspection/6bce67b0b234e617b1f9dbcebe4e763a.jpg.250x182.jpg,静安,大宁,绿色丽园,55,1室1厅1卫,南,5600,新上;近地铁;随时看房;,高楼层/14层,2020-02-25,,整租,需咨询,5600,0,需咨询,1号线-上海马戏城-759m;1号线-上海马戏城-759m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/110000-inspection/c1b8cd6d704de49e47a01867b7f745c6.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/6bce67b0b234e617b1f9dbcebe4e763a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5b1f1dda3acca41733f91b12bc704b71.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a6ee2015efa11c54f3ea7ad48d9a6697.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5382af72604e2fc722bdee2e64b879ea.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/4761356b3858c142c5fb74eb9c871f1f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/893817159cf3bff4a11d249582b60b75.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/dde7e6c7dedfdf230b33cbd4aead3ba8.jpg.780x439.jpg;,
