hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2415693461929074688,整租·又一村(静安) 2室1厅 南,https://image1.ljcdn.com/lease-image/house/4b9c4217-b40e-4cdc-97e0-4d92f471e649.jpg.250x182.jpg,静安,江宁路,又一村(静安),66,2室1厅1卫,南,8200,近地铁;精装;随时看房;,低楼层/7层,2020-01-18,精装修,整租,季付,8200,0,4100,2号线，7号线-静安寺-676m;2号线，7号线-静安寺-676m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/eef5c8e7-71d4-4651-ae92-a3ffaa6a3688.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c55575d3-8d87-4be2-bf5e-f197aa7427db.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/75a18144-8dd9-428b-9a1d-bbfc03e3ac89.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/20816b75-2cb2-49e1-8e2f-5a7cc958ec91.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4b9c4217-b40e-4cdc-97e0-4d92f471e649.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/af549722-4a10-44a8-8adc-5ffb8861980b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c1ab6930-5123-43bf-9fe3-de1c81180f13.jpg.780x439.jpg;,
SH2463528588784713728,整租·昌化路600弄 2室1厅 南,https://image1.ljcdn.com/110000-inspection/e3546254cc46184253ea8a6daa2a9c78.jpg.250x182.jpg,静安,江宁路,昌化路600弄,58,2室1厅1卫,南,7000,新上;近地铁;精装;,高楼层/7层,2020-02-25,精装修,整租,季付,7000,0,需咨询,7号线，13号线-长寿路-1139m;7号线，13号线-长寿路-1139m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,自采暖,2年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/1fecb1cc34e1ce90eb26c6d5c6831260.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e3546254cc46184253ea8a6daa2a9c78.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/cdede86ddb108daf90ed73adc44a87b4.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/1a65cfe857a1803f13a927d7727699ee.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/fad86afccfd71dc0c9e93223f65cc23c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/1847151e4de2820ddd57304fa3427f79.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/190933a0-2a9e-4507-86d3-06a377f61f1d.png.780x439.jpg;,【装修描述】全新装修 温馨舒适 全明户型，采光优秀，视野开阔，房子空间大，【交通出行】距离7/13号线长寿路地铁站770米 距离昌平路地铁站1公里 距离南京西路2.1公里 距离静安寺2.5公里【周边配套】西康路189弄，巴黎春天，普陀人民医院，长寿公园1KM生活圈近在咫尺，吃喝玩乐一站式享受
SH2463533761787609088,整租·静安新格公寓 1室1厅 南,https://image1.ljcdn.com/110000-inspection/2f7b92b8-7080-489b-97e4-1639d9112f57.jpg.250x182.jpg,静安,江宁路,静安新格公寓,49,1室1厅1卫,南,6700,新上;近地铁;,低楼层/26层,2020-02-25,,整租,需咨询,6700,0,需咨询,13号线-江宁路-1136m;13号线-江宁路-1136m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,2020-03-01,True,民水,True,https://image1.ljcdn.com/110000-inspection/71a5e49f-8b93-46fa-843e-85fd2bc712c3.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2f7b92b8-7080-489b-97e4-1639d9112f57.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c0716624-4d14-4677-8f83-ab7cb3d41bb7.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/7914bdb0-01dc-4609-a84a-0442dadd6706.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/41450374-1904-431b-b0d3-0dc722ea103f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c5a83785-2ea5-46d6-a51a-9602767e7ab7.jpg.780x439.jpg;,
SH2340303260604170240,整租·海防村 1室0厅 北,https://image1.ljcdn.com/310000-inspection/bc71107e-4c36-4a89-8929-4d03b2a8df68.jpg.250x182.jpg,静安,江宁路,海防村,0,,,4200,近地铁;精装;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2378933466315096064,整租·静安新格公寓 1室1厅 南,https://image1.ljcdn.com/310000-inspection/prod-29789701-93c1-4922-87c7-7c64a5b02bad.jpg.250x182.jpg,静安,江宁路,静安新格公寓,48,1室1厅1卫,南,7000,近地铁;精装;随时看房;,低楼层/26层,2020-02-24,精装修,整租,季付,7000,0,需咨询,13号线-江宁路-1136m;13号线-江宁路-1136m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,自采暖,1年以内,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/prod-39d66f08-d05e-42bc-b668-dafb301fc8ab.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-29789701-93c1-4922-87c7-7c64a5b02bad.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-5ec5fce9-1a85-47f5-bd43-c98f1cd2b95f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-905fb979-f9a1-4695-a009-2d612aad0f2c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-3bfbce93-813a-4fb7-be9d-221d01065b6d.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-2fc55c27-1808-44d0-9af5-e5e609d714d3.png.780x439.jpg;,【户型介绍】房间一室一厅一厨一卫，整体干净整洁，平层，采光超棒，房子新装修，家具家电可配，诚意出租【装修描述】精装修，家具齐全，楼层为三楼，平层 ，适合一个人或者情侣入住【交通出行】76路、113路、19路、36路、112路、68路、738路、23路、24路、935路、206路 轨交：1号线、2号线、3号线、4号线、7号线、12号线、13号线 。【出租原因】业主以出售为主，在出售之前出租得到收益，希望租客素质要高，带看有钥匙方便，【周边配套】恒隆广场、中信泰富、波特曼、上海展览 医院：复旦大学附属华山医院二门诊部、上海市静安区医院 邮局：江宁路邮政所 银行：中国工商银行、中国农业银行、中国建设银行 其他：梅隆镇广场、太阳岛花园浴场、久鼎桑拿会所。衣食住行方便【小区介绍】静安新格位于江宁路昌平路交口，独栋高层的酒店式公寓·开发商装修，总高22F，三部电梯，每层13户人家·1-7层全部为平层，7楼以上有复式和平层两种户型，产证上都是48-50平方米的面积，高楼层景观很好，视野开阔·
SH2436712787532054528,整租·向新新村 3室1厅 南,https://image1.ljcdn.com/310000-inspection/3334710a-7a02-4c79-afa0-91ff01beb92e.jpg.250x182.jpg,静安,江宁路,向新新村,71,3室1厅1卫,南,6500,近地铁;随时看房;,高楼层/6层,2020-02-04,,整租,需咨询,6500,0,需咨询,7号线-昌平路-543m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/52af595c-d2dd-41ae-9021-cf65d407451d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3334710a-7a02-4c79-afa0-91ff01beb92e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f0c14f5b-93f2-475e-b40b-46d33e6ec3cd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/25902b70-2588-4e1a-a6b4-a43e2a50a01f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e9639e21-02c3-4cb4-8b10-e3dcb564be86.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cbc73644-70f4-47c0-9b56-96946fb2656d.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/682dc2ba-826d-418c-b196-f69e5ba3f0b2.png.780x439.jpg;,
SH2424475399107903488,整租·静安新格公寓 1室1厅 南,https://image1.ljcdn.com/310000-inspection/ee45304b-50d0-4638-ba0f-e8a6bc414f4b.jpg.250x182.jpg,静安,江宁路,静安新格公寓,49,1室1厅1卫,南,6800,近地铁;精装;,低楼层/26层,2020-02-24,精装修,整租,季付,6800,0,需咨询,13号线-江宁路-1136m;13号线-江宁路-1136m;,False,True,True,True,True,False,True,False,True,True,租用车位,民电,自采暖,1年以内,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/917c64c0-dbdf-4494-860f-c05cf408ff01.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ef8807bd-ce12-4cf1-ad79-cac09be233e5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/97916655-e3f4-4263-841e-3f5c4fef19ea.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ee45304b-50d0-4638-ba0f-e8a6bc414f4b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1ce132a5-2639-4084-91d3-8392de561642.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9a4e4375-2e01-46d2-81ef-025534af00b6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d27fa562-e23c-4f69-ad24-4d32871bfb70.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3e4f8e7a-b1f9-4629-851f-662a0e1bd8f4.jpg.780x439.jpg;,【房源亮点】一室整租带阳台，刷卡到户民水民电有燃气，物业很负责，品质很好【交通出行】76路、113路、19路、36路、112路、68路、738路、23路、24路、935路、206路 轨交：1号线、2号线、3号线、4号线、7号线、12号线、13号线 。【周边配套】恒隆广场、中信泰富、波特曼、上海展览 医院：复旦大学附属华山医院二门诊部、上海市静安区医院 邮局：江宁路邮政所 银行：中国工商银行、中国农业银行、中国建设银行 其他：梅隆镇广场、太阳岛花园浴场、久鼎桑拿会所。【小区介绍】该公位于江宁路昌平路交口，独栋高层的酒店式公寓·开发商装修，总高22F，三部电梯，每层13户人家·1-7层全部为平层，7楼以上有复式和平层两种户型，产证上都是48-50平方米的面积，高楼层可以看到南京西路的景观·适合单身高收入者和年轻人住。
SH2437688564499357696,整租·句容小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/317fb197-71a7-4f93-af24-b084ba56ba7c.jpg.250x182.jpg,静安,江宁路,句容小区,37,1室1厅1卫,南,4800,近地铁;精装;随时看房;,高楼层/6层,2020-02-22,精装修,整租,季付,4800,0,需咨询,7号线-昌平路-1194m;7号线-昌平路-1194m;7号线-昌平路-1194m;7号线-昌平路-1194m;,True,True,True,True,True,False,True,True,True,True,租用车位,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/317fb197-71a7-4f93-af24-b084ba56ba7c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5237c1d0-ec69-4fb5-a95e-f039a97436f4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e2802e63-d960-44e0-bfd9-176651be0b5f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/92bc352c-5c6e-48ad-bb1c-c508f58a917a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/83e00c70-a5e9-42ba-9dd0-10d579f98955.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e4637b28-662f-4aa5-b7af-bc2dada65648.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7c3d96c3-371e-4a4f-b282-e95abd2d5491.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e2b552e7-0531-4589-901e-dc45ad542110.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/55873f30-699f-4944-a171-f09806f133ee.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7ded6283-6f1f-4e17-84e6-98851251a263.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8d423e5a-165d-4625-8742-152c66d2421f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1f0511b2-24ed-4a16-b2dd-6b3aacd16d4e.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/c69998b7-343e-4eec-8b2b-d4f2e7d64fb7.png.780x439.jpg;,【户型介绍】句容小区新出精装一房，南北通透，带大阳台 采光优良，厨卫全明 婚房专修 家具家电齐全【交通出行】最近的地铁站是江宁路地铁站500M左右，长寿路主干道打车也比较方便 江宁路上一站还有7号线可以换车【周边配套】昌化路菜市场、商圈：巴黎春天，189 亚新生活广场、元华超市、普陀人民医院 长寿公园晚饭后散散步也是不错的选择
SH2386965588372365312,整租·天鼎花园 1室1厅 南,https://image1.ljcdn.com/310000-inspection/c2c5381d-f4c3-48cf-be92-017bdea87abb.jpg.250x182.jpg,静安,江宁路,天鼎花园,70,1室1厅1卫,南,6300,近地铁;精装;,低楼层/24层,2020-02-20,精装修,整租,季付,6300,0,需咨询,1号线，3号线，4号线-上海火车站-1018m;1号线，3号线，4号线-上海火车站-1018m;1号线，3号线，4号线-上海火车站-1018m;,True,True,True,True,True,True,True,True,True,True,租用车位,民电,自采暖,3年以内,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/65d7fd6f-1d48-4ff9-bb73-61dd809c4d3f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c2c5381d-f4c3-48cf-be92-017bdea87abb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/47169b83-d382-474d-a33a-5909a6cabcee.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5c53cd0b-b75b-43cf-ba7f-64456d763e0e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c7f4a225-385f-42b1-acb5-2925e143af45.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d52f7fb0-39b2-4fb0-bcc7-3eb25f246972.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d2ce69ce-441d-41b7-93ef-cc71de42d724.jpg.780x439.jpg;,
SH2426853086435229696,整租·安西小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/258919ef-8d10-4c9f-a661-6e2049bcaa9c.jpg.250x182.jpg,静安,江宁路,安西小区,41,1室1厅1卫,南,7000,近地铁;精装;,高楼层/7层,2020-02-14,精装修,整租,季付,7000,0,需咨询,13号线-江宁路-744m;13号线-江宁路-744m;13号线-江宁路-744m;,True,True,True,True,True,False,True,True,True,True,租用车位,民电,集中供暖,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/258919ef-8d10-4c9f-a661-6e2049bcaa9c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c242ced1-2290-40de-a2c9-a318142d84a5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4865fb84-584c-4c24-893b-baffd3fb0103.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4704100d-d5f1-4b73-a16e-97574c051f6a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3d232a09-6f59-4a41-b3fa-271e4022bfc4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fa1300d5-9179-4920-b430-37cc086778bc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/67b6e303-4772-469c-929f-b31121f81ce8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4dad3ad4-b37a-4a3b-a1d4-bbfb7e098669.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/504c1498-ac15-48e2-b0d9-1fa0352602e3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/34ac2a53-b5a1-4d93-9be7-243f8ac396c5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/954c795b-e0f0-4489-865a-9ea9237b51d0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/00b0a7a4-de66-4dcd-9ec4-fdaaf55f2606.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fb6ab8c2-0df7-436f-a5c1-6dc15b0958bc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/38b7dcd1-2a41-40a8-ab42-38f29f1f3628.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f0dd64f1-92af-454c-90fb-e7cef7481354.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3cc51402-bcec-4ee2-879e-25cdf0af7d02.jpg.780x439.jpg;,【房源亮点】一室一厅一厨一卫，婚房装修，房东刚婚房装修一年，装修很好，楼层高，正南户型，采光良好，家具家电齐全，随时可入住 看房方便【交通出行】地铁：距地铁7/13号线长寿路站站约450米，距7号线昌平路站约429米（数据来源于百度地图） 公交：24.36.54.76.113.138.304.328.765【周边配套】同乐坊，“梅恒泰”商圈，南京路商圈，长寿路商圈，建设银行，菜场等
