hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2462837158307184640,整租·华山路421弄 1室1厅 南,https://image1.ljcdn.com/lease-image/house/222425b7-7e72-4612-b7cf-4075ad3d90b3.png.250x182.jpg,静安,静安寺,华山路421弄,26,1室1厅1卫,南,5800,新上;近地铁;精装;随时看房;,低楼层/3层,2020-02-23,精装修,整租,季付,5800,0,2900,2号线，7号线-静安寺-786m;2号线，7号线-静安寺-786m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/222425b7-7e72-4612-b7cf-4075ad3d90b3.png.780x439.jpg;https://image1.ljcdn.com/lease-image/house/df0bb181-bba7-4638-b238-1d70cea8f869.png.780x439.jpg;https://image1.ljcdn.com/lease-image/house/fbbbad20-75cf-4d2b-9068-94ff1779695a.png.780x439.jpg;https://image1.ljcdn.com/lease-image/house/119bfabf-738f-4234-aa29-73c42d91cfba.png.780x439.jpg;https://image1.ljcdn.com/lease-image/house/97149db5-edc3-4c36-b3c3-d7f76856a8d2.png.780x439.jpg;,
SH2427361054540972032,整租·广电大楼 1室0厅 南,https://image1.ljcdn.com/lease-image/house/536979e0-af8b-480b-ac72-eca7be11458f.jpg.250x182.jpg,静安,静安寺,广电大楼,31,1室0厅1卫,南,7000,近地铁;精装;随时看房;,高楼层/13层,2020-02-10,精装修,整租,季付,7000,0,3500,1号线，7号线-常熟路-1027m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/536979e0-af8b-480b-ac72-eca7be11458f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f3ba9877-ea09-479d-8969-78a62a86c321.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/db3ea2e9-e5e5-4bc4-b5cf-5e833900dc88.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f67e043f-df87-4ffa-aaa8-2673d1ed563b.jpg.780x439.jpg;,
SH2462053476184891392,整租·乌鲁木齐中路27弄 1室2厅 南,https://image1.ljcdn.com/lease-image/house/509ff88c-3da8-4017-8fc3-60e5753feec8.jpg.250x182.jpg,静安,静安寺,乌鲁木齐中路27弄,60,1室2厅1卫,南,8000,新上;近地铁;精装;随时看房;,高楼层/3层,2020-02-22,精装修,整租,季付,8000,0,4000,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1012m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1012m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1012m;,False,True,True,True,True,False,True,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,随时可看,随时入住,False,暂无数据,False,https://image1.ljcdn.com/lease-image/house/1ade20d7-0925-48b6-8cfe-f1966197bcdc.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/20d4189e-0862-4a72-a4fa-07235b51a5c5.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/38c86c15-14c1-471f-b124-6e357d573fe9.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e65b8096-3c9c-4a27-aa36-edb28a863035.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/509ff88c-3da8-4017-8fc3-60e5753feec8.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0c52bf45-69f7-4481-b0fc-66671bc1ed87.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d2aa967e-a20c-44ae-9cb2-5b2c670298d1.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/68c6421c-6b98-46b4-91ae-2fbbaf7bc991.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f5bb8f30-1f85-4468-84ec-66594361291f.jpg.780x439.jpg;,
SH2364946892716253184,整租·愚园路488弄 1室1厅 南,https://image1.ljcdn.com/lease-image/house/a74e296f-024e-4ffd-b6db-8908dd7baa2c.jpg.250x182.jpg,静安,静安寺,愚园路488弄,0,,,7500,近地铁;精装;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2459338148308582400,整租·赵家桥小区 1室1厅 南,https://image1.ljcdn.com/lease-image/house/697b3db3-5095-4693-b336-3552e3c839fd.jpg.250x182.jpg,静安,静安寺,赵家桥小区,46,1室1厅1卫,南,8600,近地铁;精装;随时看房;,中楼层/28层,2020-02-18,精装修,整租,季付,8600,0,4300,7号线-昌平路-888m;7号线-昌平路-888m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/697b3db3-5095-4693-b336-3552e3c839fd.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7ad6b39c-2c98-4cb7-8530-2c08a0ba684b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/81b1d822-7e87-4a46-ab0e-5060f5a4efa7.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0ecb93d8-37cc-4e3f-a09b-9c0a867acae7.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7c9b60db-23d9-49d2-ba5e-f1e277e8f0e6.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c38c4a69-b701-4a9f-bccb-503108e2f688.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6d746e29-b37e-41ca-a1f3-b0a8db7d8700.jpg.780x439.jpg;,
SH2446244270794358784,整租·四明邨 1室0厅 南,https://image1.ljcdn.com/310000-inspection/85362457-4b2e-4270-a9c8-c35b5c2c75d5.jpg.250x182.jpg,静安,静安寺,四明邨,15,1室0厅1卫,南,3700,近地铁;,高楼层/3层,2020-02-24,,整租,需咨询,3700,0,需咨询,1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-929m;1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-929m;1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-929m;1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-929m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/85362457-4b2e-4270-a9c8-c35b5c2c75d5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/534897b7-9072-4fa5-acf4-c584e676f34a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/13a52315-61f8-4b01-87d4-2476d0582981.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a9d60d26-eec8-4d4b-bbec-96036adde37c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f3ecca46-063a-421c-bed6-8b6e33c0c368.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/f3ff925d-1de6-42aa-8ada-b35d8ac009ca.png.780x439.jpg;,
SH2426843682285297664,整租·蓝宝石公寓 1室0厅 南,https://image1.ljcdn.com/310000-inspection/bae5a659-7ea3-4d21-b20b-2ad0ab21ee6b.jpg.250x182.jpg,静安,静安寺,蓝宝石公寓,11,1室0厅1卫,南,3400,近地铁;精装;随时看房;,高楼层/6层,2020-02-23,精装修,整租,季付,3400,0,需咨询,1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1140m;1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1140m;1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1140m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/bae5a659-7ea3-4d21-b20b-2ad0ab21ee6b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8ff93fb1-c822-4667-a03e-ba5ad22befac.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0e5e679b-caba-4a1a-bb2c-a68159a19e6d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bb678466-d59c-4972-94cd-3340d3c60d18.jpg.780x439.jpg;,【装修描述】朝南大间，采光没有遮挡，卫生间在套外，门口的地方独立一间，厨房是合用的部位，独立灶台和操作面。【交通出行】有7号线，2号线和10号线12号线13号线五条地铁交汇，开车上延安路高架都很方便。【周边配套】有静安公园，襄阳公园，上海市徐汇区医院，包括静安嘉里购物广场，淮海路上购物都很方便。
SH2386116963349823488,整租·华山路385号 1室1厅 南,https://image1.ljcdn.com/310000-inspection/c9f2831f-1cad-4c14-87b8-54f707ed2181.jpg.250x182.jpg,静安,静安寺,华山路385号,0,,,4500,近地铁;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2391216495729852416,整租·镇宁路404弄 1室1厅 西,https://image1.ljcdn.com/310000-inspection/e9a02d7c-d265-4157-825b-c4fec177bc4d.jpg.250x182.jpg,静安,静安寺,镇宁路404弄,39,1室1厅1卫,西,4600,近地铁;随时看房;,高楼层/7层,2020-02-22,,整租,季付,4600,0,需咨询,2号线，7号线-静安寺-1144m;2号线，7号线-静安寺-1144m;,True,True,True,True,True,True,True,False,True,False,暂无数据,民电,暂无数据,2年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/e9a02d7c-d265-4157-825b-c4fec177bc4d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b5addfc0-676a-4f95-9dee-76e0d4000226.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/43b14aca-7425-438a-a995-3fbf92dffaa3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5b65158f-d012-4b6a-8054-46793840fd6f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2006de07-e438-4890-a9e4-559e29922cfd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/489ebd4c-5233-43d8-a5e7-773653010791.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/98eb6f58-6d73-489d-8106-7d0d9046539c.png.780x439.jpg;,【房源亮点】适宜家里有老人的，生活气息比较浓，邻里之间氛围很不错 。静安寺，中山公园上班的年轻人也很适合这里，生活方便，近地铁公交。【交通出行】交通优势：本房距离地铁2、11号线江苏路站300米，小区东门距离“万航渡路镇宁路和愚园路镇宁路”公交站50米处，有20、138、330、825838路公交车。【周边配套】配套优势：小区周 边有好德超市出门往西北方向步行三百米88广场和金融街，往东南方向久光百货和1788广场，购物方便！ 中国银行、农业银行，工商银行，为您生活提供便利！静安公园和中山公园，为您提供休闲场所！华山医院，为您提供医疗保障！
SH2237020451551313920,整租·美丽园大酒店 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,静安,静安寺,美丽园大酒店,47,1室1厅1卫,南,5000,近地铁;随时看房;,中楼层/28层,2020-02-21,,整租,季付,5000,0,需咨询,2号线，7号线-静安寺-975m;2号线，7号线-静安寺-975m;,True,True,True,True,True,False,True,False,True,False,暂无数据,商电,集中供暖,1年以内,需提前预约,随时入住,True,商水,False,,【房源亮点】延安中路，全新装修整租一室户，初次出租，地铁房，看房方便，诚意出租。【户型介绍】干净精装修，干净全明透一室户，WC一门关都是独用的，独门独户【周边配套】锐欧百货 嘉里购物 静安公园 徐汇医院 华山医院 环贸购物广场
