hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2436948574592827392,整租·静安紫苑 1室1厅 西南,https://image1.ljcdn.com/lease-image/house/37e33789-f918-4567-b550-f2f39e054324.jpg.250x182.jpg,静安,南京西路,静安紫苑,52,1室1厅1卫,西南,8200,近地铁;精装;随时看房;,高楼层/27层,2020-01-18,精装修,整租,季付,8200,0,4100,13号线-自然博物馆-1159m;13号线-自然博物馆-1159m;13号线-自然博物馆-1159m;,False,True,False,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,False,https://image1.ljcdn.com/lease-image/house/2b75f7ee-486e-4b09-96ff-bef5155f64e5.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/37e33789-f918-4567-b550-f2f39e054324.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e8088694-4a27-4587-864a-083026596374.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ce32b8ed-722c-4838-a5a7-9556724b8de2.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/244f65b4-2114-410a-94d7-b2ab7e3e8731.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cff48aff-bfb9-405a-b802-7e4173fc28ea.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/fef5f725-d11c-403d-a888-438e08fbc7c2.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1b12aa3f-136b-4064-8bed-9cda2ac0800f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f883cc57-71dd-4716-8bd7-50a2640fbc55.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/89e61e3a-29db-4955-97b1-e1dcbce8b1ed.jpg.780x439.jpg;,
SH2419292362070573056,整租·骏豪国际 1室1厅 南,https://image1.ljcdn.com/lease-image/house/583f18b5-5d8d-454a-9156-281e17df1ce4.jpg.250x182.jpg,静安,南京西路,骏豪国际,59,1室1厅1卫,南,11000,近地铁;精装;随时看房;,中楼层/29层,2020-02-16,精装修,整租,季付,11000,0,5500,2号线，7号线-静安寺-901m;2号线，7号线-静安寺-901m;,False,True,True,True,True,False,True,False,False,False,暂无数据,民电,集中供暖,暂无数据,随时可看,随时入住,True,民水,False,https://image1.ljcdn.com/lease-image/house/dc144816-57f1-4751-9769-6a0bf7e0fec7.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/583f18b5-5d8d-454a-9156-281e17df1ce4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6a99e4aa-39ba-4738-bbf1-bf94e8fdcedb.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/43699e48-40e8-45bb-90ef-7f99d1cc59ce.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/85478847-94a0-4d96-bdaa-b2a2e73f5b05.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2c17aa54-3d38-44b8-abdd-9f1914a90dd0.jpg.780x439.jpg;,
SH2425356115798654976,整租·茂名公寓 1室1厅 南,https://image1.ljcdn.com/lease-image/house/eaced36e-c50a-4e2a-8923-6b608dd02ebd.jpg.250x182.jpg,静安,南京西路,茂名公寓,36,1室1厅1卫,南,7500,近地铁;精装;随时看房;,高楼层/7层,2020-02-16,精装修,整租,季付,7500,0,3750,1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-871m;1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-871m;1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-871m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/eaced36e-c50a-4e2a-8923-6b608dd02ebd.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a8b26585-cc42-4e14-b320-28cdb8e7143a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1fad36e6-dd38-468f-b24f-a6011dc6fa64.jpg.780x439.jpg;,
SH2437700856687099904,整租·静安紫苑 1室0厅 东南,https://image1.ljcdn.com/lease-image/house/7b0cf582-c75a-4fc6-837f-fea8f14f9820.jpg.250x182.jpg,静安,南京西路,静安紫苑,43,1室0厅1卫,东南,7500,近地铁;精装;随时看房;,中楼层/27层,2020-01-19,精装修,整租,季付,7500,0,3750,13号线-自然博物馆-1159m;13号线-自然博物馆-1159m;13号线-自然博物馆-1159m;,False,False,False,True,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,False,https://image1.ljcdn.com/lease-image/house/b93ec979-93c6-48d8-b96d-504d5c41e1ad.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/efa7e284-2b8c-4aee-b9ff-f62699d0d0c6.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7b0cf582-c75a-4fc6-837f-fea8f14f9820.jpg.780x439.jpg;,
SH2436939249464123392,整租·京西大楼 1室0厅 北,https://image1.ljcdn.com/lease-image/house/618d7eef-44eb-4027-bfea-2ae62f40f0bb.jpg.250x182.jpg,静安,南京西路,京西大楼,33,1室0厅1卫,北,7200,近地铁;精装;随时看房;,中楼层/16层,2020-01-18,精装修,整租,季付,7200,0,3600,13号线-自然博物馆-1177m;13号线-自然博物馆-1177m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/618d7eef-44eb-4027-bfea-2ae62f40f0bb.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a1f9a888-9afa-4994-b72f-f26e42218edc.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1b5b4bcc-9bff-4de8-9999-3377108ef55e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/060d7495-fe78-4730-882c-222faa22d543.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4485d212-4833-462f-988e-58d5b5a9f3b0.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/25ea320b-f3f3-4d6e-958a-9cab12e18352.jpg.780x439.jpg;,
SH2434056646067503104,整租·中凯城市之光(静安) 3室1厅 南,https://image1.ljcdn.com/lease-image/house/26bb7798-c638-40cf-8189-f1e654d4f204.jpg.250x182.jpg,静安,南京西路,中凯城市之光(静安),105,3室1厅1卫,南,16000,新上;近地铁;精装;随时看房;,高楼层/34层,2020-02-20,精装修,整租,季付,16000,0,8000,1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1098m;1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1098m;1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1098m;1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1098m;1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1098m;1号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1098m;,False,True,False,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/e4599194-33c9-4314-b2f7-b9ba5610434c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b842c59a-1636-43ca-adb8-51513242fbbb.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5a09783b-7d1c-4c57-9a22-53b1573cda0a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/26bb7798-c638-40cf-8189-f1e654d4f204.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/07559aa7-4fad-480c-a129-cc465af51bf8.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/bad24e4e-9b20-47e3-8119-1fb10cbedb31.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a1a4dd4d-7e85-4c99-b3ee-f55c8c78e5e0.jpg.780x439.jpg;,【户型介绍】小区内少量的3房1厅1卫，厨卫全明，楼层高，采光好，小区优质户型。【装修描述】精装修，配套齐全，随时带看，看中房子就可随时签约，可随时安排入住。【周边配套】小区旁边配套齐全，地铁，商场，超市等齐全。小区环境优雅。。。。。。
SH2433203447307173888,整租·国际丽都城 2室2厅 南,https://image1.ljcdn.com/lease-image/house/ab74dc02-c391-492d-8216-340f2ecd9a1d.jpg.250x182.jpg,静安,南京西路,国际丽都城,128,2室2厅2卫,南,16500,近地铁;精装;双卫生间;随时看房;,低楼层/27层,2020-01-13,精装修,整租,季付,16500,0,8250,1号线-新闸路-1025m;1号线-新闸路-1025m;1号线-新闸路-1025m;1号线-新闸路-1025m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/b48536ee-9306-403f-b816-50158bc59963.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cabd4fbd-1824-4132-9c3b-6ada28da4c42.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ab74dc02-c391-492d-8216-340f2ecd9a1d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d5d9c22d-6ad9-4b5b-af90-790f6417f72b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/db7d7cb6-e09c-4c78-87e8-3b91d2333bb8.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3cf3043b-e74e-4527-b140-b3f2b75d1278.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/63b43469-b5f8-4fe9-a3e2-a4a7d3d4d6ed.jpg.780x439.jpg;,
SH2414258335575441408,整租·国际丽都城 2室2厅 南,https://image1.ljcdn.com/lease-image/house/0a6136a0-3f68-42d5-9591-92743a531a62.jpg.250x182.jpg,静安,南京西路,国际丽都城,98,2室2厅1卫,南,16500,近地铁;随时看房;,低楼层/34层,2020-01-18,,整租,季付,16500,0,8250,1号线-新闸路-1025m;1号线-新闸路-1025m;1号线-新闸路-1025m;1号线-新闸路-1025m;,False,False,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/a2d36323-fb8e-4065-ad83-75210eeb2d9b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2dcf1de8-8c3e-4abb-9f85-4ab90bad2e81.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e354cca2-9464-4fb1-8112-631390bb4671.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0a6136a0-3f68-42d5-9591-92743a531a62.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9ba354e4-e471-4773-9c1d-c6c23ad1ac64.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/43f3550f-4622-4d46-8cbf-d0a3f776815b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d6b4852a-5fc9-4634-b728-6878e54ab670.jpg.780x439.jpg;,
SH2438462608957767680,整租·静安四季苑 2室2厅 南,https://image1.ljcdn.com/lease-image/house/4257dcde-8c42-41a9-a69b-946c89f1a55e.jpg.250x182.jpg,静安,南京西路,静安四季苑,0,,,24200,近地铁;精装;双卫生间;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2315649524514955264,整租·国际丽都城 1室0厅 南,https://image1.ljcdn.com/310000-inspection/4c46f8b5-1dd1-4406-b01d-558f5650eb85.png.250x182.jpg,静安,南京西路,国际丽都城,30,1室0厅0卫,南,1500,近地铁;,地下室/1层,2020-01-12,,整租,需咨询,1500,0,需咨询,1号线-新闸路-1025m;1号线-新闸路-1025m;1号线-新闸路-1025m;1号线-新闸路-1025m;,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,自采暖,暂无数据,需提前预约,随时入住,False,暂无数据,False,,【房源亮点】这是地下车位，地下车位，地下车位！这是地下车位，地下车位，地下车位！这是地下车位，地下车位，地下车位！【户型介绍】这是地下车位，地下车位，地下车位！这是地下车位，地下车位，地下车位！这是地下车位，地下车位，地下车位！【装修描述】这是地下车位，地下车位，地下车位！这是地下车位，地下车位，地下车位！这是地下车位，地下车位，地下车位！
