hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2381065445618237440,整租·临汾花园 2室1厅 南,https://image1.ljcdn.com/310000-inspection/3e326b68-5eaf-40b3-b96c-712d333fb3ca.jpg.250x182.jpg,静安,彭浦,临汾花园,70,2室1厅1卫,南,4200,,高楼层/6层,2020-02-21,,整租,需咨询,4200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/e471936b-b238-4154-9111-222f0b9744c5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c92f06b3-954e-42b5-9bcf-491d6ad3371a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/367d7f44-da38-42f0-bd85-89a2ae0b673a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3e326b68-5eaf-40b3-b96c-712d333fb3ca.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/570a57b6-091b-4314-a570-6b85ea3b6cfd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/932e5834-32d3-4600-97c9-ba718083d11f.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/7234ccd6-3bd1-4d31-93ed-bec652ea85ea.png.780x439.jpg;,
SH2460982580875632640,整租·场中路2601弄 1室1厅 南,https://image1.ljcdn.com/110000-inspection/de3831e5c24021c39ef1b430427df812.jpg.250x182.jpg,静安,彭浦,场中路2601弄,41,1室1厅1卫,南,3600,新上;近地铁;,高楼层/6层,2020-02-22,,整租,需咨询,3600,0,需咨询,1号线-彭浦新村-849m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,2020-03-20,False,民水,False,https://image1.ljcdn.com/110000-inspection/e8c2242cf2226e46bd3a50158d8d470e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/de3831e5c24021c39ef1b430427df812.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/7c10e23725990fb573886a7427d082ea.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/dfb6b063d37c6698c202d4485d210cff.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/6dc703087d6832bf004720134271f0a9.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/5cb0efef-f27f-4020-8c88-20d8d5e40fb4.png.780x439.jpg;,
SH2408458089289220096,整租·保德路241弄 2室0厅 南,https://image1.ljcdn.com/310000-inspection/40d342cd-c91c-4cfc-bace-06d6d5050ee4.jpg.250x182.jpg,静安,彭浦,保德路241弄,58,2室0厅1卫,南,3800,随时看房;,高楼层/6层,2020-02-23,,整租,需咨询,3800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/40d342cd-c91c-4cfc-bace-06d6d5050ee4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9a2b6749-d2d5-4e5a-bdbf-e3c18bc0379e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fd08d415-9c45-4171-ac4c-0ab738be9e37.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b8c630e1-427f-4b95-b1a2-4959f812fd26.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/61dad46f-4f9b-4368-9591-48f59656a369.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/2a11efa0-7b00-455e-818c-4d2666df6cbd.png.780x439.jpg;,
SH2429429567849766912,整租·场中小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/5a94ba85-6b2f-42f5-b71f-d48e7e2acf1b.jpg.250x182.jpg,静安,彭浦,场中小区,35,1室1厅1卫,南,3000,近地铁;随时看房;,高楼层/7层,2020-02-13,,整租,需咨询,3000,0,需咨询,1号线-彭浦新村-349m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/5a94ba85-6b2f-42f5-b71f-d48e7e2acf1b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f515a115-717b-4757-b1df-31dcce62d3fb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a220892f-5bda-4b92-94f9-9f81ea0b0d29.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f637b92e-81e3-4d81-be18-dbdc7bfbd0ba.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0263e628-2577-49de-ba98-c482245c9f5f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/88d97e81-a49d-44c5-9e45-d456f8099acc.jpg.780x439.jpg;,
SH2415726570774724608,整租·共康三村 2室1厅 南,https://image1.ljcdn.com/310000-inspection/3f683629-4009-4dcd-8cbf-61632aa5e277.jpg.250x182.jpg,静安,彭浦,共康三村,45,2室1厅1卫,南,3800,随时看房;,高楼层/6层,2020-02-13,,整租,需咨询,3800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/7a92af30-fbc7-4b30-a0ae-4fbd22377648.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/356aa1e8-ad3e-4131-a758-a517bf5d7eb7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3f683629-4009-4dcd-8cbf-61632aa5e277.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5c948337-89cf-404e-9dda-143dcf3bd7e2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c362c079-9853-49cf-bbce-e6a34995ddb6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4b4482bf-aaa4-4dfc-9284-77e2dbe47f4b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/33e2b1ba-c1eb-4b21-94e4-f9417463b99a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/37521d52-0d48-413c-a5eb-a2347f160f1e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/136abf5b-8e5c-40ff-9e6c-84be2244a061.jpg.780x439.jpg;,
SH2420274964570570752,整租·共康四村 2室1厅 南/北,https://image1.ljcdn.com/310000-inspection/9c5c1ad7-34e2-422a-b3a3-3e877c584e43.jpg.250x182.jpg,静安,彭浦,共康四村,58,2室1厅1卫,南/北,3800,,高楼层/6层,2020-02-20,,整租,需咨询,3800,0,需咨询,1号线-共康路-1157m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/9c5c1ad7-34e2-422a-b3a3-3e877c584e43.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e7018f57-8472-4cd0-aa6e-d7d0b6f33ce8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0ff5abfd-332d-45fc-b21b-99ec39a33d9d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cd6833a9-97b2-42bd-9483-a1f2b2bc7f61.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e660d9ea-dfd7-4bdc-8618-ef71da4f79e4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/025ba3fb-a080-4b05-952c-a25f3edf939c.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/a243ca5f-5536-468f-a178-0308f99f7d2a.png.780x439.jpg;,
SH2449926739296788480,整租·阳曲小区 1室1厅 南,https://image1.ljcdn.com/110000-inspection/pc1_hsrJdwlUb_1.jpg.250x182.jpg,静安,彭浦,阳曲小区,44,1室1厅1卫,南,3500,,中楼层/6层,2020-02-22,,整租,需咨询,3500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/1c2ad643-f3ad-40aa-9f2e-3936a1371d56.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/pc1_hsrJdwlUb_1.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/0d50aea3-b4dc-4889-9f88-130997745f66.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5ce1407e-668f-48ab-8f95-1a55dd9e4f5e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/9b0f4607-bf5e-4949-92ae-da0dee921ae6.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f862e65a-b0a9-47dc-953d-6403cc35a2dd.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_3a79cac5-89e4-4897-b073-a71eb7060abf.png.780x439.jpg;,
SH2425948197316214784,整租·三泉路424弄 1室0厅 南,https://image1.ljcdn.com/310000-inspection/649523e9-1ca8-4947-ba54-433fd307ad37.jpg.250x182.jpg,静安,彭浦,三泉路424弄,42,1室0厅1卫,南,3200,近地铁;随时看房;,高楼层/6层,2020-02-19,,整租,需咨询,3200,0,需咨询,1号线-彭浦新村-637m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/649523e9-1ca8-4947-ba54-433fd307ad37.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/40699087-cd22-4f3f-8e20-d8961269b88d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f6e0b5dc-13df-4d5b-b2d4-d4522db6a3bc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3c357d80-7afe-448f-a0aa-888338535659.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/daf3803e-bd04-4fc5-bca6-0272bea102a7.png.780x439.jpg;,
SH2432531316920041472,整租·平顺小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/7118bbf8-e082-4cf1-abd4-f3d0f7536391.jpg.250x182.jpg,静安,彭浦,平顺小区,26,1室1厅1卫,南,3500,近地铁;随时看房;,低楼层/6层,2020-02-23,,整租,需咨询,3500,0,需咨询,1号线-共康路-972m;1号线-共康路-972m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/7118bbf8-e082-4cf1-abd4-f3d0f7536391.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3be6f1aa-bbe5-48db-a123-96e59941e8f1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/49ace74f-6576-4e05-9080-8365c4ec9493.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8aa1c51a-89ef-460e-8131-1500c1c44127.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/64dd8407-7384-40f3-aa97-22e5f5eab0bb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c81826a8-0639-4a2a-9202-bbc9da8e3d56.jpg.780x439.jpg;,
SH2431835613897695232,整租·岭南路270弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/a6ba1b62-c202-40fe-91b2-c78c5a44de97.jpg.250x182.jpg,静安,彭浦,岭南路270弄,52,1室1厅1卫,南,3800,近地铁;随时看房;,高楼层/6层,2020-02-23,,整租,需咨询,3800,0,需咨询,1号线-彭浦新村-770m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/748a9cb0-1804-4bf7-a0c6-a05ae13cdfec.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a6ba1b62-c202-40fe-91b2-c78c5a44de97.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3968a855-b0a9-446b-acb6-cf926de70c1d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fbc9e507-0d3c-490b-ab7c-a38a53f58362.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6409be21-089d-4adf-a403-92089fd431b3.jpg.780x439.jpg;,
