hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2348562735136522240,整租·海浒新村 3室1厅 南/北,https://image1.ljcdn.com/310000-inspection/8b23df53-3837-477e-a018-9f20958ce966.jpg.250x182.jpg,金山,山阳,海浒新村,76,3室1厅1卫,南/北,1800,近地铁;,中楼层/6层,2020-01-03,,整租,需咨询,1800,0,需咨询,金山铁路-金山卫站-25m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/8b23df53-3837-477e-a018-9f20958ce966.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3952405d-96c1-428f-bc5b-fc15bb0d5785.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c36af20e-73c6-4c62-9288-13050a86e472.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a0f06311-f624-47bd-b41f-d4b666de4c4e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ea5ac017-0bdf-4de6-85d0-c15821888f2e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fbd8020f-e8cb-40dc-a0fa-0fa48fc22eb4.jpg.780x439.jpg;,
SH2386048302324908032,整租·金山万达海汇街 1室1厅 南/北,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,金山,山阳,金山万达海汇街,50,1室1厅1卫,南/北,1950,,中楼层/22层,2019-12-27,,整租,需咨询,1950,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,False,商水,False,,
SH2393434823000858624,整租·金山万达海汇街 1室0厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,金山,山阳,金山万达海汇街,52,1室0厅1卫,南,2000,随时看房;,中楼层/22层,2020-01-15,,整租,需咨询,2000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,False,商水,False,,
SH2431835957914779648,整租·海尚馨苑 3室1厅 南,https://image1.ljcdn.com/310000-inspection/pc1_3EPbcaWgC_1.jpg.250x182.jpg,金山,山阳,海尚馨苑,0,,,3000,双卫生间;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2367407686712033280,整租·水韵悦城 2室2厅 南/北,https://image1.ljcdn.com/310000-inspection/e1012ba3-5349-45a6-9323-1b2682f9ff4e.jpg.250x182.jpg,金山,山阳,水韵悦城,89,2室2厅2卫,南/北,2800,双卫生间;,高楼层/5层,2020-01-10,,整租,需咨询,2800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,一般下班后可看,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/e1012ba3-5349-45a6-9323-1b2682f9ff4e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d29f0ae2-8dd4-4c49-840b-51f8c0cdf37e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9a8119c9-d6b7-4cbe-949c-dba320056fa9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dc36e1a0-6921-4cd7-8229-368f77db7a5e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7aea3fd9-441b-4c79-a7ba-5f42f28f42c9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a1c75a4b-e543-43ac-86c9-8d08f730db53.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/107e92d0-ff51-4fda-9c96-f24cf09cd409.jpg.780x439.jpg;,
SH2436984542436278272,整租·金域蔚蓝家园 3室2厅 南,https://image1.ljcdn.com/310000-inspection/fc88ae46-4b47-4ccb-a289-4e418686296d.jpg.250x182.jpg,金山,山阳,金域蔚蓝家园,92,3室2厅1卫,南,3500,,中楼层/8层,2020-02-06,,整租,需咨询,3500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/13c97366-e479-4ad3-91f7-ec161d750244.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4e40f17d-84e2-423c-8b37-955d49a5a4f1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9805a3f3-b869-4279-8e82-9523cc069a6e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fc88ae46-4b47-4ccb-a289-4e418686296d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4adfdd97-041e-4bea-b59b-0006d90b6b19.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/25be723c-f5e5-4271-8da7-75089e13fa7e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3f1175b7-b5da-4c75-9726-3269841525d5.jpg.780x439.jpg;,
SH2355709570665955328,整租·上置海景大厦 1室1厅 南,https://image1.ljcdn.com/310000-inspection/db920119-b884-40ea-b154-6b8aef4c15b5.jpg.250x182.jpg,金山,山阳,上置海景大厦,80,1室1厅1卫,南,2800,,中楼层/31层,2020-01-10,,整租,需咨询,2800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/66ae428d-84aa-4c4d-8b9f-9ac3518c0d31.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/db920119-b884-40ea-b154-6b8aef4c15b5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fd53def5-f3a7-4850-925c-b9722b9b97ed.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a5aa8b3e-29a4-4238-8260-c7ced9733fe2.jpg.780x439.jpg;,
SH2376833395189104640,整租·宝华海湾城 3室2厅 南,https://image1.ljcdn.com/310000-inspection/b1bae8ef-1159-4eff-ba65-b33040ea13a9.jpg.250x182.jpg,金山,山阳,宝华海湾城,89,3室2厅2卫,南,3800,双卫生间;,高楼层/18层,2020-01-19,,整租,需咨询,3800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/d31ecfe8-de41-45d1-8d2e-3d5a271b2447.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ef1340ae-33c8-42ce-b476-beb491d01e24.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bf928c71-7d11-4513-84b0-29ccd8f20db2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b1bae8ef-1159-4eff-ba65-b33040ea13a9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/05daeecc-6d85-4a3f-99bf-7b0e6002115d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/53fd952b-33b5-4c38-99c2-715c03aa6ac6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ee3d3f14-6ac8-418e-ba1f-f379106cd5fb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dd414317-67e5-4a71-a8e8-b2d9ea512c59.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b2ed4d7d-3851-432c-b628-22c56dfb906d.jpg.780x439.jpg;,
SH2175306818472394752,整租·金山万达海汇街 1室1厅,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,金山,山阳,金山万达海汇街,52,1室1厅1卫,,2000,,高楼层/22层,2019-12-04,,整租,需咨询,2000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,暂无数据,暂无数据,False,商水,False,,
SH2395438959397445632,整租·上置海景大厦 2室2厅 南/北,https://image1.ljcdn.com/310000-inspection/pc1_Nt1WAlFGl_1.jpg.250x182.jpg,金山,山阳,上置海景大厦,93,2室2厅1卫,南/北,4500,随时看房;,高楼层/31层,2019-12-15,,整租,需咨询,4500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/2f766fb7-9178-4cef-b10f-3e7d6ec8e985.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9fe616d5-72c0-41d3-97e8-70f9f76ebef9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/pc1_Nt1WAlFGl_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/61ff1c34-31df-4d5a-b350-38cf3243157a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/724071be-7ba4-4b26-8ba4-75cb0a4be859.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ce99f86d-2414-4166-99c0-367b441fbc95.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b11c6f73-3a3e-48e6-9937-7782ce57e772.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/604b5ebb-6d4f-4f82-b044-1652ef8acd32.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_84866856-f138-4c31-a33d-aa92c3187473.png.780x439.jpg;,
