hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2298573179100069888,整租·高兴花园 1室1厅 南,https://image1.ljcdn.com/lease-image/house/d71bbb47-a87f-4329-91fe-685177397696.jpg.250x182.jpg,闵行,春申,高兴花园,43,1室1厅1卫,南,3500,新上;随时看房;,低楼层/6层,2020-02-21,,整租,季付,3500,0,1750,,False,False,False,False,True,False,True,False,False,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/15887039-e4b2-4f3f-86a0-409006c033b8.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5f0b2398-9766-405d-bc46-9f1518821381.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d71bbb47-a87f-4329-91fe-685177397696.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c568f1fb-f03f-4b9c-b8d1-1e5a0e5970d8.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/979d0f18-2ff4-4881-9e60-4dfc46169714.png.780x439.jpg;,
SH2427310583423434752,整租·蔷薇新村 2室1厅 南,https://image1.ljcdn.com/lease-image/house/b7fb2667-cffd-4e33-9fdf-8b413d1d508f.jpg.250x182.jpg,闵行,春申,蔷薇新村,55,2室1厅1卫,南,3800,精装;随时看房;,中楼层/6层,2020-01-05,精装修,整租,季付,3800,0,1900,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/6a0803aa-87c5-41af-a189-8aa72e5a9b21.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2ee711c4-3e3b-47c1-a9f4-753886f11f26.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e7bfc311-0f86-4160-ae91-643d0d77580b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b7fb2667-cffd-4e33-9fdf-8b413d1d508f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b7fc5c65-9a06-4a19-b4c5-3f3ace8d5c56.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/08132240-b1dd-4ae2-b47d-477ea7587870.jpg.780x439.jpg;,
SH2389906791220641792,整租·莲花新村 1室1厅 南,https://image1.ljcdn.com/lease-image/house/6bbab136-cc5e-4658-a610-acbedef2c8bf.png.250x182.jpg,闵行,春申,莲花新村,56,1室1厅1卫,南,3300,随时看房;,高楼层/6层,2019-11-21,,整租,季付,3300,0,1650,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/ef1ff594-53ce-45a9-87c8-fa8d3a53cf8c.png.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6bbab136-cc5e-4658-a610-acbedef2c8bf.png.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ea66c6b7-c099-4cac-90a1-b5818ceb769a.png.780x439.jpg;https://image1.ljcdn.com/lease-image/house/fe4da1d4-abc9-4bd8-8d2e-eeadc6b41736.png.780x439.jpg;https://image1.ljcdn.com/lease-image/house/df18f2bb-0f91-4e47-9b45-bf8849d87657.png.780x439.jpg;,
SH2358389781655986176,整租·高兴花园 2室1厅 南,https://image1.ljcdn.com/lease-image/house/32bc0f25-4d9a-4803-bc4d-4440032baf54.jpg.250x182.jpg,闵行,春申,高兴花园,66,2室1厅1卫,南,4200,随时看房;,高楼层/6层,2019-11-21,,整租,季付,4200,0,2100,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/32bc0f25-4d9a-4803-bc4d-4440032baf54.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/373e7588-d9d1-4851-b4e9-119e548ce7ea.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d0459da0-88f1-4505-9260-bf098c7e9bd9.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/aba73ec2-34ff-4743-a66b-ce8cd63ed6aa.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/19f60958-d96e-4f7a-95cf-872f02482221.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a799cab6-8f85-4886-a6a4-33aca54ea3bf.jpg.780x439.jpg;,
SH2302647663688433664,整租·银兆公寓 2室1厅 南,https://image1.ljcdn.com/lease-image/house/0ff89355-3358-4643-b5c9-52affbcd36ec.jpg.250x182.jpg,闵行,春申,银兆公寓,70,2室1厅1卫,南,4000,精装;随时看房;,高楼层/6层,2020-01-18,精装修,整租,季付,4000,0,2000,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/c9222ea3-957b-4b96-af96-0efc563e945d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7f5186d0-bad1-4b1a-add6-e91da8dbdc9c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0ff89355-3358-4643-b5c9-52affbcd36ec.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/014eec47-a98f-4229-a719-36f4ea6a77e2.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e301fc4f-4342-4b32-8406-7cf8f7688bac.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5603c602-98f1-4923-96c6-62efc14449ee.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c7eedb2f-b406-43ec-b2ec-b9daf78b78cf.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ac2cb3f7-19a3-4409-a45b-8f1a3514877e.jpg.780x439.jpg;,
SH2410624872012054528,整租·高兴花园 2室1厅 南,https://image1.ljcdn.com/lease-image/house/805ed886-da98-4103-8a98-bd2600fcb58c.jpg.250x182.jpg,闵行,春申,高兴花园,70,2室1厅1卫,南,4300,精装;随时看房;,高楼层/6层,2019-12-13,精装修,整租,季付,4300,0,2150,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/805ed886-da98-4103-8a98-bd2600fcb58c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cc7757e8-2782-4e24-b83f-2d6daddaf3ff.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0e562efd-8b48-4a54-8d23-9ed3fbe8980b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e0bc6627-cfa7-4412-accb-c0f076a91270.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4ead3a2b-9811-4c9c-b808-86db69f557a4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ea0e9de0-4ad0-477d-bf93-26bf3b80f7bf.png.780x439.jpg;,
SH2413593247776776192,整租·高兴花园 2室1厅 南,https://image1.ljcdn.com/lease-image/house/cb679383-db61-4d01-824c-420dc61626f4.jpg.250x182.jpg,闵行,春申,高兴花园,70,2室1厅1卫,南,4300,随时看房;,中楼层/6层,2019-12-17,,整租,季付,4300,0,2150,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/a6918832-1790-469c-b5d7-cfbc2453b5ea.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cb679383-db61-4d01-824c-420dc61626f4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9c46e114-88be-4695-945b-0cbad9966512.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/505e7135-6048-47ec-8fa6-9b66b529ef3c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ed389ac5-8786-43f0-a959-ec57f94061e6.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2b4caf63-cede-4064-a69f-9651d4244bbd.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3af91e09-4403-4101-889b-f80b6d7cc0a5.png.780x439.jpg;,
SH2412113457118707712,整租·蔷薇新村 2室1厅 南,https://image1.ljcdn.com/lease-image/house/f8260a08-8524-4601-b586-96e9c1790d42.jpg.250x182.jpg,闵行,春申,蔷薇新村,75,2室1厅1卫,南,4100,随时看房;,中楼层/6层,2019-12-15,,整租,季付,4100,0,2050,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/236f75ae-77ce-4010-b37c-71646776a4fc.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/38f16c63-9479-4aad-8c0f-86df26ea3fa8.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f8260a08-8524-4601-b586-96e9c1790d42.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b41c2446-bfd8-449a-9563-e2ab8ea43879.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/37547714-aff0-47e8-abea-afe31ffcb6c9.jpg.780x439.jpg;,
SH2402600391046078464,整租·高兴花园 2室1厅 南,https://image1.ljcdn.com/lease-image/house/71b49ef2-6e23-4e27-a6bc-0e5a1def9e33.jpg.250x182.jpg,闵行,春申,高兴花园,67,2室1厅1卫,南,4200,随时看房;,高楼层/6层,2019-12-02,,整租,季付,4200,0,2100,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/71b49ef2-6e23-4e27-a6bc-0e5a1def9e33.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ff93b96b-d351-4ad0-a83c-ab22a362f28f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/646e2c94-1b13-4c15-b0a8-7bf7df3a9879.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/922d9f4b-e340-4c0b-a770-0691c900797b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/47e85f64-e7eb-4132-b68f-e225cc3dd387.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3fc88f3d-3cd7-4c5a-8149-022f1ab0a6fe.png.780x439.jpg;,
SH2393982640131670016,整租·虹景苑 1室1厅 南/北,https://image1.ljcdn.com/lease-image/house/04a82884-4525-4bd4-a1cb-22705e43a52c.jpg.250x182.jpg,闵行,春申,虹景苑,50,1室1厅1卫,南/北,3000,随时看房;,高楼层/6层,2019-11-21,,整租,季付,3000,0,1500,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/04a82884-4525-4bd4-a1cb-22705e43a52c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/81c66b55-c31a-4e0d-a5b5-cc1ab5af0dc2.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7a326a78-e0f1-4c77-98e8-a0662d8773a7.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c35db940-45bc-4e12-bd51-568f8a308826.jpg.780x439.jpg;,
