hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2414501767401177088,整租·航华一村 1室1厅 南,https://image1.ljcdn.com/lease-image/house/6ea04bc94c26d8a3484982bcd5795333.jpeg.250x182.jpg,闵行,航华,航华一村,50,1室1厅1卫,南,4200,随时看房;,高楼层/6层,2019-12-18,,整租,季付,4200,0,2100,10号线(新江湾城-航中路)-910m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/6ea04bc94c26d8a3484982bcd5795333.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e92d840d05a141f69af3bc4b32f080ea.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/204bfab3be9d5568a79cdaa25fec0a98.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/149cf60d057c20a2d819b7fc0911d959.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/df7b1313db6c554e6c82a087375bd1da.jpeg.780x439.jpg;,
SH2410203610303971328,整租·航华二村梧柏小区 1室1厅 南,https://image1.ljcdn.com/lease-image/house/792ded98314a43f662cc972f3b13ebcc.jpeg.250x182.jpg,闵行,航华,航华二村梧柏小区,39,1室1厅1卫,南,4300,近地铁;随时看房;,低楼层/6层,2020-01-30,,整租,季付,4300,0,2150,10号线(新江湾城-航中路)-783m;,False,False,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/792ded98314a43f662cc972f3b13ebcc.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9690eab7ae7daa6acfa2af52a8bd2c9a.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/54fd9ad0dfb782a42f18ba8f4a7f52e4.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0438e8b742c75e164a15baea7d75afff.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d0ba41564c7e6212ffdab38d7ac2d468.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/fdacbd64cdc45a0f2be19a23a2b596e0.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/26ebcb75c29fa8c51730a3a0ce5964c8.jpeg.780x439.jpg;,
SH2356303396492804096,整租·航东路750弄 1室1厅 南,https://image1.ljcdn.com/lease-image/house/84fbd42f-778e-41fb-a4b9-723b996ad2b8.jpg.250x182.jpg,闵行,航华,航东路750弄,45,1室1厅1卫,南,3300,随时看房;,高楼层/6层,2020-01-06,,整租,季付,3300,0,1650,,False,False,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/84fbd42f-778e-41fb-a4b9-723b996ad2b8.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d74c8268-3fd9-4033-8182-995c8ab2cc62.jpg.780x439.jpg;,
SH2407776930268192768,整租·航东路750弄 2室1厅 南,https://image1.ljcdn.com/lease-image/house/36b1b7c0ffd5463f3a53de6338eab692.jpeg.250x182.jpg,闵行,航华,航东路750弄,45,2室1厅1卫,南,5000,精装;随时看房;,高楼层/6层,2020-01-30,精装修,整租,季付,5000,0,2500,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/36b1b7c0ffd5463f3a53de6338eab692.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1213f98a6a5cc3bf471267b72dc3f79f.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9962eb9ae3149864ed7e62ed8119b8ca.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7380953be6e933d557c16fa174c8dec6.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/218524f6463709c373b8bf2096b1a4c3.jpeg.780x439.jpg;,
SH2433384568469069824,整租·航华三村四街坊 2室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,闵行,航华,航华三村四街坊,71,2室1厅1卫,南,5400,近地铁;随时看房;,低楼层/6层,2020-01-13,,整租,季付,5400,0,2700,10号线(新江湾城-航中路)-288m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,,
SH2422367553973125120,整租·航华二村嘉丰公寓 1室1厅 南,https://image1.ljcdn.com/310000-inspection/0822b440-f540-475a-8dd8-4519970b2d2b.jpg.250x182.jpg,闵行,航华,航华二村嘉丰公寓,59,1室1厅1卫,南,4500,近地铁;,高楼层/6层,2020-02-09,,整租,需咨询,4500,0,需咨询,10号线(新江湾城-航中路)-881m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/1599d9d0-baa6-42ae-90be-445c254b501e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0822b440-f540-475a-8dd8-4519970b2d2b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e2feb12e-26b5-4c66-aff4-017475ba1091.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7fb02796-e425-4de9-8271-a367ecb5f4b0.jpg.780x439.jpg;,
SH2397075877373952000,整租·航华四村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/4d9a2319-ad12-401e-bd95-282c85bcf343.jpg.250x182.jpg,闵行,航华,航华四村,37,1室1厅1卫,南,3600,近地铁;随时看房;,高楼层/6层,2020-02-25,,整租,需咨询,3600,0,需咨询,10号线(新江湾城-航中路)-938m;10号线(新江湾城-航中路)-938m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/4d9a2319-ad12-401e-bd95-282c85bcf343.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b5783df2-c65d-48cf-84a7-f2cfac10a360.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bd86341c-d3bb-4d02-a1ce-920fca89ccd7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2713835e-c4e4-4c5e-aa0b-6439e27fe06b.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/13bc7fa0-ea66-4e1c-8356-cc8ad7017862.png.780x439.jpg;,
SH2417419473423441920,整租·航华一村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/026e35e4-4928-4d4e-baa3-736cf29f9799.jpg.250x182.jpg,闵行,航华,航华一村,38,1室1厅1卫,南,3700,,高楼层/6层,2020-02-24,,整租,需咨询,3700,0,需咨询,10号线(新江湾城-航中路)-910m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/026e35e4-4928-4d4e-baa3-736cf29f9799.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7c9aca13-a711-4c39-942e-70599d7c9844.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/08710b39-f725-43d1-a18c-f2a6d435ba05.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1395c490-0e87-4f4d-b441-6417ffe4f128.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b1dfd3f9-27f3-4943-84a0-58adcfb5789a.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/2543e874-d4f0-488b-b03d-82f07b88cb50.png.780x439.jpg;,
SH2389177627719516160,整租·航华一村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/7ede7efe-da16-4adf-b6a9-2bfb555c8597.jpg.250x182.jpg,闵行,航华,航华一村,42,1室1厅1卫,南,3000,随时看房;,高楼层/6层,2020-02-24,,整租,需咨询,3000,0,需咨询,10号线(新江湾城-航中路)-910m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/7ede7efe-da16-4adf-b6a9-2bfb555c8597.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/407e3602-f475-4cf6-bf2a-f9a28ea7bebd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d5e1e3f8-0671-4d23-a3e9-067b9129c15e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9c423b05-f131-4e9b-b287-27fc55d48dee.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-281072e3-578a-4c33-ac75-e346249d3ea4.png.780x439.jpg;,
SH2420289978082279424,整租·航新路260弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/29f419da-2800-4909-bd88-d7efd8e9846c.jpg.250x182.jpg,闵行,航华,航新路260弄,38,1室1厅1卫,南,3600,随时看房;,高楼层/11层,2020-02-25,,整租,需咨询,3600,0,需咨询,10号线(新江湾城-航中路)-737m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/1f6dd097-6c4f-4be6-b36c-4a3cc25dc946.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/29f419da-2800-4909-bd88-d7efd8e9846c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/64090100-7e89-432c-b042-9d68c37069a3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/93aafe48-6388-4faa-a2e3-61c4f37cc3fd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/92025c35-27c3-4802-b9df-7a8d57ab00c4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/461c67a6-1186-4cc9-ba00-73f9342a3f34.jpg.780x439.jpg;,
