hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2411606918616317952,整租·金丰小区 2室1厅 南/北,https://image1.ljcdn.com/lease-image/house/d8b8c3ab87d4ccae4c131f1e6b1ccb24.jpeg.250x182.jpg,闵行,华漕,金丰小区,68,2室1厅1卫,南/北,4500,精装;随时看房;,高楼层/6层,2019-12-14,精装修,整租,季付,4500,0,2250,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/d8b8c3ab87d4ccae4c131f1e6b1ccb24.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/84ba115b1cd23c828d78b0152f2b7d9a.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/458fe3c125f2627df36cb192cbc4aed8.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/995523c147cb5c58cfa07e66aaf00b1b.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e795a3be25858ae45305efb614827acd.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a38d5cd38ce810cc0d900d572cb76f2e.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4b79d008ecf093aee0e92db48bb3dab6.jpeg.780x439.jpg;,
SH2388228803282608128,整租·爱博二村 2室2厅 南,https://image1.ljcdn.com/lease-image/house/d4e99902-71ee-44a2-acf4-17ee9d967159.jpg.250x182.jpg,闵行,华漕,爱博二村,106,2室2厅1卫,南,7800,精装;随时看房;,低楼层/13层,2019-12-20,精装修,整租,季付,7800,0,3900,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,False,https://image1.ljcdn.com/lease-image/house/7b1f697e-54d6-44f5-a64c-7de5245984db.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3963b3da-819c-41a4-962d-df44b2cf1d4c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/bbd364cc-a160-4611-92d7-331173b33872.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d64c9c12-7c09-4b66-acaf-675e311cb833.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d4e99902-71ee-44a2-acf4-17ee9d967159.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7d338c56-7c48-4157-9302-e3be8e1ee869.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6c989780-5f2b-4827-80fe-3a637feb9b11.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7666f7d6-d5ce-411f-9551-50622bb1586b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f534bacd-c925-4bb4-a86c-501f9d9b1b5a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/19d65fed-8d1c-4eca-b588-915ab706daf7.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/76385122-4d52-4fa4-9309-a66426f9aabe.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2fb6e21a-cc9d-4b5e-9236-74e98c44c6ca.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/039dc308-f8c9-4c13-9c69-0dd48a9035d5.jpg.780x439.jpg;,
SH2327244508925788160,整租·爱博二村 1室0厅 南,https://image1.ljcdn.com/310000-inspection/ddb2d288-4b97-4b3f-a9b6-8b55bb825fcf.jpg.250x182.jpg,闵行,华漕,爱博二村,30,1室0厅1卫,南,2200,,低楼层/13层,2020-02-12,,整租,需咨询,2200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/ddb2d288-4b97-4b3f-a9b6-8b55bb825fcf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a6006571-f2c3-4a48-a46c-46cec1b69384.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a3982ca6-ddce-40f3-8ca8-aa9351966e3f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/110e8992-03ce-4935-8a0e-b7b1921aaae8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bc4354d4-6a52-479e-aa6e-f00d90c98369.jpg.780x439.jpg;,
SH2401314079177449472,整租·爱博五村 1室0厅 南,https://image1.ljcdn.com/310000-inspection/7ddb3578-73d6-4acc-91fd-4b043e473be8.jpg.250x182.jpg,闵行,华漕,爱博五村,30,1室0厅1卫,南,2100,,低楼层/13层,2020-02-12,,整租,需咨询,2100,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/7ddb3578-73d6-4acc-91fd-4b043e473be8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/412fcd33-829f-4be4-840f-0f63d51ff0eb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a808a925-eebf-4403-a357-50e4eb93ccc8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ae2233fe-9821-4c03-ae21-6ec986c3b699.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/eb0f31f3-cd72-40e0-94bc-277d3597d9aa.jpg.780x439.jpg;,
SH2384682443971239936,整租·爱博五村 1室0厅 南,https://image1.ljcdn.com/310000-inspection/893b4ef9-1405-497b-8eef-a472ad8d9a31.jpg.250x182.jpg,闵行,华漕,爱博五村,25,1室0厅1卫,南,2500,,低楼层/13层,2020-02-22,,整租,需咨询,2500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/893b4ef9-1405-497b-8eef-a472ad8d9a31.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b47c2703-51bb-404c-8fdd-2060931a16ff.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6ffada36-3186-4626-bf23-3efb3d8f690e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6aaa117a-003e-49cb-a09f-5681c85238bb.jpg.780x439.jpg;,
SH2399991989291720704,整租·爱博六村 1室0厅 南,https://image1.ljcdn.com/310000-inspection/f38539f7-83de-4d4f-92b3-50aa3da7767b.jpg.250x182.jpg,闵行,华漕,爱博六村,32,1室0厅1卫,南,2600,,中楼层/13层,2020-01-18,,整租,需咨询,2600,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/f38539f7-83de-4d4f-92b3-50aa3da7767b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9de5728b-abd1-4e5f-8e73-36819c900676.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/48a86e63-9464-4578-9854-ed8671f514f6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ec4892dd-32c4-4fb5-9c19-7f9eb72ccfec.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5dcf469a-14d9-466a-9d75-bcbda7b2c4cc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/86b4703d-50e2-4efd-b3f0-710ae79001b5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f12612d1-8fa8-4696-83bf-9ea5ba5235f1.jpg.780x439.jpg;,
SH2391165719829561344,整租·爱博一村 1室0厅 北,https://image1.ljcdn.com/310000-inspection/5e0846c2-1feb-4cf1-91a3-00a400937526.jpg.250x182.jpg,闵行,华漕,爱博一村,30,1室0厅1卫,北,2700,,低楼层/13层,2020-02-11,,整租,需咨询,2700,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/5e0846c2-1feb-4cf1-91a3-00a400937526.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/15866669-35fe-4d01-80f6-d513488f56b6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8aa4846c-54e9-4ff0-9ae1-39f37bcf708f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/133efd72-4263-440f-aee8-0e77c39508a3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/17866f7d-c704-4506-b589-13ce423b831f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5a68b590-37ff-4633-a21f-7feab4ae72db.jpg.780x439.jpg;,
SH2402750329688440832,整租·爱博二村 1室0厅 南,https://image1.ljcdn.com/310000-inspection/b83b3ca4-f870-487a-92d4-e73a98ab1b46.jpg.250x182.jpg,闵行,华漕,爱博二村,30,1室0厅1卫,南,2800,,低楼层/13层,2020-02-12,,整租,需咨询,2800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/b83b3ca4-f870-487a-92d4-e73a98ab1b46.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/993ceac7-e731-455e-990c-87eb1d2904fa.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cc2a37b0-2915-4875-a654-f6a951a03f71.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e9f79b12-3a6a-44b9-88e5-653cbe16c3e7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d5512e25-802e-46b6-9597-24e48bf18618.jpg.780x439.jpg;,
SH2406365338398113792,整租·爱博三村 1室0厅 南,https://image1.ljcdn.com/310000-inspection/96d473d9-391a-41ac-95b9-790f6a0f9d8e.jpg.250x182.jpg,闵行,华漕,爱博三村,0,,,2800,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2421053009892491264,整租·爱博二村 1室0厅 南,https://image1.ljcdn.com/310000-inspection/da5cba64-7bf2-4b02-beda-a3f8eb43eddf.jpg.250x182.jpg,闵行,华漕,爱博二村,30,1室0厅1卫,南,2300,,低楼层/13层,2020-02-11,,整租,需咨询,2300,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/da5cba64-7bf2-4b02-beda-a3f8eb43eddf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7c159f91-f1f0-4a23-bf48-148a4c4a2b5a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/04369d15-23d3-4a67-823a-cdbf0210f8ff.jpg.780x439.jpg;,
