hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2417832811487830016,整租·大上海国际花园酒店公寓 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,闵行,静安新城,大上海国际花园酒店公寓,61,1室1厅1卫,南,6000,近地铁;精装;随时看房;,低楼层/11层,2019-12-23,精装修,整租,季付,6000,0,3000,9号线-合川路-584m;,False,False,True,True,True,False,True,False,True,False,暂无数据,商电,集中供暖,暂无数据,随时可看,随时入住,True,商水,True,https://image1.ljcdn.com/lease-image/house/b2f78014-c9e5-480a-9787-cf562abffd2c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4bc5d0e9-2d7a-4cb1-89ee-dedc211dabeb.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ae8bbc2a-64d3-42d4-b8dd-7742db7f5646.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/77e31ab4-c75a-4a5f-9115-1d3a9d0caa9e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9164eeb5-9086-486d-9e2d-d0d565768e23.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/981aba17-dcd8-4fef-a7e9-affdcd98f39d.jpg.780x439.jpg;,
SH2397084518437109760,整租·静安新城十一区 2室1厅 南,https://image1.ljcdn.com/lease-image/house/d8e22984-16a8-4a99-8184-68b837ba4bde.jpg.250x182.jpg,闵行,静安新城,静安新城十一区,66,2室1厅1卫,南,6300,精装;随时看房;,中楼层/6层,2019-12-14,精装修,整租,季付,6300,0,3150,9号线-合川路-999m;9号线-合川路-999m;,False,True,False,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/8193a406-6b44-4fe4-af0c-dfeb141a3a8e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d8e22984-16a8-4a99-8184-68b837ba4bde.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ec45673c-5ef7-4239-bfd1-acbc351dd6c7.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ac77396a-d0d1-4fbd-9dbf-7379c00a4a19.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f24e4f62-040b-4651-be53-0ab9de0e4b5e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b8d1a559-60c0-4052-a92d-0638de0bc1bd.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e76ac693-0730-464e-9095-da3241cb1fa6.jpg.780x439.jpg;,
SH2416490930107588608,整租·大上海国际花园十六区 2室2厅 南,https://image1.ljcdn.com/lease-image/house/2b3aaa95-8045-46ea-a269-f78712e74acd.jpg.250x182.jpg,闵行,静安新城,大上海国际花园十六区,100,2室2厅2卫,南,8900,近地铁;精装;双卫生间;随时看房;,低楼层/12层,2020-01-06,精装修,整租,季付,8900,0,4450,9号线-合川路-510m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/9a7a1f31-5aa4-4efa-9480-1b76e78af7e4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5722f571-b85e-4d2b-899d-a73ef4c42c41.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2b3aaa95-8045-46ea-a269-f78712e74acd.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1384791e-ccc2-4566-9e8e-ae665614f853.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0c286763-ddba-43ea-b744-54ea781771e7.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/259c64ed-b26e-46c3-81c1-0b989dc03f3e.jpg.780x439.jpg;,
SH2432390826836631552,整租·红明二村 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,闵行,静安新城,红明二村,0,,,3200,近地铁;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2463060165960933376,整租·静安新城四区 2室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,闵行,静安新城,静安新城四区,74,2室1厅1卫,南,6500,新上;近地铁;精装;随时看房;,中楼层/24层,2020-02-23,精装修,整租,季付,6500,0,3250,12号线-东兰路-1029m;12号线-东兰路-1029m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,集中供暖,暂无数据,随时可看,随时入住,True,民水,True,,
SH2463067173653331968,整租·九歌上郡 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,闵行,静安新城,九歌上郡,66,1室1厅1卫,南,7000,新上;近地铁;精装;随时看房;,高楼层/12层,2020-02-23,精装修,整租,季付,7000,0,3500,9号线-合川路-313m;,False,True,True,True,True,False,True,False,False,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,True,,
SH2407953232484900864,整租·静安新城一区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/8e917337-3c95-4870-a950-9316911a7ca3.jpg.250x182.jpg,闵行,静安新城,静安新城一区,0,,,3500,近地铁;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2376542928035659776,整租·静安新城五区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/06e6d3db-f177-467e-bd3a-8dff835990b1.jpg.250x182.jpg,闵行,静安新城,静安新城五区,54,1室1厅1卫,南,3500,近地铁;,高楼层/6层,2020-02-19,,整租,需咨询,3500,0,需咨询,9号线-合川路-310m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/06e6d3db-f177-467e-bd3a-8dff835990b1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a49c9f39-a0f5-46a5-af05-53750db3f279.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/25ba6e1d-21c9-42a9-a2d0-d59e8485c201.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bf1db574-3f13-46de-b6fa-be61b509e1b9.jpg.780x439.jpg;,
SH2400695035399520256,整租·红明一村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/bf9c068c-541c-4ea3-ab2f-9231cdab99a4.jpg.250x182.jpg,闵行,静安新城,红明一村,41,1室1厅1卫,南,4500,近地铁;随时看房;,高楼层/6层,2020-02-24,,整租,需咨询,4500,0,需咨询,9号线-星中路-608m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/bf9c068c-541c-4ea3-ab2f-9231cdab99a4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cd678f11-3b7b-4cfd-898c-f18fafcbdae7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b30d9630-6678-4fb2-9096-9782f4b50e92.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a290a290-d44d-411c-8135-30922d305218.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-47e1fdca-1b6a-404b-a215-e732413b0be7.png.780x439.jpg;,
SH2462223459934552064,整租·静安新城四区 2室1厅 南,https://image1.ljcdn.com/110000-inspection/d6a8863d7ad0dd9424a70842ee3cf432.jpg.250x182.jpg,闵行,静安新城,静安新城四区,72,2室1厅1卫,南,5000,新上;近地铁;随时看房;,中楼层/24层,2020-02-23,,整租,需咨询,5000,0,需咨询,12号线-东兰路-1029m;12号线-东兰路-1029m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/110000-inspection/0f8e8d012922c17d1061951b0309452c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2cd5dc88851d595ecb504ffe8b463c49.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d6a8863d7ad0dd9424a70842ee3cf432.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/1cf151253e74a895af46d5af5c95e970.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f36d07868a9cb83923a5d5a7e872f375.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/092fae3ed01dfba396bfd1014ec79541.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/cdc70396-0a91-4b15-9fb1-9aa4b02970d5.png.780x439.jpg;,
