hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2417220743047168000,整租·虹梅路2669弄 2室1厅 南,https://image1.ljcdn.com/lease-image/house/1ee7ecb9-d226-47db-9efd-b76078ac7eb2.jpg.250x182.jpg,闵行,金虹桥,虹梅路2669弄,60,2室1厅1卫,南,5200,近地铁;随时看房;,高楼层/6层,2019-12-22,,整租,季付,5200,0,2600,9号线-漕河泾开发区-831m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/0b97af1a-f3df-4c1a-83db-d4094dae7c61.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1ee7ecb9-d226-47db-9efd-b76078ac7eb2.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c3aa5d43-7a57-41ed-97d3-6f175ca90d42.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d3101be8-b56c-4108-80cb-315f57dcb718.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/589266ef-dd03-4f6c-9abd-02e20280e726.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/822d1ed7-7e8d-4cb3-bbec-c7e0e0f45d76.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c7439985-8db4-46f0-a6ee-c3992b316eb0.jpg.780x439.jpg;,
SH2425900695221190656,整租·万源新城北区 1室1厅 南,https://image1.ljcdn.com/lease-image/house/29b6de040d63b8519be2360ed79967d9.jpeg.250x182.jpg,闵行,金虹桥,万源新城北区,65,1室1厅1卫,南,7200,近地铁;精装;随时看房;,高楼层/11层,2020-01-03,精装修,整租,季付,7200,0,3600,9号线-合川路-914m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,False,https://image1.ljcdn.com/lease-image/house/29b6de040d63b8519be2360ed79967d9.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/63d418899098d481cef2fbb300a8576f.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/12d458d74872f1036d868148914bcadb.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4e27304ee228bbef2e5f1dad73083950.jpeg.780x439.jpg;,
SH2429643164064694272,整租·华光花园 3室2厅 南,https://image1.ljcdn.com/lease-image/house/6dc401188dadeb78220dd02602077319.jpeg.250x182.jpg,闵行,金虹桥,华光花园,124,3室2厅2卫,南,10800,近地铁;精装;双卫生间;随时看房;,中楼层/6层,2020-01-08,精装修,整租,季付,10800,0,5400,10号线(新江湾城-航中路)，10号线(新江湾城-965m;,False,False,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/b0cb14d00389402f5c8e7c41ab52c4da.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3b00784007cecdbd37556a53908c1187.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6516a1c9f586b712b5be5ba905843582.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6dc401188dadeb78220dd02602077319.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ee17f693366fcf67492b6c9dca67c6ae.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6a250cedcbd70ff328c4ffbc6101d164.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1332600b579f9523aa72a7a65def4643.jpeg.780x439.jpg;,
SH2428152613372428288,整租·虹桥明珠公寓 2室2厅 东/南,https://image1.ljcdn.com/lease-image/house/9d32766ffdb397fb6ae3ac73b1b8c202.jpeg.250x182.jpg,闵行,金虹桥,虹桥明珠公寓,120,2室2厅1卫,东/南,10500,近地铁;精装;随时看房;,低楼层/18层,2020-02-19,精装修,整租,季付,10500,0,5250,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1167m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1167m;,False,False,False,True,False,False,True,False,False,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/9d32766ffdb397fb6ae3ac73b1b8c202.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/30b6a8982cf2022e9ccc912c82961339.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e950e1c1041e9e58d21d681df5dccf4a.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c0ad2d9c4896e3f85591f480dccf2b1b.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7fe394a4f9a3c75d8d496daf0a161424.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/24848eb9de693b54ec7947762ab68064.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9fd214ed0c91d7412e7db7ef93eaf431.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5a9d21274bf92531ddb87e618c7dfbd6.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a6e37b10155ba7f0c5192dc179de5654.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1f7878c3103530e941ee587d434782ff.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/dfd1d8cc-9627-4633-b51d-74682752e1f5.jpg.780x439.jpg;,
SH2435404402728124416,整租·虹桥花苑 2室2厅 南,https://image1.ljcdn.com/lease-image/house/0214b060b5fb8ac351927b36b9d171f9.jpeg.250x182.jpg,闵行,金虹桥,虹桥花苑,114,2室2厅1卫,南,13500,近地铁;精装;随时看房;,低楼层/16层,2020-02-06,精装修,整租,季付,13500,0,6750,10号线(新江湾城-航中路)，10号线(新江湾城-1022m;,False,True,True,False,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/2a678d4d544111adb0a0fe632f329a28.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/83064dbecf77fc7b100890f75abf8d16.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0214b060b5fb8ac351927b36b9d171f9.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0b8319fb0a0c25ffa2e6561bb1b9627f.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4e16d6935551cfc2c02e45fef1609607.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cefced7b62ebe8d6c8b7b41d5e389c02.jpeg.780x439.jpg;,
SH2428116069056528384,整租·名都城(公寓) 2室2厅 南,https://image1.ljcdn.com/lease-image/house/d5a0557cca1c59715ca6f6854098073f.jpeg.250x182.jpg,闵行,金虹桥,名都城(公寓),108,2室2厅1卫,南,15500,精装;随时看房;,高楼层/18层,2020-01-06,精装修,整租,季付,15500,0,7750,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1073m;,False,True,True,False,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/7ab9ddd6f4333e7dc61cdf8a177b9a36.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d5a0557cca1c59715ca6f6854098073f.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f428af59085309107cc46f601ea2cc31.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/eec7228320e07cf9a9379d5050abad75.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c4f33d3df48fd501261589113ad9e786.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/55b34eadebea21e8e101582456340825.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0577a1dfb0ac200262801043d49f2dfb.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/eb25b0a4b9a5823cf240c058a9472ea5.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6a519c861e74b9009be8cc0bd0c6fbae.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/da0a11615d0e9c61826f4ff43c7c9b24.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b6450f9a-ba56-4811-9be5-dff4904a6000.jpg.780x439.jpg;,【房源亮点】小区绿化高达68%，总高18层的17楼，视野佳，采光优，全屋地暖，小区车位可租【户型介绍】房子南北通透，客厅和两卧室均朝南，采光视野佳，利用率高，双阳台，生活整洁便利。【交通出行】小区交通便利，出门500米即延安西路高架和中环线吴中路出入口，1公里内10号线水城路地铁站，西面距虹桥综合交通枢纽只有3公里左右，东面距徐家汇约4公里左右，北面就是古北国际社区；无论是公交、轨交还是自驾，都比较方便。【周边配套】古北家乐福、高岛屋、1699广场、森晟世洋国际广场等，步行街上八大银行及外资银行一应俱全，居民办理各类银行业务都比较方便，小区西边600米左右就是武警上海市总队医院。
SH2411616266327425024,整租·名都城(公寓) 3室2厅 南,https://image1.ljcdn.com/lease-image/house/11b259d540f8f5967b26f80146db6a23.jpeg.250x182.jpg,闵行,金虹桥,名都城(公寓),138,3室2厅2卫,南,19800,近地铁;精装;双卫生间;随时看房;,高楼层/17层,2020-01-03,精装修,整租,季付,19800,0,9900,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1073m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/b0b4dfaa53877751abc829bfc177283d.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/04a0e369d24f81f48133a8e0af221e28.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6b1c7bdd86fccd4f15ed0ba556ea8125.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8ea6dfa0d74d577793567fac9f9e934d.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/830f1074faa256eaabe03a41bcf722f3.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9634a3a7503e981ebe05513a25654d78.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/36f81415453cc9a14a09fd1fd93f3420.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/11b259d540f8f5967b26f80146db6a23.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f74e732f6f58e49dfe15e76da143dad0.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a2275ca7dfa334190d4c79112fcac4d6.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/76aa885c4a695861ce7624949ed0e1b6.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/adb0e7f471f6bbde1405fecebfc9ca2a.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/992113e3-4cbb-4bda-bf16-0edc20460f9f.jpg.780x439.jpg;,【房源亮点】小区绿化高达68%，总高17层的15楼，视野佳，采光优，全屋地暖，小区车位可租【户型介绍】房子南北通透，客厅和两卧室均朝南，采光视野佳，一次卧朝北，主卧带独立卫生间，每个房间的大小都在15㎡以上，利用率高，双阳台，生活整洁便利。【交通出行】小区交通便利，出门500米即延安西路高架和中环线吴中路出入口，1公里内10号线水城路地铁站，西面距虹桥综合交通枢纽只有3公里左右，东面距徐家汇约4公里左右，北面就是古北国际社区；无论是公交、轨交还是自驾，都比较方便。【周边配套】古北家乐福、高岛屋、1699广场、森晟世洋国际广场等，步行街上八大银行及外资银行一应俱全，居民办理各类银行业务都比较方便，小区西边600米左右就是武警上海市总队医院。
SH2463024203763556352,整租·古北新城 1室1厅 南,https://image1.ljcdn.com/310000-inspection/c7580d59-aa6a-40da-8e69-cbd973488317.jpg.250x182.jpg,闵行,金虹桥,古北新城,49,1室1厅1卫,南,4500,新上;,低楼层/6层,2020-02-25,,整租,需咨询,4500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,2020-03-01,False,民水,True,https://image1.ljcdn.com/310000-inspection/c7580d59-aa6a-40da-8e69-cbd973488317.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/448114af-4ffa-4869-b73b-5ecc3d41ad29.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4f018a87-0086-42a4-9123-562bac160160.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2c019230-73b3-4aa6-9104-014a9536623d.jpg.780x439.jpg;,
SH2461472734371119104,整租·海申花园 3室1厅 南,https://image1.ljcdn.com/310000-inspection/pc1_h7D8unxbJ_1.jpg.250x182.jpg,闵行,金虹桥,海申花园,89,3室1厅1卫,南,7500,新上;近地铁;精装;随时看房;,高楼层/6层,2020-02-24,精装修,整租,双月付,7500,0,需咨询,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-922m;,True,True,True,True,True,False,True,False,True,False,租用车位,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/f90d02f2-5ba5-4726-9689-efd5208c6655.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/29c1648b-6e19-484e-bd13-11030dc66422.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a092e32e-a11c-44cf-9617-e6432e11b1aa.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/pc1_h7D8unxbJ_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7138b4c8-db19-4bec-bb80-c1efa9142daa.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/887dbe3f-e694-45be-b297-c9bcb9fb8399.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1b0e2570-58a2-4c39-8a73-dd2b40f3595d.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_c4647ee3-3c40-49eb-a765-69702ae8f243.png.780x439.jpg;,
SH2463630232020582400,整租·万源新城北区 1室1厅 南,https://image1.ljcdn.com/110000-inspection/ad5a6730-bb57-47f2-a52e-c0944ce42d1e.jpg.250x182.jpg,闵行,金虹桥,万源新城北区,65,1室1厅1卫,南,7600,新上;近地铁;精装;,中楼层/11层,2020-02-25,精装修,整租,季付,7600,0,需咨询,9号线-合川路-914m;,True,True,True,True,True,True,True,True,True,True,租用车位,民电,暂无数据,2年以内,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/110000-inspection/ab4e191b-2f3f-431c-9dde-7524ac5a92ce.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ad5a6730-bb57-47f2-a52e-c0944ce42d1e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ee6fc06f-51bc-4306-9657-3b876fcdd922.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/7beafdd5-fdc1-4c62-ab1a-103c952f8af3.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2421a830-da7a-4d94-82ba-408f9e7be348.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/70f00733-4a12-41c3-b521-12d7443461c1.png.780x439.jpg;,【房源亮点】1：业主诚意出租此房，看房方便。2：交通方便，为您的出行多一份保障，节省您宝贵的时间。3：便利的购物场所是您生活的保障。【装修描述】又迎来了，一个慧眼独具的客户人，是不是感觉到了我和其他人的不一样，我们喜欢的装修风格应该一样，因为你没有一味的追求偏低的网络价格。【交通出行】可能此房信息不够详细， 如有任何问题，我会详细、耐心的为您解答如果此房您不满意， 请与我联系，我会根据您的需求，当前市场价位，;给您合适的社区，合适的房子。顺祝您身体健康、工作顺利
