hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2431781096292630528,整租·龙柏四村三小区 2室1厅 南,https://image1.ljcdn.com/lease-image/house/3fdd1f62-4085-4843-bcb4-608024a1c527.jpg.250x182.jpg,闵行,龙柏,龙柏四村三小区,70,2室1厅1卫,南,6300,近地铁;精装;随时看房;,中楼层/6层,2020-02-19,精装修,整租,季付,6300,0,3150,10号线(新江湾城-航中路)-916m;10号线(新江湾城-航中路)-916m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/0e6aefa9-eee5-4d1b-b2b0-fb49760af2d6.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cd581c92-fcfb-46f8-a9dd-038fce32a3dc.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/559a8a55-da9a-4027-87e4-3d6099aa0f44.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4d5a7abd-c877-4da0-975a-a5936d7fa634.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/99c0f7e7-9b5d-45ac-9cd4-1f424ae40319.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3fdd1f62-4085-4843-bcb4-608024a1c527.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/17279e6d-71ea-4859-93a1-ae0dc29d6b48.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c900a9cc-090a-47eb-b04a-e95f77d7e264.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/bcc965e0-0495-46c8-b1e0-a1a9eb4cc718.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/647c18dc-84dd-4500-8b16-67e203e18bb0.jpg.780x439.jpg;,
SH2414429708478857216,整租·龙柏易居公寓 1室1厅 东南,https://image1.ljcdn.com/lease-image/house/9f7923cf-8438-46b7-8be3-4cd2f52ec6f0.jpg.250x182.jpg,闵行,龙柏,龙柏易居公寓,65,1室1厅1卫,东南,5500,近地铁;随时看房;,中楼层/18层,2020-02-19,,整租,季付,5500,0,2750,10号线(新江湾城-航中路)-695m;10号线(新江湾城-航中路)-695m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/f2281e81-359e-4b95-8a26-34b480ea8340.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6a3e8833-391a-4833-b67e-b7b45f913cce.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9f7923cf-8438-46b7-8be3-4cd2f52ec6f0.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/95843d78-00d6-4333-813d-a4d4e81729ef.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b0bf0255-3cc8-44f1-8f83-e3d461780ab8.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d0970ce9-2564-4418-861d-70a428611308.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c9079598-190f-4c18-9a53-108b37358f2e.jpg.780x439.jpg;,
SH2421671093963063296,整租·龙柏二村 2室1厅 南,https://image1.ljcdn.com/lease-image/house/e1bedcfc-b1b5-4742-940f-27e2a8232e51.jpg.250x182.jpg,闵行,龙柏,龙柏二村,54,2室1厅1卫,南,6200,精装;随时看房;,高楼层/6层,2020-02-19,精装修,整租,季付,6200,0,3100,10号线(新江湾城-航中路)-934m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/a38270e7-7746-4074-bdb4-b85bdf8c7e20.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e1bedcfc-b1b5-4742-940f-27e2a8232e51.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/11574bc9-0e51-435d-8ece-d2523dab38ac.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3c2ba1d9-f897-49cc-8b31-214bb148bc03.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/35fe6cc7-2c69-4415-aaed-54160e8cb99f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/78723fe1-2b57-4e49-bcc7-e86d8f95252c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/33eea7ce-7e53-441b-86cf-1d20bf7d584a.jpg.780x439.jpg;,
SH2421016390958841856,整租·龙柏二村 2室1厅 南,https://image1.ljcdn.com/lease-image/house/8316b161-031c-4c68-8382-5d4c2ff2128c.jpg.250x182.jpg,闵行,龙柏,龙柏二村,61,2室1厅1卫,南,6200,精装;随时看房;,高楼层/6层,2020-02-19,精装修,整租,季付,6200,0,3100,10号线(新江湾城-航中路)-934m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/2c683a14-53e3-453c-a598-d14b7e85420d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cb1ba2e2-2049-4b2f-a338-df66cb9dd958.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/11b89dd9-d109-4de2-b06b-5b00bb6d802f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5799a4f2-189e-42d9-94cd-bf6110ab9734.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0911aa2b-3898-47da-a554-f20c3d269645.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2e7c2d78-c9ec-4cb7-a996-8b8ef1804a46.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6dd9f8f6-45c2-4a45-8e2c-5f5177c24b92.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8316b161-031c-4c68-8382-5d4c2ff2128c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/30b77565-a699-4f0e-b3a1-060752872525.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/123ab372-a012-4e4d-a67d-f851c17ebb48.jpg.780x439.jpg;,
SH2417463044062838784,整租·龙柏三村 2室1厅 南,https://image1.ljcdn.com/lease-image/house/ec884558c7a8451f3ccb80d5b580cc75.jpeg.250x182.jpg,闵行,龙柏,龙柏三村,62,2室1厅1卫,南,6100,近地铁;精装;随时看房;,高楼层/6层,2020-01-06,精装修,整租,季付,6100,0,3050,10号线(新江湾城-虹桥火车站)-1094m;10号线(新江湾城-虹桥火车站)-1094m;10号线(新江湾城-虹桥火车站)-1094m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/ec884558c7a8451f3ccb80d5b580cc75.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/587e0e857410b8593a3f81e754cca942.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a05d000b5816b4f9bf2de63d746ce6e2.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f328cd8dbee07b27434acb59336b53ee.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/dfd2da301822b0b34eebb2de796bf994.jpeg.780x439.jpg;,
SH2460141164478087168,整租·龙柏香榭苑 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,闵行,龙柏,龙柏香榭苑,52,1室1厅1卫,南,6600,新上;近地铁;精装;随时看房;,中楼层/11层,2020-02-19,精装修,整租,季付,6600,0,3300,10号线(新江湾城-航中路)-717m;10号线(新江湾城-航中路)-717m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,,
SH2421017062039363584,整租·龙柏二村 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,闵行,龙柏,龙柏二村,47,1室1厅1卫,南,4700,近地铁;随时看房;,高楼层/6层,2019-12-27,,整租,季付,4700,0,2350,10号线(新江湾城-航中路)-934m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,,
SH2299060396918841344,整租·龙柏三村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/prod-1a4c9dcc-19eb-4068-b977-1c9a3232de62.jpg.250x182.jpg,闵行,龙柏,龙柏三村,49,1室1厅1卫,南,4200,近地铁;,高楼层/6层,2020-02-22,,整租,需咨询,4200,0,需咨询,10号线(新江湾城-虹桥火车站)-1094m;10号线(新江湾城-虹桥火车站)-1094m;10号线(新江湾城-虹桥火车站)-1094m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/prod-b7350340-dd35-4ca4-bbb5-677b37445496.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-c07a9118-87e9-4593-8e15-892a50e09402.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-1a4c9dcc-19eb-4068-b977-1c9a3232de62.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-96330ce3-ed33-475c-9640-3cbb538d5084.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-1c89ccc6-eca6-4e65-9331-b1a2fc645491.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-d94e9609-fee8-41d8-977e-acfa58928e90.png.780x439.jpg;,
SH2386140922548060160,整租·龙柏四村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/0463ceed-917a-4a4b-a823-071894edfde9.jpg.250x182.jpg,闵行,龙柏,龙柏四村,51,1室1厅1卫,南,4300,近地铁;随时看房;,高楼层/6层,2020-02-14,,整租,需咨询,4300,0,需咨询,11号线(嘉定北-迪士尼)，11号线(花桥-1118m;11号线(嘉定北-迪士尼)，11号线(花桥-1118m;11号线(嘉定北-迪士尼)，11号线(花桥-1118m;11号线(嘉定北-迪士尼)，11号线(花桥-1118m;11号线(嘉定北-迪士尼)，11号线(花桥-1118m;11号线(嘉定北-迪士尼)，11号线(花桥-1118m;11号线(嘉定北-迪士尼)，11号线(花桥-1118m;11号线(嘉定北-迪士尼)，11号线(花桥-1118m;11号线(嘉定北-迪士尼)，11号线(花桥-1118m;11号线(嘉定北-迪士尼)，11号线(花桥-1118m;11号线(嘉定北-迪士尼)，11号线(花桥-1118m;11号线(嘉定北-迪士尼)，11号线(花桥-1118m;11号线(嘉定北-迪士尼)，11号线(花桥-1118m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/0463ceed-917a-4a4b-a823-071894edfde9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6e999777-ed00-4d06-a6a6-7b35ad793579.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/839e37de-196e-4000-a267-565fd1a2e919.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bbe317e8-8c81-4550-99a0-daffa7bf9df5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d5b156dd-4050-416f-aa37-e0dd27ed8fb1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cedb5dd7-c4e5-4c71-8de9-fc4b276c5975.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8921aae3-194a-44fa-9a76-c09b4f01347c.jpg.780x439.jpg;,【房源亮点】位置优势：近10号线，公交上班也方便，爱情海购物广场、万象城、康师傅大楼，近韩国街，万象城，小吃街、日韩料理、娱乐场所也不是很远。小吃街：黄桦路一条街！【交通出行】近地铁10号线400米，版块位于吴中路和延安西路之间，外环东侧，地理位置优越：开车往西走1KM米上外环，往东3KM上中环，往北500米可以上延安高架，公交：57路、809路、936路、753路、867路、721路、804路、804路。【周边配套】有大型商场万象城、爱琴海购物公园、新华红星国际广场、乐虹坊，平时晚上或者休息，到这边逛逛街吃吃饭看看电影，欣赏水秀跟可爱又迷人的夜景。还有红松路、紫藤路农贸市场，韩国街、井亭天地生活广场、黄桦路、紫藤路小吃一条街，吃货们的海洋，购物的天堂
SH2422387409103888384,整租·俊领国际酒店公寓 1室1厅 南,https://image1.ljcdn.com/310000-inspection/a2e89bc1-84ff-4669-be35-7543462f15ab.jpg.250x182.jpg,闵行,龙柏,俊领国际酒店公寓,44,1室1厅1卫,南,4200,近地铁;精装;,高楼层/5层,2020-01-13,精装修,整租,季付,4200,0,需咨询,10号线(新江湾城-航中路)-899m;,True,True,True,True,True,True,True,True,True,True,租用车位,民电,自采暖,3年以内,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/f2758b5b-f33f-471f-8145-910a56867c43.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a2e89bc1-84ff-4669-be35-7543462f15ab.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/de8e0063-6c8e-43db-bbe6-77a979e8c66b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bda0b8a3-8dd1-49b2-8417-8c63ec7bc239.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fd410731-78fe-4f1a-8344-bba2dffdcb8f.jpg.780x439.jpg;,【装修描述】精装修电梯一房，房东自住装修，对于家具家电甚是爱护，希望找到一个爱护房子的你。【交通出行】有大型商场万象城、爱琴海购物公园，平时晚上或者周末休息，到这边逛逛街购购物，欣赏水秀跟漂亮的夜景。门口就是红松路农贸市场、黄桦路小吃一条街，吃货们的天堂，从白天到凌晨2点，给你不一样的味蕾感受，品质生活从这开始！【周边配套】有大型商场万象城、爱琴海购物公园，平时晚上或者周末休息，到这边逛逛街购购物，欣赏水秀跟漂亮的夜景。门口就是红松路农贸市场、黄桦路小吃一条街，吃货们的天堂，从白天到凌晨2点，给你不一样的味蕾感受，品质生活从这开始！
