hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2424441113281830912,整租·罗阳四村 1室1厅 南,https://image1.ljcdn.com/lease-image/house/5b2c4c14-db4a-4e56-ba9e-440d1e5c56cf.jpg.250x182.jpg,闵行,梅陇,罗阳四村,35,1室1厅1卫,南,3600,随时看房;,低楼层/6层,2020-02-17,,整租,季付,3600,0,1800,,False,True,True,False,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/5b2c4c14-db4a-4e56-ba9e-440d1e5c56cf.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f0dcad66-a6a0-4019-83c0-0bce031ceea8.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/696a20e5-bb5f-4291-b0fd-daea8733ed2d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1524407f-8195-44c3-942e-952246fa6ad1.jpg.780x439.jpg;,
SH2413780933871140864,整租·朱行四村 2室1厅 南/北,https://image1.ljcdn.com/lease-image/house/c298356a0996a2ad8c09f4e67fc4f0fd.jpeg.250x182.jpg,闵行,梅陇,朱行四村,51,2室1厅1卫,南/北,4300,精装;随时看房;,低楼层/6层,2020-02-05,精装修,整租,季付,4300,0,2150,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/c298356a0996a2ad8c09f4e67fc4f0fd.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4c8d4ad204e763b1d22689c1083106c9.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a552488b62f00e605426ea8d3907b1b6.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b239cd7d22a430d75ca51950432bc2ce.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/877483561aba89d5a646f602b4dc6bf7.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/015e87d0c8df4add72fe3ff8ddcfab8d.jpeg.780x439.jpg;,
SH2380277919290769408,整租·中梅苑 2室2厅 南,https://image1.ljcdn.com/lease-image/house/f66114ab-fc2b-4447-a41f-2ab5a92fac60.jpg.250x182.jpg,闵行,梅陇,中梅苑,0,,,6100,精装;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2460793330682822656,整租·鸿福新村 1室1厅 南/北,https://image1.ljcdn.com/110000-inspection/acee25c7031e19030f32ea683f0dedf8.jpg.250x182.jpg,闵行,梅陇,鸿福新村,50,1室1厅1卫,南/北,3500,新上;,中楼层/6层,2020-02-25,,整租,需咨询,3500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,2020-02-29,False,民水,True,https://image1.ljcdn.com/110000-inspection/756889488791d32b2f874291e58c9bf8.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e6f9a99b06f4c9a61f24f18e02c3b403.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/acee25c7031e19030f32ea683f0dedf8.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/7317cd4c24f7a25303ee848e8e385a6b.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/84c0b8af21fea8154adcace8fb572e95.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/7fe380e3-0ddc-4893-839b-7e204be1254e.png.780x439.jpg;,
SH2450689341836492800,整租·朱行三村 2室1厅 南/北,https://image1.ljcdn.com/110000-inspection/c1760779-678b-4a1e-a56f-724a55d55771.jpg.250x182.jpg,闵行,梅陇,朱行三村,58,2室1厅1卫,南/北,3000,,高楼层/6层,2020-02-25,,整租,需咨询,3000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/42f4aa7a-11b3-4a89-8cee-e5b7fd1beef8.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c1760779-678b-4a1e-a56f-724a55d55771.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5b9237aa-42ea-4652-ae01-cd42b07db4e6.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/51390070-313d-4c8e-a8f0-c968219b7c49.jpg.780x439.jpg;,
SH2457212172866945024,整租·虹梅南路601弄 2室1厅 南,https://image1.ljcdn.com/110000-inspection/0762fca6d4506006089ace22dffc12e9.jpg.250x182.jpg,闵行,梅陇,虹梅南路601弄,60,2室1厅1卫,南,3800,,中楼层/6层,2020-02-20,,整租,需咨询,3800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/110000-inspection/0762fca6d4506006089ace22dffc12e9.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/7056696cfe01b93c2a0524cc314622d4.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2e2a4acae8b8eede6c4b459f6f4379a6.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2bedd8d982568ac9bb8a8a39fe00d65f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d1268d98cf53d40db00ff02952725a18.jpg.780x439.jpg;,【交通出行】公交出行方便，有725路、729路、735路、闵行22路、50路，157路、218路、957路、831路等地铁一号线【周边配套】联华超市 中国建设银行  嘉川小游园 大华医院  闵行区梅陇镇卫生院，徐汇区凌云街道社区卫生服务、梅陇菜市场、凌云菜市场、教育资源等【小区介绍】小区位于虹梅南路与罗秀路交叉口的西北方向，交通出行便利。就其小区自身来说，大多为90年代的老公房，房型设计还是比较方正，得房率较高。
SH2425373895931461632,整租·罗阳一村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/10205dfc-0c81-41da-8496-df9e88145458.jpg.250x182.jpg,闵行,梅陇,罗阳一村,0,,,2900,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2407787991234772992,整租·梅陇二村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/ec05f22a-fcf6-456a-952b-bc754ef01112.jpg.250x182.jpg,闵行,梅陇,梅陇二村,67,1室1厅1卫,南,3500,近地铁;随时看房;,低楼层/6层,2020-02-13,,整租,需咨询,3500,0,需咨询,1号线-锦江乐园-1006m;1号线-锦江乐园-1006m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/f661d70b-09f3-4ca6-b7c5-d5388c01708d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8341abd3-825c-404a-8518-11f75df33021.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/91ca45fa-06d6-4034-97ec-34a52c5be420.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ec05f22a-fcf6-456a-952b-bc754ef01112.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3d46b728-b4a0-4ad1-9769-52a55d0c884b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0b7185fd-9bf1-4ffe-923b-5f94c5a6963d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2a6113c9-49cf-473e-bc57-eb0b625ddfb9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8b34edb6-c4ea-4243-9494-709a5c3eee1a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/59b98b41-85ea-40e4-a983-44b9d044a581.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/274d8f54-0a04-4c17-9692-b512c9f541d4.jpg.780x439.jpg;,
SH2403545010298421248,整租·益文路79弄 2室1厅 南,https://image1.ljcdn.com/310000-inspection/d4f39f7d-1f70-45ca-930c-b5f97660b0e4.jpg.250x182.jpg,闵行,梅陇,益文路79弄,54,2室1厅1卫,南,4300,近地铁;,高楼层/7层,2020-02-23,,整租,需咨询,4300,0,需咨询,1号线-锦江乐园-956m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,一般下班后可看,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/142d20fd-e5ce-4cf2-8884-0817f867b070.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4be00429-857d-4463-8018-105f5c8b70a1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d4f39f7d-1f70-45ca-930c-b5f97660b0e4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7e111693-19bc-4703-aa4d-6ae707d0de20.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cda7733e-2f12-4683-bc8e-a5cab7ce8477.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/70d634ad-4936-410c-bd96-db14f6cd54da.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cdf66bab-0e4e-4c25-b891-98d70ee9ec31.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/52269368-11ce-4417-830e-0eed280d8dbf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/077542d8-3f09-4608-897a-28b62f3ae659.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/772e5d5c-2602-449f-a9ba-14d1e1575eff.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/98a005d5-b257-4820-9554-4e40a3cb1fab.jpg.780x439.jpg;,
SH2457026369772077056,整租·罗阳七村(三洲花园) 2室1厅 南,https://image1.ljcdn.com/110000-inspection/193335e4-7f14-4f14-98cc-4c85d8849814.jpg.250x182.jpg,闵行,梅陇,罗阳七村(三洲花园),61,2室1厅1卫,南,4500,近地铁;随时看房;,低楼层/6层,2020-02-23,,整租,需咨询,4500,0,需咨询,1号线-莲花路-1039m;1号线-莲花路-1039m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/d4295f0a-1052-46ba-8e74-a94d9fa3afc6.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/66b2fd2b-39d7-4adb-b8ee-4d6a5e1a1537.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/193335e4-7f14-4f14-98cc-4c85d8849814.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/06753c51-aaf2-496e-b733-1c715ffb81fe.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ebdba999-9d21-420e-8419-5217f1ec94dc.jpg.780x439.jpg;,
