hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2396854523995103232,整租·汇秀景苑一街坊 2室1厅 南,https://image1.ljcdn.com/310000-inspection/pc1_A3jhTkXTG.jpg.250x182.jpg,闵行,浦江,汇秀景苑一街坊,76,2室1厅1卫,南,2000,随时看房;,高楼层/17层,2020-02-11,,整租,需咨询,2000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/b1718988-a2b1-40eb-86a9-7261eef9b613.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/12725ec2-8be4-4722-86bb-f4a12467cc31.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/pc1_A3jhTkXTG.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/73ff53b5-4615-4b5c-90c6-4bb695b056e7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f7c5a510-ba8f-444f-8a1e-37344f19ddcd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b1609b33-60a2-405a-b355-bdf2e44240f5.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_b795947f-f101-4a8e-a1a9-e6a2b9f98cbb.png.780x439.jpg;,【户型介绍】适宜居住，视野开阔，采光好，房间全明格局，居住舒适。。。。。。。。【交通出行】小区门口就是公交车站，可直达8号线终点站沈杜公路；距离8号线延伸线浦江线浦航路地铁站1.3公里【周边配套】满天星生活广场，包含餐饮，娱乐，超市购物，培训机构，影院于一体的大型商场，二期商场，吉乐买超市，孕婴超市，健身房，海鲜自助餐厅；体育馆、岳阳三甲医院即将投入使用。生活便利。
SH2399241776256270336,整租·瑞和华苑北区 2室1厅 南/北,https://image1.ljcdn.com/310000-inspection/282caa51-6963-4683-bdd7-838de4b1e8ef.jpg.250x182.jpg,闵行,浦江,瑞和华苑北区,85,2室1厅1卫,南/北,2000,,高楼层/14层,2020-02-15,,整租,需咨询,2000,0,需咨询,浦江线-浦航路-766m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/338b39cd-8992-469d-a4cc-cc9e2ebeaa6c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/282caa51-6963-4683-bdd7-838de4b1e8ef.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ccf82446-e735-43fb-9fd4-af02bf031668.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0df56063-3bf8-4635-9eba-c872777c45e0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e35d85c3-4e70-4540-8f03-6122a703db93.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/6bebf9fa-d8c6-4aca-b427-ddda7ba76959.png.780x439.jpg;,【房源亮点】得房率高，户型方正，南北通透，采光通风都不错。。。。。。。。【出租原因】房东不是住在这里，房屋空置，出租，。。。。。。。。。。。。。。。。。。。。。。。【小区介绍】小区离地铁八min内，有大型商超，娱乐地方，交通方便，小区物业良好，安全
SH2436258225248026624,整租·金硕河畔景园西区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/b2addbdc-0ffb-424b-bb9f-1bd69fa8cd77.jpg.250x182.jpg,闵行,浦江,金硕河畔景园西区,0,,,1900,近地铁;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2461492594660605952,整租·聚缘中庭 1室1厅 南,https://image1.ljcdn.com/110000-inspection/5dbec5665898ddce9300cce1beabc304.jpg.250x182.jpg,闵行,浦江,聚缘中庭,56,1室1厅1卫,南,2500,新上;随时看房;,中楼层/14层,2020-02-24,,整租,需咨询,2500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/110000-inspection/d66648b430a638901cdeb96bab09c7dd.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5dbec5665898ddce9300cce1beabc304.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2b8ddcb9239d26e735765fa55c04f791.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/054cdcc8a7f6084f3c72c64d49a9a383.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/f44d2e20-5e37-4840-bf6f-acabbf734810.png.780x439.jpg;,
SH2329765378005409792,整租·永康城永锦苑 2室1厅 南,https://image1.ljcdn.com/310000-inspection/8e28d397-0153-4e8d-997a-e9454b0679bb.jpg.250x182.jpg,闵行,浦江,永康城永锦苑,80,2室1厅1卫,南,2050,,高楼层/18层,2020-02-15,,整租,需咨询,2050,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/8e28d397-0153-4e8d-997a-e9454b0679bb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8d821962-42f2-476c-b72b-557b152261a2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8c48f0e8-3aad-4350-92aa-bca2e99f2bbc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/844b8778-e02c-4c09-a26e-cf140f6ceb77.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/98adb47c-493a-4588-b02e-6004dca7d86d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/21edd5a8-937c-4f96-9278-f973f6f6a689.jpg.780x439.jpg;,
SH2428158186713792512,整租·望佳二村 2室1厅 南,https://image1.ljcdn.com/310000-inspection/fd97eaa8-46c3-47a8-a8d6-ac8e276dfa47.jpg.250x182.jpg,闵行,浦江,望佳二村,89,2室1厅1卫,南,2500,,中楼层/6层,2020-01-09,,整租,需咨询,2500,0,需咨询,浦江线-汇臻路-1106m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/d9abd606-3d33-48c4-b2ab-99305473b829.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/39514d09-8632-4223-b10d-e1a4d80f0538.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fd97eaa8-46c3-47a8-a8d6-ac8e276dfa47.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/753d4afe-6ee1-4a55-a808-e9fb11e7cf78.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a4352d19-282c-4780-92ae-9859ea7a1aed.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b49e13a2-5b7c-4848-9130-c6c4c224a927.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0d084abf-ce07-4d9e-a449-63334c0cdfee.jpg.780x439.jpg;,
SH2421640659707633664,整租·欣佳宝邸(北区) 1室1厅 南,https://image1.ljcdn.com/310000-inspection/pc1_ow3wMHGA5_1.jpg.250x182.jpg,闵行,浦江,欣佳宝邸(北区),56,1室1厅1卫,南,2800,近地铁;,低楼层/14层,2020-02-21,,整租,需咨询,2800,0,需咨询,浦江线-浦航路-1079m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/ec29a7ce-4757-4aa4-9327-4e3c513e6332.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/pc1_ow3wMHGA5_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f56f650e-cd22-41df-88db-558f464a6be5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f21c70db-22f2-4380-8f55-0f2c7ee3f2c5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ecb6d893-2fdc-49ee-a1d6-035e24ee7fcc.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_a7963170-eaf5-4ca6-aa7c-bb923ab7d739.png.780x439.jpg;,【装修描述】家具家电全配，，全南户型，，，适宜居住，视野开阔，采光好，房间全明格局，居住舒适【交通出行】地铁八号线浦航路站，公交174路，公交183路，闵行12路，闵行20路，浦江9路，浦江20路，杜芦专线，沪塘专线【周边配套】满天星生活广场，包含餐饮，娱乐，超市购物，培训机构，影院于一体的大型商场，二期商场，吉乐买超市，孕婴超市，健身房，海鲜自助餐厅；体育馆、岳阳三甲医院即将投入使用。生活便利。
SH2411564310175694848,整租·欣佳宝邸东区 2室1厅 南,https://image1.ljcdn.com/310000-inspection/616933ee-bdf2-43ca-be4e-14619cb6dbf0.jpg.250x182.jpg,闵行,浦江,欣佳宝邸东区,76,2室1厅1卫,南,2700,近地铁;,中楼层/7层,2020-02-24,,整租,需咨询,2700,0,需咨询,浦江线-浦航路-884m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/f558f1de-02a0-48aa-8ac6-248daaf2b431.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/02703547-e7cb-4b1c-b2db-b66030ebaf7b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/616933ee-bdf2-43ca-be4e-14619cb6dbf0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8cf853b7-a6d2-460a-968b-19110729b8d8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5d08ab6d-93b1-4325-8836-000039c51df6.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/01277da4-dda6-40be-b25d-cf2162b7792e.png.780x439.jpg;,
SH2413533221993324544,整租·汇颂南苑 1室1厅 南,https://image1.ljcdn.com/shfdfs-image/20161123/c9099f7b-a422-473d-a6f7-86b0571847db.jpg.250x182.jpg,闵行,浦江,汇颂南苑,49,1室1厅1卫,南,2800,近地铁;精装;,低楼层/6层,2020-02-24,精装修,整租,季付,2800,0,需咨询,浦江线-浦航路-1105m;浦江线-浦航路-1105m;浦江线-浦航路-1105m;,True,True,True,True,True,False,True,True,True,True,暂无数据,民电,暂无数据,2年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/shfdfs-image/20161123/3cc86990-9415-4b54-9ee6-2eb636cd3180.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20161123/77712a95-1989-49ab-a405-dcd349040bed.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20161123/b49dcea7-2cf0-433e-b731-fb14cd18636d.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20161123/c9099f7b-a422-473d-a6f7-86b0571847db.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20161123/1f668708-0732-436b-8094-c2958505441a.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20161123/86b7249e-7ba5-48e1-a059-ccf42a7a6b95.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20161123/8099661a-2e0c-4169-ae34-9ad998f34fd2.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20161123/b2bfa25f-9ade-4290-9762-b898e9cff0ad.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20161123/17d47e4f-5680-442d-aa0a-f4a1768067e1.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20161123/57bdf285-0c1a-4537-812a-928cbe218bd9.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20161123/69ef1d41-d835-4f57-99e2-e11e554add41.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20161123/af334634-35b8-452e-93d1-660081b72a01.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20161123/cd59a7e7-a3ba-4bc1-bc91-5755c5d74da1.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20161123/2f65d9d4-6928-45bc-aaf9-a2d629bb6c11.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20161123/582fda57-f259-4187-a895-5bab6cab87eb.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20161123/a4ff232c-4115-44b1-a2ae-afdb53a52d9c.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20161123/e2acf571-effa-4c1c-95c4-93e1269bf1fc.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/c3c786cd-ef29-4e3c-9cd9-d84bc95bdb7a.png.780x439.jpg;,【交通出行】公共交通方面，有轨道交通浦江线，步行约213米到达闵瑞路站。另外还有174路、 183路、 浦江11路等线路。【周边配套】本房有上海戏剧学院附属、闵行区浦航第二等；浦江休闲广场等商超。【小区介绍】该房产位于浦连路789弄，属于闵行浦江镇板块，房屋总建筑面积49.15平米，一室一厅，实用型房屋。房屋朝向南。位于2层，总共6层
SH2387487028507058176,整租·谈中路158弄 3室1厅 南,https://image1.ljcdn.com/310000-inspection/87ae73fb-8352-4cd1-a1db-68c45dd758b0.jpg.250x182.jpg,闵行,浦江,谈中路158弄,88,3室1厅1卫,南,2800,随时看房;,高楼层/6层,2020-02-23,,整租,需咨询,2800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/87ae73fb-8352-4cd1-a1db-68c45dd758b0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ee769430-6f1f-4b97-91ae-5cc5db6ae35a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4914d7ed-5bf6-4320-8d4e-8a78236fdca6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/76feefda-e50f-4417-a5a3-61aadc9bf873.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fe5d4cb8-abe9-4cd9-a6bd-91b0041f6e5a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b71dd71e-fc91-4f43-a627-692f29203022.jpg.780x439.jpg;,【房源亮点】房子是三室的，淋浴卫生间都是可以正常使用的，房东可以允许长租。【装修描述】房子是以前90年代的装修了，近几年一直在出租，可以长租。。。。【周边配套】配套完善，谈中路上很多的小吃饭馆，还有菜市场和各种理发、维修店面，以及银行和移动公司等，很有生活氛围。
