hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2461536280694505472,整租·金桥酒店公寓 1室1厅 南/西南,https://image1.ljcdn.com/110000-inspection/181f7509cce6892056bfddee25b07f6d.jpg.250x182.jpg,浦东,碧云,金桥酒店公寓,58,1室1厅1卫,南/西南,5000,新上;近地铁;随时看房;,高楼层/19层,2020-02-24,,整租,需咨询,5000,0,需咨询,9号线-蓝天路-916m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/110000-inspection/181f7509cce6892056bfddee25b07f6d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ff52b483547dfd334a5ed191da623522.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f526ebf3fda96490de676dd154d47975.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d1642e03327aefed6bbdceabb867e367.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/492ec9ce6d6999a72966eab973f52340.jpg.780x439.jpg;,【房源亮点】碧云国际社区，一室一厅，复式结构，家电家具齐全 可拎包入住。【交通出行】9号线蓝天路地铁站+14号线云山路地铁站（2020年建成） 小区北门对着蓝天路，东门对着红枫路，红枫路可直通杨高中路，交通便利通畅。【周边配套】购物：家乐福，迪卡侬 健身：击剑馆，健身房，游泳池 休闲：门口碧云体育公园24小时免费开放，享受每秒绿色清新呼吸 社区：碧云国际社区安静，生活方便，交通畅通无阻，学习氛围好。【小区介绍】小区分为三期，小区两个大门，红枫路大门为进口，蓝天路大门为出口，正对碧云体育公园，景色宜人，鸟语花香 绿化35%。得房率77%，停车费130元/月或180元/月。
SH2427560695895179264,整租·金桥酒店公寓 2室1厅 复式 西南,https://image1.ljcdn.com/310000-inspection/f672a307-a402-438a-8f35-29bfd9ef8f12.jpg.250x182.jpg,浦东,碧云,金桥酒店公寓,53,2室1厅1卫,西南,5500,近地铁;,中楼层/4层,2020-02-24,,整租,需咨询,5500,0,需咨询,9号线-蓝天路-916m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/03755b0d-8fef-4454-b480-d59060f3047a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8217b65d-5352-4e7f-9f82-aebfb83c74f8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f672a307-a402-438a-8f35-29bfd9ef8f12.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/42c25aec-099c-4d16-bf68-e263ff74ade8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9b000a72-2f3a-4fb4-b844-49ece73fef51.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3db17243-ee47-4e31-a31b-883c906faaab.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f40eadb5-da66-445e-8510-1433f0ff4615.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/def0b5b1-661e-47a2-b3cb-90a98c02680f.png.780x439.jpg;,【房源亮点】碧云国际社区，一室一厅，复式结构，家电家具齐全 可拎包入住。【交通出行】9号线蓝天路地铁站+14号线云山路地铁站（2020年建成） 小区北门对着蓝天路，东门对着红枫路，红枫路可直通杨高中路，交通便利通畅。【周边配套】购物：家乐福，迪卡侬 健身：击剑馆，健身房，游泳池 休闲：门口碧云体育公园24小时免费开放，享受每秒绿色清新呼吸 社区：碧云国际社区安静，生活方便，交通畅通无阻，学习氛围好。【小区介绍】小区分为三期，小区两个大门，红枫路大门为进口，蓝天路大门为出口，正对碧云体育公园，景色宜人，鸟语花香 绿化35%。得房率77%，停车费130元/月或180元/月。
SH2452750763139530752,整租·金桥酒店公寓 1室1厅 西南,https://image1.ljcdn.com/110000-inspection/28c117c87b5ad51dfee661e78e27dbbb.jpg.250x182.jpg,浦东,碧云,金桥酒店公寓,49,1室1厅1卫,西南,4900,近地铁;随时看房;,中楼层/4层,2020-02-25,,整租,需咨询,4900,0,需咨询,9号线-蓝天路-916m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/110000-inspection/280e2fad39212ec7b81d46a25cc41560.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/28c117c87b5ad51dfee661e78e27dbbb.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/3596e138afbb4f6be4c5a64ec66d73eb.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/7c7744ac84cf7526d0cfe75af45f334e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/40c5d3eafe0b69ec6efa4d70ddf44099.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/0021760777318324cdb6906b05738112.jpg.780x439.jpg;,
SH2417172176865607680,整租·金桥酒店公寓 1室1厅 南,https://image1.ljcdn.com/310000-inspection/e4c8584d-e000-4daa-8556-55ba7d2293fa.jpg.250x182.jpg,浦东,碧云,金桥酒店公寓,59,1室1厅1卫,南,5500,近地铁;随时看房;,中楼层/19层,2020-02-22,,整租,需咨询,5500,0,需咨询,9号线-蓝天路-916m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/706f9232-f3d3-4079-b450-edc7690527ad.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e4c8584d-e000-4daa-8556-55ba7d2293fa.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c8a25786-8c59-4d97-8aff-2df8314dc81f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5ba6d135-8af7-4d4d-b4ec-181542326c56.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f2e081db-0953-4489-b68f-ea334c2464aa.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1edb77ac-dc9a-4271-bb3c-7fc63e93e0df.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/42e39fd3-62a5-467b-be93-8a2e95d2c299.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/05942230-5cfd-4f56-9537-6a7c0e057676.png.780x439.jpg;,【房源亮点】家具家电全配。可以拎包入住。房东也是诚意出租。并且看房很方便。【户型介绍】本房为碧云国际社区内精装一房 ，户型方正，舒适度高的房子，近9号线蓝天路站，交通便利 。房子采光很好。是碧云难得一房。【交通出行】9号线蓝天路地铁站+14号线云山路地铁站（2020年建成） 小区北门对着蓝天路，东门对着红枫路，红枫路可直通杨高中路，交通便利通畅，让您的爱车一路畅通无阻。【周边配套】购物：家乐福，迪卡侬 健身：击剑馆，健身房，游泳池 休闲：门口碧云体育公园24小时免费开放，享受每秒绿色清新呼吸 社区：碧云国际社区安静，生活方便，交通畅通无阻【小区介绍】小区分为三期，民水民电，小区北靠蓝天路，东倚红枫路，共两个大门，红枫路大门为进口，蓝天路大门为出口，正对碧云体育公园，景色宜人，鸟语花香 绿化35%。得房率77%
SH2423709999705358336,整租·金桥酒店公寓 1室1厅 南/西南,https://image1.ljcdn.com/310000-inspection/bb823e75-79a0-4282-b583-b5d207bfd58c.jpg.250x182.jpg,浦东,碧云,金桥酒店公寓,65,1室1厅1卫,南/西南,5500,近地铁;随时看房;,低楼层/19层,2020-02-24,,整租,需咨询,5500,0,需咨询,9号线-蓝天路-916m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/cfb9d155-3331-489c-87a0-9f6de764ba41.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9930f7d7-8afb-4c05-9cad-f3d6182eb138.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bb823e75-79a0-4282-b583-b5d207bfd58c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6ac91e43-cece-490e-a1dc-d468a7f01a00.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9b8230c0-ee6c-44a9-9c8c-4923193adbe9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cf3343ed-b8a3-4de6-b816-61a291312a9c.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/b5920e40-cf87-4adb-9812-14c894e7dc2b.png.780x439.jpg;,【房源亮点】房子装修保养好 舒适度高 大一房 房型正气 采光好 近9号线蓝天路 并且是碧云难得的带燃气一房，房屋屋况很好，房东也是诚意出租。并且看房方便，全明户型，看房方便。【户型介绍】碧云国际社区 一室一厅 户型方正 家电家具齐全 可拎包入住。【交通出行】小区分为三期，小区两个大门，红枫路大门为进口，蓝天路大门为出口，正对碧云体育公园，景色宜人，鸟语花香 绿化35%。得房率77%，停车费130元/月或180元/月。【小区介绍】9号线蓝天路地铁站+14号线云山路地铁站（2020年建成） 小区北门对着蓝天路，东门对着红枫路，红枫路可直通杨高中路，交通便利通畅
SH2384803597474078720,整租·星云小区 2室1厅 南,https://image1.ljcdn.com/310000-inspection/4ec19212-0202-42f8-bb83-d17daca3f702.jpg.250x182.jpg,浦东,碧云,星云小区,68,2室1厅1卫,南,5500,随时看房;,高楼层/6层,2020-02-22,,整租,需咨询,5500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/67729e1d-44db-4b1d-89f9-66377449ae7d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/798a3362-1f70-471d-8149-5c5d9ecbe9d0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4ec19212-0202-42f8-bb83-d17daca3f702.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4fca81bc-1861-4bb1-ade1-65589a8a1bef.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0971ca43-bec4-4cd2-8219-48a1024512d8.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/64a80fa4-f0f1-4def-91c9-1e0243427a6c.png.780x439.jpg;,
SH2436707620141137920,整租·金桥酒店公寓 1室1厅 南,https://image1.ljcdn.com/310000-inspection/72b3bb0a-e5a6-4f45-82ca-3f185ae51746.jpg.250x182.jpg,浦东,碧云,金桥酒店公寓,67,1室1厅1卫,南,5500,近地铁;随时看房;,中楼层/19层,2020-02-25,,整租,需咨询,5500,0,需咨询,9号线-蓝天路-916m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/00d4b274-471a-4239-96f4-2b43ebf7a2ca.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/72b3bb0a-e5a6-4f45-82ca-3f185ae51746.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b8225c25-cc7e-43af-bb73-a6c765b8f455.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/eb5c077f-f670-4d61-80fe-0f6cbddc8c1b.jpg.780x439.jpg;,
SH2415817179141783552,整租·金桥酒店公寓 1室1厅 东南,https://image1.ljcdn.com/310000-inspection/833f48bb-55df-404d-a21f-29fc9aafacbb.jpg.250x182.jpg,浦东,碧云,金桥酒店公寓,58,1室1厅1卫,东南,5500,近地铁;,低楼层/19层,2020-02-22,,整租,需咨询,5500,0,需咨询,9号线-蓝天路-916m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/20bbdfcb-0a4f-4796-9b8a-8ee355f470ae.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/833f48bb-55df-404d-a21f-29fc9aafacbb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ad2277b3-1355-445a-8c8b-6413d8b1a505.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/72491a6d-480b-4a64-997a-3160746708fd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/80cfcd4a-0ee4-4d0c-a79b-9d2e4b640931.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b7719df4-978c-4b8e-821e-b05e87be5fdf.jpg.780x439.jpg;,【房源亮点】本房为碧云国际社区内精装一房 ，户型方正，舒适度高的房子，近9号线蓝天路站，交通便利 。房子采光很好。是碧云难得一房。【交通出行】9号线蓝天路地铁站+14号线云山路地铁站（2020年建成） 小区北门对着蓝天路，东门对着红枫路，红枫路可直通杨高中路，交通便利通畅，让您的爱车一路畅通无阻。【周边配套】购物：家乐福，迪卡侬 健身：击剑馆，健身房，游泳池 休闲：门口碧云体育公园24小时免费开放，享受每秒绿色清新呼吸 社区：碧云国际社区安静，生活方便，交通畅通无阻【小区介绍】小区分为三期，民水民电，小区北靠蓝天路，东倚红枫路，共两个大门，红枫路大门为进口，蓝天路大门为出口，正对碧云体育公园，景色宜人，鸟语花香 绿化35%。得房率77%
SH2340655161384640512,整租·金桥酒店公寓 1室1厅 南,https://image1.ljcdn.com/310000-inspection/9291ebb6-b6c5-42b6-baa9-62b9bc572ae7.jpg.250x182.jpg,浦东,碧云,金桥酒店公寓,62,1室1厅1卫,南,5500,近地铁;随时看房;,低楼层/19层,2020-02-22,,整租,需咨询,5500,0,需咨询,9号线-蓝天路-916m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/afacc99a-6995-4c34-9b2d-66052728498f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5ee289b9-c389-4cb8-a019-74a7d6932163.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9291ebb6-b6c5-42b6-baa9-62b9bc572ae7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d838a0f9-8147-4a84-995d-9901ca29d79d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e8c8b224-4d4c-44d2-91e4-54ba4ffc4056.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dc1162a0-74fb-4b72-b954-dfeb16fc2a31.jpg.780x439.jpg;,
SH2434695924929806336,整租·金桥酒店公寓 1室0厅 南,https://image1.ljcdn.com/310000-inspection/1ebafe51-cf5f-46e5-ab2e-9e809db4fac2.jpg.250x182.jpg,浦东,碧云,金桥酒店公寓,48,1室0厅1卫,南,4700,近地铁;,中楼层/19层,2020-02-24,,整租,需咨询,4700,0,需咨询,9号线-蓝天路-916m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/1ebafe51-cf5f-46e5-ab2e-9e809db4fac2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bac7d7c3-5ef0-4281-9117-add07602f5e0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f756b804-f8f4-443c-a22b-c73fa0292372.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d1c8699b-391d-4a58-9a8b-9568a0479a0d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/32601856-5013-4497-8bad-159cf255c22f.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/52cdc068-6e4d-4ff8-8a9a-7b80c12511e8.png.780x439.jpg;,【房源亮点】本房为碧云国际社区内精装一室户 ，户型方正，舒适度高的房子，近9号线蓝天路站，交通便利 。房子采光很好。是碧云难得一房【交通出行】9号线蓝天路地铁站+14号线云山路地铁站（2020年建成） 小区北门对着蓝天路，东门对着红枫路，红枫路可直通杨高中路，交通便利通畅，让您的爱车一路畅通无阻。【周边配套】购物：家乐福，迪卡侬 健身：击剑馆，健身房，游泳池 休闲：门口碧云体育公园24小时免费开放，享受每秒绿色清新呼吸 社区：碧云国际社区安静，生活方便，交通畅通无阻【小区介绍】小区分为三期，民水民电，小区北靠蓝天路，东倚红枫路，共两个大门，红枫路大门为进口，蓝天路大门为出口，正对碧云体育公园，景色宜人，鸟语花香 绿化35%。得房率77%
