hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2438276946556362752,整租·舜峰家苑 2室1厅 南/北,https://image1.ljcdn.com/lease-image/house/a4f348a7-4726-48c0-ada9-0c3da94114be.jpg.250x182.jpg,浦东,曹路,舜峰家苑,76,2室1厅1卫,南/北,4900,随时看房;,中楼层/14层,2020-01-20,,整租,季付,4900,0,2450,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/a4f348a7-4726-48c0-ada9-0c3da94114be.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/165647bc-7dbb-4647-8249-40770034361c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/52444a1c-b551-4bee-9f76-ccf3ca9ce09c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c4e7bf2a-2a44-4d44-9fc7-dbb6869ccad6.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/99deb071-3634-490f-a065-d6014c900c3d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/230059ed-b64f-4b19-8769-0af3e9cfc045.jpg.780x439.jpg;,
SH2420200056104951808,整租·佳伟景苑 2室1厅 南,https://image1.ljcdn.com/lease-image/house/f7e7d07e-4c85-4cb5-8c82-a6cba438a579.jpg.250x182.jpg,浦东,曹路,佳伟景苑,74,2室1厅1卫,南,4700,随时看房;,中楼层/14层,2019-12-29,,整租,季付,4700,0,2350,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/423694f6-17bd-4689-926d-c860699e9d46.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d7e11d7a-8bc7-4ff0-9b5a-2df4b11f2733.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f7e7d07e-4c85-4cb5-8c82-a6cba438a579.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d0608157-c2a9-42fe-8c22-6f1a61a5ee44.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ab9d9742-6500-409d-b4c3-6207893a569c.jpg.780x439.jpg;,【户型介绍】电梯房中等楼层，户型是南北通透，采光好，户型方正。客厅大阳台，适合合租或者是一家人居住。【装修描述】房子是装修比较清爽，干干净净的，家具家电齐全，满足生活的日常需要。【周边配套】门口公交两站路到达9号地铁站。旁边有一个7万立方体的恒越荣欣广场已经开业了，可以满足你购物的需要
SH2454417972370866176,整租·银丰苑 1室1厅 东/南,https://image1.ljcdn.com/lease-image/house/a5c00b4866f919cfeba3e1ca5c3bd872.jpeg.250x182.jpg,浦东,曹路,银丰苑,55,1室1厅1卫,东/南,3800,近地铁;精装;随时看房;,中楼层/6层,2020-02-11,精装修,整租,季付,3800,0,1900,9号线-曹路-708m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/583c3784a08fe0cb818abd7b2f707ef5.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/aa5ab395fe5ade33c49e1d8f83280cc0.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a5c00b4866f919cfeba3e1ca5c3bd872.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5c7ff41e3e373cd3e5f047953f16d51b.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b1c0a14f1c83c0a2099fe45cd2d16f89.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ddc876b01a54412fa0f47efaa2e05442.jpeg.780x439.jpg;,
SH2462348663834550272,整租·海尚东苑 1室1厅 南/北,https://image1.ljcdn.com/110000-inspection/76e3279c-4502-4f12-afed-e73fe649a101.jpg.250x182.jpg,浦东,曹路,海尚东苑,55,1室1厅1卫,南/北,3300,新上;,高楼层/18层,2020-02-23,,整租,季付,3300,0,需咨询,,False,False,False,False,False,False,False,False,False,False,租用车位,民电,自采暖,1年以内,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/110000-inspection/76e3279c-4502-4f12-afed-e73fe649a101.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/8b13961a-55c0-4932-ae10-22c5a1315582.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b506308e-55a0-4788-83b8-bf7419599887.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/1fedf210-dde5-4114-9f70-139b3ad4ec07.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/103c42e1-3888-43a4-bc0a-e70edb569d3a.jpg.780x439.jpg;,【户型介绍】房子是一房一厅一厨一卫，装修简洁大方，适合单身，情侣，一家人等入住。【交通出行】交通出行方便，门口有浦东32路，浦东26路，直达9号曹路地铁站【周边配套】距离恒悦荣欣商场750米左右，商场有永辉超市，美食、娱乐等，还有很多教育机构
SH2451381564601270272,整租·海尚东苑 1室1厅 南,https://image1.ljcdn.com/110000-inspection/def0777d1244469b615637bec4418bce.jpg.250x182.jpg,浦东,曹路,海尚东苑,0,,,3500,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2458543048636760064,整租·佳伟景苑 1室1厅 南,https://image1.ljcdn.com/110000-inspection/f0cffe5c552b125d6d0cf9cebbb35e67.jpg.250x182.jpg,浦东,曹路,佳伟景苑,56,1室1厅1卫,南,3700,精装;随时看房;,中楼层/11层,2020-02-23,精装修,整租,季付,3700,0,需咨询,,True,True,True,True,True,False,True,False,True,True,租用车位,民电,自采暖,3年以内,需提前预约,2020-02-29,True,民水,True,https://image1.ljcdn.com/110000-inspection/1d8aaedf68e3bacf35d0b4f483633e63.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a35511c97c679937658105726b52d04f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f0cffe5c552b125d6d0cf9cebbb35e67.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/16d340166fae0c5890c4706194299992.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/fd63ce461da334f049f8dc4858ce518e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ad8598bc6746d31470ecbbc79ab1bcd5.jpg.780x439.jpg;,【装修描述】房子是装修比较清爽，干干净净的，家具家电齐全，满足生活的日常需要。【交通出行】离地铁九号线1.6公里，正门有公交站，浦东26路直达曹路地铁站，还有浦东32路、790路、1053路等，出行便利。【周边配套】门口公交两站路到达9号地铁站。旁边有一个7万立方体的恒越荣欣广场已经开业了，可以满足你购物的需要【小区介绍】小区物业治安好，出行便利，小区环境优美，绿化充足，适宜居住。
SH2453448538584260608,整租·金海华城永华苑 1室1厅 南,https://image1.ljcdn.com/110000-inspection/88a48db73caec5ce65d0da303da8d9c0.jpg.250x182.jpg,浦东,曹路,金海华城永华苑,56,1室1厅1卫,南,3700,近地铁;,低楼层/18层,2020-02-24,,整租,季付,3700,0,需咨询,9号线-曹路-231m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/110000-inspection/b77a1659f555e8e8a28a2da9d4dcc2c5.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/77cf260fc5d2bc707fa170e4c2004c26.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/0535d86367ec529d07b81157446548ca.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/88a48db73caec5ce65d0da303da8d9c0.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a140c0b5a33de576d55fc7d884f78fd0.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/8f3e7c79fb5c105671e3a1f9240b0763.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f83d550dec25bb482dbdd6c49735ee24.jpg.780x439.jpg;,【房源亮点】莅临地铁口，适于对于交通需求大的客户群体选择 此房带装修 前期资金不足的可以买来直接入住 可选此房 商场配套齐全 同样适宜老人居住 有菜场、 公园、超市、商场、银行等，生活方便，适合家里有老人和孩子的家庭居住，靠海，空气清新，环境好。【交通出行】小区跟9号线地铁站挨着，九号线通往浦西，途径陆家嘴，跨度比较广，公交出行的有曹路4路，曹路2路，浦东32路，636，可以到唐镇，川沙，金桥。自己开车有东西朝向的金海路，龙东大道《有在建的高架》南北朝向的有川沙路，华东路【周边配套】顾路幼儿园、顾路东校区、二工业大学附属中 满足大家对上学 的基本需求 浦东四大发展重镇之一，以大学为契机，借助文化兴镇，辅以浦东动迁基地，从而带动曹路整体经济腾飞.教育配套齐全，为孩子打造一条龙平坦学习之路
SH2454242208241418240,整租·银丰苑 1室1厅 东,https://image1.ljcdn.com/110000-inspection/7603c5a6784923aef998babd1321fa9e.jpg.250x182.jpg,浦东,曹路,银丰苑,53,1室1厅1卫,东,3500,近地铁;,低楼层/6层,2020-02-24,,整租,需咨询,3500,0,需咨询,9号线-曹路-708m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,2020-03-21,False,民水,False,https://image1.ljcdn.com/110000-inspection/7603c5a6784923aef998babd1321fa9e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/dcd5f68bdaa52863fd7c3e272110a14a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2c4f4e9a56992a9ba2f40e6bc0f01203.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/49de687b56b99dcdea5c43311e49c6eb.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a4da54e1a7bae6c9ffd9d77254e73d18.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/d29b3034-6f86-4539-8f8a-17a5a16e149b.png.780x439.jpg;,【交通出行】出小区就是公交站，有曹路2路 4路 浦东32路等，出行十分便利【周边配套】出小区就是恒越新都汇，买菜 购物 小吃丰富多样，生活十分便利【小区介绍】小区环境优美，配套设施齐全，教育、医院、商家云集，舒适又安全。
SH2436003539039305728,整租·金领国际(公寓) 2室1厅 南,https://image1.ljcdn.com/310000-inspection/b58343f8-ea1f-4fb6-96dd-ad89323fbd25.jpg.250x182.jpg,浦东,曹路,金领国际(公寓),72,2室1厅1卫,南,4500,精装;随时看房;,高楼层/10层,2020-02-22,精装修,整租,季付,4500,0,需咨询,,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/b58343f8-ea1f-4fb6-96dd-ad89323fbd25.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/03168a51-f2e0-4f18-b130-319ea604bb6f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b74a0bcb-013a-4a32-b1f0-c023cae94a77.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/65103485-7977-4dee-be01-0ca29b751d06.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ddf7b266-1f07-47f7-9656-1169fb283b92.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9a3e6b54-623d-496c-b033-6cc973fa2e79.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c67ef6ac-e8de-4328-a0b7-de87306728ba.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3b59a771-7906-4e78-9750-f7b3f89b70fc.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/63152aa6-76e3-4b8b-8a78-8802ebd1c5c7.png.780x439.jpg;,【交通出行】小区门口公交车有：636路 991路 993路 浦东32路 高川专线 小区到上海川沙客运站很便捷！ 地铁：轨道交通2号线唐镇站，12号线金海路站，9号线民雷路站。【周边配套】申客隆超市，恒生广场，乐客玛超市等，超市商场聚集，购物方便，生活便利。【小区介绍】小区是2009年《一期、二期》，2011年《三期》，2012年《四期》属于商品房，小区物业是：上海璟庐物业，物业费是一楼1.7元/平/月；二楼及以上是2.1元/平/月；停车费地上100/月地下300/月开发商是天歌置业。
SH2420364793560449024,整租·金葵新城(西区) 2室1厅 南,https://image1.ljcdn.com/310000-inspection/e97b88ff-0f37-4614-ac3e-c355cee833a4.jpg.250x182.jpg,浦东,曹路,金葵新城(西区),0,,,5200,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
