hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2426597042983018496,整租·河滨小区 1室1厅 南,https://image1.ljcdn.com/lease-image/house/ada3ee5a-5c44-4ef1-8853-82f35de7c7c0.jpg.250x182.jpg,浦东,川沙,河滨小区,44,1室1厅1卫,南,3500,近地铁;随时看房;,低楼层/6层,2020-02-08,,整租,季付,3500,0,1750,2号线-川沙-779m;,False,True,True,True,False,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/ada3ee5a-5c44-4ef1-8853-82f35de7c7c0.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3146bc10-ea3e-4ee1-b6e5-bda1be51d403.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a6e74ef5-4d90-4d96-af1a-d55ed336f8e8.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f7dc77c9-8059-4ba0-a9b1-1b276dcd98cc.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/74f9e46f-867f-43dc-bcb8-07300f051663.jpg.780x439.jpg;,
SH2434089754837385216,整租·东都小区 1室1厅 南,https://image1.ljcdn.com/lease-image/house/03e3abcf-104b-49d8-975f-51213421caf1.jpg.250x182.jpg,浦东,川沙,东都小区,39,1室1厅1卫,南,3500,近地铁;精装;随时看房;,中楼层/5层,2020-01-14,精装修,整租,季付,3500,0,1750,2号线-川沙-614m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/03e3abcf-104b-49d8-975f-51213421caf1.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/36a162a3-756f-4135-8a1b-684a467fd48b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/81b62043-ab7a-4a85-9afa-349a125ee2d7.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3369ec1d-e95e-4220-b3e9-5af779ecb747.jpg.780x439.jpg;,
SH2422444669775650816,整租·同济东时区 3室1厅 南,https://image1.ljcdn.com/lease-image/house/3ad38bab-9a20-4961-b4bd-40c8dd60a941.jpg.250x182.jpg,浦东,川沙,同济东时区,90,3室1厅1卫,南,4300,精装;随时看房;,高楼层/7层,2019-12-29,精装修,整租,季付,4300,0,2150,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/3ad38bab-9a20-4961-b4bd-40c8dd60a941.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1ae3c615-c740-4a15-b005-6f76c46647a4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9eb68dff-d8d3-4f82-b44c-cdbf16ccff66.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c6b751e4-bdfc-417f-86ff-28a57aa44b7d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ce2d4ccb-9ab7-4fd0-94ac-67cb02b6c0b7.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5681b063-33dd-4b89-9f76-529ff1c6d163.jpg.780x439.jpg;,
SH2458497282883198976,整租·思凡馨苑 3室2厅 南,https://image1.ljcdn.com/lease-image/house/14476246b124c11f394bc15afb03271c.jpeg.250x182.jpg,浦东,川沙,思凡馨苑,115,3室2厅2卫,南,4100,精装;双卫生间;随时看房;,中楼层/6层,2020-02-17,精装修,整租,季付,4100,0,2050,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/14476246b124c11f394bc15afb03271c.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/da388eac8703f54938201d2bc0cfe59a.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2342f8ee2141bdd14654b7b48015eade.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/998793746707b8c274f71c455a728751.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b00e6f2e22ab484189963fc4973d1191.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ecdae2d486710d80dea301f0e9b6736e.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1743a84cdce5f211f2a1bf0996eb19c0.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8191a8142711ec8497d087b3a20c23a2.jpeg.780x439.jpg;,
SH2426594409429868544,整租·同济东时区 3室1厅 南/北,https://image1.ljcdn.com/lease-image/house/cc8604088f4329187c6afe20f1137a50.jpeg.250x182.jpg,浦东,川沙,同济东时区,90,3室1厅1卫,南/北,4100,精装;随时看房;,高楼层/7层,2020-02-11,精装修,整租,季付,4100,0,2050,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/082d1fbea292ef5f9ec171b018fd9d36.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/eb61b8164bb61cc73e526774f8904d85.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e973347fde043c47768e746036801102.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cc8604088f4329187c6afe20f1137a50.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2e4f47f8726f417463eb1986c9f354af.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/caff14c2da6c486499893ea3fa8d7487.jpeg.780x439.jpg;,
SH2402649505741938688,整租·舒馨北苑 2室1厅 南,https://image1.ljcdn.com/lease-image/house/df12db5ec42599c6bd1768dca8e67652.jpeg.250x182.jpg,浦东,川沙,舒馨北苑,73,2室1厅1卫,南,4300,随时看房;,高楼层/6层,2020-01-09,,整租,季付,4300,0,2150,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/df12db5ec42599c6bd1768dca8e67652.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d7e64ce5db90e2acefdd782f76e3965e.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/27d81fdbd790d0bafe1aeb6247db22bf.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d5615459b720f4b2e7736e1c53e6dc69.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9a22020f6390695905b215454f190c99.jpeg.780x439.jpg;,
SH2434096564499914752,整租·园西二居 2室1厅 南,https://image1.ljcdn.com/lease-image/house/fc6e9528-5c6b-4d7c-9183-1d6f20276e19.jpg.250x182.jpg,浦东,川沙,园西二居,62,2室1厅1卫,南,4300,近地铁;随时看房;,高楼层/6层,2020-01-14,,整租,季付,4300,0,2150,2号线-川沙-638m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/fc6e9528-5c6b-4d7c-9183-1d6f20276e19.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c1080400-ba89-432e-97d0-37d13509c12f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c1bd226b-2ccd-4911-b479-6f92b1580937.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/05f33648-7324-4d8b-9ae8-164e133072bc.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cb79f1ae-0952-47ab-ae41-0a1151989ef4.jpg.780x439.jpg;,
SH2437660559601041408,整租·新德三村 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,浦东,川沙,新德三村,43,1室1厅1卫,南,3500,随时看房;,高楼层/6层,2020-01-19,,整租,季付,3500,0,1750,2号线-华夏东路-1156m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,,
SH2460632810584031232,整租·江晖苑 2室1厅 南,https://image1.ljcdn.com/110000-inspection/062edca12a09c0418a0a5894dc4904d1.jpg.250x182.jpg,浦东,川沙,江晖苑,79,2室1厅1卫,南,2100,新上;随时看房;,高楼层/15层,2020-02-23,,整租,需咨询,2100,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/110000-inspection/908d3373d60bac5c20218d2f95c8483f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/9d795dae16c4603a95269f6e661b6bbb.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/062edca12a09c0418a0a5894dc4904d1.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d09f059e47b7ccc630a5461c9d722949.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f3190a2737fe3f316c605de31d31a2d0.jpg.780x439.jpg;,【交通出行】小区南边是晨阳西路，西边是凌空路，南边有公交站台，内线1005路和浦东3路，距离凌空路地铁站2公里左右。【出租原因】两房毛坯，租客刚刚搬走，房东想尽快衔接上，减少房子的一个空置期。【周边配套】小区配套成熟，小区南边有新都汇，包含餐饮和娱乐项目，南边有开心幼儿园，三个生活超市，居住生活便利。
SH2418022915984326656,整租·盛泰家园 2室2厅 南,https://image1.ljcdn.com/310000-inspection/7cc6a316-9503-448d-9b05-3ab32bee9b29_1000.jpg.250x182.jpg,浦东,川沙,盛泰家园,83,2室2厅1卫,南,2000,随时看房;,高楼层/6层,2020-02-19,,整租,需咨询,2000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,True,https://image1.ljcdn.com/310000-inspection/37646564-133e-42e5-95d3-aea62baaba81.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f7699009-d837-44a2-b22b-c7c56c87ba14.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7cc6a316-9503-448d-9b05-3ab32bee9b29_1000.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/12843515-5ea8-4657-bb06-751befe14fbc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8444a16d-9d89-494d-8d5d-bc96545c4856.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/81b37644-b3da-4481-a199-00a358107c5f.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_c24cff73-4cea-41e2-8fab-10c50cfb93f3.png.780x439.jpg;,【户型介绍】小区一梯两户，房子位于六楼，采光好，通风性强，居住比较安静。【装修描述】房子纯毛坯，之前有租客住过，厨房和卫生间整过，可以使用，里面的配套设施比较少。【周边配套】小区东门有生活超市，方便生活，西边有江镇新都汇，北边有教学配套，东边有老年社区服务站。
