hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2422209150999609344,整租·高东新村 2室1厅 南,https://image1.ljcdn.com/310000-inspection/405a3594-f517-4082-a28c-54a793873e59.png.250x182.jpg,浦东,高东,高东新村,70,2室1厅1卫,南,3600,,高楼层/6层,2020-02-25,,整租,季付,3600,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,2年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/4c4913e8-1cee-4460-8a51-f9691a48681f.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6d499401-18cf-4800-8e16-0dcd885d2ef0.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/405a3594-f517-4082-a28c-54a793873e59.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7f7ade73-c93e-431c-9a6e-e6b9d1f46344.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/86ea6b4c-536b-44af-8aae-32f0680dc689.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4c80a745-bfb5-4637-a11a-fac66cc331f8.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f6209888-800d-44cb-8768-fffb38bf19c4.png.780x439.jpg;https://image1.ljcdn.com/hdic-frame/9702902f-dc2d-4c0c-9d2c-b8c32f367fa6.png.780x439.jpg;,【户型介绍】双卧朝南卧室，主卧带阳台，进门是客厅，右手边依次是厨房、卫生间，高楼层，采光通风良好，南北通透！【交通出行】小区门口200米就有公交站台，971/高川专线/浦东26路/995/浦东13路/1031等多路公交经过，小区大门口出门即可上外环高速，洲海路直通杨高北路，自驾和公交都很便利。【周边配套】有高东公园，高东生态园，樱花园等多处绿化集中公园，散步跑步气氛都很好，小区旁边有大型酒店，洲海国际花园酒店，有月亮湾和东海岸购物街，有华联超市和品直多超市，生活便利。
SH2411576728217722880,整租·高行绿洲(一期) 1室2厅 南,https://image1.ljcdn.com/310000-inspection/bf688de7-ca21-4915-8e31-51543b59e280.png.250x182.jpg,浦东,高东,高行绿洲(一期),57,1室2厅1卫,南,3200,近地铁;,高楼层/11层,2020-02-25,,整租,季付,3200,0,需咨询,6号线-航津路-1104m;,False,False,False,False,False,False,False,False,False,False,租用车位,民电,暂无数据,1年以内,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/bf688de7-ca21-4915-8e31-51543b59e280.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c9f54b1d-c6b0-448c-915b-fab820a36384.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ca0f183c-8595-4a1e-8ecc-29c3096cc000.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/04dba26d-7ac2-4238-9533-b8870e2f92f1.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4c644a14-d01f-4a6e-8ff4-b28370e3748b.png.780x439.jpg;,【交通出行】轨道交通：六号线保税区南站步行15 洲海路20 2.公交车：1015路 浦东17路 453路 外高桥3路 181路 815路 3.打车到浦东机场30 虹桥机场虹桥动车站 70 4.自驾开车5上外环 15 上中环。以及 的20号线终点站。【周边配套】有2.5个世纪公园绿地面积的森兰板块 高东生态园 滨江森林公园 共青森林公园 高桥市民公园 2.欧尚超市及二期购物办公综合体广场（电影 饮食 购物） 迪卡侬大中华区总部及卖场(篮球 乒乓 网球 足球 射箭等） 阳光天地休闲购物好出去 3【小区介绍】该小区为2010年的动迁安置房，小区物业费为1.1元平 有地上地下停车位 地上100元每月 地下150月每月。2.小区进出共三个门 一个大门车辆行人出入 小门为行人出入 均为刷卡进入。3.小区物业为彩生活物业，均有安保 保洁 及各方位
SH2386270226305531904,整租·高行绿洲(四期) 2室1厅 南,https://image1.ljcdn.com/310000-inspection/1dbd20c5-37e6-4a53-92eb-0353440172d3.jpg.250x182.jpg,浦东,高东,高行绿洲(四期),0,,,3600,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2460953589393129472,整租·高行绿洲(五期) 1室2厅 南,https://image1.ljcdn.com/110000-inspection/bb2074365c9cf2de450616ccba1f43b6.jpg.250x182.jpg,浦东,高东,高行绿洲(五期),54,1室2厅1卫,南,4800,新上;,高楼层/14层,2020-02-25,,整租,需咨询,4800,0,需咨询,6号线-外高桥保税区南-887m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/110000-inspection/bb2074365c9cf2de450616ccba1f43b6.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e5bc061ea2a87e6dfc5c841f620d2160.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e80fa11db011fd5bbec08cb777844d41.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/9e6c32549606af3771eeb23d941c57b8.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5c5333b4e8a66c3ba2a10ddd53998e2e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/976cfd4c16a777f71b277ef7c95c8905.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/00c886b05b92bc673915a90857c52e22.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/7ca68b4a8caa721088a20d29115911f0.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/774fcdc9-cf00-416c-8276-97283c8f0c6a.png.780x439.jpg;,【交通出行】小区旁边是地铁6号线沿线，小区在地铁6号线航津路站和保税区南站之间，到达两个地铁站的步行时间大约是10min到15min之间，6号线到达高行、金桥、陆家嘴和世纪大道都很方便。旁边的主要公交线路有：453，步行到达张扬北路行南路站乘坐可到【周边配套】出大门就是牡丹园，一条小河，边上都是钓鱼的叔叔阿姨； 出后门就是菜市场，小吃一条街，吃饭买菜很方便； 出大门就有公交站，有453号，外高桥3号线，浦东17路等等，距离地铁站800米左右。【小区介绍】该小区在外高桥保税区周，小区内都是电梯小高层房，房型正气，南北通透，物业管理完善，保安24小时巡逻，小区内环境优美，生活锻炼设施齐全，交通方便，到保税区三、四、五号门步行只有十五分 钟，菜场，银行，购物步行就能到。
SH2456974095607676928,整租·高行绿洲(五期) 2室1厅 南,https://image1.ljcdn.com/110000-inspection/b4bfa436-f03e-469c-9131-4ba6faa943db.jpg.250x182.jpg,浦东,高东,高行绿洲(五期),81,2室1厅1卫,南,5000,近地铁;,低楼层/14层,2020-02-25,,整租,季付,5000,0,需咨询,6号线-外高桥保税区南-887m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/110000-inspection/e4cac31f-f1b7-4eed-9045-31b174acaebb.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a967012f-9dec-494b-8d2c-257e4965dfa6.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b4bfa436-f03e-469c-9131-4ba6faa943db.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e29634b8-71e9-4bd7-9012-a3609b530d19.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b1cb2c30-6997-4f7b-b9a4-b78ae19f9a33.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/384884a7-3aad-45c1-87d6-e87dc66ccd37.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/774fcdc9-cf00-416c-8276-97283c8f0c6a.png.780x439.jpg;,【交通出行】小区旁边是地铁6号线沿线，小区在地铁6号线航津路站和保税区南站之间，到达两个地铁站的步行时间大约是10min到15min之间，6号线到达高行、金桥、陆家嘴和世纪大道都很方便。旁边的主要公交线路有：453路，步行到达张扬北路行南路站乘坐可到【周边配套】出大门就是牡丹园，一条小河，边上都是钓鱼的叔叔阿姨； 出后门就是菜市场，小吃一条街，吃饭买菜很方便； 出大门就有公交站，有453号，外高桥3号线，浦东17路等等，距离地铁站800米左右。【小区介绍】该小区在外高桥保税区周 围，小区内都是电梯小高层房，房型正气，南北通透，物业管理完善，保安24小时巡逻，小区内环境优美，生活锻炼设施齐全，交通方便，到保税区三、四、五号门步行只有十五分 钟，菜场，银行，购物步行就能到。
SH2436961401194160128,整租·高行绿洲(六期) 2室1厅 南,https://image1.ljcdn.com/310000-inspection/8760a2d6-a8f0-4ffe-83e4-4fdae3d376b5.jpg.250x182.jpg,浦东,高东,高行绿洲(六期),74,2室1厅1卫,南,4500,随时看房;,中楼层/14层,2020-02-25,,整租,季付,4500,0,需咨询,6号线-外高桥保税区南-1077m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/8760a2d6-a8f0-4ffe-83e4-4fdae3d376b5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/32a96e55-c7b4-4444-bd02-05dd493c3534.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3df44bc0-00c3-47f9-8516-0699bf08bf9c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3f9c5dcb-3659-4efb-bcd7-361b6f0f511e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/eba8cb75-6655-44cf-ac9e-ade73d176a9c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/001d308a-57c0-42d8-b9dc-92b2b7e0445f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cf489835-dd08-4305-879a-4ee9a0a883ac.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5ffb943b-c6d4-4f1a-bd51-3f890e902a2a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b640f607-8ef3-41eb-b388-2e6507c56cef.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/test-930d8d97-6fea-4058-acb6-830aaf87c322.png.780x439.jpg;,【交通出行】小区旁边是地铁6号线沿线，小区在地铁6号线航津路站和保税区南站之间，到达两个地铁站的步行时间大约是10min到15min之间，6号线到达高行、金桥、陆家嘴和世纪大道都很方便。旁边的主要公交线路有：453，步行到达张扬北路行南路站乘坐可到【周边配套】出大门就是牡丹园，一条小河，边上都是钓鱼的叔叔阿姨； 出后门就是菜市场，小吃一条街，吃饭买菜很方便； 出大门就有公交站，有453号，外高桥3号线，浦东17路等等，距离地铁站800米左右。【小区介绍】该小区在外高桥保税区周，小区内都是电梯小高层房，房型正气，南北通透，物业管理完善，保安24小时巡逻，小区内环境优美，生活锻炼设施齐全，交通方便，到保税区三、四、五号门步行只有十五分 钟，菜场，银行，购物步行就能到。
SH2249327693122240512,整租·壹品星汇 2室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,浦东,高东,壹品星汇,80,2室1厅1卫,南,4500,近地铁;精装;,高楼层/9层,2020-02-24,精装修,整租,季付,4500,0,需咨询,6号线-外高桥保税区南-1026m;,True,True,True,True,True,True,True,True,True,True,暂无数据,商电,暂无数据,1年以内,需提前预约,随时入住,True,商水,False,,【户型介绍】4.5米挑高大厅，开阔的户型设计。各区界限分明，布局合理。商用自住两用，可办公。【交通出行】距离6号线保税区南站892米（数据来自百度地图），更有公交车直达港城路地铁站。【周边配套】公园：森兰绿地（在建，世纪公园两倍大） 商场：欧尚一站式解决吃饭、逛街、看电影等需求。 医院：市第七人民医院
SH2193516898493407232,整租·壹品星汇 2室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,浦东,高东,壹品星汇,52,2室1厅1卫,南,5000,近地铁;,高楼层/9层,2019-12-14,,整租,需咨询,5000,0,需咨询,6号线-外高桥保税区南-1026m;,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,True,商水,False,,【户型介绍】4.5米挑高大厅，开阔的户型设计。各区界限分明，布局合理。商用自住两用，可办公。【装修描述】精装设计，无家具家电，可以根据自己的爱好选择家具家电。静谧的下午时光，一书一茶一音乐【交通出行】距离6号线保税区南站892米（数据来自百度地图），更有公交车直达港城路地铁站。
SH2249241333971820544,整租·壹品星汇 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,浦东,高东,壹品星汇,46,1室1厅1卫,南,4500,近地铁;,高楼层/9层,2020-02-17,,整租,需咨询,4500,0,需咨询,6号线-外高桥保税区南-1026m;,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,True,商水,False,,【房源亮点】一室一厅 户型好 楼层好 采光好 通风好 房屋格局合理........【户型介绍】一室一厅 户型好 楼层好 采光好 通风好 房屋格局合理 空间收纳能力强【周边配套】低调奢华的体验感 宾至如归的温馨感 你值得拥有...............
SH2338330044725993472,整租·壹品星汇 2室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,浦东,高东,壹品星汇,53,2室1厅1卫,南,5200,近地铁;,低楼层/9层,2019-12-19,,整租,需咨询,5200,0,需咨询,6号线-外高桥保税区南-1026m;,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,True,商水,False,,【房源亮点】房子有两层，下面一层是活动室大厅，上面一层是两房和小厅，朝东大窗视野和采光都好【户型介绍】本房楼层高，朝东大窗视野很好，进门之后会看到宽敞的大厅，走到大厅就能看到窗外广阔的风景，相信看房的你也会被吸引。【装修描述】开发商精装交付，可住人办公两用，也可注册公司，空关中，看中即可起租！【周边配套】地铁6号线外高桥保税区南站，楼下有超市和便利店、饭店以及咖啡厅。
