hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2406343470974779392,整租·新高苑(二期) 1室1厅 南,https://image1.ljcdn.com/310000-inspection/f7ece36e-26c1-4b5b-9b02-fad58baf7742.jpg.250x182.jpg,浦东,高行,新高苑(二期),56,1室1厅1卫,南,3500,,低楼层/11层,2020-02-20,,整租,季付,3500,0,需咨询,,True,True,True,True,False,False,True,False,True,True,暂无数据,民电,暂无数据,2年以内,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/f7ece36e-26c1-4b5b-9b02-fad58baf7742.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1225c9b1-4270-4b5a-8879-2e1297ce0830.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/36cf285b-2e29-4a01-98dc-5f6dfc65bb4f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/92723d28-c8c0-4053-b399-18a2f4668f83.jpg.780x439.jpg;,【交通出行】公交车：774、843、815、泰高线、川张高、外高桥4路、金桥1路、995路、406路【周边配套】小区的环境质量较高，绿化可达近百分之50让您感受花园一样的家。【小区介绍】小区治安好，人均素质很高环境优美适宜居住人文素质高物业管理完善
SH2431109099568766976,整租·新高苑(一期) 1室1厅 南,https://image1.ljcdn.com/310000-inspection/prod-b1d3162c-d112-43f7-b365-c65755954373.jpg.250x182.jpg,浦东,高行,新高苑(一期),51,1室1厅1卫,南,3700,随时看房;,低楼层/6层,2020-02-17,,整租,季付,3700,0,需咨询,,False,False,False,False,False,False,True,False,False,False,暂无数据,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/prod-8f20610a-497f-4472-b07e-47d2c71306fd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-b1d3162c-d112-43f7-b365-c65755954373.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-7d2e7993-72ff-46fd-b1ac-c4c3848a1902.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-2732964c-8f6b-48f4-b733-bfa9261a77ad.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-dcc114a9-2485-4d9d-b24e-26cad06055b2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-b158f3af-eca5-4be4-8825-1bf947d4e8bf.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-783d5813-7231-4350-9df1-21450515d632.png.780x439.jpg;,【户型介绍】此房源主卧朝南带飘窗，户型采光通风好，阳台很大，满足日常生活需求【交通出行】公交路线：东靖路莱阳路：406、774、843、601（968）、815 、625、936 、泰高线、沪合线、川张高、钦车线、高南线 轨道交通：12号线金京路站【周边配套】距离万嘉购物广场1公里，配套成熟；小区东门有联华超市；出门有公交车站；距12号金京路站1.3公里
SH2462232414681047040,整租·绿地崴廉公寓 1室1厅 南,https://image1.ljcdn.com/310000-inspection/e635e75d-f7e8-4a3f-baff-1d44a18ad77d.png.250x182.jpg,浦东,高行,绿地崴廉公寓,0,,,4800,新上;精装;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2460693691250253824,整租·华高一村 2室1厅 南,https://image1.ljcdn.com/110000-inspection/b951605572847779810a06bd7d6fc821.jpg.250x182.jpg,浦东,高行,华高一村,77,2室1厅1卫,南,4600,新上;近地铁;精装;,高楼层/6层,2020-02-24,精装修,整租,季付,4600,0,需咨询,12号线-杨高北路-676m;12号线-杨高北路-676m;,True,True,True,True,True,True,True,True,True,True,租用车位,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/b951605572847779810a06bd7d6fc821.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/0a1ba1e4206ab6f8b2dda35ed4ba456c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a2a6e074c5d747ef3c53a3074f8ea67b.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/409def6dcbfa21f175be6e004c92034a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/9ee8b44c1d18b126a423668880f1d639.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/34d597b31a0327ce729ceaaec11168ae.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/1e717ad5-b535-485b-b59a-63cfdfde156d.png.780x439.jpg;,【房源亮点】出门华高繁华地带，热门商圈，精装修，看房随时预约。楼下很多小吃饭店。交通便利，房子可以合租， 卜蜂莲花、万佳广场、华高菜市场、中西结合医院、中国邮政银行、浦发银行等【交通出行】12号线金京路地铁站500m，门口有公交始发站，公交路线有997，181，815，987，774。出行便利，【周边配套】小区里面有老年活动游乐设施，小区门口有华高菜市场，1KM内有几个综合性的大商场，新紫茂商住广场，万嘉商家广场，电影院，健身房，吃喝玩乐俱全，
SH2430307350876528640,整租·幸福小镇 2室2厅 南,https://image1.ljcdn.com/310000-inspection/60cb9fb6-ea24-446e-8adc-56848de68da8.jpg.250x182.jpg,浦东,高行,幸福小镇,99,2室2厅1卫,南,5500,,高楼层/12层,2020-02-20,,整租,季付,5500,0,需咨询,,True,True,True,True,True,True,True,True,True,True,租用车位,民电,暂无数据,1年以内,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/10f4d845-cec5-4b06-88db-200e592dfd8f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c7da4989-71be-47e1-8ab9-ea8b799ddc5d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/60cb9fb6-ea24-446e-8adc-56848de68da8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1d10d666-cfbc-4b67-83d1-1980fe060077.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/02fb2746-f30f-4270-9a4a-8b890caddca0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9e7dea23-3aa6-442d-b783-552d7e1f2567.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/1e007347-cfd9-48ab-a6ef-9c0fc04fcf89.png.780x439.jpg;,【房源亮点】电梯双南户型。前面无遮挡。视野开阔。拎包入住。环境干净，居住舒适。【交通出行】小区出门左转就是公交站，406公交贯穿高行金桥外高桥商圈，995直达金桥方便快捷，774连接浦东商圈和商场，还有181路，774路，791路，799路，815路，987路等【周边配套】出小区南门直走右转就可以到万嘉购物广场，有沃尔玛大型超市，可以在一楼永和大王，真功夫，新石器烤肉给力，吃完后也可以在楼下逛下街买衣服，若你需要取钱有银行，若不小心生病了，医院可以让你不会很着急，有上海市第七人民医院， 社区医院.【小区介绍】幸福小镇是2005-2006年的小区，开发商是上海虹阳置业有限公司，物业为上海同涞物业管理有限公司，物业费是1.2-1.8元/㎡/月。本小区有别墅区、多层、小高层和高层住宅组成，共2800多户居民，环境干净，居住舒适。
SH2458601792204701696,整租·华高二村 2室1厅 南,https://image1.ljcdn.com/110000-inspection/5d4780f6db627ea5b4b726ad5f3ce8eb.jpg.250x182.jpg,浦东,高行,华高二村,80,2室1厅1卫,南,4500,近地铁;精装;,高楼层/7层,2020-02-23,精装修,整租,季付,4500,0,需咨询,12号线-杨高北路-1015m;12号线-杨高北路-1015m;12号线-杨高北路-1015m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,自采暖,暂无数据,需提前预约,2020-03-01,False,民水,False,https://image1.ljcdn.com/110000-inspection/579539e048565b3d5ef8ffc9e6007f04.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/704a9a4c7f107100c0c2838aefcefa14.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/af9702cc7071685418820de98607fa78.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5d4780f6db627ea5b4b726ad5f3ce8eb.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/9e6efb811f0415120d2d773bcf80f872.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f19bea7c1f33e3da3d82a54906a06767.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/b0a37672-9a72-47aa-a7bd-6d71e8a6391f.png.780x439.jpg;,【房源亮点】此房户型方正，两房朝南，中楼层，采光好，适合居家的小区。房间很可以的【交通出行】交通便利，出门300米就是12号线金京路地铁站，公交：997，181，815，987，774.【周边配套】小区门口就是菜市场，饭馆，超市，还有银行和医院，生活设施配套齐，居住方便。
SH2403499902279106560,整租·迎亭公寓 2室1厅 南/北,https://image1.ljcdn.com/310000-inspection/a219a3e9-021c-4be9-9ff3-d0566f6cfb19.jpg.250x182.jpg,浦东,高行,迎亭公寓,64,2室1厅1卫,南/北,4300,,低楼层/6层,2020-02-25,,整租,需咨询,4300,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/ee4b954e-c710-4b71-a4db-5ceec18fcc85.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2c448d47-d86e-4721-9802-67ba0f514ad4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a219a3e9-021c-4be9-9ff3-d0566f6cfb19.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3537361c-91d5-47c4-afb6-4922371bf92e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b01c1459-f1be-499a-a120-1b8fb4c9af62.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/de7a27c7-a772-4e1c-b386-925958e42c5e.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/97c1c1a4-110c-4576-a5c0-fe2910d92790.png.780x439.jpg;,【交通出行】小区出门就是公交站，406公交贯穿高行金桥外高桥商圈，995直达金桥方便快捷，774连接浦东商圈和商场，还有181路，774路，791路，799路，815路，987路等【周边配套】出小区右转就可以到万嘉购物广场，有沃尔玛大型超市，可以在一楼永和大王，真功夫，新石器烤肉给力，吃完后也可以在楼下逛下街买衣服【小区介绍】本小区为2004年竣工 板楼钢筋混泥土结构 普通住宅民用水电  地下车库50地上100 车位比例1:0.5
SH2424567645661052928,整租·绿地崴廉公寓 2室2厅 南/北,https://image1.ljcdn.com/310000-inspection/1ce1d42a-6c6c-47b2-b636-a99162370654.jpg.250x182.jpg,浦东,高行,绿地崴廉公寓,97,2室2厅1卫,南/北,4300,近地铁;随时看房;,高楼层/16层,2020-02-24,,整租,季付,4300,0,需咨询,12号线-金京路-990m;,False,False,False,False,False,False,False,False,False,False,租用车位,民电,暂无数据,1年以内,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/671f3c83-2f3e-4a4b-bced-7cf4eba3d89e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a38998f6-5466-4280-8ede-8dec3de255a4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1ce1d42a-6c6c-47b2-b636-a99162370654.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5feb0e13-901f-4b67-bd63-bda295e70af7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/030924a9-a5d9-4f3f-aab4-aa294ce357fe.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f651456d-8ee1-4db3-981b-acfde5d5aaa7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d2c6f718-6713-410a-905f-e77da7cd127a.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_9225bb1a-6df7-433d-9930-f2f6aaa636af.png.780x439.jpg;,【交通出行】绿地威廉位于金高路东靖路路口，步行地铁12号线，出行，购物超级方便【周边配套】近高行家园各项体育活动设施完善，一应俱全，房屋内部隔音隔热，台湾开发商建造，外观欧美风格，高档小区【小区介绍】有小桥流水，有桂花飘香和许多常青灌木，还有多处儿童乐园，供小区住户游玩。
SH2426744672215891968,整租·东力新村 2室1厅 南,https://image1.ljcdn.com/310000-inspection/1cdda826-5591-4d0e-9204-b8447fdc6fdf.jpg.250x182.jpg,浦东,高行,东力新村,67,2室1厅1卫,南,4600,近地铁;精装;随时看房;,高楼层/6层,2020-02-24,精装修,整租,季付,4600,0,需咨询,12号线-申江路-932m;,True,True,True,True,True,True,True,True,True,True,租用车位,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/f7be83c7-6391-413c-ba03-5c2c3c13b8b2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/70f18f94-cd07-417a-aff4-9a2d8fb272b9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1cdda826-5591-4d0e-9204-b8447fdc6fdf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c67aa566-abbf-49e7-8b81-48d872cb7570.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f0d02d6c-fec7-4ade-a59e-53866c89d901.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b08c92ef-9515-42f0-b3a5-645f068dc012.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/6cee4f82-b428-4c23-8666-0c54db684cc0.png.780x439.jpg;,【装修描述】连接客厅和厨房之间是您和家人享受美味的餐厅，足足可摆下多人桌，让您热情的招待亲朋好友，装修居家精装【交通出行】地理位置优越，私家车和公共交通都能方便出行。近地铁12号线。【小区介绍】社区环境好，环境优美，适宜居住，人文素质高，物业管理完善。小区的容及率小，属于低密度社区，适宜居住
SH2431676149605343232,整租·新高苑(三期) 2室2厅 南,https://image1.ljcdn.com/310000-inspection/5822b7a4-72b9-40a2-b64c-e9cc9f28bcfc.jpg.250x182.jpg,浦东,高行,新高苑(三期),90,2室2厅1卫,南,5000,随时看房;,中楼层/14层,2020-02-25,,整租,季付,5000,0,需咨询,12号线-金京路-1004m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,2年以内,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/370f3ee4-0c73-45f8-985d-9565813a8e80.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ab16c7db-7010-4ba2-b7db-cd622a33314b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5822b7a4-72b9-40a2-b64c-e9cc9f28bcfc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5e543edb-40f2-4bf2-b366-f11346c71dd6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1692c4f8-3c21-4cec-b14c-de41ef4c40c6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c45e7a75-47cb-4376-a064-eeabae529b0f.jpg.780x439.jpg;,【户型介绍】房间为原始两室两厅一厨一卫，原始户型没有改动过，卧室客厅朝南，南北通风【交通出行】交通状况小区西门距离12号线金京路1km， 公交路线：东靖路莱阳路：406、774、843、601（968）、815 、625、936 、泰高线、沪合线、川张高、钦车线、高南线【周边配套】小区走路大概1000米（百度地图显示）到达万嘉商广场，沃尔玛超市，星巴克，必胜客，KFC，在三楼有西贝餐厅和火锅店，还有品牌购物商店，若想做饭小区旁边就是菜市场，早餐店，吃喝玩乐一应俱全，银行有建设银行，农业银行，中国银行
