hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2423179581218897920,整租·万嘉欣苑 1室1厅 南,https://image1.ljcdn.com/lease-image/house/eddcd549-bddd-4969-9aae-ce795f071128.jpg.250x182.jpg,浦东,合庆,万嘉欣苑,55,1室1厅1卫,南,4600,随时看房;,中楼层/16层,2020-01-20,,整租,季付,4600,0,2300,,False,True,False,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/eddcd549-bddd-4969-9aae-ce795f071128.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b9cfdb2f-52a0-498e-9422-9a9852ddd7dd.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/79d29845-e628-4a16-84a2-85b8c22ba30c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/fee08249-d40d-4a32-a937-d526193fa6bb.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0caa1948-7e5a-434e-8f85-7c6d73ccfc76.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3f030885-2470-466f-b3ad-aa025956089a.jpg.780x439.jpg;,【房源亮点】小区位置好，适合情侣居住，开发商精装交付，交通便利，配套设施完善。【交通出行】房源近地铁2号线，9号线，公交991，636，浦东2路，都可直接到达。【小区介绍】一房精装，电梯房，民用水电，环境舒适，小区环境优美，绿植高。
SH2422368192237142016,整租·农房唐镇壹号 2室1厅 南,https://image1.ljcdn.com/lease-image/house/31944e59-b532-4c0f-b7c6-b48b4df31729.jpg.250x182.jpg,浦东,合庆,农房唐镇壹号,84,2室1厅1卫,南,6000,精装;随时看房;,高楼层/16层,2020-01-20,精装修,整租,季付,6000,0,3000,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,False,https://image1.ljcdn.com/lease-image/house/ed8531f6-a82d-40fd-9c17-4459ac715f34.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f03102fd-d0f0-40ec-8883-5bd64270458e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a95963f1-3e57-4ee3-8bed-a64a2647dc9f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3e59aaf5-8624-4139-a0d2-3253d5e5838a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/31944e59-b532-4c0f-b7c6-b48b4df31729.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/08a9be19-94c3-4822-a18c-882d622ef1e1.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5c701d2c-2cf1-4a70-a4ab-155471727ce6.jpg.780x439.jpg;,【房源亮点】小区位置好，适合一家人居住，开发商精装交付，交通便利，配套设施完善。【交通出行】房源近地铁2号线，9号线，公交991，636，浦东2路，都可直接到达。【小区介绍】两房精装，电梯房，民用水电，环境舒适，小区环境优美，绿植高。
SH2427609334008512512,整租·农房唐镇壹号 2室1厅 南,https://image1.ljcdn.com/lease-image/house/75b24199-18a1-4c72-b765-4449f28963ac.jpg.250x182.jpg,浦东,合庆,农房唐镇壹号,86,2室1厅1卫,南,6200,精装;随时看房;,高楼层/16层,2020-01-20,精装修,整租,季付,6200,0,3100,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/c56a1294-e57c-4910-97f6-d653f01a4bcd.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/db80d0a1-8603-4dfd-8f1b-a207f12f73ea.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6b5daed2-db9f-4705-a2c8-caee977da665.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/949d89e8-6fad-4437-91c8-22906bc77feb.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/80532a89-229f-4a0e-8b4b-45cb3735907e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/aa80ed28-598a-450c-a49b-580217677c8b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/75b24199-18a1-4c72-b765-4449f28963ac.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/925391df-f7ba-42aa-94d9-f4b022744921.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cdf95759-ca1d-4a0f-8939-30c444fd7723.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c382f5f1-057c-4cce-bd54-1ecc998eed9a.jpg.780x439.jpg;,【房源亮点】小区位置好，适合一家人居住，开发商精装交付，交通便利，配套设施完善。【交通出行】房源近地铁2号线，9号线，公交991，636，浦东2路，都可直接到达。【小区介绍】两房精装，电梯房，民用水电，环境舒适，小区环境优美，绿植高。
SH2451399473399087104,整租·大湾名苑 1室1厅 南,https://image1.ljcdn.com/110000-inspection/70c6bc1dfe351f935e0861fbaa3fc50f.jpg.250x182.jpg,浦东,合庆,大湾名苑,58,1室1厅1卫,南,3700,精装;,低楼层/6层,2020-02-22,精装修,整租,季付,3700,0,需咨询,,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/8da40c4163a55bf87e5230369437d0f1.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/71b7e68574152b273b86739e74500778.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/8cc75242678e6efd8b02ab8d83b6be0c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5dbcf3161e0e33d60db838817b86f416.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/56db923dbb0d3e38dcce20d75cf61597.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/70c6bc1dfe351f935e0861fbaa3fc50f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e00890e83ca1b32590847a6c5eb32ae2.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/fe22eb65f1a60810dd49753442e96916.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/dcbe28debbd7d0be848e4edcf343f1e5.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-4542a698-e813-4792-b595-b1580f062bf8.png.780x439.jpg;,【房源亮点】精装修，一室一厅，一厨一卫，拎包入住，整洁干净的房间，业主诚心出租，交通方便，生活便利。【周边配套】小区出门就有一个恒生广场，购物买东西方便，交通便利，居住舒适。【小区介绍】大湾名苑小区属于唐镇王港商圈，位于川沙路2015弄，距离卡园，银联，招.商，平安等公司距离1000米内，小区2011年建成，共计876户，塔楼结构，公司聚集。
SH2397784268887048192,整租·绿地海岸城 2室1厅 南/北,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,浦东,合庆,绿地海岸城,63,2室1厅1卫,南/北,3000,,中楼层/8层,2020-02-16,,整租,需咨询,3000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,False,商水,False,,【装修描述】绿地海岸城 复式房屋 交通便利 购物便利 绿化充足 环境优美【周边配套】聚集多个大型设施，1.4公里爱琴海购物公园，1.9公里万象城，700米左右虹桥盛世莲花广场，1.3公里金虹桥广场【小区介绍】绿地海岸城位于上海市浦东合庆镇，是一个20万方城市商办综合体
SH2165768442979033088,整租·绿地海岸城 2室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,浦东,合庆,绿地海岸城,60,2室1厅1卫,南,3000,,中楼层/8层,2020-02-17,,整租,需咨询,3000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,False,商水,False,,
SH2323058413321322496,整租·远东小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/8c5199ad-0d58-420d-af54-4e2376507eaa.jpg.250x182.jpg,浦东,合庆,远东小区,51,1室1厅1卫,南,2700,,高楼层/6层,2020-01-01,,整租,需咨询,2700,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/8c5199ad-0d58-420d-af54-4e2376507eaa.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bb6767ba-d432-4e4a-afc3-39515682c296.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b3ae4991-f601-4ceb-98bd-4f790904a283.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6695e961-02c1-4d03-ad98-40ccc12318b3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9dcd8c2e-0050-4b7b-b114-9c5914ff6488.jpg.780x439.jpg;,
SH2437616881864015872,整租·环庆新苑 1室1厅 南,https://image1.ljcdn.com/110000-inspection/eec6849e97b131df3c409a156ebb739e.jpg.250x182.jpg,浦东,合庆,环庆新苑,49,1室1厅1卫,南,3200,精装;,低楼层/6层,2020-02-23,精装修,整租,季付,3200,0,需咨询,,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/eec6849e97b131df3c409a156ebb739e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/538ddb9b862f8c535f8375cddb26a179.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/0045e10ce6e8d56394f676f5ed5f472a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/bc60cf3f3806a7d67d6fcdf87243cb05.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2e2be03b957cd74bb873434b233466bb.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/1449631c-9358-4d53-b95a-c3a995cabf9d.png.780x439.jpg;,【房源亮点】整租的一室一厅，一厨一卫，属于精装修，拎包入住，业主诚心出租。【周边配套】小区配套齐全，出门就有大广场，购物买东西等都很方便，生活舒适。【小区介绍】小区门口是一个大市场，有一个张江地区员工居住地，出了小区往右转直走穿过川沙那边为浦东的金融基地。环庆新苑为商品动迁房，为王港地段，唐镇王港地段，可以出售的2000年后新房。
SH2298482342697902080,整租·绿地海岸城 2室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,浦东,合庆,绿地海岸城,60,2室1厅1卫,南,3000,,中楼层/8层,2020-02-17,,整租,需咨询,3000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,False,商水,False,,
SH2316524928087891968,整租·绿地海岸城 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,浦东,合庆,绿地海岸城,41,1室1厅1卫,南,3000,,中楼层/8层,2020-02-24,,整租,需咨询,3000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,False,商水,False,,【装修描述】绿地海岸城 精装复式 家具家电全配 价格可以商议 交通便利 购物便利【周边配套】聚集多个大型设施，1.4公里爱琴海购物公园，1.9公里万象城，700米左右虹桥盛世莲花广场，1.3公里金虹桥广场【小区介绍】绿地海岸城位于上海浦东合庆镇，是一个20万方城市商办综合体。。。。。。。。。。。。。。。。。。。。。。。。
