hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2418663779865993216,整租·海鑫苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/fb708bbe-4662-4142-80ef-5d2223c39acb.jpg.250x182.jpg,浦东,航头,海鑫苑,56,1室1厅1卫,南,2000,随时看房;,中楼层/6层,2020-01-13,,整租,需咨询,2000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/fb708bbe-4662-4142-80ef-5d2223c39acb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/55d1474a-99dc-43ea-a024-a98e31757d45.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a470a132-8c4d-4745-9dee-f0ae47269c09.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3c48fd79-d9da-4604-8348-012c5ef78360.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/02bda434-c0e8-4a2c-bb25-fe2c4dd0b830.png.780x439.jpg;,
SH1919322417315192832,整租·环镇东路99弄 3室2厅,https://image1.ljcdn.com/shfdfs-image/20171225/7dc0dee3-b2d6-4c5f-8075-1208e80e8658.jpg.250x182.jpg,浦东,航头,环镇东路99弄,139,3室2厅1卫,,2200,,高楼层/7层,2019-10-22,,整租,需咨询,2200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,暂无数据,暂无数据,False,民水,False,https://image1.ljcdn.com/shfdfs-image/20171225/4865aadd-e7d4-41f9-80f5-53937c633214.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171225/51128f2c-4ab5-49de-9d6d-2c1191e577f2.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171225/acd503aa-0f7b-4401-96b9-b680be569a6c.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171225/5ed40f72-8bfc-4550-be32-daea335865d7.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171225/99829f66-b507-4776-999d-97533654194f.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171225/8d5f38d9-bd62-4e30-b6a6-d2b604394a77.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171225/e9346439-2240-43eb-92d4-213abcdb9078.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171225/7dc0dee3-b2d6-4c5f-8075-1208e80e8658.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171225/5fad1067-cd2b-4c81-af65-66647d24cc47.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171225/9eb09f6c-34d6-4961-9e1c-98c26a17ffda.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171225/c5b39006-6994-4fcb-82bb-0b5784b60b94.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171225/2b8926b9-7097-4025-ba87-9281c8dbea7e.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171225/4cda91e7-5e8f-4687-a949-b813d74abeec.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171225/21a53282-2eb5-4da5-b79e-fa44ec9137ec.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171225/2dbbeda5-ee7b-410f-8965-23902eb70d67.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171225/f1926389-29b4-47de-9f3a-23536c223169.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171225/920caf4d-831b-45c8-8d0e-6f8fafc76580.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171225/c158be17-e2a7-4ab7-acc9-dd72c958b85f.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/f50bab71-100d-4163-949c-3b4c0a705929.png.780x439.jpg;,
SH2162269972981104640,整租·富田花园 2室1厅 南,https://image1.ljcdn.com/shfdfs-image/20171103/a4f6b81f-bede-4cf7-af03-a05314c81885.jpg.250x182.jpg,浦东,航头,富田花园,85,2室1厅1卫,南,2200,,低楼层/6层,2020-02-22,,整租,季付,2200,0,需咨询,16号线-航头东-46m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,2年以内,只能周末看房,随时入住,False,民水,False,https://image1.ljcdn.com/shfdfs-image/20171103/c8488ffc-1b48-4e51-b6b1-6ab3b97857ef.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171103/c439118c-2d4e-476e-9c9e-972cba66eb5b.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171103/a4f6b81f-bede-4cf7-af03-a05314c81885.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171103/55e2fcf5-ad25-4a5a-b403-43d792d0c1b6.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171103/203ea567-4822-4f1c-ace7-db914b36f4ef.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171103/33d2e809-fe94-4bdb-a9e6-434921bf8ebc.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171103/c2411943-1e68-4618-bcc5-1df278a3bc1d.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171103/f1d6fb80-8a8f-4fe8-ac23-2517b5d6443c.jpg.780x439.jpg;,【交通出行】交通出行公共交通方面，有轨交18号线（在建），步行302米到达航头站。另外还有1067路，航头5路芦航头5路芦杜专线1086路，沪南线等线路【周边配套】配套有航头分校，咸塘小镇步行街，义乌一元百货直销处等商超，购物方便【小区介绍】该房产位于沪南路5892弄，属于浦东新场板块，房屋建筑面积是85平，两室一厅，空间布局合理，实用性强，房屋朝南，位于楼梯房1楼
SH2138301671854309376,整租·长达佳苑宜居尚城 3室2厅 南,https://image1.ljcdn.com/310000-inspection/6290e3c4-b584-4d30-82fc-f6e419530230.jpg.250x182.jpg,浦东,航头,长达佳苑宜居尚城,122,3室2厅2卫,南,3600,双卫生间;,高楼层/6层,2020-01-08,,整租,需咨询,3600,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/10d66fb3-4216-4a1c-b00e-232d20165eab.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6e0f70b4-4795-4fa1-8103-bb412fc0fa92.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/31bc2a88-12ce-4020-9f22-8eb3266aa7b6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6290e3c4-b584-4d30-82fc-f6e419530230.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e0b2ab39-af4f-4d9a-b011-fcfc5f084277.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a57633a4-fdc2-4356-8877-0ce2b5b6dbc3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bccbb7c8-31b6-4e5a-9cd3-07a0aed0be2a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/24ecd41e-c171-4588-87dc-a2e6f3d11675.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d371d94e-9dc2-42a8-9600-dae50c6cce83.jpg.780x439.jpg;,
SH2409264489355812864,整租·沙北新村99-100号 3室1厅 南,https://image1.ljcdn.com/310000-inspection/prod-09f5b8c3-5dfa-4aec-bc49-4bd1037bf70c.jpg.250x182.jpg,浦东,航头,沙北新村99-100号,96,3室1厅1卫,南,3000,,高楼层/6层,2020-02-25,,整租,需咨询,3000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/prod-4a2a0c54-17ff-44c9-bbb3-60f7b559d176.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-f5ecf5e8-4c2d-4419-9e8d-1a898f584006.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-09f5b8c3-5dfa-4aec-bc49-4bd1037bf70c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-44a80d0c-cbb2-45bc-ad36-8649cec9991e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-5ca009c1-1617-4180-87fe-563ce37da493.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-01d598f8-1b0a-4f9a-a5ef-f0c60374b6fc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-8c8393ed-a2ad-487b-8115-520f6bc2fc31.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-70ad1d13-5135-45cd-87a8-3a35dc8ca0d4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-6b8660a8-2a8b-45a9-a6cb-f9b0254425c4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-3800039d-8be4-4a3c-ba12-d04282a7316b.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-7f4d32ed-4032-44a6-90fd-b96130f70087.png.780x439.jpg;,
SH2423791426639757312,整租·桃园新村(航头)(公寓) 2室1厅 南/北,https://image1.ljcdn.com/310000-inspection/218cc711-8943-4b89-921b-37030d88d0ed.jpg.250x182.jpg,浦东,航头,桃园新村(航头)(公寓),82,2室1厅1卫,南/北,2500,随时看房;,高楼层/6层,2020-02-24,,整租,需咨询,2500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/36860209-0902-493b-998f-3341b45eb69d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0ae563b5-6413-4402-9491-b98db65c52aa.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0ea79ed8-b805-49d9-8f3b-922f6d0df692.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/44748749-4f72-4c67-b2f5-7c40776d1ff2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/218cc711-8943-4b89-921b-37030d88d0ed.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0647b85f-0021-46d0-8add-e9af94138ea8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/31cc7d96-ab01-4815-a966-51a892aad37c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/82f1191e-7998-49b6-9546-99f030a8b838.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d8eade06-961f-485f-ba04-da3a5720507a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/66aa84e3-9bf4-4f58-9524-2d4fb05bee2e.jpg.780x439.jpg;,
SH2416444334023901184,整租·金地褐石公馆 1室0厅 西,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,浦东,航头,金地褐石公馆,36,1室0厅1卫,西,2300,,高楼层/7层,2020-01-13,,整租,需咨询,2300,0,需咨询,2号线-远东大道-531m;,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,False,商水,False,,
SH2364979962269663232,整租·长泰东郊御园(别墅) 4室2厅 南/北,https://image1.ljcdn.com/310000-inspection/b3ee991c-0811-4bc1-9098-89a2f1ec520c.jpg.250x182.jpg,浦东,航头,长泰东郊御园(别墅),190,4室2厅3卫,南/北,5000,,低楼层/3层,2019-12-06,,整租,需咨询,5000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/2b903421-8401-4a8c-97ea-99fefd0712e8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a6ecfcd8-4434-4c8d-ba0f-cd4cc6d37a03.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2aad6783-04b3-44d5-903f-f164b5f1770f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/340065f3-409a-459d-9006-e0176c0d5f30.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b3ee991c-0811-4bc1-9098-89a2f1ec520c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a2365156-39b5-488b-ba33-0399d7f766e6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/52a05608-bd1d-497c-8899-5c5ea60584aa.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e3be3dbc-2cd5-4c7f-865a-cff2d88147e8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/101f146d-c7e6-4c66-9892-4271d310531c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/71ff43c3-92b3-461a-a455-4635a4a6596c.jpg.780x439.jpg;,
SH2237019404217098240,整租·两河流域 4室2厅 南,https://image1.ljcdn.com/shfdfs-image/20160511/574a8335-d360-46ed-9bb8-2d2eef0d30d3.jpg.250x182.jpg,浦东,航头,两河流域,225,4室2厅2卫,南,5500,双卫生间;,低楼层/3层,2019-10-23,,整租,需咨询,5500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/shfdfs-image/20160511/6db346ec-0acc-4112-9c22-4db959b75908.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/d8b4c47a-adee-49e0-949a-783cce12bbb9.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/9b59c8e3-4d5e-494f-972a-e73d3916152d.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/829e614e-d05d-4ea0-b09b-5f4c2cdb4335.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/b8e0a3b9-6654-4de1-b40e-52ce0e7e61d9.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/95b68a68-303b-4b40-b953-bd1529e4b466.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/95bde80a-6e4f-4c71-a7b9-f3f6fc164fe1.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/c6b5b756-3876-4ec9-a9b0-d95210f184c3.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/2329d664-c856-443d-88d3-cc57183ec29e.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/5aafd26f-0a04-45db-91e0-76407f3b8a85.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/944e378f-3c33-48ba-bd64-b4b6e5247ce0.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/d1da4699-181d-4b05-8895-82ed5656eff7.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/077564c3-20d0-4753-8761-1a9e381d2462.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/e8cfefe1-4a15-4981-99fc-e3b40234bce5.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/8d491c4b-518d-4795-afe7-5b1a03978812.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/fe69d205-bfd7-45ca-bd7b-567fb34a3219.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/862289a9-18e0-4563-a238-53edd94a5775.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/8869e9d9-d145-446d-a3fb-d31db428dbae.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/a341e5fb-8968-4d1a-b102-4e1222c68fa2.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/38438639-5846-45b2-b846-ce26124e54c3.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/8e5338ff-feb8-4060-a3c3-1a7738a10e16.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/8d05f0d2-494d-40d4-a7c7-f28051d30f2a.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/3c717291-8c38-4237-a3cb-e4f7529d41e3.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/bd409739-d6ff-4ae3-a88c-25454d599ee8.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/8665ade2-944c-4bbe-a1b9-ec6dd5cd659c.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/4dc120e1-6562-46d6-9aea-3eefdee4e379.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/1f484cd6-0c76-458e-b840-12420bb1bab0.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/62bb7791-dd37-4a0c-a592-f26b1f8c8f01.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/5ee552c3-41f6-4c68-829a-5c5d8bb01de7.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/59925f8b-205d-41c5-9e9d-8920f6ea7da5.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/c193a4fa-9753-46ab-806e-b97a57f57df5.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/fee8ef61-4c1c-4d02-88f8-3f1a2e61331b.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/c39b7ec1-94be-4e90-b2e7-3f63102328f8.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/95488575-1218-44d6-baa7-577472fb224a.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/428f0e6b-0df9-46c9-a40f-fdea0092651c.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/171248b1-5491-4d3e-9cee-a5218db4df64.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20160511/574a8335-d360-46ed-9bb8-2d2eef0d30d3.jpg.780x439.jpg;,
SH2278258702836842496,整租·鹤鸣新苑一村 3室2厅 南/北,https://image1.ljcdn.com/310000-inspection/c75194c1-d751-4f1c-a051-7968f93c8909.jpg.250x182.jpg,浦东,航头,鹤鸣新苑一村,121,3室2厅2卫,南/北,4000,双卫生间;,低楼层/6层,2020-02-25,,整租,需咨询,4000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/3afeae79-26f1-4520-aa31-b8171e54edee.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ae3dd2d0-058d-45e0-82f2-61e3107a9513.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ce455fb7-e288-40a8-8fa7-7c47a98ff499.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c75194c1-d751-4f1c-a051-7968f93c8909.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c616739c-d4fb-48d0-b65f-b7a2668aa7c0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/405b2175-c01b-4f24-8236-ce303d42eb6a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1bb739da-242a-42fa-9b2d-920fb3551a05.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cd04a3ca-0542-4a69-8e57-de335112defb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c67a89f9-1169-4d34-9999-e516e7ab51cd.jpg.780x439.jpg;,【房源亮点】近地铁，交通便利，生活方便。房东自助装修，合适一家人居住，。【装修描述】装修如图所见，一应俱全。房东自己住的房子，因为某些原因搬家，现出租出去。【周边配套】近小区，近地铁，交通便利，生活方便。交通生活便利，离地铁站近，上班出行十分方便，大型超市“联华”距离一百五十米，菜市场，医院都在边上。
