hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2453499532588089344,整租·盛第大厦 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,浦东,花木,盛第大厦,22,1室1厅1卫,南,3500,近地铁;随时看房;,低楼层/12层,2020-02-19,,整租,需咨询,3500,0,需咨询,2号线-世纪公园-953m;2号线-世纪公园-953m;,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,需提前预约,随时入住,True,商水,False,,
SH2461610329864675328,整租·牡丹小区(浦东) 1室1厅 南,https://image1.ljcdn.com/110000-inspection/2df183a8208fc34dbc3fb1bddf97346c.jpg.250x182.jpg,浦东,花木,牡丹小区(浦东),38,1室1厅1卫,南,4800,新上;近地铁;随时看房;,中楼层/6层,2020-02-25,,整租,需咨询,4800,0,需咨询,2号线-世纪公园-420m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,2020-03-01,False,民水,True,https://image1.ljcdn.com/110000-inspection/a582b8b61dcc83c5b7fce2171c16c1f4.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2df183a8208fc34dbc3fb1bddf97346c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/7635d5f67fd04b1e8606d07df54af9e8.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/beaa1ab96e4df62be5f108d324af26c8.jpg.780x439.jpg;,
SH2462065335570792448,整租·玉兰路71弄 1室1厅 南,https://image1.ljcdn.com/110000-inspection/b9f8b3e61ab29d36a59099a7698cfeb6.jpg.250x182.jpg,浦东,花木,玉兰路71弄,39,1室1厅1卫,南,5200,新上;近地铁;随时看房;,低楼层/6层,2020-02-24,,整租,需咨询,5200,0,需咨询,2号线，7号线，16号线，磁悬浮-龙阳路-913m;2号线，7号线，16号线，磁悬浮-龙阳路-913m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,集中供暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/de88bb4356d38e5e360282b78956fcbc.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/0fc35a22d02c30707cc7d5dd981f8479.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b9f8b3e61ab29d36a59099a7698cfeb6.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/65dc7d1e9a59895701d2a3d360118609.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2696eb4390a519f392aaef36d582c89a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/9cbc23a1db9304aa0c93471e7f8cbdbd.jpg.780x439.jpg;,
SH2409924362384973824,整租·新领地 1室1厅 西,https://image1.ljcdn.com/310000-inspection/test-2d521cb8-ba08-4292-8d3a-112f31d9ce8f.png.250x182.jpg,浦东,花木,新领地,49,1室1厅1卫,西,4700,近地铁;随时看房;,中楼层/29层,2020-02-19,,整租,需咨询,4700,0,需咨询,2号线-世纪公园-794m;2号线-世纪公园-794m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/test-e2615225-92fe-40a0-b95d-fa3c62fbbde8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-2d521cb8-ba08-4292-8d3a-112f31d9ce8f.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-d626fe23-eb8e-4042-9009-60d92827540d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-e81f84a0-a47e-4075-8f65-f7e5977ec7ba.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-935aef89-f6cb-4a61-af56-6f699da9a288.png.780x439.jpg;https://image1.ljcdn.com/hdic-frame/test-4fbde455-3d1c-48cb-a480-7ca6700ef8e5.png.780x439.jpg;,【房源亮点】精装电梯两房，家电配套齐全；近2号线世纪公园站，出行便利，诚意出租【交通出行】公交:798、746、969、975路； 地铁：2号线世纪公园站、2/7/16龙阳路地铁站， 磁悬浮【周边配套】公园：花木公园、世纪公园、富荟广场 ；超市：世纪华联、麦德龙 ； 菜市场：樱花菜市场【小区介绍】小区生活配套齐全，生活需求都可以就近解决，生活方便。小区环境好，绿植、水景、公共设施维护好情况良好，卫生情况也有保证。
SH2382374850619506688,整租·新领地 1室1厅 北,https://image1.ljcdn.com/310000-inspection/pc1_GJmLF8Ytn_1.jpg.250x182.jpg,浦东,花木,新领地,62,1室1厅1卫,北,5300,近地铁;,中楼层/29层,2020-02-24,,整租,需咨询,5300,0,需咨询,2号线-世纪公园-794m;2号线-世纪公园-794m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/1f4faeff-456f-4d5c-8821-4d2df558404e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/pc1_GJmLF8Ytn_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/993457a3-d511-4f15-9779-7d6e667c40c4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/227f3ee1-2cb7-4fd0-8342-708cd8e4f1d5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/22097bef-f3d4-4c7f-9644-701e3c25c465.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_066868ec-876c-4898-88fc-0689b03c37fd.png.780x439.jpg;,【房源亮点】精装电梯房、家电配套齐全、近2号线世纪公园站、诚意出租、出行便利【交通出行】公交:1013路、 地铁：2号线世纪公园站、2/7/16龙阳路地铁站， 磁悬浮【周边配套】公园：花木公园、世纪公园 超市：世纪华联、麦德龙 菜市场：樱花菜市场
SH2431178888374919168,整租·花木苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/93595f9d-d617-4685-9461-75f89a12d8de.jpg.250x182.jpg,浦东,花木,花木苑,45,1室1厅1卫,南,5300,近地铁;,低楼层/6层,2020-02-23,,整租,需咨询,5300,0,需咨询,2号线-上海科技馆-1011m;2号线-上海科技馆-1011m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/93595f9d-d617-4685-9461-75f89a12d8de.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3d70f519-b4c8-4335-9a13-e35a596bb538.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/61a42e07-1562-44d7-abe1-3b67581bcce6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/88ddb0a8-0c4f-4b61-82b7-faebebf3aa87.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8cbcdf7e-f517-4412-afb3-b57aca8e4bd6.jpg.780x439.jpg;,【房源亮点】世纪公园在旁，休闲健身好去处；地铁2号线，交通便利；商超配套齐全，生活购物方便。【交通出行】距地铁2号线（世纪公园站）约 900 m，公交：975路、974路、浦东35路等；更有内环高架，交通便利【周边配套】公园：世纪公园，花木公园；商超：富荟广场，华联超市、樱花菜市场等；银行:中国建设银行，中国邮政银行。花木社区居委会
SH2391392736440745984,整租·牡丹小区(浦东) 1室1厅 南,https://image1.ljcdn.com/310000-inspection/678b7601-da07-4377-8249-b220a4ed7fc2.jpg.250x182.jpg,浦东,花木,牡丹小区(浦东),44,1室1厅1卫,南,5500,近地铁;随时看房;,低楼层/6层,2020-02-23,,整租,需咨询,5500,0,需咨询,2号线-世纪公园-420m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/678b7601-da07-4377-8249-b220a4ed7fc2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fef0828f-257a-4cff-a7b2-d9e8a7331299.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/98e3169f-b602-4028-8393-06062edc5f51.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/71a6b39d-2f94-4070-b959-226ea80b1e1c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d1b5e251-8976-4d45-a9fc-82e62cee5ac4.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/60776baa-6abe-4a23-98ab-c24ae27fa1fb.png.780x439.jpg;,【装修描述】装修很新，很温馨，宜家又有特点，风格简约干净，装修有特点。【交通出行】地铁出行方便：地铁主干线2号线世纪公园站300米；7号线花木路站800米；2/7/16/磁悬浮龙阳路站900米！开车出门6min上内环高架，陆家嘴市中快捷到达！公交：浦东11路，746路、798路、989路、1013，便捷出行！【周边配套】花木公园、世纪公园 菜市场：樱花菜市场 商场：富荟商场。 世纪公园板块，环境宜人；邻近地铁2号线，交通便利；配套齐全，购物生活方便
SH2446919689280946176,整租·锦绣小区 1室1厅 南,https://image1.ljcdn.com/110000-inspection/6c7438653f4776849a935de130b54eba.jpg.250x182.jpg,浦东,花木,锦绣小区,48,1室1厅1卫,南,5200,精装;随时看房;,中楼层/6层,2020-02-24,精装修,整租,季付,5200,0,需咨询,,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/800ab1b2d2049b6b034b8b928440d31e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/6c7438653f4776849a935de130b54eba.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b63f071228bf772da7d43efe7d3b71aa.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/7453a526bbbe891b36c3c7cb13bcda2e.jpg.780x439.jpg;,【房源亮点】楼层好，采光通风都很好 ，随时看房，装修很好，配套齐全，业主诚意出租。【交通出行】小区出行很方便，出门200就可以上罗山路高架，还有9号线7号线地铁站，小区门口就有公交浦东35路，987路等等【周边配套】距离世纪公园两个街道，小区门口新开清美鲜食超市，距离大拇指广场联洋广场也很方便，还有家乐福超市，购物医疗都很便利的【小区介绍】小区环境不错，有小风车广洋新景幼儿园，浦东东方幼儿园（仁恒部），浦东东方幼儿园（联洋部），上海耀中国际，进才实验小部和初中部 等 大拇指广场，联洋街，家乐福，卜峰莲花超市；瑞东医院，钦洋镇卫生院；中国建设银行，人民银行
SH2458702501646434304,整租·锦绣小区 1室1厅 南,https://image1.ljcdn.com/110000-inspection/a9b7284a-02fd-4777-abd8-ff69f9dfe482.jpg.250x182.jpg,浦东,花木,锦绣小区,50,1室1厅1卫,南,5500,,高楼层/6层,2020-02-23,,整租,需咨询,5500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,2020-03-01,False,民水,True,https://image1.ljcdn.com/110000-inspection/a9b7284a-02fd-4777-abd8-ff69f9dfe482.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/eec92ad1-cfd6-4723-84d5-9c0007804bc9.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/12f90f3d-d30c-4d2b-9230-5737a66f2787.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f1250744-0011-4569-a2be-82cde3b0d72b.jpg.780x439.jpg;,【户型介绍】锦绣小区经典一房户型 南北通透  采光好【装修描述】房子是朝南的，采光条件和通风效果都很好。装修也是挺不错的。【交通出行】小区出行很方便，出门200就可以上罗山路高架，还有9号线7号线地铁站，小区门口就有公交浦东35路，987路等等【出租原因】单纯资产处理【周边配套】距离世纪公园两个街道，小区门口新开清美鲜食超市，距离大拇指广场联洋广场也很方便，还有家乐福超市，购物医疗都很便利的【小区介绍】小区环境不错，有小风车广洋新景幼儿园，浦东东方幼儿园（仁恒部），浦东东方幼儿园（联洋部），上海耀中国际，进才实验小部和初中部 等 大拇指广场，联洋街，家乐福，卜峰莲花超市；瑞东医院，钦洋镇卫生院；中国建设银行，人民银行
SH2378849624141611008,整租·维奇特大厦 1室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,浦东,花木,维奇特大厦,37,1室1厅1卫,南,4500,近地铁;随时看房;,中楼层/12层,2020-02-21,,整租,需咨询,4500,0,需咨询,2号线-世纪公园-1134m;,False,False,False,False,False,False,False,False,False,False,暂无数据,商电,暂无数据,暂无数据,一般下班后可看,随时入住,True,商水,False,,【房源亮点】公寓类型一室住房，带独厨独卫，位置好，中楼层，看房随时，房间舒适宽敞，采光好，适合单身青年和情侣入住【交通出行】锦绣路浦建路公交站有169路;184路;639路;640路;792路，旁边是主干道锦绣路和浦建路，1.2公里左右是2号线世纪公园站，交通便利【周边配套】最近的有富荟广场，基本超市以及各种商场，配套设施全面，中田健身工作室以及上海农商银行就在旁边，在北边近世纪公园--浦东的肺
