hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2428191208628027392,整租·锦绣汇丽苑 1室2厅 南,https://image1.ljcdn.com/310000-inspection/14e0a273-1123-4786-a297-2cbb409811d6.png.250x182.jpg,浦东,惠南,锦绣汇丽苑,54,1室2厅1卫,南,1500,,高楼层/6层,2020-02-25,,整租,需咨询,1500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/14e0a273-1123-4786-a297-2cbb409811d6.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7de7ff97-746d-4cb8-b25d-0ce888635769.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/50ca3950-5fcb-44c8-a07a-c66f0ef0929c.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1e1462f7-fca1-4bf1-89b5-6eb4120c37cc.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cfe81a0a-c3a5-4c48-ad0d-7d9c144bac30.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0df8beed-90dd-424e-9f9d-034338f943af.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9dea6775-986f-4ea3-9491-23fb1d466d99.png.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_712b28f6-b133-406e-ba5e-ab82d8f134cf.png.780x439.jpg;,【装修描述】房子装修简单干净，适合居家生活，木地板与地板搭配布置，居住更舒适整洁，厨房卫生间装修完整，入住使用方便。【交通出行】距离惠南地铁站2.4公里，可乘坐芦杜专线，车程大约15-20Min；小区南边宣黄公路，东边上海绕城高速，出行方便。【出租原因】房东新买的房子，现在打算出租，房东是大学城老师， 人很好。。
SH2431880393461604352,整租·布鲁斯小镇(绿地·皇家官邸) 2室2厅 南,https://image1.ljcdn.com/310000-inspection/c02f530a-5c99-4792-9a86-705c7ad16493.jpg.250x182.jpg,浦东,惠南,布鲁斯小镇(绿地·皇家官邸),91,2室2厅1卫,南,2000,,高楼层/14层,2020-01-19,,整租,需咨询,2000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/90c0be50-d783-4b27-bc38-148ee9d315c1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/446bd772-cfa8-46df-b3e4-881bd41325f4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/579b44f4-916d-4e7e-966e-c84ea802108e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c02f530a-5c99-4792-9a86-705c7ad16493.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4dc9f4e3-4e35-4b1a-829e-c4e671bd8e8f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/64b72704-cde0-47af-adaf-f9fa0c946571.jpg.780x439.jpg;,
SH2433902478677245952,整租·丹桂佳苑 1室1厅 南/北,https://image1.ljcdn.com/310000-inspection/e2b985c5-fc26-4e14-ad4d-afe326375520.jpg.250x182.jpg,浦东,惠南,丹桂佳苑,55,1室1厅1卫,南/北,2000,,高楼层/6层,2020-02-23,,整租,需咨询,2000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/c600c7ce-7824-4c4e-943c-0b75852a25ec.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e2b985c5-fc26-4e14-ad4d-afe326375520.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7b8f9d4e-e31c-4da4-87fe-9a67faf8fe8f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2fe1ccd6-bcea-496e-988e-b02a4d237728.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c49354a9-2ab2-424d-a867-11d8dd324b6e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c8d1ec3d-d8d6-4ebf-b1f7-0b0a00cfa03a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f7de38d3-ee6a-475b-8db2-485f362bb994.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e74a47ae-fd8c-493c-9052-e805e7e3fb61.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-d7e716f4-5d42-4d7b-9b7d-d67f9ae3bf2a.png.780x439.jpg;,
SH2366719539519168512,整租·德盈佳园 2室1厅 南,https://image1.ljcdn.com/310000-inspection/996a44fd-071d-48c7-a7e5-663873bfdff0.jpg.250x182.jpg,浦东,惠南,德盈佳园,83,2室1厅1卫,南,1800,,高楼层/6层,2020-02-21,,整租,需咨询,1800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/a360f447-0053-4c11-8877-a7734e89062a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/596cbb1b-85d7-4366-931a-c0cf6d261947.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/996a44fd-071d-48c7-a7e5-663873bfdff0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e4b0d3c1-5a7e-4ec8-8105-41d46c3a1bdf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/66c6d88c-b444-4f5c-a150-5b8511cf4d91.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/09b3d7ee-dc53-4bc7-89c7-b783b8ad31cc.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/c43c3cc7-3715-47b8-86f6-404edc08bdbe.png.780x439.jpg;,【房源亮点】园林风格:现代风格；入住率高；停车费80元月；小区自带浦东新区绿苑幼儿园；【交通出行】小区门口有直达16号线惠南站和惠南东站地铁的公交车，15分一趟，方便出行，浦东31路，1121路，1071路；距离浦东机场车程20分。【小区介绍】小区自带绿苑幼儿园 优质幼儿园；小区门口就有超市，餐馆，便利店，生活方便。
SH2190294055781941248,整租·锦园坊 1室1厅 南,https://image1.ljcdn.com/310000-inspection/prod-6727acf9-5282-48a8-b49e-8b6bcf30246f.jpg.250x182.jpg,浦东,惠南,锦园坊,57,1室1厅1卫,南,1100,随时看房;,高楼层/11层,2020-02-12,,整租,需咨询,1100,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/prod-6727acf9-5282-48a8-b49e-8b6bcf30246f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-886aa776-a39f-444f-8689-93600d27e74a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-41774281-d9c6-4a7b-b64c-d0311814a19d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-d9b080e7-a7c0-4367-ab47-32cc56c6371c.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-59abb54f-186d-4142-bd00-b29ed1e16005.png.780x439.jpg;,【房源亮点】此房为南北通户型，户型方正，布局舒展，主卧朝南次卧朝北，采光充分，有利于室内空气流通【交通出行】小区门口就有公交站，门口是玄黄公路、听潮南路、大川公路，四通八达，出行便利，门前公交可直达惠南地铁站【周边配套】近禹州广场，近华闰万家，开车7，8钟到达，小区自带配套，基本生活所需可满足，便利与高品质生活充满您的起居之间。
SH2434637894141345792,整租·德盈佳园 1室1厅 南,https://image1.ljcdn.com/310000-inspection/test-9f8547f9-57a6-40d4-bbf4-5204f42bcd1a.png.250x182.jpg,浦东,惠南,德盈佳园,60,1室1厅1卫,南,1700,,低楼层/6层,2020-02-24,,整租,需咨询,1700,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/test-3b4ea378-7a0e-4b43-8a5e-001c7a842d22.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-9f8547f9-57a6-40d4-bbf4-5204f42bcd1a.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-58d9b50d-03a2-4a15-9a56-99d253ba9f42.png.780x439.jpg;https://image1.ljcdn.com/hdic-frame/test-5a6fc2a9-0464-42a0-b8d3-b80a5cf43d4f.png.780x439.jpg;,
SH2298460816565354496,整租·人生港湾南欧城 1室1厅 南,https://image1.ljcdn.com/310000-inspection/prod-75442e40-ee40-41db-b8ac-0fb4301abc3d.jpg.250x182.jpg,浦东,惠南,人生港湾南欧城,56,1室1厅1卫,南,1300,随时看房;,低楼层/15层,2020-02-21,,整租,需咨询,1300,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/prod-526f21db-dfdb-40e5-ab69-4711bf540a26.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-75442e40-ee40-41db-b8ac-0fb4301abc3d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-80f0c9ee-99d9-4902-8c67-f5a94e7069b6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-1594cd5b-4587-46a9-8106-e4b37bd4ed51.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/prod-901326fb-ec31-499f-9365-cd5069033a5d.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-a47f1205-6b73-4b35-baf2-726d010c126e.png.780x439.jpg;,
SH2430243484125364224,整租·彩虹雅苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/9802a9f7-bb9b-4802-907d-c7d7fb371303.jpg.250x182.jpg,浦东,惠南,彩虹雅苑,55,1室1厅1卫,南,1600,,高楼层/5层,2020-02-20,,整租,需咨询,1600,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/fbaf56c8-cf36-4582-8fbf-215a8a28e235.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9802a9f7-bb9b-4802-907d-c7d7fb371303.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/04c5dcae-781d-4bcc-84d9-772d1ca15921.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/baa5a415-c7ae-4282-b3b6-1309917031c9.jpg.780x439.jpg;,
SH2357995339208212480,整租·德盈佳园 2室1厅 南,https://image1.ljcdn.com/310000-inspection/12fd9dd3-b769-4eb8-91ad-fe719e44bd7f.jpg.250x182.jpg,浦东,惠南,德盈佳园,82,2室1厅1卫,南,1800,,中楼层/13层,2020-02-21,,整租,需咨询,1800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/200f00bd-5362-44d3-8768-4a298bc99fce.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e67b2e1c-99fc-41d9-824c-fd41c4c4b273.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/12fd9dd3-b769-4eb8-91ad-fe719e44bd7f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b05db8d1-8448-469d-9e50-fd1fb5d12190.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f7b1b9f9-05fc-4334-ad96-b9767f390372.jpg.780x439.jpg;,【房源亮点】园林风格:现代风格；入住率高；停车费80元月；小区自带浦东新区绿苑幼儿园；【交通出行】小区门口有直达16号线惠南站和惠南东站地铁的公交车，15分一趟，方便出行，浦东31路，1121路，1071路；距离浦东机场车程20分。【小区介绍】小区自带绿苑幼儿园 优质幼儿园；小区门口就有超市，餐馆，便利店，生活方便。
SH2422376067084845056,整租·公园新村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/53ac542d-a308-4900-b289-a4ebf726770c.jpg.250x182.jpg,浦东,惠南,公园新村,60,1室1厅1卫,南,1100,,低楼层/5层,2020-02-25,,整租,需咨询,1100,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/9b41d274-194a-4483-a534-c48ffaf78bbd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/53ac542d-a308-4900-b289-a4ebf726770c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/feed2a09-306e-4e47-8de0-42ac6e486985.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/67aee0e7-d920-49ef-a3a4-45051c4f0eb3.jpg.780x439.jpg;,【房源亮点】小区绿化面积广，空气清新.小区娱乐配套设施齐全，位于公交枢纽，交通便利..【户型介绍】户型方正，坐北朝南，采光面积好，可长期，房东诚心出租，价格可谈【装修描述】老式装修，干净清爽，简约风格，可长期，房东诚心出租。。。。。。
