hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2433326854158434304,整租·莱阳北小区 2室1厅 南,https://image1.ljcdn.com/lease-image/house/2a18510e-02f8-437e-9636-99bfcec03e80.jpg.250x182.jpg,浦东,金桥,莱阳北小区,57,2室1厅1卫,南,4500,精装;随时看房;,中楼层/15层,2020-01-13,精装修,整租,季付,4500,0,2250,12号线-东陆路-1067m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,True,民水,False,https://image1.ljcdn.com/lease-image/house/2a18510e-02f8-437e-9636-99bfcec03e80.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ee21c3ac-5967-4563-a023-f9fc811a32c4.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/78174f68-8397-4882-b582-8dcfd0197fc3.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/52afda8d-7d74-4b4b-84db-68b467d8b0eb.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2079fb59-6165-4cf6-a1af-0281e05a31fa.jpg.780x439.jpg;,
SH2427452549113593856,整租·金桥新村一街坊 2室1厅 南,https://image1.ljcdn.com/lease-image/house/3381ec23-0ae0-49fa-8e8d-bdbdd0f33aee.jpg.250x182.jpg,浦东,金桥,金桥新村一街坊,67,2室1厅1卫,南,5500,精装;随时看房;,高楼层/6层,2020-02-23,精装修,整租,季付,5500,0,2750,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/3381ec23-0ae0-49fa-8e8d-bdbdd0f33aee.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3bb10a9d-9b30-4c35-81a6-7efccea96df5.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0fe4302e-012c-411d-a3c4-fa228eaa4394.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/45c214ff-ceb2-45a6-ab56-ddad1ff8a30b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/38504179-fee6-4428-bb2a-9f632b2f11dd.jpg.780x439.jpg;,
SH2434148858746912768,整租·朱家门小区 2室1厅 南,https://image1.ljcdn.com/lease-image/house/22d63dd3-6949-49af-9739-b402cc41cb37.jpg.250x182.jpg,浦东,金桥,朱家门小区,49,2室1厅1卫,南,4400,近地铁;随时看房;,中楼层/6层,2020-01-18,,整租,季付,4400,0,2200,6号线-五莲路-1049m;6号线-五莲路-1049m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/22d63dd3-6949-49af-9739-b402cc41cb37.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1701044c-482c-46f3-ade4-79e51df57ff8.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c4871b2c-ae63-458a-8878-54fa8ca3e9d1.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c84c7dc1-8fe9-4d16-bd71-40eae15fa16d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ff3c26bb-fece-4ed9-8bc2-242a4b76acb7.jpg.780x439.jpg;,
SH2429838269723721728,整租·联鑫坊 2室1厅 南/北,https://image1.ljcdn.com/lease-image/house/da0babb2-3978-4be9-beb0-71d11bf9ffef.jpg.250x182.jpg,浦东,金桥,联鑫坊,78,2室1厅1卫,南/北,5500,近地铁;随时看房;,高楼层/6层,2020-01-08,,整租,季付,5500,0,2750,6号线，12号线-巨峰路-907m;6号线，12号线-巨峰路-907m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/da0babb2-3978-4be9-beb0-71d11bf9ffef.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9454718a-9862-49b6-b4aa-7ec9d400af0b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/bddf1642-8405-4ef0-b742-7de285569c93.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4b9f668c-e56d-4b96-a857-f239d8a17dae.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1bee5abb-0aef-4385-9e79-2e88abd7971e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/600c9a82-040b-4074-bd3a-bbe7062ab3c3.jpg.780x439.jpg;,
SH2432711929966362624,整租·金桥新村四街坊(长岛路1203弄) 1室1厅 南,https://image1.ljcdn.com/lease-image/house/fb8e9186b6f9aa41f7856810f07aa6fb.jpeg.250x182.jpg,浦东,金桥,金桥新村四街坊(长岛路1203弄),50,1室1厅1卫,南,4700,近地铁;随时看房;,中楼层/6层,2020-02-23,,整租,季付,4700,0,2350,6号线-博兴路-622m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/fb8e9186b6f9aa41f7856810f07aa6fb.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ca378fbd6447ab05b63dce93ded376b9.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/db22f1f7a799adb4b5ac50f66a82e54b.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2acb622162fdeb2a6547b490e9acee51.jpeg.780x439.jpg;,
SH2429838508538462208,整租·柳博小区(博二小区) 2室1厅 南,https://image1.ljcdn.com/lease-image/house/64ee3ffc-76c1-4276-95d4-f7defd6499c7.jpg.250x182.jpg,浦东,金桥,柳博小区(博二小区),69,2室1厅1卫,南,5500,近地铁;随时看房;,低楼层/6层,2020-01-10,,整租,季付,5500,0,2750,6号线-金桥路-1076m;6号线-金桥路-1076m;6号线-金桥路-1076m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/f4f257f6-d0a0-4f11-871b-fea53386f3de.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3916de8b-70c7-4313-be6e-f815d2a58f40.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0a4348df-0c46-4ed4-b623-93934d3c798d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/64ee3ffc-76c1-4276-95d4-f7defd6499c7.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/51d24fab-e1d3-4e8a-8a54-06a31283e597.jpg.780x439.jpg;,
SH2366572577029636096,整租·陈家宅小区(浦东大道) 2室1厅 南,https://image1.ljcdn.com/lease-image/house/b588f434-7136-486c-8edc-0c8ae3d03959.jpg.250x182.jpg,浦东,金桥,陈家宅小区(浦东大道),57,2室1厅1卫,南,4800,随时看房;,高楼层/6层,2020-01-18,,整租,季付,4800,0,2400,6号线-金桥路-1164m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/b588f434-7136-486c-8edc-0c8ae3d03959.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5094c015-b012-4e43-9b42-e53f864e27bd.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1e0af0fa-cbb0-4925-a1e0-3ccc06956a49.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0549ae34-069f-48eb-baa8-bc8af6b54704.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8143ce52-1409-451b-b398-7b4deb32ae70.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/3bd5f939-04b4-4bac-9120-fac2436ee509.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1d50dc7b-a10a-44c8-a417-75f32d3ca12c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/69a9800a-f9fa-4c8f-b43c-125e37d1fbe1.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4445063e-f89a-4b74-94b2-dedb51ab8ec0.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7dd33849-a333-4706-a97d-ff5d5b99ebf6.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c0668f36-18e2-4639-9c5b-116a8dbf5284.jpg.780x439.jpg;,
SH2433329963429273600,整租·柳博小区(柳一小区) 2室1厅 南,https://image1.ljcdn.com/lease-image/house/6857c1ce-9f42-4fa5-b9e2-551ae8e7765b.jpg.250x182.jpg,浦东,金桥,柳博小区(柳一小区),61,2室1厅1卫,南,5500,近地铁;精装;随时看房;,中楼层/6层,2020-01-13,精装修,整租,季付,5500,0,2750,6号线-金桥路-1000m;6号线-金桥路-1000m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/6857c1ce-9f42-4fa5-b9e2-551ae8e7765b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/46f5f098-be9f-4821-a593-929d58e912c0.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/115f326a-79bb-4104-a0f8-5277c1f1818f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d1a584a8-77f1-49bf-a169-29f1dfa5eea1.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6680c4be-8f3e-48f1-a62f-7cfcd2b15c22.jpg.780x439.jpg;,
SH2373644293949890560,整租·金桥都市花园 3室2厅 南,https://image1.ljcdn.com/lease-image/house/9ec259a7ca790a053ee72b04bd32dfc6.jpeg.250x182.jpg,浦东,金桥,金桥都市花园,126,3室2厅2卫,南,9500,近地铁;精装;双卫生间;随时看房;,低楼层/11层,2020-01-13,精装修,整租,季付,9500,0,4750,6号线-博兴路-1081m;6号线-博兴路-1081m;,False,True,True,True,False,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/7c7733fe2cbb1e851278648ae3d27339.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ef45bf3f998309fff34056152f0b443a.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9f9ad85a5ea65aef65d3a9e1bb761cf6.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/081a71c0dda2715ea392e6fd0fdf1c1c.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/14f6dbecdda6ef7f2f9ee52f22ffdc41.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/12652cb44a8e2af4c3be2d870ff64145.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9ec259a7ca790a053ee72b04bd32dfc6.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0ac46b9835732449d0c5932a3f6f0afa.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9d72188e5357d6f99487d1f00fe7fbd0.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a8fe19524e2fc8e454958236f9aec23b.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5423ad895810adce82cda32698456ea5.jpeg.780x439.jpg;,
SH2436738993392451584,整租·长岛公寓 2室1厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,浦东,金桥,长岛公寓,73,2室1厅1卫,南,5500,随时看房;,低楼层/24层,2020-02-23,,整租,季付,5500,0,2750,,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,False,,
