hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2334034187013079040,整租·金杨七街坊 2室1厅 南,https://image1.ljcdn.com/lease-image/house/0e732868-6f33-4af9-9eb0-797222c66198.jpg.250x182.jpg,浦东,金杨,金杨七街坊,70,2室1厅1卫,南,5100,近地铁;随时看房;,高楼层/6层,2020-01-05,,整租,季付,5100,0,2550,6号线-金桥路-1162m;6号线-金桥路-1162m;6号线-金桥路-1162m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/9baa0130-ccda-40ba-bf6c-b51884e454de.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/fdc8319f-9678-4bee-bc12-57b18a2839e1.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/72fb5f96-8c2a-4af0-93d4-7f004fdb5aad.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f4087357-428a-4358-befe-1b06290ef56b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0e732868-6f33-4af9-9eb0-797222c66198.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c24b68f2-0d03-4876-94c3-6bdfadc0240a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/09fd9f1c-92e1-4649-b448-31facef1bcc9.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0fea7cf4-f867-4c6e-bf29-c7281b222b3e.jpg.780x439.jpg;,
SH2422982884274487296,整租·罗山四村 1室1厅 南,https://image1.ljcdn.com/lease-image/house/1b85f82315d1a8efe579000a9f76b552.jpeg.250x182.jpg,浦东,金杨,罗山四村,48,1室1厅1卫,南,4400,近地铁;随时看房;,高楼层/6层,2020-01-13,,整租,季付,4400,0,2200,6号线-德平路-519m;,False,False,False,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/1b85f82315d1a8efe579000a9f76b552.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e8d6c6e5cb2436564245b8ef38cf21d7.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/459b749dba3903eed3aea8c3ac995ae3.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a7b1db620473cf74a68dea7cc64c22f3.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/de9f8f0e6bc6172694e93d51ed3f36fc.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f056227f2ad93b070bbdaf5fb10e0e7f.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/df40985bed3bf5b14c6e4bd1ee8bfd7d.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c3d03672b2221632bd601785cdf72335.jpeg.780x439.jpg;,
SH2453532618197835776,整租·金杨新村四街坊 1室1厅 南,https://image1.ljcdn.com/lease-image/house/8e5938ab82a253430decef3e35d4b1ee.jpeg.250x182.jpg,浦东,金杨,金杨新村四街坊,44,1室1厅1卫,南,4200,近地铁;随时看房;,高楼层/6层,2020-02-10,,整租,季付,4200,0,2100,6号线-德平路-905m;6号线-德平路-905m;6号线-德平路-905m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/8e5938ab82a253430decef3e35d4b1ee.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8dba767735a42c70b5baf746ef468c2f.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/524cea31181c6bc882ffdec79c65327e.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f1c94eba20e0d18845ac44cd749d7b31.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7ca03de5677ef9d5e166e2358a83a71c.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/11c7ae2529f7f50e9bb750e7d3292f4f.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7e24e76801cb550d6053787216c0d623.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/135c5c884e5e2871841c2668dd298804.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d9a37de9b63cf743d9b9e2c2f48bb6a4.jpeg.780x439.jpg;,
SH2432399059466584064,整租·金杨新村五街坊 2室1厅 南/北,https://image1.ljcdn.com/lease-image/house/1b7990433eaa6b2990b6100d91177097.jpeg.250x182.jpg,浦东,金杨,金杨新村五街坊,57,2室1厅1卫,南/北,4800,近地铁;随时看房;,中楼层/6层,2020-01-12,,整租,季付,4800,0,2400,6号线-德平路-1139m;6号线-德平路-1139m;6号线-德平路-1139m;,False,True,True,True,True,False,True,False,False,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/1b7990433eaa6b2990b6100d91177097.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d9e58112791c0424d9b21b0d8dd044d8.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2f307ceafd06da4d5f6a9acf81c2f13b.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1571133d475ad8e59e6f49203e1a9083.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cec36b2481ada847fe4cac6712b2c5a0.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e4113302c83b70897a9a6d1ceb9cea4f.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e1d45afe966491c408b72f95515cb0e8.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c1193b1cd11649e3c54e64bbba872262.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d12ece722d4ee0764ee3b6697eb21b96.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7439ba75eba4af859e37e18cb10109b5.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6e9a975ba15c2648115014764e63ef18.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5993b8cb1c39b7d3f4060bb79f6febbf.jpeg.780x439.jpg;,
SH2424537653501771776,整租·金杨新村四街坊 1室1厅 南,https://image1.ljcdn.com/lease-image/house/5d837944a772bda23e441718bff5999c.jpeg.250x182.jpg,浦东,金杨,金杨新村四街坊,43,1室1厅1卫,南,4200,近地铁;随时看房;,高楼层/6层,2020-01-01,,整租,季付,4200,0,2100,6号线-德平路-905m;6号线-德平路-905m;6号线-德平路-905m;,False,True,False,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/5d837944a772bda23e441718bff5999c.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/84609092652410eef1eca6bc38f34437.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a03fc5c51cdb02499d01339f849815fb.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/6e98be1b5985461541050cf4c95048a5.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4e7d0ebb1d80fc8a4514e45e700c2c9e.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2d932314ac129a8b1b19d0b01f83fb99.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/37f3410f64fa54c60ab4da494e26b975.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/96b8075f3c561038a8b8eaa63123c18e.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5b0572082279d12bb5453de37ce2e1f0.jpeg.780x439.jpg;,
SH2422877179667808256,整租·罗山二村 2室1厅 南,https://image1.ljcdn.com/lease-image/house/9ff469226d5153b38b244be5af9c1e92.jpeg.250x182.jpg,浦东,金杨,罗山二村,60,2室1厅1卫,南,5500,精装;随时看房;,高楼层/6层,2020-01-13,精装修,整租,季付,5500,0,2750,6号线-德平路-1194m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/9ff469226d5153b38b244be5af9c1e92.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b3a9b2524aaff971cd6fb130584cf54c.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/21eaeed93fd5a9167df05f06aafd48e4.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a18da9aa30466531df78f30b1d5558b5.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f0ba97d23a58dc693e9b9820946632c8.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/85e8d3b7942c00f162b72f8122a81147.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c1495414b19dc43ad67e970d29521fa7.jpeg.780x439.jpg;,
SH2435988003681222656,整租·金杨新村十街坊 2室1厅 南,https://image1.ljcdn.com/lease-image/house/cc65c4f43332d7298c2d70db08ef5d85.jpeg.250x182.jpg,浦东,金杨,金杨新村十街坊,55,2室1厅1卫,南,4900,近地铁;随时看房;,中楼层/6层,2020-01-17,,整租,季付,4900,0,2450,6号线-云山路-1031m;6号线-云山路-1031m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,集中供暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/cc65c4f43332d7298c2d70db08ef5d85.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0ac8ed614dce86f788b573d421ce1cb2.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5130dbf9c82893927beef713f10eef7d.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a7b3c867785b11d83d25dd1eff90b887.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/311cd4cbadbd1d6c2fc2e5baf02a43eb.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f28fcb5e74b2927104ba124d7098eae8.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/07f624cbaee458edbecb29428aeb9dc8.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1004b45f9821920f20ee03ad448f413b.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c73ce59b2c46dcb897b7e40a55750c57.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/5bf3b5360775b00b161e64cbc4f9d6ad.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4ba286fedc3656f41a85803c910f18a4.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/c9f05ceb37ed82be0209bd6898d30920.jpeg.780x439.jpg;,
SH2429637477326127104,整租·黄山新村 1室1厅 南,https://image1.ljcdn.com/lease-image/house/28b208fa68e5b38a092b5420939f5985.jpeg.250x182.jpg,浦东,金杨,黄山新村,51,1室1厅1卫,南,4200,近地铁;随时看房;,高楼层/6层,2020-02-08,,整租,季付,4200,0,2100,6号线-德平路-977m;6号线-德平路-977m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/28b208fa68e5b38a092b5420939f5985.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e02c147358b6d1335411f77399b7aa93.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e9df79c3fea442846b8b1ad5444389dd.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/39b3757c002b440daea3798feded96b4.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f1dc7da2b427ebad1f817ce769a1f5d8.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/690fc63dadfb92b6b1eca5c7575c4651.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/55bf8a0015ac3ba4f1f442098abb5244.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/55cbfa0c878ba31fec557e8ccc9db482.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1bbd9813d1bc24f34628a6baffa4399c.jpeg.780x439.jpg;,
SH2318547842316107776,整租·香山新村东南街坊 2室1厅 南/北,https://image1.ljcdn.com/lease-image/house/367ef17ca1b5ba9170f87385b1bc595f.jpeg.250x182.jpg,浦东,金杨,香山新村东南街坊,52,2室1厅1卫,南/北,5300,近地铁;随时看房;,中楼层/6层,2020-01-09,,整租,季付,5300,0,2650,9号线-蓝天路-872m;9号线-蓝天路-872m;,False,True,True,False,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/367ef17ca1b5ba9170f87385b1bc595f.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f734886d2c147a3eff1e94c9b1a2e816.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/688dfd7b527b163dae8287c6ace6ce0b.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f654a6bb46da192b22f1eb0e9282ef67.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7976f7d6c09fe0385e3764534fb4b010.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/da0f8931370566567c8b9d7a99ade79e.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2ded343c79a9b6b415bb14cbfb6dc15e.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/dd919a424aafc0cb3d5bb0d42586fc79.jpeg.780x439.jpg;,
SH2417908534244016128,整租·金杨公寓 2室1厅 南/北,https://image1.ljcdn.com/lease-image/house/5b04307fc94f63f90cd641f19f3fadd3.jpeg.250x182.jpg,浦东,金杨,金杨公寓,94,2室1厅1卫,南/北,6700,近地铁;精装;随时看房;,低楼层/24层,2019-12-23,精装修,整租,季付,6700,0,3350,6号线-云山路-1157m;6号线-云山路-1157m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/5b04307fc94f63f90cd641f19f3fadd3.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/467516e3f420d9e64cf7f21c317081bb.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e7dd0fe6bf95f8b5fba02fcc5055a766.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/580bfb0a1c41b64663212e16d72ebf49.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0082057012e65bd4ba37a18f816ef12c.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e98dca664f8c33934361f62238008891.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/99b45e10cc807153753785b05efcc823.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/875d0043a85d1826b0c92651bbb1a834.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ea2d778cb4733fdbd2d31d5d7adaf5ee.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e27b0015f9c923365bb7376675a37244.jpeg.780x439.jpg;,
