hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2373014912890052608,整租·双秀西园 1室1厅 南,https://image1.ljcdn.com/310000-inspection/2170406c-40c4-4cd5-9865-f85a03b19c1f.jpg.250x182.jpg,浦东,康桥,双秀西园,60,1室1厅1卫,南,1600,,高楼层/6层,2020-02-25,,整租,需咨询,1600,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/2170406c-40c4-4cd5-9865-f85a03b19c1f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/36f24552-d46d-4858-83e8-f65ee130cbcd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fe9d287b-2773-4469-9bec-272074801dd2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/58d1c158-2cc2-4381-b293-54a998678214.jpg.780x439.jpg;,【房源亮点】：阁楼1房，南北通透，无遮挡采光好，拎包入住； 小区地理位置优越，交通方便【交通出行】距离康梧路梓康路公交站625米：.639路浦东34路，秀浦路康沈路【周边配套】旁边就是永乐广场，距离梓康幼儿园435米，康桥实验911米，周浦小1628米，吴迅中390米 万达1101米，小上海步行街1847米
SH2461472382418681856,整租·达城锦园 2室1厅 南,https://image1.ljcdn.com/110000-inspection/8b800ff1cf97b6bf4e79ba5c37eca065.jpg.250x182.jpg,浦东,康桥,达城锦园,77,2室1厅1卫,南,3500,新上;,中楼层/11层,2020-02-22,,整租,需咨询,3500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/110000-inspection/5660619fafce7841871bdb97e926e5a9.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/414fcfbc01b29779e9cef91b4a863341.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/8b800ff1cf97b6bf4e79ba5c37eca065.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/4a862c9079e3a92eb86a3307df3a0113.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/3480b026f68cd9c8d1c1da1b73f7077d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/7db5fbc8c447906e28c5ae3e024ce28c.jpg.780x439.jpg;,
SH2427635553785610240,整租·美林小城 2室1厅 南,https://image1.ljcdn.com/310000-inspection/3833bb6c-4f95-4f8c-bbb3-220dffe09e01.jpg.250x182.jpg,浦东,康桥,美林小城,60,2室1厅1卫,南,3200,随时看房;,高楼层/6层,2020-02-22,,整租,需咨询,3200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/029ab8d4-3530-4ef3-8c33-b31fe31eb85a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0a7311fe-4b95-41db-895a-ff8b899d9357.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3833bb6c-4f95-4f8c-bbb3-220dffe09e01.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c68bd10f-c108-4bf3-989f-5cbc6856a9fb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/928080dc-7f01-44da-a99c-b2ac591ca7c4.jpg.780x439.jpg;,
SH2402784828501000192,整租·绿地康桥新苑 2室2厅 南,https://image1.ljcdn.com/310000-inspection/ab656a29-ff30-44f0-ae78-ecce19580a37.jpg.250x182.jpg,浦东,康桥,绿地康桥新苑,97,2室2厅1卫,南,3700,随时看房;,中楼层/14层,2020-01-14,,整租,需咨询,3700,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/a370ff3e-395a-40b1-9826-7ab7452f0cf3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/178ed74f-6b56-4f34-bb40-1b4f2c7669fa.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/53f55063-d1a1-4eb8-9fee-b696c06656a8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/19e4c3e2-3351-4260-8ec4-b62f2ff9b32a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ab656a29-ff30-44f0-ae78-ecce19580a37.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/91c65035-af46-4c03-8ecf-39657fbaf032.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/129ad5e3-ebe3-4f44-ab03-ef952bb461b7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/424be54d-1917-46f6-b7b4-ec9faa70cf2e.jpg.780x439.jpg;,【装修描述】房子里面装修还行简单装修，干净整洁，居住舒适，面积大，家电家具全配。【交通出行】此房所在小区是04年到07的商品房，小区绿化达到40%，就像生活在公园里。小区东门是沪南公路秀康路公交站，有451、992、975等多条公交线，很方便。小区停车费120元每月【周边配套】小区门口是日常生活店铺，包括超市、饭店、药店、理发店、水果店、菜市场等，配套还有大润发、万达广场、百联东郊超市、电影院等
SH2436736682667032576,整租·绿地康桥新苑 2室2厅 南,https://image1.ljcdn.com/310000-inspection/71f6f209-872d-4d47-99d5-8a9976ec9bb9.jpg.250x182.jpg,浦东,康桥,绿地康桥新苑,95,2室2厅1卫,南,3600,精装;随时看房;,中楼层/14层,2020-01-19,精装修,整租,季付,3600,0,需咨询,,False,False,False,False,False,False,False,False,False,False,租用车位,民电,暂无数据,1年以内,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/71f6f209-872d-4d47-99d5-8a9976ec9bb9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4433d72d-bc9e-46c7-a8c8-090db73e7e0a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/65bb3db5-dce6-45c7-86a6-45eec229f5b8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/541f672a-ad03-4ccb-8428-28314f540ca8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8e95bdc1-152c-4c74-9287-9b6cdb9e606e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/32b352ef-787a-4402-a475-63c970419643.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/1993f02b-0e88-4627-a742-7daa25e1c20c.png.780x439.jpg;,【装修描述】房子里面装修还行简单装修，干净整洁，居住舒适，面积大，家电家具全配。【交通出行】此房所在小区是04年到07的商品房，小区绿化达到40%，就像生活在公园里。小区东门是沪南公路秀康路公交站，有451、992、975等多条公交线，很方便。小区停车费120元每月【周边配套】小区门口是日常生活店铺，包括超市、饭店、药店、理发店、水果店、菜市场等，配套还有大润发、万达广场、百联东郊超市、电影院等
SH2411421081890979840,整租·康桥宝邸 2室2厅 南/北,https://image1.ljcdn.com/310000-inspection/4a4cf6b2-7382-480c-8d47-385daf751cdf.jpg.250x182.jpg,浦东,康桥,康桥宝邸,75,2室2厅1卫,南/北,3500,随时看房;,中楼层/6层,2020-02-22,,整租,需咨询,3500,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,只能周末看房,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/c0675b48-9da9-4eef-b969-bf817df6dce4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/aa5190f7-3fb7-4acc-997c-d975a0518123.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4a4cf6b2-7382-480c-8d47-385daf751cdf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f516bbbd-bbc3-4a24-8ce8-e1dfc36c7710.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0e9dcd43-5aa0-449e-b4db-44bf4d93b56e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1566cda5-c225-445f-a155-27096428fe5c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f68113cd-9dd3-4c05-b101-978fa1240c5a.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/b72796df-de94-4ab4-b1f8-e97d56b2507e.png.780x439.jpg;,【交通出行】出门公交：992路581路 624路 639路 974路 975路 451路 周康3路 周康6路 轨道交通：秀沿路站（11号线） 周浦东站(16号线)、在建地铁18号线（周浦站【周边配套】绿地缤纷广场、印象生活广场、大润发、海印又一城，周浦万达。。【小区介绍】居住人群：小区住的大部分是在张江和陆家嘴上班的白领； 便利程度：距小区1.2km直线距离即为11号线秀沿路地铁站，距小区1.9km直线距离即为16号线周浦东地铁站；出行方便。 日常需求：小区在浦东康桥第三幼儿园和九年制康城school旁边
SH2421806129278353408,整租·海尚康庭 2室1厅 南,https://image1.ljcdn.com/310000-inspection/d64f49ac-7602-418d-a0ec-f028379c24d9.jpg.250x182.jpg,浦东,康桥,海尚康庭,73,2室1厅1卫,南,3000,随时看房;,中楼层/5层,2020-02-22,,整租,需咨询,3000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/04cd171d-11a8-4437-9391-99c502c8d978.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c8390a6a-75e2-4e94-9271-a3fddbdc6cdd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d64f49ac-7602-418d-a0ec-f028379c24d9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7127e3ce-0381-4cd4-ae1c-4ea8872f9177.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/32b1948d-859e-4774-84b3-f06d0504c4c8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/359a43eb-a6da-46e0-8d22-1ac09f697708.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/243fa2f0-0eff-4194-905d-a3e776a1ce3a.png.780x439.jpg;,【交通出行】出门公交：992路581路 624路 639路 974路 975路 451路 周康3路 周康6路 轨道交通：秀沿路站（11号线） 周浦东站(16号线)、在建地铁18号线（周浦站【周边配套】绿地缤纷广场、印象生活广场、大润发、海印又一城，周浦万达。.......【小区介绍】居住人群：小区住的大部分是在张江和陆家嘴上班的白领； 便利程度：距小区1.2km直线距离即为11号线秀沿路地铁站，距小区1.9km直线距离即为16号线周浦东地铁站；出行方便。 日常需求：小区在浦东康桥第三幼儿园和九年制康城school旁边
SH2417175132021211136,整租·海尚康庭 1室1厅 南,https://image1.ljcdn.com/310000-inspection/0968164a-9325-41c4-b384-1a1cdd747803.jpg.250x182.jpg,浦东,康桥,海尚康庭,57,1室1厅1卫,南,3300,,低楼层/13层,2020-02-21,,整租,需咨询,3300,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/f12b1a68-076a-4b07-b32e-6a39e9de8ef4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/986c8486-dc1d-4964-8363-a825d4cc6971.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0968164a-9325-41c4-b384-1a1cdd747803.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/118842d3-40ae-47f2-bff1-8e599064e3ea.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/530c5549-f557-408d-a0d6-2653eff40027.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/20b183ab-edb6-4fab-8dbe-42ce127fed4d.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-ee7b13f6-737c-407d-a8dd-c94178bfe580.png.780x439.jpg;,【房源亮点】一室一厅，家具家电齐全，价钱便宜，生活配套齐全，交通方便。。。。。【装修描述】一房精装，房子装修还不错，家具家电齐全。。。。。。。。。。。。【交通出行】出门公交：992路581路 624路 639路 974路 975路 451路 周康3路 周康6路 轨道交通：秀沿路站（11号线） 周浦东站(16号线)、在建地铁18号线（周浦站【出租原因】前一个租客不租了，现在房子空置，房东不想房屋空置。。。。。。。。【周边配套】绿地缤纷广场、印象生活广场、大润发、海印又一城，周浦万达。。【小区介绍】居住人群：小区住的大部分是在张江和陆家嘴上班的白领； 便利程度：距小区1.2km直线距离即为11号线秀沿路地铁站，距小区1.9km直线距离即为16号线周浦东地铁站；出行方便。 日常需求：小区在浦东康桥第三幼儿园和九年制康城school旁边。
SH2353642489115844608,整租·周康五村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/31e753e3-fd66-4a96-9839-29132ae8e95f.jpg.250x182.jpg,浦东,康桥,周康五村,63,1室1厅1卫,南,3000,,中楼层/18层,2020-02-18,,整租,季付,3000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,2年以内,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/7fecd70f-791f-41ff-b2f4-c069f2ac7555.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/31e753e3-fd66-4a96-9839-29132ae8e95f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a7bcdfe1-2789-47b2-b44e-5e796b7c198e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/23527ffe-cf1a-4168-b5b8-e07346909d23.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/29eec971-b16e-4e1a-8e8d-60b042ba9329.jpg.780x439.jpg;,【交通出行】小区东面1.2公里是秀沿路地铁站，西面500米18号线在建中。有451，581，624，沪南线，龙东专线，龙大专线，周康6路，周康9路等多路公交，自驾5min到外环高速。【周边配套】小区配套较齐全，2km范围内分布着中邦金座、小吃街和日用百货等购物广场和商场，还有包括大润发、农工商、世纪华联在内的多家大型超市，业态定位为“大型品牌、时尚家居、餐饮娱乐、特色消费”4大主题。【小区介绍】周康五村位于上海市浦东康桥，2013年建成，共计538户。由10栋高层2栋多层组成。一房63平，两房84-89平，三房130平。户型南北通透，十分正气。地上车位数338个，地下车位数200个，车位配比1：1，小区内有3个保安，巡逻频次较高
SH2412798339977854976,整租·美林小城 2室1厅 南,https://image1.ljcdn.com/310000-inspection/33265a8b-369b-41d7-ae73-1e88f8b430df.jpg.250x182.jpg,浦东,康桥,美林小城,84,2室1厅1卫,南,3200,,中楼层/6层,2020-02-20,,整租,季付,3200,0,需咨询,,True,True,False,False,True,False,True,False,True,True,暂无数据,民电,自采暖,1年以内,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/40cd5ad2-797f-4956-8364-f1a64bf0c200.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c54aa23e-2ceb-4037-a607-64c63091dcaf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/33265a8b-369b-41d7-ae73-1e88f8b430df.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e69b53d9-935c-4c67-96b0-ecfa567d5a00.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d24dd8b9-f092-465b-88d2-f54d4ba65bca.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5cbd659d-301c-4469-8835-0f965751c978.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/990440c3-2c40-41ac-a08b-e52bdc871e19.jpg.780x439.jpg;,【装修描述】美林小城中装2房，家具家电全配，诚心出租，小区环境好，交通便利公交【交通出行】交通便利公交：公交： 581、624、639、申周线、沪南线等。地铁：16号线 和18号线【周边配套】万达广场以西，仅隔一条马路，位于年家浜路金融经济一条街， 有360广场，永乐广场，绿地缤纷广场，绿地乐和城广场 对口教育配套 医疗设施完善
