hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2388895184529399808,整租·联洋年华 1室2厅 南,https://image1.ljcdn.com/310000-inspection/b449e243-37a5-4086-958f-51773d58de64.jpg.250x182.jpg,浦东,联洋,联洋年华,73,1室2厅1卫,南,8200,近地铁;随时看房;,低楼层/16层,2020-02-23,,整租,需咨询,8200,0,需咨询,2号线-上海科技馆-1113m;2号线-上海科技馆-1113m;2号线-上海科技馆-1113m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/5eeb9e0a-c965-4b82-a2b6-bbdd9755eb56.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a20a5365-12de-4a3f-8cbc-a7d16f89b0e1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cc8fd86f-81a9-47c7-9a54-b6a0ed1af12e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b449e243-37a5-4086-958f-51773d58de64.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2a8e592c-3de6-44ab-9ad7-e2f3dd3dbccf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f3e8365c-8fa5-41d3-9cce-38d36329a239.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1caa6110-a84a-4d62-9d51-951e539aa23c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fb38a07b-8a2b-4943-b056-ec8c2c665bdb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bfed2294-b218-4809-b864-4089e3e7af9e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/45a5a289-a521-4014-b6d1-01325ed3b967.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/1f3c08e6-20c2-4d01-ad5a-0f0ecf57f411.png.780x439.jpg;,【房源亮点】1、精装修，厅室均朝南2、房屋设计装修很温馨，阳台设有安全防护栏3、卫生间有电墙暖，暖和【户型介绍】1、经典一房，厅室均朝南，采光好2、大卧室，带储藏室，空间大，住着舒服【交通出行】公交：987路、东周线、794路、815路、788路、983、984、985、花木一路； 地铁：2号线、6号线、7号线、9号线【出租原因】业主在别的地方有房子，目前在别的地方生活定居，寻找爱惜房子的客户珍惜房屋【周边配套】教育：进才实验、东方幼儿园； 医院：联洋社区医院、瑞东医院、公利医院； 银行：中国银行，工商银行，建设银行，农业银行，交通银行，恒生银行，民生银行，招商银行； 购物：联洋大拇指广场、家乐福、电影院、联华超市、社区休闲区【小区介绍】联洋年华坐落于联洋新社区的迎春路以北、丁香路以南、金松路以西。由2005年起交付使用。该小区占地面积70000平方米，总建筑面积200000平方米，由2栋小高层、13栋高层组成，得房率8成以上。
SH2404230364244746240,整租·吉云公寓 2室1厅 南,https://image1.ljcdn.com/310000-inspection/e80d730a-17b9-49dd-8c57-9b7df9e5cce5.jpg.250x182.jpg,浦东,联洋,吉云公寓,75,2室1厅1卫,南,6200,精装;,低楼层/6层,2020-02-19,精装修,整租,季付,6200,0,需咨询,,True,True,True,True,True,False,True,True,True,True,暂无数据,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/a786141e-e885-44ff-95dc-1c5f131c2fa4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1d580470-f403-4522-a132-27825b6e500a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e6ebb570-f429-4380-9482-8fffa6e0b34c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/656ee3bf-ee5d-442c-ab20-a78b5e702c02.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e80d730a-17b9-49dd-8c57-9b7df9e5cce5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/799e167b-df5c-49be-80cd-661acec65335.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f55c3145-a526-4495-9c77-9bb57dabcb78.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8c5a776d-455b-4adb-b976-a40489c172fd.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/9b55b6ed-7381-4ad9-bd20-21e61e719713.png.780x439.jpg;,【装修描述】装修保养很不错，家具家电齐全，可以拎包入住。房东诚意出租，看房方便。价格可以商谈。【交通出行】交：987，花木1号 轨道：二号线世纪公园站 地铁：2号线，9号线位置优越，环境安静【周边配套】距离世纪公园两个街道，距离大拇指广场联洋广场也很方便，还有家乐福超市，购物医疗都很便利的，小区门口有药店、微型菜市场、超市，很方便【小区介绍】小区环境不错，有小风车广洋新景幼儿园，浦东东方幼儿园（仁恒部），浦东东方幼儿园（联洋部），上海耀中国际，进才实验小部和初中部 等 大拇指广场，联洋街，家乐福，卜峰莲花超市；瑞东医院，钦洋镇卫生院；中国建设银行，人民银行
SH2423065204041719808,整租·吉云公寓 2室1厅 南,https://image1.ljcdn.com/310000-inspection/4c628949-96c8-4166-b4aa-10540b9e1ff7.jpg.250x182.jpg,浦东,联洋,吉云公寓,73,2室1厅1卫,南,6300,随时看房;,高楼层/6层,2020-02-20,,整租,需咨询,6300,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/7253f840-4ecf-4590-852c-d52588768a36.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/46257038-c850-4336-af34-122bb9514b99.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2f741ec1-3211-4096-9c71-ccab020f7ceb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4c628949-96c8-4166-b4aa-10540b9e1ff7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/eb40a438-57b9-4de6-bffd-19d50cd89fe3.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e260b022-0f3b-44ea-91d5-a089429af569.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6bfd740e-e3ff-4887-8943-d754b3484503.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7c19f89d-cc58-469f-9b34-af168bcf8032.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-78fc7b4b-0eaa-4b58-8b2c-29347b57c5a7.png.780x439.jpg;,【房源亮点】主卧朝南，大阳台，房间整洁明亮，简单装修， 交通便利，真实房源，真实价格；房东人很好，诚意出租，希望租客有正当职业，爱惜房子；有钥匙，欢迎随时看房。【交通出行】地铁：2号线、9号线；公交：浦东35路、浦东22路、983路、987路、花木1路。【周边配套】教育：进才实验、东方幼儿园等；医疗：上海瑞东医院、 联洋社区卫生服务中 心、泰康拜博口腔(柏尔门诊部)、国信春田妇儿门诊等；商场：大拇指广场、联洋广场、家乐福等；银行： 中国建设银行、中国银行、中国工商银行等。
SH2463096181794799616,整租·联洋花园(三期) 3室2厅 南,https://image1.ljcdn.com/110000-inspection/e54e46a8-7213-4c43-adf9-be47bc205264.jpg.250x182.jpg,浦东,联洋,联洋花园(三期),154,3室2厅2卫,南,16000,新上;近地铁;双卫生间;,高楼层/25层,2020-02-24,,整租,需咨询,16000,0,需咨询,9号线-杨高中路-1033m;9号线-杨高中路-1033m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,2020-03-23,True,民水,True,https://image1.ljcdn.com/110000-inspection/c9761a15-489a-4b27-b490-57bf959909e1.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d7785821-b0c5-4fec-84ba-2f6ee1dac4c6.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b7e25b43-e6e9-49d8-a047-c986caba0a34.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e54e46a8-7213-4c43-adf9-be47bc205264.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/25059410-d632-49a7-8d27-d2e0f346b2a0.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/bf4f40b8-e0d3-4887-b5ab-8472f5d4e79f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/dfb157a0-aa46-4091-ba05-34af46cbd03e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/293f92d4-2330-49c5-b457-89a5f8f83a3a.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/70faf00f-e25f-432d-8ab1-41253d9072e2.png.780x439.jpg;,
SH2426047787902189568,整租·联洋年华 4室2厅 南,https://image1.ljcdn.com/310000-inspection/3af9ef56-ddc8-4477-897a-077650f2000a.jpg.250x182.jpg,浦东,联洋,联洋年华,165,4室2厅2卫,南,13500,近地铁;双卫生间;,高楼层/18层,2020-02-19,,整租,需咨询,13500,0,需咨询,2号线-上海科技馆-1113m;2号线-上海科技馆-1113m;2号线-上海科技馆-1113m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/182ba631-1785-4750-b34e-551abbff5d60.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2c66b4f7-6012-46ce-8c15-6aa103a41714.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/00e3cca2-c5f3-46b3-bace-68f1f407b5d4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3af9ef56-ddc8-4477-897a-077650f2000a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9082535a-3ca1-4b14-96b5-2e5dfdfadf97.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cbb5bb48-69f7-4580-abb6-74907d8b1415.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9ca166c5-66b7-4ea8-976b-83911bc84f41.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/719bb245-6a4d-4250-a660-a194886bca40.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/476492c7-447d-4f13-8909-b45e534a554a.jpg.780x439.jpg;,【房源亮点】1、南北双阳台，直通 2、楼层中高层，采光很好 3、装修很棒，保养很不错【户型介绍】1、联洋年华典型好3+1房 2、南北直通，通透明亮 3、一室一厅朝南，采光效果好【交通出行】9号线杨高中路芳甸路站。2号线上海科技馆站。7号线花木路 芳甸路站，7号线到龙阳路站可换乘磁悬浮列车。小区门口还有987路等多路公交车。【周边配套】医院：联洋社区医院、瑞东医院、公利医院； 银行：中国银行，工商银行，建设银行，农业银行，交通银行，恒生银行，民生银行，招商银行； 购物：联洋大拇指广场、家乐福、电影院、联华超市、社区休闲区【小区介绍】联洋年华坐落于联洋新社区的迎春路以北、丁香路以南、金松路以西。由2005年起交付使用。该小区占地面积70000平方米，总建筑面积200000平方米，由2栋小高层、13栋高层组成，得房率8成以上。
SH2408526299871051776,整租·当代清水园 2室1厅 南,https://image1.ljcdn.com/310000-inspection/test-7c5fa851-a5c9-49e8-ba40-8dea4edf298e.png.250x182.jpg,浦东,联洋,当代清水园,88,2室1厅1卫,南,11000,近地铁;随时看房;,低楼层/18层,2020-02-24,,整租,需咨询,11000,0,需咨询,9号线-杨高中路-1107m;9号线-杨高中路-1107m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/test-1f266350-bb40-4d11-b1f2-27fa5a2eb0a1.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-409a8b31-414a-4c2d-8b1d-851ab96250f9.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-b9cd6130-06be-489e-8a9c-f3c46a588641.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-0dc9d0c7-39ac-4c5b-a0a3-d31e3fe459f5.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-7c5fa851-a5c9-49e8-ba40-8dea4edf298e.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-9107c593-e8de-4de4-92dd-145387095548.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-878f1e72-2e38-4f36-8676-0adf8fe0e2ec.png.780x439.jpg;https://image1.ljcdn.com/hdic-frame/test-4c7ccee4-602f-4c98-b131-9d6b9dd6e3f9.png.780x439.jpg;,【房源亮点】户型方正，两房朝南，南北通透通风好，房屋装修保养好，背靠洋泾港河，景观佳。【周边配套】教育：进才实验中xiaoxue，东方幼儿园；医院：联洋社区医院；银行：中国/工商/建设/恒生/民生/招商银行;邮局：中国邮政；商场：联洋/大拇指广场，丁香国际；公园：世纪公园；交通: 9号线芳甸路/杨高中路站，18号线公交，门口买菜方便。【小区介绍】品质小区，环境优美，物业管理比较严格，近地铁9号线，出门有大拇指广场，联洋广场，生活配套设施齐全，购物比较便利。近世纪公园。
SH2458616230777995264,整租·联洋花园(二期) 3室2厅 南,https://image1.ljcdn.com/110000-inspection/0460911a-24af-4dac-96de-1dfc0fca09fa.jpg.250x182.jpg,浦东,联洋,联洋花园(二期),150,3室2厅2卫,南,15000,近地铁;精装;双卫生间;,高楼层/18层,2020-02-22,精装修,整租,需咨询,15000,0,需咨询,9号线-芳甸路-907m;9号线-芳甸路-907m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/110000-inspection/982228d9-eec6-483f-8f2d-007f70550e2c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a893bebd-802e-4e5d-a547-750c41e164db.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/18a3493a-9578-482e-9db4-c7372b77793f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/61879608-c280-4a2f-8a9a-2f99272656e4.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c98a73cf-0aba-4b19-804a-1437d86e83fc.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/534d58ce-47a4-4b63-a815-630ab86d85fc.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/60ec455a-a284-499e-a86e-37471868f0a3.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/0460911a-24af-4dac-96de-1dfc0fca09fa.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/31e2cf1d-2652-4fdf-b850-5b09ae979a76.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e651c7aa-74e5-4d0d-896b-034009892256.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/cad30ae0-7515-4761-9124-b8e1497909e7.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/3338a9bd-4f4b-44ff-a623-a69177523bf5.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/199cdbf7-3d6f-40fb-bad2-6edc6ad882d8.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ac252e62-487e-46b2-9e7a-836f42b85ce6.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/8a86daf5-868b-4c12-bcb7-858117f43e0e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/73bf233c-0a19-4dff-a550-7884b144590c.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d1323cf7-6d77-44bd-ac4a-bfe5a915dff5.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/fb37980b-2af8-4872-bcb2-f8006cca78a9.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/34e8a37a-3898-40f2-987d-9559f8357bba.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/eb7d5221-6c33-40fb-af71-9d74558844c7.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f0f9e829-b6b7-4b53-9c54-2dc36680baf6.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/1aee9414-56b8-4b38-bcc4-d38c40cf7683.png.780x439.jpg;,【房源亮点】精装修带地暖有空调，南北通透采光好，位置很安静，家具家电齐全拎包入住【交通出行】地铁: 2号线上海科技馆站，9号线芳甸路站，杨高中路站，18号线公交:芳甸路杨高中路(640路184路815路)、杨高中路芳甸路(机场5线花木1路181路184路)、丁香路芳甸路(花木1路)，买菜，购物方便【周边配套】配套：联洋广场，大拇指广场就在小区旁边，丁香国际，家乐福超市，肯德基，俱乐部、侨泰高尔夫俱乐部、电影院、教堂等国际品牌服装店，餐厅等一应俱全。【小区介绍】联洋花园位于浦东区世纪公园板块，先后于2001-2005年间竣工，共开发三期，小区由15栋小高层住宅组成，户型包含一房、两房、三房和四房，小区景观设计独具匠心，大量东南亚高大树木形成城市森林的效果，成团栽种绿植，灌木草地自由组合，绿化集中
SH2376008998211297280,整租·仁恒河滨城(二期) 3室2厅 南,https://image1.ljcdn.com/310000-inspection/944b0055-f0b6-4522-8959-4df2ab12bc4d.jpg.250x182.jpg,浦东,联洋,仁恒河滨城(二期),151,3室2厅2卫,南,23000,双卫生间;,中楼层/26层,2020-02-24,,整租,需咨询,23000,0,需咨询,9号线-芳甸路-1000m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/2d4cd59a-5dae-44c0-b4ef-1143cd6371e4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4e70a1e3-58b7-4a53-8627-96566f610aff.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/caf59aec-971c-4853-86c7-cc07a57fc5f6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4c6e2508-d846-438d-812c-62b96be843bc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/944b0055-f0b6-4522-8959-4df2ab12bc4d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5b7ee453-1967-4313-946e-fca91f8b7e2d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dd8e3fa0-36db-441e-a123-f367be698c22.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e4f1db69-b9f9-47da-84a5-a82829e8ac6d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d41e4ebe-9520-45d4-8b80-1c1af5240422.jpg.780x439.jpg;,【装修描述】开发商统一精装交付，保养会比较好，可以随时来入住，生活品质有保障【交通出行】地铁: 2号线上海科技馆站，9号线芳甸路站，杨高中路站，18号线公交:芳甸路杨高中路(640路184路815路)、杨高中路芳甸路(机场5线花木1路181路184路)、丁香路芳甸路(花木1路)，买菜，购物方便【出租原因】房东女士已经搬到其他地方居住，这套房子暂时用不到，所以用来出租，希望有一个居家爱护房子的人士来入住【周边配套】配套：联洋广场，大拇指广场就在小区旁边，丁香国际，家乐福超市，肯德基，俱乐部、侨泰高尔夫俱乐部、电影院、教堂等国际品牌服装店，餐厅等一应俱全。
SH2410706172790718464,整租·仁恒河滨城(一期) 3室2厅 南,https://image1.ljcdn.com/310000-inspection/79a07644-17c4-49e5-b996-555855ef5c9c.jpg.250x182.jpg,浦东,联洋,仁恒河滨城(一期),122,3室2厅2卫,南,16000,双卫生间;,低楼层/26层,2020-02-14,,整租,需咨询,16000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/dfb575a9-9343-4cdb-a09d-d8dc195849f8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/43dea8e7-3a88-4151-834c-ca642719caaa.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a808fc9d-9704-48e2-9edf-bfa4bacef880.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c5382887-e761-448a-9283-fe9c252937e6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1ca75fe2-a6c3-4885-a5df-fe870a578601.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/79a07644-17c4-49e5-b996-555855ef5c9c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f02ed158-9803-4eb3-b44a-4e258cf7b5ea.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a3109f21-af07-4c95-a104-1500eccc6372.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/31396a04-fdf8-49c3-b7e4-f94a154ed23a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fd23ab6a-ba71-472c-b23b-3ffa955a8861.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4d5923dc-48f8-4ed7-9315-b841e418369c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e84c74d9-ac82-4de0-a591-414d60e86e88.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/f5ea4da5-35e3-4a1b-80c5-4d67170b0e53.png.780x439.jpg;,
SH2402844232042946560,整租·天安花园 4室2厅 南,https://image1.ljcdn.com/310000-inspection/3310192c-9e0e-4bd7-9df8-6f9458ad1e52.jpg.250x182.jpg,浦东,联洋,天安花园,205,4室2厅3卫,南,18000,近地铁;精装;,高楼层/7层,2020-02-23,精装修,整租,季付,18000,0,需咨询,2号线-上海科技馆-1040m;2号线-上海科技馆-1040m;,True,True,True,True,True,False,True,True,True,True,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/ec09c02b-3c69-4beb-8598-e9bf9908284f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4bae8fdf-8c44-411e-8b27-10fa299aac35.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8e73e046-7abe-453e-8c52-b5544822b753.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/77eb62fa-a23d-4324-be51-d7b90a39a1cd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3310192c-9e0e-4bd7-9df8-6f9458ad1e52.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5f3c4a29-0907-40fe-bebe-1f6d32a5d121.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/20cb9c21-76e7-4db1-84f3-7a1c9f6e3f4f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/03d1d212-a406-4927-aed2-92cae297881d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d65c84f3-7e62-4332-9773-61d8c3042595.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b815088d-ad0c-47d2-b590-c8eab22ebf4b.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/21b92b6c-e478-4a8d-8bf7-fdea6a0bf910.png.780x439.jpg;,【交通出行】地铁：地铁2号线杨高中路、地铁2号线芳甸路站、2号线上海科技馆站 公交：987路、640路、815路、浦东35路、花木1路【周边配套】【教育】进才实验、进才实验、东方幼儿园【购物娱乐】丁香国际、联洋广场、大拇指广场、家乐福超市 【医院】联洋地段医院、瑞东医院、公利医院、社区医疗【其他】世纪公园、上海科技馆【餐饮】肯德基，麦当劳，必胜客，大时代【小区介绍】天安花园小区是联洋社区中唯一一个人车分水流的小区。它位于整个联洋社区的西南部，整个小区总占地面积是5.4万平方米，总建筑面积14万平方米。小区主要由14 幢4-6层多层、20幢小高层9-18层和3幢20层的高层所组成。小区环境优美，配套齐
