hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2426533423444131840,整租·滴水湖馨苑悦湾 3室2厅 南/北,https://image1.ljcdn.com/310000-inspection/867a8c72-d233-4af5-b375-4db07a385072.jpg.250x182.jpg,浦东,临港新城,滴水湖馨苑悦湾,111,3室2厅2卫,南/北,1900,双卫生间;,低楼层/11层,2020-02-14,,整租,季付,1900,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/4fadb1e6-580d-4ca2-8339-c4c767b50e4d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/87e61798-7f82-4e6a-8f65-51076774d017.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a03a0724-c4a6-4edf-9480-a2438ef5c660.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3761a094-a5b7-49bf-9c53-4730f8f1f788.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/867a8c72-d233-4af5-b375-4db07a385072.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e2eaf49e-bdee-473c-aa66-01760a7bd1ef.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ea4d60ff-d2d3-4739-95f4-5c6f7596d644.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b84183f9-4791-4cfd-9a1a-a07ae3552d1d.jpg.780x439.jpg;,
SH2458032103170768896,整租·宜浩佳园 1室2厅 南/北,https://image1.ljcdn.com/110000-inspection/9ffed68f-6695-4723-b0a7-a321196d6ed1.jpg.250x182.jpg,浦东,临港新城,宜浩佳园,0,,,2000,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2402024851008126976,整租·宜浩佳园 1室2厅 南,https://image1.ljcdn.com/310000-inspection/1e5c88da-9148-4f12-9616-438b3944a8dc.jpg.250x182.jpg,浦东,临港新城,宜浩佳园,76,1室2厅1卫,南,2000,精装;,高楼层/4层,2020-02-22,精装修,整租,季付,2000,0,需咨询,8号线-大世界-1100m;8号线-大世界-1100m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/6aaaa7d1-91ca-4115-89e0-c63bd585eda9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1e5c88da-9148-4f12-9616-438b3944a8dc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/77c7027c-b512-42a2-bc05-2c55c209f81a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/745a5cf7-d35b-4865-b1f0-8c6eda88436c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f2d9769d-2514-481c-9c78-de3b4a84e1ad.jpg.780x439.jpg;,【户型介绍】该房源为一室户型，南北通透，采光充足，家具家电全配，适宜单身或者夫妻入住【交通出行】宜浩佳园位于临港新城竹柏路，交通出行方便，北面有大xue城，分布四个大xue 。小区门口有公交站台，可达临港大部分地区。【周边配套】近地铁，小区门口公交可达。附jin有多家餐饮，新天地等娱乐场所，也有滴水湖幼儿园，明珠临港小xue等【小区介绍】小区内道路宽，居住密度小，绿化好，地上和地下停车位多，居家适宜。
SH2279754777208291328,整租·海汇长风苑 1室1厅 南/北,https://image1.ljcdn.com/310000-inspection/b8cd4588-8332-4d78-ab33-2a2b76b177f0.jpg.250x182.jpg,浦东,临港新城,海汇长风苑,64,1室1厅1卫,南/北,1000,,中楼层/4层,2020-01-15,,整租,季付,1000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/7d864a4a-3c32-4289-9599-8e7f770594ad.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b8cd4588-8332-4d78-ab33-2a2b76b177f0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e400ba5d-960f-4b0f-b7d8-10d81f9652ae.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e6777046-9740-4501-9ecd-2c547ac57cfb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8b0b3223-0913-4e3a-b147-171715b66556.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/9663567a-deac-4e78-ab1d-0ebe64b0879b.png.780x439.jpg;,【房源亮点】户型方正，南北通，交通便利，生活居家工作方便，清水毛坯，干净整洁【户型介绍】此房为南北通户型，户型方正，面积适中，布局舒展，全明设计，南北通透，采光充分，有利于室内空气流通【周边配套】小区位于民乐大居 惠南地铁站浦东三甲医院 野生动物园 生活配套 欧尚超市 走路10min 门口就是小吃一条街 菜市场等。
SH2423866525267542016,整租·宜浩佳园 2室1厅 南,https://image1.ljcdn.com/310000-inspection/767640c7-3fdb-490b-941c-21fd1cb10295.jpg.250x182.jpg,浦东,临港新城,宜浩佳园,83,2室1厅1卫,南,2000,,中楼层/4层,2020-01-20,,整租,需咨询,2000,0,需咨询,8号线-大世界-1100m;8号线-大世界-1100m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/acf49453-ca92-458e-911c-bf5c66df0c93.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/41f1175d-45fa-4178-b24f-357dfb3bf430.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/767640c7-3fdb-490b-941c-21fd1cb10295.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/018a76cd-d922-46be-9c59-71129aa44577.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/59979bb2-f52b-422e-82f2-805de7885b2b.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/59a0022a-bd05-4adc-8610-365f2d87220d.png.780x439.jpg;,【户型介绍】此套房源南北通透，通风透气好，房间面积大，采光充足，配套齐全，户型方正【出租原因】房东诚意出租，小区环境好，优质房源，居住舒适，房东闲置房源，一年起租【周边配套】宜浩佳园教育学习资源丰富。小区出来竹柏路菜市场，买菜方便。这边超市饭店多，购物方便【小区介绍】小区楼间距适中，道路宽敞，停车方便，日照充足，绿化好，小区内公共娱乐场地大，娱乐设施多，适合不同年龄段的人游玩
SH2412931336458207232,整租·滴水湖馨苑 3室2厅 南,https://image1.ljcdn.com/310000-inspection/aa562f05-cf6d-4c9f-8d35-6bc79b32c32b.jpg.250x182.jpg,浦东,临港新城,滴水湖馨苑,117,3室2厅1卫,南,1800,,高楼层/10层,2020-02-16,,整租,需咨询,1800,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/c3e5c16d-bb8b-44e5-a79f-7c2c6913d6bd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/aa562f05-cf6d-4c9f-8d35-6bc79b32c32b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/867e21bc-550d-4fa2-891a-e56d99745774.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3f8383b8-1ca3-4860-bf30-db93cffd244c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8ad2403d-ab5b-46b4-8724-9ef7945e5fb5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2f7d3416-d990-4e2d-bfe3-b24dabbdb973.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1360050a-9cb4-4382-9ea6-6942b9e1c1d6.jpg.780x439.jpg;,【交通出行】近地铁16号线滴水湖站，门口公交主要有1096路，龙临专线，芦杜专线等，可达临港大部分地区，自驾出行可走申港大道，竹柏路，临港大道等，出行方便快捷。【周边配套】周bian有上海如海超市（方竹路），农工商超市(南汇新城店)，古棕路菜市场，联华超市（南汇新城镇竹柏店），港城新天地广场，也有滴水湖幼儿园等xue校。【小区介绍】该小区为2010年建，无电梯，封闭式小区比较安全，小区人群居住密度低，居住体验较好。
SH2397051522174697472,整租·临港海滨国际花园 2室2厅 南,https://image1.ljcdn.com/110000-inspection/d0056e87-bfb5-4ef2-8426-45976a9a04ce.jpg.250x182.jpg,浦东,临港新城,临港海滨国际花园,88,2室2厅1卫,南,1000,,低楼层/13层,2020-02-24,,整租,季付,1000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/d0056e87-bfb5-4ef2-8426-45976a9a04ce.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/8ca8b5b4-7caf-4b9a-a100-ea5aacc85549.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/1d0d888b-93d5-4194-bbe3-50618824ae3f.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/cc01b97d-20da-4213-b52c-5e6151261266.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ba015c93-60c1-4ad1-b340-e7e7c748cb4e.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/ea6547a5-1d05-404f-812c-6019a0533289.png.780x439.jpg;,
SH2378743835045142528,整租·海芦月华苑 2室2厅 南/北,https://image1.ljcdn.com/310000-inspection/271b5dcc-7391-49ee-8fec-f00c4894f430.jpg.250x182.jpg,浦东,临港新城,海芦月华苑,125,2室2厅1卫,南/北,2200,,高楼层/11层,2020-02-21,,整租,需咨询,2200,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/80466d79-63bb-4bfa-bb19-8d65c100f309.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/653b7c59-32fd-4678-b216-804f8915de76.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/271b5dcc-7391-49ee-8fec-f00c4894f430.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/014eea68-9def-454b-bd22-679ba4ab01f9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0d52fd6b-0079-49bc-a4bf-57f98fc9b855.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1c88503d-6478-4eaa-9a2b-11464af739a9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c580bf3d-8e6b-4072-8bd9-1fbc2e958914.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/41ca7faa-f1c0-4136-acfa-d673e983f4f1.png.780x439.jpg;,
SH2402142530973483008,整租·海汇清波苑 2室1厅 南/北,https://image1.ljcdn.com/310000-inspection/315e855a-7e17-41e0-9427-ef857427e3b3.png.250x182.jpg,浦东,临港新城,海汇清波苑,67,2室1厅1卫,南/北,2000,,中楼层/4层,2020-02-21,,整租,需咨询,2000,0,需咨询,16号线-临港大道-561m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/76231258-46bc-465f-a6c4-c340027dbd41.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/809d79b9-b965-4838-ae13-c53bcd311162.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/315e855a-7e17-41e0-9427-ef857427e3b3.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f2d6bce8-cafb-4f8f-80ce-2e38e5ed9694.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b46df8ca-3471-4bae-a35a-7dd8752c1a4c.png.780x439.jpg;,
SH2435372926909300736,整租·绿地东岸涟城 2室2厅 南/北,https://image1.ljcdn.com/310000-inspection/ad3164d1-a636-455c-951d-e338c94f575f.jpg.250x182.jpg,浦东,临港新城,绿地东岸涟城,84,2室2厅1卫,南/北,1600,,高楼层/5层,2020-01-18,,整租,需咨询,1600,0,需咨询,16号线-滴水湖-1196m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/52de6d5c-a277-454a-9927-a3ea6f63b961.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5fc84359-45df-4227-9b55-2ecb48bc47d7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a277bb60-98b0-4f1a-b266-c7da16927357.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ad3164d1-a636-455c-951d-e338c94f575f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/537215fc-2229-4b4a-86bd-a2156f6edded.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/398db54a-3944-49ae-a518-d0fcb5f723ab.jpg.780x439.jpg;,
SH2424604194792554496,整租·临港家园 3室1厅 南/北,https://image1.ljcdn.com/310000-inspection/0a5b4b81-29c3-4060-8702-6eb90a7a6db4.jpg.250x182.jpg,浦东,临港新城,临港家园,96,3室1厅1卫,南/北,2200,,高楼层/4层,2020-02-14,,整租,季付,2200,0,需咨询,,False,True,True,True,True,False,True,False,False,True,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/0a5b4b81-29c3-4060-8702-6eb90a7a6db4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/414b9973-f754-45f0-98de-1662c62db615.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a355accb-18b2-4a85-8f42-c5ead2465127.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/02f88a00-d737-4f23-bf70-588b8d77cf52.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/03c1dc5c-e300-4b9d-81e4-9bf5bb7b61bc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c636a179-bcc1-4b6d-b20e-f607123e8909.jpg.780x439.jpg;,
SH2298493787342905344,整租·海汇长风苑 1室1厅 南,https://image1.ljcdn.com/310000-inspection/f39b5815-d7a5-4f50-a27a-c7abf8705f73.jpg.250x182.jpg,浦东,临港新城,海汇长风苑,64,1室1厅1卫,南,1000,,中楼层/4层,2020-01-15,,整租,季付,1000,0,需咨询,,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,一般下班后可看,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/5094e80b-e805-4fe9-bcb4-65803f80e9bb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f39b5815-d7a5-4f50-a27a-c7abf8705f73.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a0ffb26e-4f6c-491a-a457-da1e22d7a2bc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1265250c-1f60-4a09-a043-d6d6264dd92d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dbae543a-1590-4a1d-9fd2-e04fa40c0a5d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/60dd5e40-7264-4f57-8e27-2e8ca43769f9.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/9663567a-deac-4e78-ab1d-0ebe64b0879b.png.780x439.jpg;,
