hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2457300281042673664,整租·东明新村 1室0厅 南,https://image1.ljcdn.com/110000-inspection/15a8ce6a1752f327e04719f92379fa10.jpg.250x182.jpg,浦东,陆家嘴,东明新村,35,1室0厅1卫,南,3500,近地铁;,中楼层/5层,2020-02-21,,整租,需咨询,3500,0,需咨询,4号线-塘桥-1042m;4号线-塘桥-1042m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/15a8ce6a1752f327e04719f92379fa10.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/5a5e3be58761ee1258e0899e3bcab3f4.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ae6b1af9f65d78c2727ce342adde010e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/871714595881ddf23ab40a749e606278.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/715cb6945ef6facafc87ad1a6aee9ac3.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/1617dd0cfbb8896ede1d1b23649613db.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/1ddbd4eb-8e29-4b35-b096-5b6a5fa30142.png.780x439.jpg;,【交通出行】小区门口有公交站随时出行，到浦西有6条隧道，南浦杨浦大桥，很方便，地铁有贯穿上海的2号线，9号线。【周边配套】配套成熟，上海湾商场： 上海八佰伴、中融国际商城、正大广场、新梅广场、时代广场等 医院：东方医院、瑞尔齿科、长航医院等 银行：中国银行、中国交通银行、中国建设银行、中国工商银行、中国农业银行等【小区介绍】小区1997年建成，位于浦电路，属于浦东新区陆家嘴板块，环境优美，配套设施齐备
SH2376633837158940672,整租·东园一村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/pc1_CvzcVBXAv_1.jpg.250x182.jpg,浦东,陆家嘴,东园一村,35,1室1厅2卫,南,5500,近地铁;双卫生间;随时看房;,低楼层/6层,2020-01-18,,整租,需咨询,5500,0,需咨询,2号线-东昌路-258m;2号线-东昌路-258m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/75d72504-07db-463f-a184-52c60db99b44.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/36e67246-8cc0-440b-97bd-5dd34b181c2c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a4e22946-8b46-4046-9d09-fac0727df625.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/pc1_CvzcVBXAv_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0a137518-df44-464f-83b7-67e8ac24e8bc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c0551179-4208-4bdc-884e-d4ee0b9a23dc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5593a49f-9ff7-4db7-9c40-0ed1ed3a7fa6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b01f5f59-af93-455c-9ccc-fd6f78dc081b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/104382be-ca47-4e32-94ca-07b31ef06f36.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_334e14b1-f048-470d-93a2-c0379aa95796.png.780x439.jpg;,【交通出行】距地铁站近，地铁有东昌路2号线和商城路9号线；隧道有新建路隧道、人民路隧道、延安路隧道、复兴东路隧道、大连路隧道【周边配套】东方医院、沃德医疗center 商场：八佰伴、国金center、正大广场 School：洋泾菊园幼儿园、仁恒幼儿园 银行：中国农业银行、中国工商银行、浦发银行等等【小区介绍】小区环境干净整洁，离主街道较远整体安静，图书馆，便利店，超市，菜场与小吃街都有，配套齐全
SH2400685129870876672,整租·浦城小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/a88efba0-6993-4449-8fe7-31deb679fadb.jpg.250x182.jpg,浦东,陆家嘴,浦城小区,42,1室1厅1卫,南,4300,近地铁;随时看房;,中楼层/6层,2020-02-24,,整租,需咨询,4300,0,需咨询,2号线-东昌路-1069m;2号线-东昌路-1069m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/a88efba0-6993-4449-8fe7-31deb679fadb.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2662d5a2-a8eb-442e-9f64-4c93e6272de0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/707c5bb2-d486-4754-9e6f-da2ff783fd70.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3ff57c76-80e7-4567-b3d9-4c32b6cd02b1.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/3b23ad07-f01e-4f60-bc95-c2bbf889cc5d.png.780x439.jpg;,【房源亮点】陆家嘴一房，南北通透，家具家电齐全。交通便利，业主诚意出租，随时可看房【交通出行】地铁2号线东昌路站、4号线塘桥路站、6号线浦电路东方路站、9号线商城路站，以及10多条公交线路可达市郊区各地【周边配套】上海湾、盒马、正大广场 、J.LIFE金茂时尚生活 、福佑商厦 、悦园商厦 、城隍庙购物 、福民商厦 、餐饮：上海针织品总汇，医院：和本堂中医门诊部 、东方国际医院
SH2407927175186481152,整租·东昌新村 1室1厅 南,https://image1.ljcdn.com/310000-inspection/8de11ab3-ccc6-4877-ba10-abbd517b98f7.jpg.250x182.jpg,浦东,陆家嘴,东昌新村,47,1室1厅1卫,南,3800,近地铁;,高楼层/6层,2020-02-16,,整租,季付,3800,0,需咨询,4号线-浦东大道-829m;4号线-浦东大道-829m;4号线-浦东大道-829m;,False,False,False,False,False,False,False,False,False,False,租用车位,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/8de11ab3-ccc6-4877-ba10-abbd517b98f7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0fbeb08d-6bbe-4810-a284-df28035b58f4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/423c140b-d532-4105-addd-03c24b40a9be.jpg.780x439.jpg;,【户型介绍】双朝南的两室，主卧带大阳台，次卧带飘窗，居家装修，干净整洁，适合家庭居住或者同事合租【交通出行】距地铁站近，地铁距2号线东昌路500米，距商城路9号线200米；隧道有新建路隧道、人民路隧道、延安路隧道、复兴东路隧道、大连路隧道【周边配套】东方医院、沃德医疗center 商场：八佰伴、国金center、正大广场 School：洋泾菊园幼儿园、仁恒幼儿园 银行：中国农业银行、中国工商银行、浦发银行等等
SH2460063878168985600,整租·东明新村 1室1厅 南,https://image1.ljcdn.com/110000-inspection/b5a2378221ae9fbafdd931374292a8a2.jpg.250x182.jpg,浦东,陆家嘴,东明新村,44,1室1厅1卫,南,4800,新上;近地铁;随时看房;,高楼层/5层,2020-02-20,,整租,需咨询,4800,0,需咨询,4号线-塘桥-1042m;4号线-塘桥-1042m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/b5a2378221ae9fbafdd931374292a8a2.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/38e5e037c71ba9e3df294b28d454f62d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f8de1da73dbd4111e3c2b74a5d1d2722.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/136ddfa2cce951bc6f894e88edbeeadb.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/fdc550ece2c75141a77f5c1b970e3840.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/76b5b0392b025f54f984330c1a247143.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/c3e24605-e55c-4e93-aa67-158a84bc2284.png.780x439.jpg;,【交通出行】小区门口有公交站随时出行，到浦西有6条隧道，南浦杨浦大桥，很方便，地铁有贯穿上海的2号线，9号线。【周边配套】配套成熟，上海湾商场： 上海八佰伴、中融国际商城、正大广场、新梅广场、时代广场等 医院：东方医院、瑞尔齿科、长航医院等 银行：中国银行、中国交通银行、中国建设银行、中国工商银行、中国农业银行等【小区介绍】小区1997年建成，位于浦电路，属于浦东新区陆家嘴板块，环境优美，配套设施齐备
SH2420994391641423872,整租·东园二村 2室1厅 南,https://image1.ljcdn.com/310000-inspection/pc1_sHc8Bjkqo_1.jpg.250x182.jpg,浦东,陆家嘴,东园二村,52,2室1厅1卫,南,5000,近地铁;随时看房;,中楼层/7层,2020-02-24,,整租,需咨询,5000,0,需咨询,2号线-陆家嘴-1172m;2号线-陆家嘴-1172m;2号线-陆家嘴-1172m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/pc1_sHc8Bjkqo_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1de6d7ea-ec98-465d-bcfc-4be0b4e44156.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/85d33503-41c7-401e-a46d-0a5406e5ceb9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a5a5c485-a6e3-4672-a210-52c725da5362.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3d1012f7-5ac1-4f73-9776-4ddcf1452241.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dbe30c68-d613-4633-bfe0-4149e5649157.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f655a1c7-bff5-432a-b3e7-c2e087ec7d2b.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_5edf8e3e-d3df-4660-8380-57b5c54be439.png.780x439.jpg;,【房源亮点】陆家嘴两房，性价 比很好。诚意出租，看房方便。地铁口，出现方便。【交通出行】商城路(地铁9号线地铁商城路站4号口，还有杨家渡轮渡渡口200米，出行方便【周边配套】新上海商 业城、第 一八佰伴、新梅联合广场、华润时代广场、新亚汤臣大酒店相伴左右，顶 尖商 业圈与浦江美景环 绕您的身伴，随时感受都市繁华
SH2416582852214005760,整租·汤臣商务中心 1室1厅 东,https://image1.ljcdn.com/310000-inspection/test-f52debcb-8dbf-4f67-b945-ec96a23f456d.png.250x182.jpg,浦东,陆家嘴,汤臣商务中心,46,1室1厅0卫,东,5000,近地铁;随时看房;,中楼层/25层,2020-01-17,,整租,需咨询,5000,0,需咨询,9号线-商城路-827m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/test-f52debcb-8dbf-4f67-b945-ec96a23f456d.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-8726b12e-b226-4a6d-9bf7-8e6fe7242a37.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-1d1649a3-5416-4fde-b0d0-d407e381111c.png.780x439.jpg;https://image1.ljcdn.com/310000-inspection/test-efbd615c-5ff4-4df1-a358-40b7a7e2c73b.png.780x439.jpg;https://image1.ljcdn.com/hdic-frame/test-875ec525-6b95-4163-a8ef-f3b441e01971.png.780x439.jpg;,
SH2419389770720886784,整租·东明新村 2室1厅 南,https://image1.ljcdn.com/310000-inspection/49d53415-b7fb-4f09-a3ae-215419a4cf66.jpg.250x182.jpg,浦东,陆家嘴,东明新村,0,,,4200,近地铁;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2369544415183380480,整租·谢家宅小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/pc1_S4DOwuLhS_1.jpg.250x182.jpg,浦东,陆家嘴,谢家宅小区,35,1室1厅1卫,南,4500,近地铁;随时看房;,高楼层/6层,2020-01-20,,整租,需咨询,4500,0,需咨询,4号线-塘桥-1090m;4号线-塘桥-1090m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/pc1_S4DOwuLhS_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bc2d1ef1-a227-4bd3-99a7-1fe805b160d4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/4c066546-8482-4b73-a796-bb2944942d52.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e4920885-4fb8-412c-94be-945764fc6cdf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3d53b3ab-94e8-4de5-ad61-761377523aee.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7e1edd77-79a0-49a3-a4ce-03df2058889b.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_b5b3fada-b200-4dc9-aa7d-695732de14fe.png.780x439.jpg;,【房源亮点】陆家嘴精装一房，业主诚意诚意出租，干净，交通便利。。。。。。。【交通出行】小区出门左拐直行80米，右拐，直行100米，然后左转再直走800米，可到达地铁四号线塘桥站。小区出门左拐直行80米，可到达公交82路，公交981路，公交789路浦东南路浦电路公交站，交通便利！【出租原因】房子保养得比较好，房东诚意出租，希望找爱惜房子的租客.......【周边配套】小区北门出门左拐直行150米就是黄浦江，休息的时候过去走一走，能够得到很好的放松
SH2454377362322890752,整租·东明新村 1室1厅 南,https://image1.ljcdn.com/110000-inspection/f63bab87b5e232de5c2c1134610bba10.jpg.250x182.jpg,浦东,陆家嘴,东明新村,32,1室1厅1卫,南,4000,近地铁;,中楼层/6层,2020-02-18,,整租,需咨询,4000,0,需咨询,4号线-塘桥-1042m;4号线-塘桥-1042m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/431616f0317f1ec7adeb21d194e6a15e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f63bab87b5e232de5c2c1134610bba10.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/9b2d74035e668b72e2ad692b8550f3c6.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/a71cf5ba09471672abc005dea22a8258.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/9df83b160b9cbadf623866f5bd936e18.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/413374f5a7a1737dd6fcc3ecf1cdd418.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ecc247a2b0ac9757cc4fb1b6156cd923.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/00e1b2177d798604a37ce78ed5feb2cb.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/e95b2ffd-6d2e-4d25-b5de-50b3db284fda.png.780x439.jpg;,【交通出行】小区门口有公交站随时出行，到浦西有6条隧道，南浦杨浦大桥，很方便，地铁有贯穿上海的2号线，9号线。【周边配套】配套成熟，上海湾商场： 上海八佰伴、中融国际商城、正大广场、新梅广场、时代广场等 医院：东方医院、瑞尔齿科、长航医院等 银行：中国银行、中国交通银行、中国建设银行、中国工商银行、中国农业银行等【小区介绍】小区1997年建成，位于浦电路，属于浦东新区陆家嘴板块，环境优美，配套设施齐备
